CHILDID	PLOT	ACRES	LOWN	LUSE	larea
IN050012	1	.5	4	1	2025
IN050012	2	.200000002980232	4	1	810.000012069941
IN050013	1	.5	4	1	2025
IN050014	1	.5	4	1	2025
IN050014	2	.5	4	1	2025
IN050015	1	.400000005960464	4	6	1620.00002413988
IN050017	1	6	4	1	24300
IN050017	2	4	4	1	16200
IN050017	3	4	4	1	16200
IN050017	4	3	4	8	12150
IN050018	1	.5	4	1	2025
IN050019	1	.25	4	1	1012.5
IN050019	2	.25	4	1	1012.5
IN050020	1	3	4	1	12150
IN050020	2	1	4	1	4050
IN050020	3	1	4	1	4050
IN050020	4	.5	4	1	2025
IN050020	5	.25	4	1	1012.5
IN050020	6	.25	4	1	1012.5
IN050020	7	.200000002980232	4	1	810.000012069941
IN050020	8	.200000002980232	4	1	810.000012069941
IN050021	1	.800000011920929	4	1	3240.00004827976
IN050021	2	.699999988079071	4	1	2834.99995172024
IN050021	3	.5	4	3	2025
IN050021	4	.300000011920929	4	1	1215.00004827976
IN050021	5	.200000002980232	4	1	810.000012069941
IN050023	1	.600000023841858	4	1	2430.00009655952
IN050023	2	.300000011920929	4	1	1215.00004827976
IN050023	3	.25	4	1	1012.5
IN050024	1	.5	4	8	2025
IN050024	2	.300000011920929	4	8	1215.00004827976
IN050024	3	.150000005960464	4	8	607.500024139881
IN050025	1	1	4	6	4050
IN050025	2	1	4	6	4050
IN050027	1	.5	4	1	2025
IN050027	2	.5	4	1	2025
IN050028	1	.0500000007450581	4	4	202.500003017485
IN050029	1	1	4	1	4050
IN050029	2	.5	4	1	2025
IN050029	3	.5	4	1	2025
IN050029	4	.400000005960464	4	1	1620.00002413988
IN050029	5	.300000011920929	4	1	1215.00004827976
IN050029	6	.300000011920929	4	1	1215.00004827976
IN050030	1	6	4	1	24300
IN050030	2	4	4	1	16200
IN050030	3	3	4	1	12150
IN050031	1	.5	4	1	2025
IN050031	2	.5	4	1	2025
IN050032	1	1	4	1	4050
IN050032	2	1	4	1	4050
IN050033	1	.5	4	8	2025
IN050033	2	.150000005960464	4	8	607.500024139881
IN050034	1	.400000005960464	4	1	1620.00002413988
IN050034	2	.300000011920929	4	1	1215.00004827976
IN050035	1	2	4	1	8100
IN050040	1	.100000001490116	4	1	405.00000603497
IN050040	2	.100000001490116	4	1	405.00000603497
IN050041	1	.5	4	1	2025
IN050041	2	.5	4	1	2025
IN050041	3	.5	4	1	2025
IN050041	4	.5	4	1	2025
IN050041	5	.5	4	8	2025
IN050041	6	.5	4	8	2025
IN050041	7	.5	4	8	2025
IN050041	8	.300000011920929	4	8	1215.00004827976
IN050042	1	1	4	8	4050
IN050042	2	1	4	1	4050
IN050042	3	.800000011920929	4	1	3240.00004827976
IN050042	4	.800000011920929	4	1	3240.00004827976
IN050042	5	.5	4	1	2025
IN050042	6	.400000005960464	4	1	1620.00002413988
IN050042	7	.100000001490116	4	1	405.00000603497
IN050042	8	.100000001490116	4	1	405.00000603497
IN050043	1	.5	4	1	2025
IN050043	2	.5	4	1	2025
IN050046	1	1	4	1	4050
IN050047	1	1	4	1	4050
IN050047	2	.200000002980232	4	1	810.000012069941
IN050047	3	.600000023841858	4	1	2430.00009655952
IN050047	4	.200000002980232	4	1	810.000012069941
IN050047	5	.200000002980232	4	1	810.000012069941
IN050047	6	.300000011920929	4	1	1215.00004827976
IN050047	7	.400000005960464	4	1	1620.00002413988
IN050047	8	.200000002980232	4	1	810.000012069941
IN050048	1	.400000005960464	4	1	1620.00002413988
IN050048	2	.200000002980232	4	1	810.000012069941
IN050048	3	.200000002980232	4	1	810.000012069941
IN050050	1	2	4	1	8100
IN050050	2	1.5	4	1	6075
IN050050	3	1.5	4	1	6075
IN050051	1	2	4	1	8100
IN050052	1	2	4	1	8100
IN050053	1	.300000011920929	4	1	1215.00004827976
IN050053	2	.25	4	1	1012.5
IN050053	3	.25	4	1	1012.5
IN050053	4	.100000001490116	4	1	405.00000603497
IN050053	5	.100000001490116	4	1	405.00000603497
IN050057	1	.5	4	1	2025
IN050057	2	.5	4	1	2025
IN050057	3	.400000005960464	4	1	1620.00002413988
IN050057	4	.300000011920929	4	1	1215.00004827976
IN050059	1	2	4	1	8100
IN050059	2	1.5	4	1	6075
IN050059	3	1.5	4	1	6075
IN050060	1	1.5	4	1	6075
IN050060	2	.5	4	1	2025
IN050060	3	.5	4	1	2025
IN050061	1	.5	4	1	2025
IN050061	2	.300000011920929	4	1	1215.00004827976
IN050061	3	.200000002980232	4	1	810.000012069941
IN050063	1	1	4	1	4050
IN050068	1	.5	4	1	2025
IN050069	1	.5	4	1	2025
IN050069	2	.5	4	1	2025
IN050070	1	1	4	1	4050
IN050071	1	1	4	1	4050
IN050072	1	.5	4	1	2025
IN050073	1	.600000023841858	4	1	2430.00009655952
IN050073	2	1	3	3	4050
IN050074	1	1	4	1	4050
IN050074	2	1	4	1	4050
IN050074	3	1	4	1	4050
IN050074	4	1	4	1	4050
IN050075	1	5	4	1	20250
IN050075	2	5	4	1	20250
IN050075	3	2	4	1	8100
IN050075	4	2	4	1	8100
IN050075	5	.0399999991059303	4	4	161.999996379018
IN050075	6	.0399999991059303	4	4	161.999996379018
IN050075	7	.0399999991059303	4	4	161.999996379018
IN050076	1	.25	4	6	1012.5
IN050076	2	.25	4	6	1012.5
IN050077	1	.25	4	6	1012.5
IN050077	2	.25	4	6	1012.5
IN050079	1	1	4	1	4050
IN050080	1	2	4	1	8100
IN050082	1	.100000001490116	4	1	405.00000603497
IN050082	2	.200000002980232	4	1	810.000012069941
IN050082	3	.100000001490116	4	1	405.00000603497
IN050082	4	.100000001490116	4	1	405.00000603497
IN050083	1	.649999976158142	4	6	2632.49990344048
IN050083	2	.600000023841858	1	1	2430.00009655952
IN050083	3	.400000005960464	1	1	1620.00002413988
IN050083	4	.200000002980232	1	1	810.000012069941
IN050083	5	.200000002980232	1	1	810.000012069941
IN050083	6	.200000002980232	4	1	810.000012069941
IN050083	7	.150000005960464	4	1	607.500024139881
IN050083	8	.100000001490116	4	1	405.00000603497
IN050087	1	1	4	1	4050
IN050087	2	1	4	3	4050
IN050089	1	2	4	1	8100
IN050089	2	1	4	1	4050
IN050089	3	1	4	1	4050
IN050090	1	.5	1	1	2025
IN050090	2	.25	4	1	1012.5
IN050091	1	2	4	1	8100
IN050093	1	.5	4	1	2025
IN050093	2	.5	4	1	2025
IN050094	1	1	4	1	4050
IN050098	1	1	4	1	4050
IN050098	2	1	4	1	4050
IN050098	3	.800000011920929	4	1	3240.00004827976
IN050098	4	.400000005960464	4	1	1620.00002413988
IN050099	1	1	4	1	4050
IN050100	1	5	4	8	20250
IN050100	2	4	4	1	16200
IN050100	3	4	4	1	16200
IN050100	4	4	4	6	16200
IN050100	5	3	4	1	12150
IN050100	6	2	4	8	8100
IN050100	7	.5	4	1	2025
IN050100	8	.5	4	1	2025
IN060001	1	3	4	1	12150
IN060002	1	20	4	1	81000
IN060002	2	.0799999982118607	4	8	323.999992758036
IN060003	1	.400000005960464	4	1	1620.00002413988
IN060003	2	.300000011920929	4	1	1215.00004827976
IN060003	3	.300000011920929	4	1	1215.00004827976
IN060003	4	.200000002980232	4	1	810.000012069941
IN060004	1	.400000005960464	4	1	1620.00002413988
IN060004	2	.300000011920929	4	1	1215.00004827976
IN060004	3	.300000011920929	4	1	1215.00004827976
IN060004	4	.300000011920929	4	1	1215.00004827976
IN060004	5	.300000011920929	4	1	1215.00004827976
IN060004	6	.200000002980232	4	1	810.000012069941
IN060004	7	.200000002980232	4	3	810.000012069941
IN060005	1	.400000005960464	4	1	1620.00002413988
IN060005	2	.349999994039536	4	1	1417.49997586012
IN060005	3	.200000002980232	4	1	810.000012069941
IN060005	4	.0500000007450581	4	1	202.500003017485
IN060007	1	.200000002980232	4	1	810.000012069941
IN060009	1	.949999988079071	4	1	3847.49995172024
IN060011	1	.400000005960464	4	1	1620.00002413988
IN060011	2	.300000011920929	4	1	1215.00004827976
IN060011	3	.25	4	1	1012.5
IN060011	4	.200000002980232	4	1	810.000012069941
IN060011	5	.100000001490116	4	1	405.00000603497
IN060013	1	1	4	1	4050
IN060016	1	1	4	1	4050
IN060016	2	1	4	1	4050
IN060016	3	1	4	1	4050
IN060017	1	.400000005960464	4	1	1620.00002413988
IN060017	2	.300000011920929	4	1	1215.00004827976
IN060017	3	.200000002980232	4	1	810.000012069941
IN060017	4	.100000001490116	4	1	405.00000603497
IN060018	1	.100000001490116	4	7	405.00000603497
IN060021	1	.5	4	1	2025
IN060021	2	.449999988079071	4	1	1822.49995172024
IN060021	3	.449999988079071	4	1	1822.49995172024
IN060021	4	.300000011920929	4	1	1215.00004827976
IN060021	5	.200000002980232	4	1	810.000012069941
IN060021	6	.150000005960464	4	1	607.500024139881
IN060022	1	.100000001490116	4	1	405.00000603497
IN060022	2	.0700000002980232	4	1	283.500001206994
IN060022	3	.0599999986588955	4	1	242.999994568527
IN060022	4	.0500000007450581	4	1	202.500003017485
IN060024	1	3	4	1	12150
IN060025	1	1	4	1	4050
IN060025	2	.5	4	1	2025
IN060025	3	.5	4	1	2025
IN060025	4	.5	4	1	2025
IN060025	5	.5	4	1	2025
IN060025	6	.400000005960464	4	1	1620.00002413988
IN060025	7	.400000005960464	4	1	1620.00002413988
IN060026	1	.5	4	1	2025
IN060026	2	.400000005960464	4	1	1620.00002413988
IN060026	3	.300000011920929	4	1	1215.00004827976
IN060026	4	.300000011920929	4	1	1215.00004827976
IN060026	5	.200000002980232	4	1	810.000012069941
IN060026	6	.150000005960464	4	1	607.500024139881
IN060026	7	.150000005960464	4	1	607.500024139881
IN060028	1	.300000011920929	4	1	1215.00004827976
IN060028	2	.150000005960464	4	1	607.500024139881
IN060028	3	.100000001490116	4	1	405.00000603497
IN060029	1	.75	4	1	3037.5
IN060029	2	.400000005960464	2	1	1620.00002413988
IN060029	3	.25	4	1	1012.5
IN060029	4	.200000002980232	2	1	810.000012069941
IN060029	5	.200000002980232	2	1	810.000012069941
IN060031	1	2	4	1	8100
IN060031	2	.0199999995529652	4	4	80.9999981895089
IN060032	1	.300000011920929	4	1	1215.00004827976
IN060035	1	.300000011920929	4	1	1215.00004827976
IN060036	1	1	4	1	4050
IN060036	2	.75	4	1	3037.5
IN060036	3	.5	4	1	2025
IN060036	4	.5	4	1	2025
IN060036	5	.25	4	1	1012.5
IN060037	1	3	4	1	12150
IN060038	1	.300000011920929	3	1	1215.00004827976
IN060038	2	.200000002980232	3	1	810.000012069941
IN060039	1	.200000002980232	4	1	810.000012069941
IN060039	2	.100000001490116	4	1	405.00000603497
IN060040	1	1	4	1	4050
IN060040	2	.800000011920929	4	1	3240.00004827976
IN060040	3	.600000023841858	4	1	2430.00009655952
IN060040	4	.5	4	1	2025
IN060040	5	.449999988079071	4	1	1822.49995172024
IN060040	6	.349999994039536	4	1	1417.49997586012
IN060040	7	.300000011920929	4	1	1215.00004827976
IN060043	1	2	4	1	8100
IN060043	2	5	3	1	20250
IN060045	1	.300000011920929	4	1	1215.00004827976
IN060046	1	.200000002980232	4	1	810.000012069941
IN060047	1	.600000023841858	4	1	2430.00009655952
IN060047	2	.5	4	1	2025
IN060047	3	.400000005960464	4	1	1620.00002413988
IN060047	4	.400000005960464	4	1	1620.00002413988
IN060047	5	.400000005960464	4	1	1620.00002413988
IN060047	6	.400000005960464	4	1	1620.00002413988
IN060047	7	.300000011920929	4	1	1215.00004827976
IN060048	1	.5	4	1	2025
IN060048	2	.400000005960464	4	1	1620.00002413988
IN060048	3	.300000011920929	4	1	1215.00004827976
IN060048	4	.300000011920929	4	1	1215.00004827976
IN060048	5	.200000002980232	4	1	810.000012069941
IN060049	1	.300000011920929	4	1	1215.00004827976
IN060049	2	.200000002980232	4	1	810.000012069941
IN060049	3	.200000002980232	4	7	810.000012069941
IN060051	1	.699999988079071	4	1	2834.99995172024
IN060052	1	.699999988079071	4	1	2834.99995172024
IN060054	1	.400000005960464	4	1	1620.00002413988
IN060054	2	.200000002980232	4	1	810.000012069941
IN060054	3	.200000002980232	4	1	810.000012069941
IN060055	1	.5	4	1	2025
IN060055	2	.5	4	1	2025
IN060055	3	.300000011920929	4	1	1215.00004827976
IN060055	4	.300000011920929	4	1	1215.00004827976
IN060055	5	.200000002980232	4	1	810.000012069941
IN060055	6	.200000002980232	4	1	810.000012069941
IN060055	7	.100000001490116	4	1	405.00000603497
IN060059	1	.5	4	1	2025
IN060060	1	.300000011920929	4	8	1215.00004827976
IN060060	2	.150000005960464	4	1	607.500024139881
IN060060	3	.150000005960464	4	1	607.500024139881
IN060060	4	.100000001490116	4	1	405.00000603497
IN060060	5	.100000001490116	4	1	405.00000603497
IN060060	6	.0700000002980232	4	1	283.500001206994
IN060066	1	.150000005960464	4	1	607.500024139881
IN060066	2	.25	4	1	1012.5
IN060066	3	.150000005960464	4	1	607.500024139881
IN060068	1	.400000005960464	4	1	1620.00002413988
IN060070	1	.300000011920929	4	1	1215.00004827976
IN060070	2	.200000002980232	4	1	810.000012069941
IN060071	1	1.5	4	3	6075
IN060071	2	.5	4	1	2025
IN060071	3	.5	4	1	2025
IN060071	4	.25	4	1	1012.5
IN060071	5	.200000002980232	4	7	810.000012069941
IN060071	6	.200000002980232	4	7	810.000012069941
IN060071	7	.150000005960464	4	7	607.500024139881
IN060072	1	3	4	1	12150
IN060074	1	2	4	7	8100
IN060074	2	.5	4	1	2025
IN060074	3	.5	4	1	2025
IN060074	4	.100000001490116	4	1	405.00000603497
IN060074	5	.100000001490116	4	4	405.00000603497
IN060075	1	.300000011920929	4	1	1215.00004827976
IN060075	2	.200000002980232	4	1	810.000012069941
IN060075	3	.150000005960464	4	1	607.500024139881
IN060075	4	.150000005960464	4	1	607.500024139881
IN060075	5	.100000001490116	4	1	405.00000603497
IN060075	6	.100000001490116	4	1	405.00000603497
IN060076	1	2	4	1	8100
IN060077	1	10	4	1	40500
IN060077	2	2	4	3	8100
IN060077	3	13	4	1	52650
IN060078	1	1	4	1	4050
IN060079	1	1	4	1	4050
IN060081	1	.300000011920929	4	3	1215.00004827976
IN060081	2	.200000002980232	4	1	810.000012069941
IN060081	3	.150000005960464	4	1	607.500024139881
IN060081	4	.100000001490116	4	1	405.00000603497
IN060081	5	.200000002980232	4	1	810.000012069941
IN060082	1	.400000005960464	4	1	1620.00002413988
IN060086	1	.5	1	1	2025
IN060086	2	.100000001490116	4	1	405.00000603497
IN060088	1	1.39999997615814	4	3	5669.99990344048
IN060089	1	.25	4	7	1012.5
IN060090	1	.200000002980232	4	7	810.000012069941
IN060090	2	.100000001490116	4	7	405.00000603497
IN060090	3	.100000001490116	4	7	405.00000603497
IN060092	1	.600000023841858	4	1	2430.00009655952
IN070001	1	3	4	3	12150
IN070001	2	7	4	1	28350
IN070001	3	.300000011920929	4	99	1215.00004827976
IN070002	1	.349999994039536	4	7	1417.49997586012
IN070002	2	.150000005960464	4	7	607.500024139881
IN070002	3	.25	4	1	1012.5
IN070002	4	.150000005960464	4	1	607.500024139881
IN070002	5	.0500000007450581	4	1	202.500003017485
IN070002	6	.0500000007450581	4	1	202.500003017485
IN070003	1	.699999988079071	4	1	2834.99995172024
IN070003	2	.600000023841858	4	1	2430.00009655952
IN070003	3	.25	4	1	1012.5
IN070003	4	.200000002980232	4	1	810.000012069941
IN070003	5	.200000002980232	4	1	810.000012069941
IN070003	6	.119999997317791	4	1	485.999989137053
IN070004	1	.5	4	1	2025
IN070004	2	.300000011920929	4	1	1215.00004827976
IN070004	3	.300000011920929	4	1	1215.00004827976
IN070004	4	.200000002980232	4	1	810.000012069941
IN070005	1	1	4	3	4050
IN070005	2	.5	4	1	2025
IN070006	1	.5	4	1	2025
IN070006	2	.400000005960464	4	1	1620.00002413988
IN070006	3	.100000001490116	4	1	405.00000603497
IN070007	1	.800000011920929	4	3	3240.00004827976
IN070007	2	.400000005960464	4	7	1620.00002413988
IN070008	1	.5	4	1	2025
IN070008	2	.5	4	1	2025
IN070008	3	.5	4	1	2025
IN070008	4	.5	4	1	2025
IN070011	1	7	4	3	28350
IN070011	2	.5	4	1	2025
IN070011	3	.400000005960464	4	1	1620.00002413988
IN070011	4	.400000005960464	4	1	1620.00002413988
IN070011	5	.300000011920929	4	1	1215.00004827976
IN070011	6	.300000011920929	4	1	1215.00004827976
IN070011	7	.100000001490116	4	1	405.00000603497
IN070013	1	.300000011920929	4	1	1215.00004827976
IN070013	2	.300000011920929	4	7	1215.00004827976
IN070013	3	.200000002980232	4	1	810.000012069941
IN070013	4	.150000005960464	4	7	607.500024139881
IN070013	5	.100000001490116	4	7	405.00000603497
IN070014	1	.259999990463257	4	1	1052.99996137619
IN070014	2	.25	4	1	1012.5
IN070014	3	.239999994635582	4	1	971.999978274107
IN070015	1	2	4	1	8100
IN070017	1	.600000023841858	4	7	2430.00009655952
IN070017	2	.150000005960464	4	1	607.500024139881
IN070017	3	.119999997317791	4	1	485.999989137053
IN070017	4	.100000001490116	4	1	405.00000603497
IN070017	5	.100000001490116	4	1	405.00000603497
IN070017	6	.100000001490116	4	1	405.00000603497
IN070019	1	.600000023841858	4	1	2430.00009655952
IN070019	2	.389999985694885	4	1	1579.49994206429
IN070019	3	.5	4	8	2025
IN070019	4	.100000001490116	4	8	405.00000603497
IN070019	5	.100000001490116	4	8	405.00000603497
IN070021	1	1	4	1	4050
IN070021	2	1.5	4	8	6075
IN070021	3	2	4	8	8100
IN070021	4	1.5	1	8	6075
IN070021	5	1.5	1	7	6075
IN070022	1	.5	4	8	2025
IN070022	2	.300000011920929	4	8	1215.00004827976
IN070022	3	.25	4	8	1012.5
IN070022	4	.25	4	8	1012.5
IN070023	1	.5	4	1	2025
IN070023	2	.5	1	1	2025
IN070023	3	.300000011920929	4	8	1215.00004827976
IN070023	4	.300000011920929	4	8	1215.00004827976
IN070023	5	.200000002980232	4	1	810.000012069941
IN070024	1	1	4	8	4050
IN070024	2	.5	4	8	2025
IN070024	3	.300000011920929	4	1	1215.00004827976
IN070024	4	.200000002980232	4	1	810.000012069941
IN070025	1	.300000011920929	4	8	1215.00004827976
IN070026	1	.200000002980232	4	1	810.000012069941
IN070026	2	.100000001490116	4	1	405.00000603497
IN070026	3	.100000001490116	4	1	405.00000603497
IN070026	4	.0500000007450581	4	1	202.500003017485
IN070026	5	.0500000007450581	4	1	202.500003017485
IN070030	1	.5	4	1	2025
IN070030	2	.5	4	1	2025
IN070035	1	.300000011920929	4	6	1215.00004827976
IN070035	2	.200000002980232	4	6	810.000012069941
IN070035	3	.100000001490116	4	6	405.00000603497
IN070035	4	.100000001490116	4	6	405.00000603497
IN070036	1	.5	4	1	2025
IN070038	1	.5	4	1	2025
IN070042	1	.400000005960464	4	7	1620.00002413988
IN070042	2	.300000011920929	4	1	1215.00004827976
IN070042	3	.200000002980232	4	1	810.000012069941
IN070044	1	1	4	3	4050
IN070045	1	2	4	1	8100
IN070046	1	.25	4	1	1012.5
IN070046	2	.100000001490116	4	1	405.00000603497
IN070046	3	.100000001490116	4	1	405.00000603497
IN070046	4	.0500000007450581	4	1	202.500003017485
IN070050	1	.200000002980232	4	1	810.000012069941
IN070050	2	.150000005960464	4	1	607.500024139881
IN070050	3	.150000005960464	4	1	607.500024139881
IN070050	4	1	1	1	4050
IN070051	1	1	4	1	4050
IN070051	2	.75	4	1	3037.5
IN070051	3	.600000023841858	4	1	2430.00009655952
IN070051	4	.5	4	1	2025
IN070051	5	.300000011920929	4	8	1215.00004827976
IN070052	1	.449999988079071	4	1	1822.49995172024
IN070052	2	.300000011920929	4	1	1215.00004827976
IN070052	3	.25	4	1	1012.5
IN070055	1	.5	4	1	2025
IN070055	2	.400000005960464	4	1	1620.00002413988
IN070055	3	.300000011920929	4	1	1215.00004827976
IN070055	4	.200000002980232	4	1	810.000012069941
IN070055	5	.200000002980232	4	1	810.000012069941
IN070056	1	.5	4	1	2025
