CHILDCODE	LANDIDR4	LNDLIVR4	TOTLIVR4	USELIVR4	LNDTYPR4	TOTINDR4	USEINDR4	TOTLNDR4	USERANR4	USEDRYR4	PRIRRR4
11009	1	N	 	 	N	 	 	 	 	 	 
11009	2	N	 	 	N	 	 	 	 	 	 
11009	3	N	 	 	N	 	 	 	 	 	 
11009	4	N	 	 	N	 	 	 	 	 	 
11009	5	N	 	 	N	 	 	 	 	 	 
11010	1	Y	.0299999993294477	1	Y	0	 	2	5	11	5
11010	2	N	 	 	N	 	 	 	 	 	 
11010	3	N	 	 	Y	0	 	2	5	11	5
11010	4	N	 	 	N	 	 	 	 	 	 
11010	5	N	 	 	N	 	 	 	 	 	 
11011	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
11011	2	N	 	 	N	 	 	 	 	 	 
11011	3	N	 	 	N	 	 	 	 	 	 
11011	4	N	 	 	N	 	 	 	 	 	 
11011	5	N	 	 	N	 	 	 	 	 	 
11012	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11012	2	N	 	 	N	 	 	 	 	 	 
11012	3	N	 	 	N	 	 	 	 	 	 
11012	4	N	 	 	N	 	 	 	 	 	 
11012	5	N	 	 	N	 	 	 	 	 	 
11013	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
11013	2	N	 	 	N	 	 	 	 	 	 
11013	3	N	 	 	N	 	 	 	 	 	 
11013	4	N	 	 	N	 	 	 	 	 	 
11013	5	N	 	 	N	 	 	 	 	 	 
11014	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11014	2	N	 	 	N	 	 	 	 	 	 
11014	3	N	 	 	N	 	 	 	 	 	 
11014	4	N	 	 	N	 	 	 	 	 	 
11014	5	N	 	 	N	 	 	 	 	 	 
11015	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
11015	2	N	 	 	N	 	 	 	 	 	 
11015	3	N	 	 	N	 	 	 	 	 	 
11015	4	N	 	 	N	 	 	 	 	 	 
11015	5	N	 	 	N	 	 	 	 	 	 
11016	1	N	 	 	N	 	 	 	 	 	 
11016	2	N	 	 	N	 	 	 	 	 	 
11016	3	N	 	 	N	 	 	 	 	 	 
11016	4	N	 	 	N	 	 	 	 	 	 
11016	5	N	 	 	N	 	 	 	 	 	 
11018	1	Y	.0399999991059303	1	N	 	 	 	 	 	 
11018	2	N	 	 	N	 	 	 	 	 	 
11018	3	N	 	 	N	 	 	 	 	 	 
11018	4	N	 	 	N	 	 	 	 	 	 
11018	5	N	 	 	N	 	 	 	 	 	 
11019	1	N	 	 	N	 	 	 	 	 	 
11019	2	N	 	 	N	 	 	 	 	 	 
11019	3	N	 	 	N	 	 	 	 	 	 
11019	4	N	 	 	N	 	 	 	 	 	 
11019	5	N	 	 	N	 	 	 	 	 	 
11021	1	Y	.0399999991059303	1	N	 	 	 	 	 	 
11021	2	N	 	 	N	 	 	 	 	 	 
11021	3	N	 	 	N	 	 	 	 	 	 
11021	4	N	 	 	N	 	 	 	 	 	 
11021	5	N	 	 	N	 	 	 	 	 	 
11022	1	Y	.0500000007450581	1	Y	0	 	2	10	10	5
11022	2	N	 	 	N	 	 	 	 	 	 
11022	3	N	 	 	N	 	 	 	 	 	 
11022	4	N	 	 	N	 	 	 	 	 	 
11022	5	N	 	 	N	 	 	 	 	 	 
11023	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11023	2	N	 	 	N	 	 	 	 	 	 
11023	3	N	 	 	N	 	 	 	 	 	 
11023	4	N	 	 	N	 	 	 	 	 	 
11023	5	N	 	 	N	 	 	 	 	 	 
11024	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
11024	2	N	 	 	N	 	 	 	 	 	 
11024	3	N	 	 	N	 	 	 	 	 	 
11024	4	N	 	 	N	 	 	 	 	 	 
11024	5	N	 	 	N	 	 	 	 	 	 
11025	1	N	 	 	N	 	 	 	 	 	 
11025	2	N	 	 	N	 	 	 	 	 	 
11025	3	N	 	 	N	 	 	 	 	 	 
11025	4	N	 	 	N	 	 	 	 	 	 
11025	5	N	 	 	N	 	 	 	 	 	 
11026	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11026	2	N	 	 	N	 	 	 	 	 	 
11026	3	N	 	 	N	 	 	 	 	 	 
11026	4	N	 	 	N	 	 	 	 	 	 
11026	5	N	 	 	N	 	 	 	 	 	 
11027	1	Y	.0399999991059303	1	N	 	 	 	 	 	 
11027	2	N	 	 	N	 	 	 	 	 	 
11027	3	N	 	 	N	 	 	 	 	 	 
11027	4	N	 	 	N	 	 	 	 	 	 
11027	5	N	 	 	N	 	 	 	 	 	 
11029	1	N	 	 	N	 	 	 	 	 	 
11029	2	N	 	 	N	 	 	 	 	 	 
11029	3	N	 	 	N	 	 	 	 	 	 
11029	4	N	 	 	N	 	 	 	 	 	 
11029	5	N	 	 	N	 	 	 	 	 	 
11030	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
11030	2	N	 	 	N	 	 	 	 	 	 
11030	3	N	 	 	N	 	 	 	 	 	 
11030	4	N	 	 	N	 	 	 	 	 	 
11030	5	N	 	 	N	 	 	 	 	 	 
11031	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11031	2	N	 	 	N	 	 	 	 	 	 
11031	3	N	 	 	N	 	 	 	 	 	 
11031	4	N	 	 	N	 	 	 	 	 	 
11031	5	N	 	 	N	 	 	 	 	 	 
11032	1	N	 	 	N	 	 	 	 	 	 
11032	2	N	 	 	N	 	 	 	 	 	 
11032	3	N	 	 	N	 	 	 	 	 	 
11032	4	N	 	 	N	 	 	 	 	 	 
11032	5	N	 	 	N	 	 	 	 	 	 
11034	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
11034	2	N	 	 	N	 	 	 	 	 	 
11034	3	N	 	 	N	 	 	 	 	 	 
11034	4	N	 	 	N	 	 	 	 	 	 
11034	5	N	 	 	N	 	 	 	 	 	 
11035	1	Y	.0199999995529652	3	N	 	 	 	 	 	 
11035	2	N	 	 	N	 	 	 	 	 	 
11035	3	N	 	 	N	 	 	 	 	 	 
11035	4	N	 	 	N	 	 	 	 	 	 
11035	5	N	 	 	N	 	 	 	 	 	 
11036	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
11036	2	N	 	 	N	 	 	 	 	 	 
11036	3	N	 	 	N	 	 	 	 	 	 
11036	4	N	 	 	N	 	 	 	 	 	 
11036	5	N	 	 	N	 	 	 	 	 	 
11037	1	Y	.0399999991059303	3	N	 	 	 	 	 	 
11037	2	N	 	 	N	 	 	 	 	 	 
11037	3	N	 	 	N	 	 	 	 	 	 
11037	4	N	 	 	N	 	 	 	 	 	 
11037	5	N	 	 	N	 	 	 	 	 	 
11038	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11038	2	N	 	 	N	 	 	 	 	 	 
11038	3	N	 	 	N	 	 	 	 	 	 
11038	4	N	 	 	N	 	 	 	 	 	 
11038	5	N	 	 	N	 	 	 	 	 	 
11039	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11039	2	N	 	 	N	 	 	 	 	 	 
11039	3	N	 	 	N	 	 	 	 	 	 
11039	4	N	 	 	N	 	 	 	 	 	 
11039	5	N	 	 	N	 	 	 	 	 	 
11040	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
11040	2	N	 	 	N	 	 	 	 	 	 
11040	3	N	 	 	N	 	 	 	 	 	 
11040	4	N	 	 	N	 	 	 	 	 	 
11040	5	N	 	 	N	 	 	 	 	 	 
11041	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
11041	2	N	 	 	N	 	 	 	 	 	 
11041	3	N	 	 	N	 	 	 	 	 	 
11041	4	N	 	 	N	 	 	 	 	 	 
11041	5	N	 	 	N	 	 	 	 	 	 
11042	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11042	2	N	 	 	N	 	 	 	 	 	 
11042	3	N	 	 	N	 	 	 	 	 	 
11042	4	N	 	 	N	 	 	 	 	 	 
11042	5	N	 	 	N	 	 	 	 	 	 
11043	1	Y	.0599999986588955	1	Y	0	 	40	14	5	3
11043	2	N	 	 	N	 	 	 	 	 	 
11043	3	N	 	 	N	 	 	 	 	 	 
11043	4	N	 	 	N	 	 	 	 	 	 
11043	5	N	 	 	N	 	 	 	 	 	 
11044	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
11044	2	N	 	 	N	 	 	 	 	 	 
11044	3	N	 	 	N	 	 	 	 	 	 
11044	4	N	 	 	N	 	 	 	 	 	 
11044	5	N	 	 	N	 	 	 	 	 	 
11045	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
11045	2	N	 	 	N	 	 	 	 	 	 
11045	3	N	 	 	N	 	 	 	 	 	 
11045	4	N	 	 	N	 	 	 	 	 	 
11045	5	N	 	 	N	 	 	 	 	 	 
11046	1	N	 	 	N	 	 	 	 	 	 
11046	2	N	 	 	N	 	 	 	 	 	 
11046	3	N	 	 	N	 	 	 	 	 	 
11046	4	N	 	 	N	 	 	 	 	 	 
11046	5	N	 	 	N	 	 	 	 	 	 
11047	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
11047	2	N	 	 	N	 	 	 	 	 	 
11047	3	N	 	 	N	 	 	 	 	 	 
11047	4	N	 	 	N	 	 	 	 	 	 
11047	5	N	 	 	N	 	 	 	 	 	 
11048	1	Y	.560000002384186	2	Y	0	 	.5	5	5	4
11048	2	N	 	 	N	 	 	 	 	 	 
11048	3	N	 	 	Y	0	 	1	5	5	4
11048	4	N	 	 	N	 	 	 	 	 	 
11048	5	N	 	 	N	 	 	 	 	 	 
11049	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
11049	2	Y	.00999999977648258	1	N	 	 	 	 	 	 
11049	3	N	 	 	N	 	 	 	 	 	 
11049	4	N	 	 	N	 	 	 	 	 	 
11049	5	N	 	 	N	 	 	 	 	 	 
11050	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
11050	2	N	 	 	N	 	 	 	 	 	 
11050	3	N	 	 	N	 	 	 	 	 	 
11050	4	N	 	 	N	 	 	 	 	 	 
11050	5	N	 	 	N	 	 	 	 	 	 
21001	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
21001	2	N	 	 	N	 	 	 	 	 	 
21001	3	N	 	 	N	 	 	 	 	 	 
21001	4	N	 	 	N	 	 	 	 	 	 
21001	5	N	 	 	N	 	 	 	 	 	 
21002	1	Y	.0199999995529652	1	Y	0	 	4	5	5	5
21002	2	N	 	 	N	 	 	 	 	 	 
21002	3	N	 	 	N	 	 	 	 	 	 
21002	4	N	 	 	N	 	 	 	 	 	 
21002	5	N	 	 	N	 	 	 	 	 	 
21003	1	Y	.0299999993294477	1	Y	0	 	1	5	11	5
21003	2	N	 	 	N	 	 	 	 	 	 
21003	3	N	 	 	N	 	 	 	 	 	 
21003	4	N	 	 	N	 	 	 	 	 	 
21003	5	N	 	 	N	 	 	 	 	 	 
21004	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21004	2	N	 	 	N	 	 	 	 	 	 
21004	3	N	 	 	N	 	 	 	 	 	 
21004	4	N	 	 	N	 	 	 	 	 	 
21004	5	N	 	 	Y	0	 	1	5	11	5
21005	1	Y	.0599999986588955	1	Y	0	 	2.5	5	5	5
21005	2	N	 	 	Y	0	 	.5	5	11	5
21005	3	N	 	 	N	 	 	 	 	 	 
21005	4	N	 	 	N	 	 	 	 	 	 
21005	5	N	 	 	N	 	 	 	 	 	 
21006	1	Y	.0500000007450581	1	Y	0	 	5	5	5	5
21006	2	N	 	 	N	 	 	 	 	 	 
21006	3	N	 	 	N	 	 	 	 	 	 
21006	4	N	 	 	N	 	 	 	 	 	 
21006	5	N	 	 	N	 	 	 	 	 	 
21007	1	Y	.0299999993294477	1	Y	0	 	3	5	11	5
21007	2	N	 	 	N	 	 	 	 	 	 
21007	3	N	 	 	N	 	 	 	 	 	 
21007	4	N	 	 	N	 	 	 	 	 	 
21007	5	N	 	 	N	 	 	 	 	 	 
21008	1	Y	.0599999986588955	1	Y	0	 	2	11	11	5
21008	2	N	 	 	N	 	 	 	 	 	 
21008	3	N	 	 	N	 	 	 	 	 	 
21008	4	N	 	 	N	 	 	 	 	 	 
21008	5	N	 	 	N	 	 	 	 	 	 
21009	1	Y	.0500000007450581	1	Y	0	 	8	5	11	5
21009	2	N	 	 	N	 	 	 	 	 	 
21009	3	N	 	 	N	 	 	 	 	 	 
21009	4	N	 	 	N	 	 	 	 	 	 
21009	5	N	 	 	N	 	 	 	 	 	 
21010	1	Y	.0399999991059303	1	N	 	 	 	 	 	 
21010	2	N	 	 	N	 	 	 	 	 	 
21010	3	N	 	 	N	 	 	 	 	 	 
21010	4	N	 	 	N	 	 	 	 	 	 
21010	5	N	 	 	N	 	 	 	 	 	 
21011	1	Y	.0399999991059303	1	N	 	 	 	 	 	 
21011	2	N	 	 	N	 	 	 	 	 	 
21011	3	N	 	 	N	 	 	 	 	 	 
21011	4	N	 	 	N	 	 	 	 	 	 
21011	5	N	 	 	N	 	 	 	 	 	 
21012	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
21012	2	N	 	 	N	 	 	 	 	 	 
21012	3	N	 	 	N	 	 	 	 	 	 
21012	4	N	 	 	N	 	 	 	 	 	 
21012	5	N	 	 	N	 	 	 	 	 	 
21013	1	Y	.0299999993294477	2	Y	0	 	1.5	5	11	5
21013	2	N	 	 	N	 	 	 	 	 	 
21013	3	N	 	 	Y	0	 	1	5	11	5
21013	4	N	 	 	N	 	 	 	 	 	 
21013	5	N	 	 	N	 	 	 	 	 	 
21014	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21014	2	N	 	 	N	 	 	 	 	 	 
21014	3	N	 	 	N	 	 	 	 	 	 
21014	4	N	 	 	N	 	 	 	 	 	 
21014	5	N	 	 	N	 	 	 	 	 	 
21015	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21015	2	N	 	 	N	 	 	 	 	 	 
21015	3	N	 	 	N	 	 	 	 	 	 
21015	4	N	 	 	N	 	 	 	 	 	 
21015	5	N	 	 	N	 	 	 	 	 	 
21016	1	Y	.0399999991059303	1	Y	0	 	2	5	11	5
21016	2	N	 	 	N	 	 	 	 	 	 
21016	3	N	 	 	N	 	 	 	 	 	 
21016	4	N	 	 	N	 	 	 	 	 	 
21016	5	N	 	 	N	 	 	 	 	 	 
21017	1	Y	.0500000007450581	1	Y	0	 	1	5	11	5
21017	2	N	 	 	N	 	 	 	 	 	 
21017	3	N	 	 	Y	0	 	3	5	5	3
21017	4	N	 	 	N	 	 	 	 	 	 
21017	5	N	 	 	N	 	 	 	 	 	 
21018	1	Y	.0599999986588955	1	Y	0	 	8	5	5	4
21018	2	N	 	 	N	 	 	 	 	 	 
21018	3	N	 	 	N	 	 	 	 	 	 
21018	4	N	 	 	N	 	 	 	 	 	 
21018	5	N	 	 	N	 	 	 	 	 	 
21019	1	Y	.300000011920929	1	N	 	 	 	 	 	 
21019	2	N	 	 	N	 	 	 	 	 	 
21019	3	N	 	 	N	 	 	 	 	 	 
21019	4	N	 	 	N	 	 	 	 	 	 
21019	5	N	 	 	N	 	 	 	 	 	 
21020	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
21020	2	N	 	 	N	 	 	 	 	 	 
21020	3	N	 	 	Y	0	 	3	11	11	1
21020	4	N	 	 	N	 	 	 	 	 	 
21020	5	N	 	 	N	 	 	 	 	 	 
21021	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21021	2	N	 	 	N	 	 	 	 	 	 
21021	3	N	 	 	N	 	 	 	 	 	 
21021	4	N	 	 	N	 	 	 	 	 	 
21021	5	N	 	 	N	 	 	 	 	 	 
21022	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
21022	2	N	 	 	N	 	 	 	 	 	 
21022	3	N	 	 	N	 	 	 	 	 	 
21022	4	N	 	 	N	 	 	 	 	 	 
21022	5	N	 	 	N	 	 	 	 	 	 
21023	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21023	2	N	 	 	N	 	 	 	 	 	 
21023	3	N	 	 	N	 	 	 	 	 	 
21023	4	N	 	 	N	 	 	 	 	 	 
21023	5	N	 	 	N	 	 	 	 	 	 
21024	1	N	 	 	N	 	 	 	 	 	 
21024	2	Y	.0500000007450581	1	N	 	 	 	 	 	 
21024	3	N	 	 	N	 	 	 	 	 	 
21024	4	N	 	 	N	 	 	 	 	 	 
21024	5	N	 	 	N	 	 	 	 	 	 
21025	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
21025	2	N	 	 	N	 	 	 	 	 	 
21025	3	N	 	 	Y	0	 	2	5	5	4
21025	4	N	 	 	N	 	 	 	 	 	 
21025	5	N	 	 	N	 	 	 	 	 	 
21026	1	Y	.0500000007450581	1	Y	0	 	3	5	11	5
21026	2	N	 	 	N	 	 	 	 	 	 
21026	3	N	 	 	N	 	 	 	 	 	 
21026	4	N	 	 	N	 	 	 	 	 	 
21026	5	N	 	 	N	 	 	 	 	 	 
21027	1	Y	.0299999993294477	1	Y	0	 	5	5	11	1
21027	2	N	 	 	N	 	 	 	 	 	 
21027	3	N	 	 	N	 	 	 	 	 	 
21027	4	N	 	 	N	 	 	 	 	 	 
21027	5	N	 	 	N	 	 	 	 	 	 
21028	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21028	2	N	 	 	N	 	 	 	 	 	 
21028	3	N	 	 	N	 	 	 	 	 	 
21028	4	N	 	 	N	 	 	 	 	 	 
21028	5	N	 	 	N	 	 	 	 	 	 
21029	1	Y	.0199999995529652	1	Y	0	 	.5	5	11	5
21029	2	N	 	 	N	 	 	 	 	 	 
21029	3	N	 	 	N	 	 	 	 	 	 
21029	4	N	 	 	N	 	 	 	 	 	 
21029	5	N	 	 	N	 	 	 	 	 	 
21030	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21030	2	N	 	 	N	 	 	 	 	 	 
21030	3	N	 	 	N	 	 	 	 	 	 
21030	4	N	 	 	N	 	 	 	 	 	 
21030	5	N	 	 	N	 	 	 	 	 	 
21031	1	Y	.100000001490116	1	Y	0	 	6	5	5	1
21031	2	N	 	 	N	 	 	 	 	 	 
21031	3	N	 	 	Y	0	 	5	5	11	5
21031	4	N	 	 	N	 	 	 	 	 	 
21031	5	N	 	 	N	 	 	 	 	 	 
21032	1	Y	.0500000007450581	1	Y	0	 	6	5	11	5
21032	2	N	 	 	N	 	 	 	 	 	 
21032	3	N	 	 	N	 	 	 	 	 	 
21032	4	N	 	 	N	 	 	 	 	 	 
21032	5	N	 	 	N	 	 	 	 	 	 
21033	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
21033	2	N	 	 	N	 	 	 	 	 	 
21033	3	N	 	 	N	 	 	 	 	 	 
21033	4	N	 	 	N	 	 	 	 	 	 
21033	5	N	 	 	N	 	 	 	 	 	 
21034	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
21034	2	N	 	 	N	 	 	 	 	 	 
21034	3	N	 	 	N	 	 	 	 	 	 
21034	4	N	 	 	N	 	 	 	 	 	 
21034	5	N	 	 	N	 	 	 	 	 	 
21035	1	Y	.200000002980232	1	Y	0	 	4	5	11	5
21035	2	N	 	 	N	 	 	 	 	 	 
21035	3	N	 	 	N	 	 	 	 	 	 
21035	4	N	 	 	N	 	 	 	 	 	 
21035	5	N	 	 	N	 	 	 	 	 	 
21036	1	Y	.0299999993294477	1	Y	0	 	1	5	11	5
21036	2	N	 	 	N	 	 	 	 	 	 
21036	3	N	 	 	N	 	 	 	 	 	 
21036	4	N	 	 	N	 	 	 	 	 	 
21036	5	N	 	 	N	 	 	 	 	 	 
21037	1	Y	.0500000007450581	1	Y	0	 	3	11	11	5
21037	2	N	 	 	N	 	 	 	 	 	 
21037	3	N	 	 	N	 	 	 	 	 	 
21037	4	N	 	 	N	 	 	 	 	 	 
21037	5	N	 	 	N	 	 	 	 	 	 
21038	1	Y	.0500000007450581	1	Y	0	 	.5	5	11	5
21038	2	N	 	 	N	 	 	 	 	 	 
21038	3	N	 	 	N	 	 	 	 	 	 
21038	4	N	 	 	N	 	 	 	 	 	 
21038	5	N	 	 	N	 	 	 	 	 	 
21039	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
21039	2	N	 	 	N	 	 	 	 	 	 
21039	3	N	 	 	N	 	 	 	 	 	 
21039	4	N	 	 	N	 	 	 	 	 	 
21039	5	N	 	 	N	 	 	 	 	 	 
21040	1	Y	.0599999986588955	1	Y	0	 	2	5	5	1
21040	2	N	 	 	N	 	 	 	 	 	 
21040	3	N	 	 	N	 	 	 	 	 	 
21040	4	N	 	 	N	 	 	 	 	 	 
21040	5	N	 	 	N	 	 	 	 	 	 
21042	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21042	2	N	 	 	N	 	 	 	 	 	 
21042	3	N	 	 	N	 	 	 	 	 	 
21042	4	N	 	 	N	 	 	 	 	 	 
21042	5	N	 	 	N	 	 	 	 	 	 
21043	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21043	2	N	 	 	N	 	 	 	 	 	 
21043	3	N	 	 	N	 	 	 	 	 	 
21043	4	N	 	 	N	 	 	 	 	 	 
21043	5	N	 	 	N	 	 	 	 	 	 
21044	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21044	2	N	 	 	N	 	 	 	 	 	 
21044	3	N	 	 	N	 	 	 	 	 	 
21044	4	N	 	 	N	 	 	 	 	 	 
21044	5	N	 	 	N	 	 	 	 	 	 
21045	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
21045	2	N	 	 	N	 	 	 	 	 	 
21045	3	N	 	 	N	 	 	 	 	 	 
21045	4	N	 	 	N	 	 	 	 	 	 
21045	5	N	 	 	N	 	 	 	 	 	 
21046	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
21046	2	N	 	 	N	 	 	 	 	 	 
21046	3	N	 	 	N	 	 	 	 	 	 
21046	4	N	 	 	N	 	 	 	 	 	 
21046	5	N	 	 	N	 	 	 	 	 	 
21047	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
21047	2	N	 	 	N	 	 	 	 	 	 
21047	3	N	 	 	N	 	 	 	 	 	 
21047	4	N	 	 	N	 	 	 	 	 	 
21047	5	N	 	 	N	 	 	 	 	 	 
21048	1	N	 	 	N	 	 	 	 	 	 
21048	2	N	 	 	N	 	 	 	 	 	 
21048	3	N	 	 	N	 	 	 	 	 	 
21048	4	N	 	 	N	 	 	 	 	 	 
21048	5	N	 	 	N	 	 	 	 	 	 
21049	1	Y	.0500000007450581	1	N	 	 	 	 	 	 
21049	2	N	 	 	N	 	 	 	 	 	 
21049	3	N	 	 	N	 	 	 	 	 	 
21049	4	N	 	 	N	 	 	 	 	 	 
21049	5	N	 	 	N	 	 	 	 	 	 
21050	1	Y	.0299999993294477	1	N	 	 	 	 	 	 
21050	2	N	 	 	N	 	 	 	 	 	 
21050	3	N	 	 	N	 	 	 	 	 	 
21050	4	N	 	 	N	 	 	 	 	 	 
21050	5	N	 	 	N	 	 	 	 	 	 
31002	1	Y	.0399999991059303	1	N	 	 	 	 	 	 
31002	2	N	 	 	N	 	 	 	 	 	 
31002	3	N	 	 	N	 	 	 	 	 	 
31002	4	N	 	 	N	 	 	 	 	 	 
31002	5	N	 	 	N	 	 	 	 	 	 
31004	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
31004	2	N	 	 	N	 	 	 	 	 	 
31004	3	N	 	 	N	 	 	 	 	 	 
31004	4	N	 	 	N	 	 	 	 	 	 
31004	5	N	 	 	N	 	 	 	 	 	 
31005	1	N	 	 	N	 	 	 	 	 	 
31005	2	N	 	 	N	 	 	 	 	 	 
31005	3	N	 	 	N	 	 	 	 	 	 
31005	4	N	 	 	N	 	 	 	 	 	 
31005	5	N	 	 	N	 	 	 	 	 	 
31006	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
31006	2	N	 	 	N	 	 	 	 	 	 
31006	3	N	 	 	N	 	 	 	 	 	 
31006	4	N	 	 	N	 	 	 	 	 	 
31006	5	N	 	 	N	 	 	 	 	 	 
31007	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
31007	2	N	 	 	N	 	 	 	 	 	 
31007	3	N	 	 	N	 	 	 	 	 	 
31007	4	N	 	 	N	 	 	 	 	 	 
31007	5	N	 	 	N	 	 	 	 	 	 
31009	1	N	 	 	N	 	 	 	 	 	 
31009	2	Y	.0199999995529652	1	N	 	 	 	 	 	 
31009	3	N	 	 	N	 	 	 	 	 	 
31009	4	N	 	 	N	 	 	 	 	 	 
31009	5	N	 	 	N	 	 	 	 	 	 
31010	1	Y	.0199999995529652	1	N	 	 	 	 	 	 
31010	2	N	 	 	N	 	 	 	 	 	 
31010	3	N	 	 	N	 	 	 	 	 	 
31010	4	N	 	 	N	 	 	 	 	 	 
31010	5	N	 	 	N	 	 	 	 	 	 
31011	1	Y	.0399999991059303	1	N	 	 	 	 	 	 
31011	2	N	 	 	N	 	 	 	 	 	 
31011	3	N	 	 	N	 	 	 	 	 	 
31011	4	N	 	 	N	 	 	 	 	 	 
31011	5	N	 	 	N	 	 	 	 	 	 
31012	1	Y	.00999999977648258	1	N	 	 	 	 	 	 
31012	2	N	 	 	N	 	 	 	 	 	 
31012	3	N	 	 	N	 	 	 	 	 	 
31012	4	N	 	 	N	 	 	 	 	 	 
31012	5	N	 	 	N	 	 	 	 	 	 
31013	1	Y	.0599999986588955	1	Y	0	 	1	10	10	1
31013	2	N	 	 	N	 	 	 	 	 	 
31013	3	N	 	 	N	 	 	 	 	 	 
31013	4	N	 	 	N	 	 	 	 	 	 
