CHILDID	PLOT	ACRES	LOWN	LUSE	larea
IN041039	1	2	4	1	8100
IN041044	1	1.5	4	6	6075
IN041045	1	1	4	1	4050
IN041045	2	.25	4	1	1012.5
IN041045	3	.25	4	1	1012.5
IN041046	1	1	4	8	4050
IN041046	2	.200000002980232	4	1	810.000012069941
IN041047	1	1.5	4	8	6075
IN041048	1	1	4	1	4050
IN041050	1	1	4	1	4050
IN051001	1	.5	4	1	2025
IN051001	2	.400000005960464	4	1	1620.00002413988
IN051001	3	.25	4	1	1012.5
IN051003	1	.5	4	1	2025
IN051004	1	.5	4	7	2025
IN051005	1	.5	2	1	2025
IN051008	1	.5	4	1	2025
IN051008	2	.5	4	1	2025
IN051009	1	1	4	3	4050
IN051009	2	1	4	1	4050
IN051009	3	1	4	1	4050
IN051009	4	1	3	3	4050
IN051009	5	1	3	1	4050
IN051009	9	1	3	1	4050
IN051010	1	.600000023841858	4	1	2430.00009655952
IN051010	2	.5	4	1	2025
IN051012	1	1	4	1	4050
IN051012	2	1	4	1	4050
IN051013	1	1	4	1	4050
IN051013	2	.5	4	1	2025
IN051014	1	.25	4	8	1012.5
IN051014	2	.150000005960464	4	8	607.500024139881
IN051014	3	.0500000007450581	4	8	202.500003017485
IN051014	4	.0500000007450581	4	8	202.500003017485
IN051016	1	1	4	1	4050
IN051016	2	1	4	1	4050
IN051016	3	.0399999991059303	4	4	161.999996379018
IN051018	1	.800000011920929	4	3	3240.00004827976
IN051018	2	.300000011920929	4	1	1215.00004827976
IN051018	3	.300000011920929	4	1	1215.00004827976
IN051018	4	.200000002980232	4	1	810.000012069941
IN051018	5	.200000002980232	4	1	810.000012069941
IN051020	1	5	4	1	20250
IN051020	2	.300000011920929	4	1	1215.00004827976
IN051022	1	.5	4	1	2025
IN051022	2	.5	4	1	2025
IN051023	1	.25	99	6	1012.5
IN051029	1	1	4	1	4050
IN051030	1	1	4	1	4050
IN051030	2	1	4	1	4050
IN051031	1	1	4	1	4050
IN051031	2	.600000023841858	4	1	2430.00009655952
IN051031	3	.400000005960464	4	1	1620.00002413988
IN051032	1	.800000011920929	4	1	3240.00004827976
IN051036	1	.300000011920929	4	1	1215.00004827976
IN051037	1	.300000011920929	4	1	1215.00004827976
IN051037	2	.150000005960464	4	1	607.500024139881
IN051037	3	.0500000007450581	4	1	202.500003017485
IN051039	1	2	3	1	8100
IN051039	2	.5	1	1	2025
IN051040	1	1.5	3	1	6075
IN051046	1	.5	4	1	2025
IN051046	2	.5	4	1	2025
IN051046	3	.300000011920929	4	1	1215.00004827976
IN051047	1	1	4	1	4050
IN051048	1	1	4	1	4050
IN051049	1	7	4	1	28350
IN051049	2	5	4	1	20250
IN051049	3	4	4	1	16200
IN051049	4	4	4	3	16200
IN061001	1	5	4	1	20250
IN061001	2	4	4	1	16200
IN061002	1	3	4	1	12150
IN061003	1	2	4	1	8100
IN061004	1	.150000005960464	4	1	607.500024139881
IN061004	2	.100000001490116	4	1	405.00000603497
IN061004	3	.100000001490116	4	1	405.00000603497
IN061005	1	.150000005960464	4	1	607.500024139881
IN061005	2	.100000001490116	4	1	405.00000603497
IN061005	3	.0500000007450581	4	1	202.500003017485
IN061006	1	3	4	1	12150
IN061006	2	1	4	1	4050
IN061006	3	.600000023841858	4	1	2430.00009655952
IN061006	4	.5	4	1	2025
IN061006	5	.5	4	1	2025
IN061006	6	.400000005960464	4	1	1620.00002413988
IN061007	1	.600000023841858	4	7	2430.00009655952
IN061008	1	.600000023841858	4	1	2430.00009655952
IN061010	1	.400000005960464	4	1	1620.00002413988
IN061010	2	.400000005960464	4	1	1620.00002413988
IN061010	3	.200000002980232	4	1	810.000012069941
IN061012	1	.300000011920929	4	1	1215.00004827976
IN061012	2	.28999999165535	4	1	1174.49996620417
IN061013	1	.100000001490116	4	1	405.00000603497
IN061014	1	3	4	1	12150
IN061015	1	.800000011920929	4	1	3240.00004827976
IN061015	2	.600000023841858	4	1	2430.00009655952
IN061015	3	.300000011920929	4	1	1215.00004827976
IN061015	4	.300000011920929	4	1	1215.00004827976
IN061015	5	.200000002980232	4	1	810.000012069941
IN061016	1	6	4	1	24300
IN061016	2	1	4	1	4050
IN061017	1	1	4	1	4050
IN061019	1	4	4	1	16200
IN061021	1	.300000011920929	4	1	1215.00004827976
IN061029	1	1	2	1	4050
IN061029	2	.5	4	1	2025
IN061030	1	3	4	1	12150
IN061031	1	1	4	1	4050
IN061031	2	1	4	1	4050
IN061032	1	.5	4	1	2025
IN061032	2	.400000005960464	4	1	1620.00002413988
IN061032	3	.400000005960464	4	1	1620.00002413988
IN061032	4	.200000002980232	4	7	810.000012069941
IN061032	5	.100000001490116	4	1	405.00000603497
IN061033	1	.300000011920929	4	1	1215.00004827976
IN061033	2	.200000002980232	4	1	810.000012069941
IN061033	3	.150000005960464	4	1	607.500024139881
IN061033	4	.100000001490116	4	1	405.00000603497
IN061033	5	.100000001490116	4	1	405.00000603497
IN061033	6	.100000001490116	4	7	405.00000603497
IN061035	1	3	4	1	12150
IN061035	2	5	4	3	20250
IN061040	1	.200000002980232	4	7	810.000012069941
IN061041	1	3	4	1	12150
IN061041	2	1	4	7	4050
IN061043	1	1	4	1	4050
IN061044	1	1	4	1	4050
IN061044	2	1	4	1	4050
IN061045	1	.400000005960464	4	1	1620.00002413988
IN061046	1	.100000001490116	4	1	405.00000603497
IN061050	1	2	4	1	8100
IN071001	1	1	4	1	4050
IN071002	1	1	4	1	4050
IN071005	1	1	4	1	4050
IN071005	2	1	4	1	4050
IN071006	1	1.20000004768372	4	3	4860.00019311905
IN071006	2	.600000023841858	4	3	2430.00009655952
IN071006	3	6	4	1	24300
IN071006	4	.150000005960464	4	1	607.500024139881
IN071006	5	.0599999986588955	4	1	242.999994568527
IN071008	1	.699999988079071	4	1	2834.99995172024
IN071010	1	1	4	1	4050
IN071010	2	.400000005960464	4	1	1620.00002413988
IN071010	3	.800000011920929	4	1	3240.00004827976
IN071010	4	.300000011920929	4	8	1215.00004827976
IN071010	5	.300000011920929	4	8	1215.00004827976
IN071010	6	2.5	3	4	10125
IN071011	1	.400000005960464	4	1	1620.00002413988
IN071011	2	.150000005960464	4	1	607.500024139881
IN071011	3	.0500000007450581	4	8	202.500003017485
IN071012	1	.5	4	1	2025
IN071012	2	.5	4	8	2025
IN071013	1	.0299999993294477	4	1	121.499997284263
IN071013	2	.0299999993294477	4	1	121.499997284263
IN071013	3	.0599999986588955	4	1	242.999994568527
IN071013	4	.0299999993294477	4	8	121.499997284263
IN071013	5	.200000002980232	4	8	810.000012069941
IN071013	6	.100000001490116	4	8	405.00000603497
IN071013	7	.200000002980232	4	8	810.000012069941
IN071014	1	.100000001490116	4	1	405.00000603497
IN071014	2	.0500000007450581	4	1	202.500003017485
IN071014	3	.0299999993294477	4	1	121.499997284263
IN071014	4	.0199999995529652	4	8	80.9999981895089
IN071014	5	.0599999986588955	4	8	242.999994568527
IN071014	6	.0700000002980232	4	8	283.500001206994
IN071014	7	.100000001490116	3	8	405.00000603497
IN071015	1	1	4	1	4050
IN071015	2	1	4	1	4050
IN071016	1	.899999976158142	4	1	3644.99990344048
IN071016	2	.5	4	1	2025
IN071016	3	.300000011920929	4	1	1215.00004827976
IN071016	4	.200000002980232	4	1	810.000012069941
IN071018	1	.300000011920929	4	7	1215.00004827976
IN071018	2	.200000002980232	4	7	810.000012069941
IN071018	3	.0900000035762787	4	7	364.500014483929
IN071020	1	.5	4	1	2025
IN071025	1	.170000001788139	4	1	688.500007241964
IN071025	2	.150000005960464	4	1	607.500024139881
IN071025	3	.100000001490116	4	1	405.00000603497
IN071025	4	.0799999982118607	4	1	323.999992758036
IN071026	1	.300000011920929	4	1	1215.00004827976
IN071027	1	.5	4	1	2025
IN071027	2	.400000005960464	4	1	1620.00002413988
IN071027	3	.400000005960464	4	1	1620.00002413988
IN071027	4	.300000011920929	4	1	1215.00004827976
IN071027	5	.200000002980232	4	1	810.000012069941
IN071027	6	.100000001490116	4	1	405.00000603497
IN071029	1	.600000023841858	4	1	2430.00009655952
IN071031	1	.600000023841858	4	1	2430.00009655952
IN071031	2	.400000005960464	4	1	1620.00002413988
IN071031	3	.349999994039536	4	1	1417.49997586012
IN071031	4	.300000011920929	4	1	1215.00004827976
IN071031	5	.25	4	1	1012.5
IN071031	6	.200000002980232	4	1	810.000012069941
IN071031	7	.0500000007450581	4	7	202.500003017485
IN071032	1	.5	4	1	2025
IN071033	1	.699999988079071	4	1	2834.99995172024
IN071033	2	.5	4	1	2025
IN071033	3	.180000007152557	4	1	729.000028967857
IN071034	1	1	4	1	4050
IN071034	2	.5	4	1	2025
IN071034	3	.200000002980232	4	1	810.000012069941
IN071035	1	1	3	1	4050
IN071035	2	1	3	1	4050
IN071035	3	1	3	1	4050
IN071037	1	.300000011920929	4	1	1215.00004827976
IN071038	1	1	4	1	4050
IN071039	1	2	4	7	8100
IN071039	2	1	4	1	4050
IN071039	3	.800000011920929	4	3	3240.00004827976
IN071039	4	.600000023841858	4	1	2430.00009655952
IN071041	1	.400000005960464	4	1	1620.00002413988
IN071042	1	1.5	3	1	6075
IN071042	2	.5	3	1	2025
IN071042	3	.5	4	7	2025
IN071042	4	.400000005960464	4	1	1620.00002413988
IN071042	5	.200000002980232	4	1	810.000012069941
IN071044	1	1.20000004768372	4	1	4860.00019311905
IN071044	2	.819999992847443	4	1	3320.99997103214
IN071044	3	.720000028610229	4	1	2916.00011587143
IN071044	4	.699999988079071	4	1	2834.99995172024
IN071044	5	.699999988079071	4	1	2834.99995172024
IN071044	6	.5	4	1	2025
IN071044	7	.379999995231628	4	1	1538.9999806881
IN071044	8	.280000001192093	4	1	1134.00000482798
IN071044	9	.219999998807907	4	1	890.999995172024
IN071045	1	1	3	1	4050
IN071045	2	.5	3	1	2025
IN071045	3	.5	3	1	2025
IN071045	4	.400000005960464	3	1	1620.00002413988
IN071048	1	.400000005960464	4	1	1620.00002413988
IN071048	2	.400000005960464	4	1	1620.00002413988
IN071048	3	.200000002980232	4	1	810.000012069941
IN071049	1	.400000005960464	4	1	1620.00002413988
IN081002	1	.0199999995529652	4	8	80.9999981895089
IN081004	1	.25	4	1	1012.5
IN081006	1	.5	1	1	2025
IN081006	2	.200000002980232	4	8	810.000012069941
IN081008	1	.0199999995529652	4	4	80.9999981895089
IN081012	1	2	4	1	8100
IN081017	1	2	4	8	8100
IN081020	1	2	4	1	8100
IN081020	2	2	4	1	8100
IN081021	1	1	4	1	4050
IN081021	2	.00999999977648258	4	8	40.4999990947545
IN081023	1	2	4	1	8100
IN081024	1	4	4	1	16200
IN081025	1	2	4	3	8100
IN081025	2	1	4	1	4050
IN081026	1	2	4	1	8100
IN081027	1	3	4	1	12150
IN081027	2	2	4	4	8100
IN081027	3	.300000011920929	4	8	1215.00004827976
IN081031	1	2	4	1	8100
IN081032	1	1	4	1	4050
IN081034	1	2	4	1	8100
IN081036	1	3	4	1	12150
IN081036	2	2	4	1	8100
IN081038	1	3	4	1	12150
IN081038	2	2	4	1	8100
IN081038	3	1	4	1	4050
IN081039	1	1.5	4	1	6075
IN081039	2	.5	4	1	2025
IN081040	1	3	1	1	12150
IN081040	2	1.20000004768372	4	1	4860.00019311905
IN081040	3	.5	4	1	2025
IN081040	4	.0299999993294477	4	1	121.499997284263
IN081041	1	2	4	1	8100
IN081043	1	1.5	4	1	6075
IN081043	2	.0299999993294477	4	8	121.499997284263
IN081044	1	1	4	1	4050
IN081045	1	2	4	1	8100
IN081045	2	1.5	4	1	6075
IN081045	3	.100000001490116	4	8	405.00000603497
IN081047	1	1	4	1	4050
IN081047	2	.0399999991059303	4	8	161.999996379018
IN081049	1	3	4	1	12150
IN091001	1	.5	4	6	2025
IN091002	1	3	4	1	12150
IN091002	2	2	4	1	8100
IN091004	1	2	4	1	8100
IN091004	2	1	4	1	4050
IN091008	1	2	4	1	8100
IN091008	2	1.10000002384186	4	1	4455.00009655952
IN091010	1	4	4	1	16200
IN091013	1	.400000005960464	4	1	1620.00002413988
IN091013	2	.899999976158142	4	1	3644.99990344048
IN091014	1	.5	4	1	2025
IN091015	1	2	4	1	8100
IN091015	2	1.5	4	1	6075
IN091016	1	1	4	1	4050
IN091016	2	.400000005960464	4	1	1620.00002413988
IN091017	1	1	4	1	4050
IN091017	2	1	4	1	4050
IN091020	1	3	4	1	12150
IN091020	2	2	4	1	8100
IN091021	1	2	4	1	8100
IN091021	2	.5	4	1	2025
IN091023	1	2	4	1	8100
IN091024	1	2	4	1	8100
IN091025	1	2	4	1	8100
IN091026	1	3	4	7	12150
IN091028	1	4	4	1	16200
IN091030	1	5	4	1	20250
IN091031	1	3	4	1	12150
IN091031	2	2.5	4	1	10125
IN091033	1	4	4	1	16200
IN091036	1	1	4	1	4050
IN091038	1	1	4	1	4050
IN091038	2	1	4	3	4050
IN091039	1	2	1	1	8100
IN091040	1	.5	4	1	2025
IN091041	1	.5	4	1	2025
IN091042	1	2	4	1	8100
IN091043	1	.5	4	1	2025
IN091044	1	2	4	1	8100
IN091046	1	3	4	1	12150
IN091046	2	1	4	1	4050
IN091047	1	1	4	1	4050
IN101004	1	.0500000007450581	4	7	202.500003017485
IN101019	1	.00999999977648258	4	4	40.4999990947545
IN111001	1	5	4	1	20250
IN111002	1	1	4	1	4050
IN111003	1	10	1	1	40500
IN111003	2	2	4	1	8100
IN111004	1	4	4	1	16200
IN111005	1	2	4	1	8100
IN111006	1	3	4	1	12150
IN111008	1	8	1	1	32400
IN111008	2	2	1	1	8100
IN111009	1	4	1	1	16200
IN111009	2	3	4	1	12150
IN111009	3	.0500000007450581	4	8	202.500003017485
IN111010	1	6	4	1	24300
IN111010	2	.0399999991059303	4	8	161.999996379018
IN111011	1	15	1	1	60750
IN111011	2	4	4	1	16200
IN111011	3	.0299999993294477	4	8	121.499997284263
IN111012	1	1	4	1	4050
IN111013	1	6	4	1	24300
IN111014	1	6	4	1	24300
IN111014	2	.0599999986588955	4	8	242.999994568527
IN111016	1	1	1	1	4050
IN111017	1	2	4	1	8100
IN111018	1	11	4	1	44550
IN111018	2	10	1	1	40500
IN111018	3	7	4	1	28350
IN111018	4	.0799999982118607	4	8	323.999992758036
IN111019	1	8	3	1	32400
IN111019	2	6	4	1	24300
IN111020	1	1.5	4	7	6075
IN111021	1	1.5	4	1	6075
IN111021	2	.75	1	1	3037.5
IN111022	1	10	1	1	40500
IN111022	2	4	4	1	16200
IN111022	3	4	4	1	16200
IN111022	4	1	4	1	4050
IN111023	1	2	4	1	8100
IN111024	1	4	4	1	16200
IN111025	1	4	4	1	16200
IN111025	2	1	4	1	4050
IN111026	1	3	4	1	12150
IN111026	2	2	4	1	8100
IN111026	3	1.5	4	1	6075
IN111026	4	.0299999993294477	4	7	121.499997284263
IN111027	1	4	1	1	16200
IN111027	2	3	4	1	12150
IN111027	3	2	4	1	8100
IN111027	4	1.5	4	1	6075
IN111027	5	.0299999993294477	4	8	121.499997284263
IN111028	1	4	4	1	16200
IN111028	2	2	1	1	8100
IN111029	1	5	4	1	20250
IN111029	2	5	1	1	20250
IN111029	3	.0299999993294477	4	8	121.499997284263
IN111030	1	2	4	1	8100
IN111030	2	1	4	1	4050
IN111030	3	.0500000007450581	4	8	202.500003017485
IN111031	1	2	4	1	8100
IN111031	2	2	1	1	8100
IN111031	3	.100000001490116	4	8	405.00000603497
IN111032	1	2	4	1	8100
IN111032	2	2	1	1	8100
IN111032	3	.0399999991059303	4	8	161.999996379018
IN111033	1	5	4	1	20250
IN111033	2	1	3	1	4050
IN111033	3	.0299999993294477	4	7	121.499997284263
IN111034	1	5	4	6	20250
IN111034	2	.100000001490116	4	8	405.00000603497
IN111035	1	2	4	1	8100
IN111035	2	2	1	1	8100
IN111036	1	3	4	1	12150
IN111036	2	2	4	1	8100
IN111037	1	12	4	1	48600
IN111037	2	6	4	1	24300
IN111037	3	2	4	1	8100
IN111038	1	8	4	1	32400
IN111038	2	.0799999982118607	4	8	323.999992758036
IN111039	1	6	4	1	24300
IN111039	2	4	4	1	16200
IN111039	3	4	1	1	16200
IN111039	4	.0299999993294477	4	7	121.499997284263
IN111040	1	12	4	1	48600
IN111040	2	10	4	1	40500
IN111040	3	9	4	1	36450
IN111040	4	.280000001192093	4	8	1134.00000482798
IN111040	5	.0500000007450581	4	7	202.500003017485
IN111041	1	1.5	4	1	6075
IN111043	1	3	4	1	12150
IN111043	2	3	1	1	12150
IN111043	3	3	1	1	12150
IN111043	4	.0199999995529652	4	8	80.9999981895089
IN111046	1	5	4	1	20250
IN111046	2	5	3	1	20250
IN111047	1	4	4	1	16200
IN111047	2	3	4	1	12150
IN111048	1	10	4	1	40500
IN111048	2	10	4	1	40500
IN111048	3	6	4	1	24300
IN111048	4	.300000011920929	4	8	1215.00004827976
IN111050	1	5	4	1	20250
IN111050	2	1	4	1	4050
IN111050	3	.0500000007450581	4	8	202.500003017485
IN111051	1	1	4	1	4050
IN111052	1	5	4	6	20250
IN111052	2	.0500000007450581	4	8	202.500003017485
IN111053	1	1	4	1	4050
IN111053	2	10	4	1	40500
IN111053	3	1	4	8	4050
IN111054	1	2.5	4	1	10125
IN111055	1	2	4	7	8100
IN111057	1	3	4	1	12150
IN111057	2	.0399999991059303	4	8	161.999996379018
IN121002	1	4	1	1	16200
IN121002	2	2.5	4	1	10125
IN121002	3	.0199999995529652	4	8	80.9999981895089
IN121003	1	8	4	1	32400
IN121003	2	.0500000007450581	4	1	202.500003017485
IN121004	1	2.5	4	1	10125
IN121005	1	2	4	1	8100
IN121005	2	2	1	1	8100
IN121005	3	.5	1	1	2025
IN121005	4	.200000002980232	4	8	810.000012069941
IN121011	1	5	4	1	20250
IN121011	2	3	4	1	12150
IN121011	3	1	4	1	4050
IN121011	4	.100000001490116	4	8	405.00000603497
IN121012	1	2.5	4	1	10125
IN121012	2	2.5	4	1	10125
IN121014	1	3	4	1	12150
IN121015	1	2	1	1	8100
IN121015	2	1.5	4	1	6075
IN121015	3	.0299999993294477	4	8	121.499997284263
IN121023	1	3	4	1	12150
IN121024	1	.5	4	1	2025
IN121024	2	.5	4	1	2025
IN121026	1	.5	4	1	2025
IN121026	2	.25	4	1	1012.5
IN121026	3	.25	4	1	1012.5
IN121027	1	11	4	1	44550
IN121027	2	2	4	1	8100
IN121027	3	2	4	1	8100
IN121027	4	.100000001490116	4	8	405.00000603497
IN121028	1	6	4	1	24300
IN121028	2	6	1	1	24300
IN121028	3	.0399999991059303	4	8	161.999996379018
IN121030	1	1	4	1	4050
IN121033	1	.75	4	7	3037.5
IN121035	1	.449999988079071	3	1	1822.49995172024
IN121036	1	14	4	1	56700
IN121036	2	1	4	1	4050
IN121037	1	1	4	1	4050
IN121037	2	.5	4	1	2025
IN121038	1	2	4	1	8100
IN121038	2	.400000005960464	4	1	1620.00002413988
IN121039	1	2	4	1	8100
IN121042	1	1	4	7	4050
IN121044	1	1	4	1	4050
IN121046	1	3	4	1	12150
IN121046	2	.25	3	1	1012.5
IN121048	1	2	4	1	8100
IN121049	1	2	4	1	8100
IN121050	1	3	4	1	12150
IN121050	2	.5	4	1	2025
IN121050	3	.0500000007450581	4	8	202.500003017485
IN131001	1	1.5	4	1	6075
IN131002	1	.5	4	1	2025
IN131002	2	.5	4	1	2025
IN131003	1	1	4	1	4050
IN131008	1	1.5	4	1	6075
IN131009	1	1	4	1	4050
IN131009	2	.0500000007450581	4	4	202.500003017485
IN131010	1	9	4	1	36450
IN131010	2	1	4	1	4050
IN131011	1	3	4	1	12150
IN131013	1	6.5	4	1	26325
IN131013	2	5	4	1	20250
IN131013	3	.5	4	8	2025
IN131014	1	1.39999997615814	4	1	5669.99990344048
IN131014	2	.5	4	1	2025
IN131014	3	.600000023841858	4	1	2430.00009655952
IN131016	1	.0399999991059303	4	8	161.999996379018
IN131017	1	3.5	4	1	14175
IN131020	1	1	4	1	4050
IN131020	2	.25	4	1	1012.5
IN131021	1	1	4	7	4050
IN131021	2	.0199999995529652	4	4	80.9999981895089
IN131022	1	2	4	7	8100
IN131023	1	1	4	1	4050
IN131025	1	2	4	1	8100
IN131026	1	4	4	1	16200
IN131026	2	3	4	1	12150
IN131026	3	.5	4	1	2025
IN131027	1	1.5	4	1	6075
IN131028	1	5.5	4	1	22275
IN131029	1	1	4	1	4050
IN131030	1	3	4	1	12150
IN131031	1	.75	4	1	3037.5
IN131032	1	2	4	1	8100
IN131032	2	2	1	1	8100
IN131032	3	.200000002980232	4	8	810.000012069941
IN131033	1	2	4	1	8100
IN131034	1	2	4	1	8100
IN131035	1	2	4	1	8100
IN131035	2	2	4	1	8100
IN131037	1	3	4	1	12150
IN131038	1	1.5	4	1	6075
IN131038	2	.100000001490116	4	1	405.00000603497
IN131039	1	7	4	1	28350
IN131039	2	2.5	4	1	10125
IN131040	1	1	4	1	4050
IN131041	1	4.5	4	1	18225
IN131042	1	3	1	1	12150
IN131043	1	4	4	1	16200
IN131043	2	3	4	1	12150
IN131043	3	.0020000000949949	4	8	8.10000038472936
IN131044	1	7	4	1	28350
IN131044	2	3	4	1	12150
IN131046	1	1.64999997615814	4	1	6682.49990344048
IN131046	2	.649999976158142	4	1	2632.49990344048
IN131046	3	.0599999986588955	4	1	242.999994568527
IN131047	1	2	4	1	8100
IN131048	1	1	4	1	4050
IN131049	1	.75	4	1	3037.5
IN131049	2	.270000010728836	4	1	1093.50004345179
IN131049	3	.270000010728836	4	7	1093.50004345179
IN131049	4	.300000011920929	4	1	1215.00004827976
IN131050	1	.0299999993294477	4	4	121.499997284263
IN141012	1	.25	4	2	1012.5
IN141016	1	250	4	7	1012500
IN141018	1	1.5	4	7	6075
IN141023	1	1	4	2	4050
IN141028	1	3	4	7	12150
IN141032	1	1	4	6	4050
IN141034	1	180	4	4	729000
IN141045	1	3	4	2	12150
IN141046	1	2.04999995231628	4	4	8302.49980688095
IN141049	1	1.5	4	4	6075
IN151001	1	3	4	1	12150
IN151001	2	1.5	4	1	6075
IN151001	3	1	1	1	4050
IN151002	1	5	4	1	20250
IN151002	2	2	1	1	8100
IN151003	1	2	4	1	8100
IN151003	2	2	4	1	8100
IN151003	3	2	1	1	8100
IN151004	1	2	4	1	8100
IN151004	2	2	4	3	8100
IN151005	1	3	4	1	12150
IN151006	1	2	4	1	8100
IN151006	2	4	4	2	16200
IN151007	1	1	1	1	4050
IN151008	1	1	4	1	4050
IN151010	1	1	4	1	4050
IN151010	2	2	4	2	8100
IN151011	1	.0500000007450581	4	1	202.500003017485
IN151012	1	1	4	1	4050
IN151012	2	1	4	1	4050
IN151012	3	1	4	1	4050
IN151013	1	1	4	1	4050
IN151013	2	3	1	1	12150
IN151013	3	.5	4	1	2025
IN151013	4	.200000002980232	1	1	810.000012069941
IN151014	1	3	1	1	12150
IN151016	1	1	4	1	4050
IN151018	1	.5	4	1	2025
IN151018	2	.5	1	1	2025
IN151019	1	1	4	1	4050
IN151019	2	1	4	1	4050
IN151021	1	1	1	1	4050
IN151022	1	1	3	1	4050
IN151022	2	.5	4	1	2025
IN151023	1	3	4	1	12150
IN151023	2	2	4	1	8100
IN151023	3	1	4	1	4050
IN151024	1	1	4	1	4050
IN151025	1	7	4	1	28350
IN151027	1	2	3	1	8100
IN151027	2	1	1	2	4050
IN151032	1	1	4	1	4050
IN151032	2	2	1	1	8100
IN151033	1	.75	4	1	3037.5
IN151034	1	.140000000596046	4	1	567.000002413988
IN151035	1	.150000005960464	4	1	607.500024139881
IN151035	2	.150000005960464	4	2	607.500024139881
IN151036	1	.200000002980232	4	2	810.000012069941
IN151036	2	.75	1	1	3037.5
IN151038	1	5	4	1	20250
IN151040	1	2	4	1	8100
IN151040	2	4	4	2	16200
IN151042	1	.5	4	1	2025
IN151043	1	.300000011920929	4	1	1215.00004827976
IN151044	1	1	3	1	4050
IN151045	1	1	4	1	4050
IN151045	2	2	4	2	8100
IN151049	1	2	1	1	8100
IN161001	1	4	4	7	16200
IN161003	1	2	4	1	8100
IN161004	1	1	4	2	4050
IN161005	1	5	4	1	20250
IN161006	1	3	4	1	12150
IN161007	1	6	4	1	24300
IN161008	1	1.5	4	1	6075
IN161009	1	5	4	1	20250
IN161010	1	1	4	7	4050
IN161011	1	2	4	1	8100
IN161011	2	1	4	1	4050
IN161012	1	3	4	6	12150
IN161013	1	7	4	1	28350
IN161014	1	2	4	1	8100
IN161015	1	4	4	1	16200
IN161016	1	3	4	1	12150
IN161016	2	2	4	1	8100
IN161020	1	3	4	1	12150
IN161020	2	2	4	1	8100
IN161020	3	.200000002980232	4	1	810.000012069941
IN161021	1	5	4	1	20250
IN161021	2	2	4	1	8100
IN161021	3	3	4	1	12150
IN161021	4	10	1	1	40500
IN161022	1	5	4	1	20250
IN161022	2	5	1	1	20250
IN161025	1	3	4	1	12150
IN161025	2	3	3	1	12150
IN161027	1	5	4	7	20250
IN161028	1	3	4	1	12150
IN161029	1	2	4	1	8100
IN161029	2	5	1	1	20250
IN161030	1	2	4	2	8100
IN161030	2	2	1	1	8100
IN161030	3	1	4	1	4050
IN161030	4	3	4	1	12150
IN161031	1	6	4	1	24300
IN161031	2	4	4	1	16200
