CHILDCODE	LANDIDR5	TOTLNDR5	TOTLIVR5
41030	1	0	0
41030	2	0	20
41031	1	0	140
41031	2	0	0
41032	1	0	120
41032	2	0	0
41034	1	0	80
41034	2	0	0
41036	1	0	0
41036	2	0	60
41037	1	0	210
41037	2	0	0
41038	1	0	0
41038	2	0	12
41039	1	0	130
41039	2	0	0
41041	1	0	198
41041	2	0	0
41042	1	2700	250
41042	2	2000	0
41043	1	0	0
41043	2	0	12
41046	1	0	0
41046	2	0	20
41047	1	0	0
41047	2	0	20
41049	1	0	0
41049	2	0	12
41050	1	480	0
41050	2	0	150
41059	1	0	100
41059	2	2000	0
41092	1	0	118
41092	2	0	0
41106	1	0	0
41106	2	0	15
41109	1	3000	2000
41109	2	0	0
41110	1	0	0
41110	2	0	10
41114	1	800	230
41114	2	0	0
41130	1	0	0
41130	2	0	80
51002	1	2000	300
51002	2	0	0
51003	1	0	500
51003	2	0	0
51004	1	0	0
51004	2	0	8
51005	1	0	0
51005	2	0	20
51006	1	2000	500
51006	2	0	0
51008	1	0	0
51008	2	0	40
51009	1	0	0
51009	2	0	12
51010	1	4000	0
51010	2	0	-77
51011	1	500	195
51011	2	0	0
51013	1	2300	0
51013	2	0	-77
51015	1	0	0
51015	2	0	10
51016	1	0	0
51016	2	0	18
51017	1	0	0
51017	2	0	10
51018	1	2300	40
51018	2	0	0
51019	1	200	1600
51019	2	0	0
51020	1	0	0
51020	2	0	20
51022	1	0	200
51022	2	0	0
51023	1	0	0
51023	2	0	15
51024	1	0	0
51024	2	0	20
51025	1	3000	500
51025	2	0	0
51026	1	0	0
51026	2	0	30
51028	1	0	0
51028	2	150	-77
51029	1	300	200
51029	2	0	0
51031	1	0	0
51031	2	0	30
51032	1	1000	84
51032	2	0	0
51033	1	0	0
51033	2	0	12
51034	1	0	50
51034	2	0	0
51035	1	90000	330
51035	2	0	0
51036	1	0	0
51036	2	0	10
51037	1	8000	0
51037	2	0	-77
51038	1	20000	750
51038	2	0	0
51039	1	0	0
51039	2	0	15
51040	1	0	0
51040	2	0	20
51041	1	8000	0
51041	2	0	-77
51042	1	3000	108
51042	2	0	0
51043	1	0	0
51043	2	0	25
51044	1	0	50
51044	2	0	0
51045	1	0	800
51045	2	0	0
51046	1	0	0
51046	2	0	20
51047	1	5000	300
51047	2	0	0
51048	1	0	0
51048	2	0	20
51049	1	0	0
51049	2	400	80
51057	1	2000	150
51057	2	0	0
51070	1	0	0
51070	2	0	16
61001	1	0	0
61001	2	0	32
61003	1	5500	300
61003	2	0	0
61004	1	0	36
61004	2	0	0
61006	1	0	0
61006	2	0	15
61008	1	0	66
61008	2	0	0
61009	1	0	0
61009	2	0	19
61011	1	0	0
61011	2	0	30
61012	1	0	0
61012	2	0	15
61013	1	0	0
61013	2	0	20
61014	1	0	0
61014	2	0	22
61015	1	8000	200
61015	2	0	0
61016	1	0	20
61016	2	0	0
61017	1	4000	1000
61017	2	0	0
61018	1	2800	700
61018	2	0	0
61019	1	20000	130
61019	2	0	0
61020	1	4000	200
61020	2	0	0
61021	1	0	0
61021	2	0	14
61024	1	1600	1200
61024	2	0	0
61025	1	0	0
61025	2	0	20
61026	1	0	230
61026	2	0	0
61028	1	0	100
61028	2	0	0
61029	1	0	0
61029	2	0	20
61030	1	0	0
61030	2	0	22
61031	1	0	0
61031	2	0	30
61032	1	12000	0
61032	2	0	-77
61033	1	2000	100
61033	2	0	0
61034	1	0	0
61034	2	0	20
61035	1	0	0
61035	2	0	21
61036	1	0	60
61036	2	0	0
61037	1	10000	700
61037	2	0	0
61038	1	0	0
61038	2	0	30
61039	1	0	1000
61039	2	0	0
61040	1	13200	300
61040	2	0	0
61041	1	0	0
61041	2	0	15
61042	1	0	0
61042	2	0	15
61043	1	460	40
61043	2	0	0
61044	1	0	0
61044	2	0	16
61046	1	0	71
61046	2	0	0
61047	1	6000	200
61047	2	0	0
61048	1	5000	200
61048	2	0	0
61049	1	4200	500
61049	2	0	0
61050	1	0	0
61050	2	452	48
61052	1	1950	54
61052	2	0	0
61055	1	0	300
61055	2	0	0
61056	1	4000	150
61056	2	0	0
61057	1	300	960
61057	2	0	0
61076	1	0	0
61076	2	0	10
61079	1	0	200
61079	2	3000	0
61104	1	10000	2000
61104	2	0	0
71001	1	1000	110
71001	2	0	0
71002	1	0	0
71002	2	0	20
71003	1	500	500
71003	2	0	0
71004	1	0	0
71004	2	0	15
71005	1	0	0
71005	2	0	10
71007	1	25000	1000
71007	2	0	0
71008	1	1000	500
71008	2	0	0
71009	1	3000	200
71009	2	0	0
71010	1	0	0
71010	2	0	15
71011	1	6400	200
71011	2	0	0
71013	1	0	0
71013	2	0	24
71014	1	0	5320
71014	2	0	0
71015	1	7200	300
71015	2	0	0
71018	1	0	0
71018	2	0	120
71019	1	7000	500
71019	2	0	0
71020	1	3000	2860
71020	2	0	0
71021	1	0	0
71021	2	0	25
71023	1	2800	200
71023	2	0	0
71024	1	0	0
71024	2	0	12
71025	1	0	24
71025	2	0	24
71026	1	2400	1200
71026	2	0	0
71027	1	0	0
71027	2	0	20
71028	1	9000	657
71028	2	0	0
71029	1	0	0
71029	2	0	20
71031	1	13000	200
71031	2	0	0
71032	1	0	200
71032	2	0	0
71033	1	1600	100
71033	2	0	0
71034	1	0	0
71034	2	0	20
71035	1	3800	200
71035	2	0	0
71036	1	0	40
71036	2	0	20
71037	1	0	0
71037	2	0	20
71038	1	5800	114
71038	2	0	0
71039	1	0	0
71039	2	0	10
71041	1	0	50
71041	2	0	0
71042	1	0	0
71042	2	0	15
71043	1	3370	140
71043	2	0	0
71044	1	9000	1000
71044	2	8000	0
71046	1	5000	0
71046	2	0	20
71047	1	5700	280
71047	2	0	0
71048	1	0	0
71048	2	0	9
71049	1	6000	500
71049	2	0	0
71073	1	2800	100
71073	2	0	0
71097	1	0	0
71097	2	0	60
71112	1	0	0
71112	2	0	20
71120	1	0	120
71120	2	0	0
71121	1	3500	500
71121	2	0	0
81001	1	250	0
81001	2	0	-77
81003	1	0	0
81003	2	0	30
81004	1	1200	120
81004	2	0	0
81005	1	0	60
81005	2	0	0
81006	1	6100	100
81006	2	0	0
81007	1	0	0
81007	2	0	25
81008	1	940	60
81008	2	0	0
81009	1	0	24
81009	2	0	0
81010	1	0	500
81010	2	0	0
81011	1	0	0
81011	2	0	4
81012	1	0	0
81012	2	0	16
81013	1	0	0
81013	2	0	20
81017	1	2050	150
81017	2	0	0
81018	1	100	120
81018	2	0	0
81019	1	5000	900
81019	2	0	0
81020	1	1375	150
81020	2	0	0
81021	1	0	45
81021	2	0	0
81022	1	220	60
81022	2	0	0
81023	1	0	0
81023	2	0	100
81024	1	600	50
81024	2	0	0
81025	1	5700	300
81025	2	0	0
81026	1	0	0
81026	2	0	11
81028	1	4000	300
81028	2	0	0
81029	1	1857	143
81029	2	0	0
81030	1	0	69
81030	2	0	0
81031	1	3870	200
81031	2	0	0
81032	1	1000	96
81032	2	0	0
81035	1	6000	1200
81035	2	0	0
81036	1	0	0
81036	2	0	5
81038	1	1000	240
81038	2	0	0
81039	1	4430	620
81039	2	0	0
81041	1	1100	300
81041	2	0	0
81042	1	0	0
81042	2	0	12
81043	1	0	0
81043	2	0	15
81045	1	0	60
81045	2	0	0
81046	1	0	55
81046	2	0	0
81047	1	0	30
81047	2	0	0
81049	1	0	0
81049	2	0	20
81050	1	3000	0
81050	2	0	28
81073	1	0	200
81073	2	6000	0
81092	1	1300	125
81092	2	0	0
81105	1	900	600
81105	2	0	0
81108	1	2000	100
81108	2	0	0
81120	1	0	100
81120	2	0	0
81130	1	0	50
81130	2	0	0
81139	1	0	0
81139	2	0	-77
81145	1	0	120
81145	2	0	0
81150	1	1192	192
81150	2	0	0
81152	1	0	0
81152	2	0	20
91001	1	3300	300
91001	2	0	0
91003	1	0	0
91003	2	0	16
91005	1	0	0
91005	2	0	16
91006	1	0	200
91006	2	0	200
91008	1	10400	650
91008	2	0	0
91009	1	5080	200
91009	2	0	0
91010	1	12700	500
91010	2	0	0
91011	1	6000	300
91011	2	0	0
91012	1	1600	200
91012	2	0	0
91014	1	3000	150
91014	2	0	0
91015	1	4100	100
91015	2	0	0
91016	1	2000	150
91016	2	0	0
91017	1	10000	300
91017	2	0	0
91019	1	0	0
91019	2	0	18
91020	1	7500	350
91020	2	0	0
91021	1	2000	150
91021	2	0	0
91022	1	6020	400
91022	2	0	0
91024	1	55000	1000
91024	2	0	0
91025	1	0	50
91025	2	0	0
91026	1	20000	80
91026	2	0	0
91027	1	12500	2000
91027	2	0	0
91028	1	10000	500
91028	2	0	0
91029	1	7000	200
91029	2	0	0
91030	1	27800	400
91030	2	0	0
91031	1	3000	200
91031	2	0	0
91032	1	15000	300
91032	2	0	0
91033	1	2300	200
91033	2	0	0
91036	1	5300	250
91036	2	0	0
91037	1	12800	220
91037	2	0	0
91039	1	20500	200
91039	2	0	0
91042	1	37000	0
91042	2	0	-77
91044	1	24600	1000
91044	2	0	0
91045	1	40000	600
91045	2	0	0
91046	1	0	0
91046	2	0	20
91047	1	0	300
91047	2	0	0
91048	1	0	550
91048	2	2000	0
91049	1	0	100
91049	2	0	0
91052	1	10960	600
91052	2	0	0
91053	1	12000	60
91053	2	0	0
91056	1	6500	300
91056	2	0	0
91057	1	8000	200
91057	2	0	0
91061	1	5100	500
91061	2	0	0
91062	1	16700	200
91062	2	0	0
91070	1	17070	500
91070	2	0	0
91071	1	6000	300
91071	2	0	0
101001	1	2000	600
101001	2	0	0
101004	1	6000	200
101004	2	0	0
101005	1	0	0
101005	2	0	20
101010	1	0	0
101010	2	0	30
101011	1	6500	250
101011	2	0	8
101013	1	0	0
101013	2	0	12
101014	1	0	108
101014	2	0	0
101015	1	3000	500
101015	2	0	0
101016	1	0	0
101016	2	0	20
101017	1	3700	150
101017	2	0	0
101018	1	0	0
101018	2	0	20
101019	1	22000	200
101019	2	0	0
101020	1	6000	300
101020	2	0	0
101021	1	0	600
101021	2	0	0
101022	1	14000	1000
101022	2	0	0
101024	1	14000	200
101024	2	0	0
101025	1	0	0
101025	2	0	50
101027	1	14000	300
101027	2	0	0
101028	1	11000	1000
101028	2	0	0
101030	1	0	400
101030	2	0	0
101031	1	0	180
101031	2	0	0
101034	1	21000	120
101034	2	0	0
101035	1	13200	280
101035	2	0	0
101036	1	16000	250
101036	2	0	0
101037	1	50000	200
101037	2	0	0
101038	1	11600	350
101038	2	350	0
101040	1	0	160
101040	2	2600	0
101041	1	31800	150
101041	2	0	0
101043	1	720	600
101043	2	600	0
101044	1	360	500
101044	2	0	0
101045	1	2000	200
101045	2	0	0
101047	1	5000	250
101047	2	0	0
101048	1	0	0
101048	2	0	20
101049	1	3090	250
101049	2	0	0
101050	1	0	1000
101050	2	0	0
101064	1	0	0
101064	2	0	20
101075	1	0	0
101075	2	0	25
101083	1	0	0
101083	2	0	20
111001	1	16000	370
111001	2	0	0
111002	1	11000	480
111002	2	0	0
111003	1	0	0
111003	2	400	200
111004	1	0	0
111004	2	0	40
111005	1	18700	50
111005	2	0	0
111006	1	15000	300
111006	2	0	0
111008	1	1080	400
111008	2	0	0
111009	1	6750	300
111009	2	3000	0
111010	1	0	0
111010	2	0	15
111011	1	9855	400
111011	2	1400	0
111012	1	1700	120
111012	2	0	0
111013	1	1300	450
111013	2	0	0
111014	1	0	3000
111014	2	0	0
111015	1	0	190
111015	2	0	0
111016	1	0	0
111016	2	0	-77
111018	1	0	0
111018	2	0	20
111019	1	0	0
111019	2	0	15
111020	1	4080	200
111020	2	0	0
111021	1	12000	500
111021	2	0	0
111022	1	15800	200
111022	2	0	0
111025	1	0	0
111025	2	5000	500
111027	1	0	0
111027	2	0	120
111028	1	0	0
111028	2	0	100
111030	1	0	0
111030	2	0	12
111031	1	0	300
111031	2	0	0
111032	1	400	10400
111032	2	0	0
111033	1	0	0
111033	2	0	20
111034	1	0	100
111034	2	0	0
111035	1	0	0
111035	2	0	14
111036	1	0	600
111036	2	0	0
111038	1	6500	280
111038	2	0	0
111039	1	15000	17000
111039	2	0	0
111040	1	3462	454
111040	2	0	0
111041	1	0	120
111041	2	0	0
111042	1	20720	1500
111042	2	0	0
111043	1	460	200
111043	2	0	0
111044	1	7200	400
111044	2	0	0
111045	1	10000	360
111045	2	0	0
111048	1	5000	400
111048	2	0	0
111050	1	0	0
111050	2	0	13
111057	1	0	0
111057	2	0	20
111065	1	17720	1020
111065	2	0	0
111069	1	0	0
111069	2	0	15
111086	1	30000	400
111086	2	0	0
111109	1	1500	1500
111109	2	720	0
111111	1	11571	200
111111	2	0	0
111119	1	0	0
111119	2	0	40
121001	1	60095	327
121001	2	0	0
121002	1	31000	1000
121002	2	0	0
121003	1	10000	3000
121003	2	0	0
121004	1	2000	130
121004	2	0	0
121005	1	14000	3000
121005	2	0	0
121006	1	5600	400
121006	2	0	0
121007	1	0	0
121007	2	0	350
121008	1	25000	1000
121008	2	0	0
121009	1	0	0
121009	2	0	45
121011	1	0	340
121011	2	0	0
121012	1	1080	200
121012	2	0	0
121013	1	4000	1000
121013	2	0	0
121014	1	0	0
121014	2	0	20
121019	1	21000	365
121019	2	0	0
121020	1	13000	500
121020	2	0	0
121021	1	1000	300
121021	2	0	0
121022	1	2000	400
121022	2	0	0
121023	1	20720	1000
121023	2	0	0
121025	1	0	0
121025	2	0	-77
121028	1	360	150
121028	2	0	0
121030	1	30000	150
121030	2	0	0
121031	1	30000	1100
121031	2	0	0
121032	1	2600	2520
121032	2	0	0
121033	1	26000	10000
121033	2	0	0
121034	1	1200	250
121034	2	0	0
121035	1	25000	150
121035	2	0	0
121036	1	0	0
121036	2	0	5
121037	1	50000	1080
121037	2	0	0
121038	1	50000	1300
121038	2	0	1080
121039	1	1200	80
121039	2	0	0
121040	1	2880	1440
121040	2	0	0
121041	1	300	400
121041	2	0	0
121042	1	21440	360
121042	2	0	0
121043	1	0	0
121043	2	0	1000
121044	1	0	70
121044	2	0	0
121045	1	0	300
121045	2	0	0
121047	1	0	120
121047	2	0	0
121048	1	20000	1200
121048	2	0	0
121049	1	49184	1000
121049	2	-77	0
121050	1	22520	1800
121050	2	7700	0
121052	1	0	120
121052	2	0	0
121057	1	1700	300
121057	2	0	0
121061	1	4000	200
121061	2	0	0
121063	1	1360	700
121063	2	0	0
121074	1	0	0
121074	2	2118	400
121088	1	0	80
121088	2	0	0
121094	1	1900	450
121094	2	0	0
121109	1	0	0
121109	2	20000	50
121124	1	40000	1000
121124	2	0	0
121126	1	0	37
121126	2	0	0
131001	1	1240	213
131001	2	0	0
131002	1	1365	246
131002	2	0	0
131003	1	500	120
131003	2	0	0
131004	1	1512	215
131004	2	0	0
131005	1	920	120
131005	2	0	0
131006	1	444	115
131006	2	1080	0
131007	1	0	71
131007	2	0	0
131008	1	1560	192
131008	2	840	0
131009	1	1440	290
131009	2	0	0
131010	1	0	15
131010	2	0	0
131011	1	864	80
131011	2	304	0
131012	1	1000	290
131012	2	0	0
131013	1	700	200
131013	2	0	0
131014	1	1560	254
131014	2	0	0
131017	1	0	0
131017	2	0	18
131019	1	864	460
131019	2	0	0
131020	1	400	70
131020	2	0	0
131021	1	1000	183
131021	2	0	0
131022	1	0	0
131022	2	0	150
131023	1	0	0
131023	2	0	25
131024	1	756	70
131024	2	0	0
131025	1	2000	288
131025	2	0	0
131026	1	2000	268
131026	2	0	0
131027	1	2160	336
131027	2	0	0
131028	1	1225	266
131028	2	7200	0
131030	1	2520	270
131030	2	0	0
131031	1	2400	200
131031	2	0	0
131033	1	1320	240
131033	2	0	0
131036	1	1825	135
131036	2	0	0
131037	1	2117	349
131037	2	0	0
131038	1	960	456
131038	2	0	0
131039	1	1598	503
131039	2	0	0
131040	1	1548	400
131040	2	0	0
131041	1	900	213
131041	2	1000	0
131042	1	1080	190
131042	2	0	0
131043	1	480	200
131043	2	7200	0
131044	1	1080	396
131044	2	0	0
131045	1	1620	312
131045	2	0	0
131046	1	576	329
131046	2	0	0
131047	1	1440	264
131047	2	0	0
131048	1	1800	335
131048	2	1080	0
131050	1	1440	230
131050	2	0	0
131051	1	720	300
131051	2	0	0
131053	1	1800	266
131053	2	0	0
131054	1	1656	247
131054	2	0	0
131055	1	1620	720
131055	2	0	0
131058	1	648	288
131058	2	0	0
141001	1	1800	432
141001	2	684	0
141002	1	288	450
141002	2	0	0
141003	1	0	0
141003	2	0	12
141004	1	576	31
141004	2	0	0
141005	1	0	0
141005	2	0	15
141006	1	0	0
141006	2	0	20
141007	1	400	180
141007	2	2520	0
141009	1	1152	432
141009	2	0	0
141010	1	0	0
141010	2	0	15
141011	1	700	400
141011	2	0	0
141012	1	864	480
141012	2	1260	0
141013	1	864	504
141013	2	576	0
141014	1	864	216
141014	2	1080	0
141015	1	360	108
141015	2	0	0
141016	1	1440	200
141016	2	1800	0
141017	1	1150	200
141017	2	3600	0
141018	1	254	2500
141018	2	0	0
141019	1	1440	410
141019	2	0	0
141020	1	550	70
141020	2	3130	1142
141025	1	0	0
141025	2	0	-77
141026	1	0	0
141026	2	0	100
141027	1	1234	756
141027	2	0	0
141028	1	1152	252
141028	2	2529	0
141029	1	0	0
141029	2	0	15
141030	1	576	240
141030	2	2520	0
141031	1	1440	416
141031	2	0	0
141032	1	864	383
141032	2	1260	0
141033	1	0	0
141033	2	0	12
141034	1	1080	79
141034	2	0	0
141035	1	864	200
141035	2	0	0
141036	1	576	120
141036	2	0	0
141037	1	288	0
141037	2	720	30
141039	1	0	0
141039	2	0	15
141040	1	864	180
141040	2	1080	0
141041	1	576	100
141041	2	0	0
141042	1	288	100
141042	2	0	0
141043	1	570	180
141043	2	2300	0
141044	1	576	120
141044	2	0	80
141045	1	0	0
141045	2	0	13
141047	1	0	0
141047	2	0	20
141048	1	288	250
141048	2	0	0
141049	1	432	200
141049	2	0	0
141050	1	864	180
141050	2	720	0
141051	1	288	180
141051	2	864	0
141052	1	900	180
141052	2	0	0
141062	1	0	0
141062	2	80	-77
141066	1	720	358
141066	2	18000	0
141073	1	576	270
141073	2	360	0
141076	1	720	336
141076	2	0	0
151001	1	0	0
151001	2	0	15
151002	1	200	360
151002	2	1300	0
151003	1	1800	400
151003	2	0	0
151004	1	3600	180
151004	2	0	0
151005	1	2000	360
151005	2	0	0
151006	1	3600	210
151006	2	0	0
151007	1	1440	155
151007	2	0	0
151010	1	2880	9000
151010	2	0	0
151011	1	720	200
151011	2	0	0
151012	1	0	0
151012	2	0	20
151013	1	2688	60
151013	2	0	0
151015	1	0	0
151015	2	0	-77
151016	1	0	0
151016	2	0	52
151018	1	1800	144
151018	2	2160	0
151019	1	2260	157
151019	2	0	0
151020	1	1200	100
151020	2	0	50
151021	1	1800	360
151021	2	1800	0
151022	1	0	0
151022	2	0	-77
151023	1	1272	200
151023	2	0	0
151024	1	0	0
151024	2	0	18
151025	1	2808	349
151025	2	720	0
151028	1	0	0
151028	2	0	15
151029	1	1540	600
151029	2	0	0
151030	1	0	0
151030	2	0	15
151031	1	1260	1400
151031	2	0	0
151032	1	0	0
151032	2	0	8
151034	1	1800	720
151034	2	0	0
151035	1	0	40
151035	2	0	0
151036	1	0	0
151036	2	0	10
151037	1	1440	200
151037	2	2160	0
151038	1	0	0
151038	2	0	30
151039	1	0	0
151039	2	0	25
151040	1	0	0
151040	2	0	-77
151041	1	3024	432
151041	2	0	0
151043	1	0	0
151043	2	0	15
151044	1	2592	500
151044	2	0	0
151045	1	0	0
151045	2	0	60
151046	1	0	0
151046	2	0	15
151047	1	2160	540
151047	2	2160	0
151049	1	1296	400
151049	2	720	0
151051	1	720	320
151051	2	3600	0
151075	1	0	0
151075	2	0	20
151079	1	0	0
151079	2	0	20
151081	1	2160	524
151081	2	1080	0
151082	1	1440	200
151082	2	1800	0
161001	1	1728	200
161001	2	2880	0
161002	1	0	0
161002	2	0	20
161003	1	1500	100
161003	2	0	0
161004	1	1800	216
161004	2	0	0
161005	1	0	0
161005	2	0	20
161007	1	1080	100
161007	2	1800	0
161008	1	0	0
161008	2	0	8
161009	1	1836	288
161009	2	7200	0
161010	1	3600	900
161010	2	0	0
161011	1	1440	200
161011	2	0	0
161012	1	0	0
161012	2	0	15
161014	1	1800	400
161014	2	0	0
161015	1	900	180
161015	2	0	0
161016	1	2000	200
161016	2	1080	0
161018	1	300	1722
161018	2	0	0
161019	1	2160	300
161019	2	0	0
161020	1	0	0
161020	2	0	15
161021	1	0	0
161021	2	0	15
161022	1	2880	200
161022	2	250	0
161023	1	1080	260
161023	2	5400	0
161024	1	1224	0
161024	2	0	70
161025	1	0	0
161025	2	0	10
161026	1	2988	360
161026	2	1080	0
161027	1	1152	360
161027	2	0	0
161028	1	0	115
161028	2	0	0
161029	1	0	0
161029	2	0	15
161030	1	0	0
161030	2	0	15
161031	1	0	0
161031	2	2000	-77
161032	1	0	240
161032	2	0	0
161033	1	972	445
161033	2	0	0
161034	1	0	0
161034	2	0	18
161035	1	0	0
161035	2	0	20
161036	1	0	0
161036	2	0	20
161038	1	1944	2000
161038	2	1080	0
161039	1	0	0
161039	2	0	30
161040	1	720	360
161040	2	0	0
161041	1	576	0
161041	2	0	100
161042	1	1440	240
161042	2	0	720
161043	1	0	0
161043	2	0	20
161044	1	0	0
161044	2	0	20
161045	1	2520	100
161045	2	0	20
161046	1	2160	720
161046	2	0	0
161047	1	1440	400
161047	2	0	0
161048	1	0	0
161048	2	0	15
161049	1	0	0
161049	2	0	30
161050	1	0	0
161050	2	0	5
171003	1	0	0
171003	2	0	100
171004	1	0	40
171004	2	0	0
171005	1	0	40
171005	2	0	0
171006	1	0	0
171006	2	0	43
171007	1	0	60
171007	2	0	52
171008	1	0	80
171008	2	0	0
171009	1	0	115
171009	2	0	0
171011	1	0	32
171011	2	0	0
171012	1	0	57
171012	2	0	0
171013	1	0	0
171013	2	0	65
171014	1	0	0
171014	2	0	90
