CHILDCODE	ASSTIDR4	ASSETR4	TOTASSR4	ASACTR4	NMOWNR4	VLASTR4	CHDSASR4
11022	1	25	2	5	2	7000	1
11022	2	1	6	11	6	150	1
11022	3	3	1	11	1	100	1
11022	4	88	 	 	 	 	 
11022	5	88	 	 	 	 	 
11022	6	88	 	 	 	 	 
11024	1	1	9	11	9	100	0
11024	2	3	1	11	1	50	0
11024	3	88	 	 	 	 	 
11024	4	88	 	 	 	 	 
11024	5	88	 	 	 	 	 
11024	6	88	 	 	 	 	 
11025	1	1	8	11	8	200	1
11025	2	2	1	11	1	1000	1
11025	3	88	 	 	 	 	 
11025	4	88	 	 	 	 	 
11025	5	88	 	 	 	 	 
11025	6	88	 	 	 	 	 
11026	1	 	 	 	 	 	 
11026	2	 	 	 	 	 	 
11026	3	 	 	 	 	 	 
11026	4	 	 	 	 	 	 
11026	5	 	 	 	 	 	 
11026	6	 	 	 	 	 	 
11028	1	 	 	 	 	 	 
11028	2	 	 	 	 	 	 
11028	3	 	 	 	 	 	 
11028	4	 	 	 	 	 	 
11028	5	 	 	 	 	 	 
11028	6	 	 	 	 	 	 
11029	1	 	 	 	 	 	 
11029	2	 	 	 	 	 	 
11029	3	 	 	 	 	 	 
11029	4	 	 	 	 	 	 
11029	5	 	 	 	 	 	 
11029	6	 	 	 	 	 	 
11030	1	1	0	11	7	100	1
11030	2	88	 	 	 	 	 
11030	3	88	 	 	 	 	 
11030	4	88	 	 	 	 	 
11030	5	88	 	 	 	 	 
11030	6	88	 	 	 	 	 
11031	1	 	 	 	 	 	 
11031	2	 	 	 	 	 	 
11031	3	 	 	 	 	 	 
11031	4	 	 	 	 	 	 
11031	5	 	 	 	 	 	 
11031	6	 	 	 	 	 	 
11032	1	1	3	11	3	400	1
11032	2	25	1	7	1	2500	1
11032	3	13	1	7	1	500	1
11032	4	88	 	 	 	 	 
11032	5	88	 	 	 	 	 
11032	6	88	 	 	 	 	 
11033	1	1	4	11	4	300	1
11033	2	3	1	11	1	150	1
11033	3	88	 	 	 	 	 
11033	4	88	 	 	 	 	 
11033	5	88	 	 	 	 	 
11033	6	88	 	 	 	 	 
11034	1	25	0	23	1	3000	1
11034	2	24	0	23	1	5000	1
11034	3	88	 	 	 	 	 
11034	4	88	 	 	 	 	 
11034	5	88	 	 	 	 	 
11034	6	88	 	 	 	 	 
11035	1	 	 	 	 	 	 
11035	2	 	 	 	 	 	 
11035	3	 	 	 	 	 	 
11035	4	 	 	 	 	 	 
11035	5	 	 	 	 	 	 
11035	6	 	 	 	 	 	 
11037	1	1	2	11	2	100	0
11037	2	88	 	 	 	 	 
11037	3	88	 	 	 	 	 
11037	4	88	 	 	 	 	 
11037	5	88	 	 	 	 	 
11037	6	88	 	 	 	 	 
11038	1	1	4	11	4	160	0
11038	2	3	1	11	1	100	0
11038	3	2	1	11	1	800	0
11038	4	88	 	 	 	 	 
11038	5	88	 	 	 	 	 
11038	6	88	 	 	 	 	 
11039	1	1	10	11	10	50	0
11039	2	13	3	7	3	50	0
11039	3	88	 	 	 	 	 
11039	4	88	 	 	 	 	 
11039	5	88	 	 	 	 	 
11039	6	88	 	 	 	 	 
11040	1	1	3	11	3	100	0
11040	2	88	 	 	 	 	 
11040	3	88	 	 	 	 	 
11040	4	88	 	 	 	 	 
11040	5	88	 	 	 	 	 
11040	6	88	 	 	 	 	 
11041	1	1	5	11	5	250	0
11041	2	88	 	 	 	 	 
11041	3	88	 	 	 	 	 
11041	4	88	 	 	 	 	 
11041	5	88	 	 	 	 	 
11041	6	88	 	 	 	 	 
11042	1	1	3	11	3	50	1
11042	2	88	 	 	 	 	 
11042	3	88	 	 	 	 	 
11042	4	88	 	 	 	 	 
11042	5	88	 	 	 	 	 
11042	6	88	 	 	 	 	 
11043	1	 	 	 	 	 	 
11043	2	 	 	 	 	 	 
11043	3	 	 	 	 	 	 
11043	4	 	 	 	 	 	 
11043	5	 	 	 	 	 	 
11043	6	 	 	 	 	 	 
11044	1	1	3	11	3	200	0
11044	2	88	 	 	 	 	 
11044	3	88	 	 	 	 	 
11044	4	88	 	 	 	 	 
11044	5	88	 	 	 	 	 
11044	6	88	 	 	 	 	 
11047	1	1	4	11	4	340	0
11047	2	88	 	 	 	 	 
11047	3	88	 	 	 	 	 
11047	4	88	 	 	 	 	 
11047	5	88	 	 	 	 	 
11047	6	88	 	 	 	 	 
11048	1	1	6	11	6	20	0
11048	2	88	 	 	 	 	 
11048	3	88	 	 	 	 	 
11048	4	88	 	 	 	 	 
11048	5	88	 	 	 	 	 
11048	6	88	 	 	 	 	 
11050	1	1	4	11	4	100	1
11050	2	3	1	11	1	50	1
11050	3	88	 	 	 	 	 
11050	4	88	 	 	 	 	 
11050	5	88	 	 	 	 	 
11050	6	88	 	 	 	 	 
11052	1	23	5	12	5	3000	1
11052	2	1	3	11	3	50	1
11052	3	88	 	 	 	 	 
11052	4	88	 	 	 	 	 
11052	5	88	 	 	 	 	 
11052	6	88	 	 	 	 	 
11061	1	24	1	12	1	-88	0
11061	2	40	1	12	1	2000	1
11061	3	40	1	12	1	500	0
11061	4	15	1	12	1	200	0
11061	5	77	 	 	 	 	 
11061	6	88	 	 	 	 	 
11063	1	3	2	11	2	400	1
11063	2	2	1	11	1	400	1
11063	3	1	6	11	6	200	1
11063	4	88	 	 	 	 	 
11063	5	88	 	 	 	 	 
11063	6	88	 	 	 	 	 
11069	1	1	17	11	17	300	0
11069	2	2	2	11	2	2000	0
11069	3	88	 	 	 	 	 
11069	4	88	 	 	 	 	 
11069	5	88	 	 	 	 	 
11069	6	88	 	 	 	 	 
11074	1	1	2	11	2	100	0
11074	2	13	5	7	5	1000	0
11074	3	88	 	 	 	 	 
11074	4	88	 	 	 	 	 
11074	5	88	 	 	 	 	 
11074	6	88	 	 	 	 	 
11088	1	1	4	11	4	100	1
11088	2	3	1	11	1	5	1
11088	3	88	 	 	 	 	 
11088	4	88	 	 	 	 	 
11088	5	88	 	 	 	 	 
11088	6	88	 	 	 	 	 
21002	1	 	 	 	 	 	 
21002	2	 	 	 	 	 	 
21002	3	 	 	 	 	 	 
21002	4	 	 	 	 	 	 
21002	5	 	 	 	 	 	 
21002	6	 	 	 	 	 	 
21004	1	40	10	26	10	10000	1
21004	2	88	 	 	 	 	 
21004	3	88	 	 	 	 	 
21004	4	88	 	 	 	 	 
21004	5	88	 	 	 	 	 
21004	6	88	 	 	 	 	 
21005	1	23	6	23	6	1000	0
21005	2	25	3	23	3	600	0
21005	3	25	1	24	1	7000	0
21005	4	88	 	 	 	 	 
21005	5	88	 	 	 	 	 
21005	6	88	 	 	 	 	 
21007	1	15	15	12	15	200	1
21007	2	88	 	 	 	 	 
21007	3	88	 	 	 	 	 
21007	4	88	 	 	 	 	 
21007	5	88	 	 	 	 	 
21007	6	88	 	 	 	 	 
21008	1	40	1	26	1	2000	0
21008	2	88	 	 	 	 	 
21008	3	88	 	 	 	 	 
21008	4	88	 	 	 	 	 
21008	5	88	 	 	 	 	 
21008	6	88	 	 	 	 	 
21009	1	40	80	26	80	500000	1
21009	2	88	 	 	 	 	 
21009	3	88	 	 	 	 	 
21009	4	88	 	 	 	 	 
21009	5	88	 	 	 	 	 
21009	6	88	 	 	 	 	 
21011	1	30	1	23	1	30000	0
21011	2	88	 	 	 	 	 
21011	3	88	 	 	 	 	 
21011	4	88	 	 	 	 	 
21011	5	88	 	 	 	 	 
21011	6	88	 	 	 	 	 
21012	1	1	6	11	6	120	0
21012	2	88	 	 	 	 	 
21012	3	88	 	 	 	 	 
21012	4	88	 	 	 	 	 
21012	5	88	 	 	 	 	 
21012	6	88	 	 	 	 	 
21013	1	1	2	11	2	100	0
21013	2	88	 	 	 	 	 
21013	3	88	 	 	 	 	 
21013	4	88	 	 	 	 	 
21013	5	88	 	 	 	 	 
21013	6	88	 	 	 	 	 
21014	1	 	 	 	 	 	 
21014	2	 	 	 	 	 	 
21014	3	 	 	 	 	 	 
21014	4	 	 	 	 	 	 
21014	5	 	 	 	 	 	 
21014	6	 	 	 	 	 	 
21015	1	30	1	30	1	1000	0
21015	2	40	1	30	1	5000	0
21015	3	40	6	30	6	15000	0
21015	4	40	2	30	2	150	0
21015	5	88	 	 	 	 	 
21015	6	88	 	 	 	 	 
21017	1	24	1	23	1	500000	1
21017	2	40	3	23	3	500	1
21017	3	88	 	 	 	 	 
21017	4	88	 	 	 	 	 
21017	5	88	 	 	 	 	 
21017	6	88	 	 	 	 	 
21018	1	 	 	 	 	 	 
21018	2	 	 	 	 	 	 
21018	3	 	 	 	 	 	 
21018	4	 	 	 	 	 	 
21018	5	 	 	 	 	 	 
21018	6	 	 	 	 	 	 
21020	1	 	 	 	 	 	 
21020	2	 	 	 	 	 	 
21020	3	 	 	 	 	 	 
21020	4	 	 	 	 	 	 
21020	5	 	 	 	 	 	 
21020	6	 	 	 	 	 	 
21022	1	13	7	7	7	1000	0
21022	2	40	15	7	15	6000	0
21022	3	2	1	7	1	350	0
21022	4	1	4	11	4	200	0
21022	5	88	 	 	 	 	 
21022	6	88	 	 	 	 	 
21023	1	24	1	23	1	30000	0
21023	2	3	1	11	1	100	0
21023	3	1	10	11	10	200	0
21023	4	25	1	24	1	3000	0
21023	5	88	 	 	 	 	 
21023	6	88	 	 	 	 	 
21024	1	1	7	11	7	1000	0
21024	2	3	1	11	1	500	0
21024	3	40	1	26	1	10000	0
21024	4	88	 	 	 	 	 
21024	5	88	 	 	 	 	 
21024	6	88	 	 	 	 	 
21025	1	1	5	11	5	200	0
21025	2	3	1	11	1	400	0
21025	3	88	 	 	 	 	 
21025	4	88	 	 	 	 	 
21025	5	88	 	 	 	 	 
21025	6	88	 	 	 	 	 
21026	1	 	 	 	 	 	 
21026	2	 	 	 	 	 	 
21026	3	 	 	 	 	 	 
21026	4	 	 	 	 	 	 
21026	5	 	 	 	 	 	 
21026	6	 	 	 	 	 	 
21027	1	40	1	30	1	700	0
21027	2	40	5	30	5	500	0
21027	3	40	1	30	1	150	0
21027	4	88	 	 	 	 	 
21027	5	88	 	 	 	 	 
21027	6	88	 	 	 	 	 
21029	1	1	2	11	2	100	0
21029	2	88	 	 	 	 	 
21029	3	88	 	 	 	 	 
21029	4	88	 	 	 	 	 
21029	5	88	 	 	 	 	 
21029	6	88	 	 	 	 	 
21030	1	1	10	11	10	300	0
21030	2	13	5	7	5	200	0
21030	3	88	 	 	 	 	 
21030	4	88	 	 	 	 	 
21030	5	88	 	 	 	 	 
21030	6	88	 	 	 	 	 
21031	1	1	12	11	12	300	0
21031	2	3	1	11	1	50	0
21031	3	88	 	 	 	 	 
21031	4	88	 	 	 	 	 
21031	5	88	 	 	 	 	 
21031	6	88	 	 	 	 	 
21032	1	2	1	5	1	2000	1
21032	2	1	5	11	5	100	0
21032	3	88	 	 	 	 	 
21032	4	88	 	 	 	 	 
21032	5	88	 	 	 	 	 
21032	6	88	 	 	 	 	 
21033	1	4	1	11	1	1000	0
21033	2	3	1	11	1	300	0
21033	3	1	10	11	10	600	0
21033	4	88	 	 	 	 	 
21033	5	88	 	 	 	 	 
21033	6	88	 	 	 	 	 
21034	1	1	5	11	5	200	0
21034	2	3	1	11	1	100	0
21034	3	5	1	11	1	1000	0
21034	4	88	 	 	 	 	 
21034	5	88	 	 	 	 	 
21034	6	88	 	 	 	 	 
21036	1	1	5	11	5	100	0
21036	2	3	1	11	1	20	0
21036	3	5	1	11	1	1000	1
21036	4	88	 	 	 	 	 
21036	5	88	 	 	 	 	 
21036	6	88	 	 	 	 	 
21037	1	1	5	11	5	150	0
21037	2	3	1	11	1	150	0
21037	3	40	1	26	1	3000	0
21037	4	88	 	 	 	 	 
21037	5	88	 	 	 	 	 
21037	6	88	 	 	 	 	 
21038	1	25	1	23	1	5000	0
21038	2	1	1	5	1	20	0
21038	3	88	 	 	 	 	 
21038	4	88	 	 	 	 	 
21038	5	88	 	 	 	 	 
21038	6	88	 	 	 	 	 
21039	1	22	5	22	5	150	0
21039	2	1	4	11	4	200	0
21039	3	21	1	21	1	400	0
21039	4	40	1	21	1	200	0
21039	5	88	 	 	 	 	 
21039	6	88	 	 	 	 	 
21041	1	3	1	11	1	100	0
21041	2	40	1	30	1	2000	0
21041	3	40	6	30	6	3000	0
21041	4	40	1	30	1	10	0
21041	5	88	 	 	 	 	 
21041	6	88	 	 	 	 	 
21042	1	40	1	11	1	7500	0
21042	2	1	4	11	4	300	0
21042	3	88	 	 	 	 	 
21042	4	88	 	 	 	 	 
21042	5	88	 	 	 	 	 
21042	6	88	 	 	 	 	 
21044	1	1	6	11	6	200	0
21044	2	88	 	 	 	 	 
21044	3	88	 	 	 	 	 
21044	4	88	 	 	 	 	 
21044	5	88	 	 	 	 	 
21044	6	88	 	 	 	 	 
21046	1	1	3	11	3	15	0
21046	2	88	 	 	 	 	 
21046	3	88	 	 	 	 	 
21046	4	88	 	 	 	 	 
21046	5	88	 	 	 	 	 
21046	6	88	 	 	 	 	 
21047	1	 	 	 	 	 	 
21047	2	 	 	 	 	 	 
21047	3	 	 	 	 	 	 
21047	4	 	 	 	 	 	 
21047	5	 	 	 	 	 	 
21047	6	 	 	 	 	 	 
21048	1	30	2	30	2	5000	0
21048	2	40	4	30	4	10000	0
21048	3	88	 	 	 	 	 
21048	4	88	 	 	 	 	 
21048	5	88	 	 	 	 	 
21048	6	88	 	 	 	 	 
21049	1	30	3	30	3	5000	1
21049	2	40	20	30	20	5000	1
21049	3	1	3	11	3	60	0
21049	4	40	40	30	40	400	0
21049	5	88	 	 	 	 	 
21049	6	88	 	 	 	 	 
21056	1	 	 	 	 	 	 
21056	2	 	 	 	 	 	 
21056	3	 	 	 	 	 	 
21056	4	 	 	 	 	 	 
21056	5	 	 	 	 	 	 
21056	6	 	 	 	 	 	 
21069	1	1	5	11	5	200	0
21069	2	3	1	11	1	50	0
21069	3	88	 	 	 	 	 
21069	4	88	 	 	 	 	 
21069	5	88	 	 	 	 	 
21069	6	88	 	 	 	 	 
21072	1	1	5	11	5	200	0
21072	2	4	1	11	1	200	0
21072	3	3	1	11	1	150	0
21072	4	88	 	 	 	 	 
21072	5	88	 	 	 	 	 
21072	6	88	 	 	 	 	 
21083	1	 	 	 	 	 	 
21083	2	 	 	 	 	 	 
21083	3	 	 	 	 	 	 
21083	4	 	 	 	 	 	 
21083	5	 	 	 	 	 	 
21083	6	 	 	 	 	 	 
21090	1	30	1	30	1	5000	0
21090	2	5	1	26	1	7000	0
21090	3	40	5	26	5	72000	0
21090	4	24	1	23	1	23000	1
21090	5	88	 	 	 	 	 
21090	6	88	 	 	 	 	 
21094	1	1	10	11	10	150	0
21094	2	3	1	11	1	50	0
21094	3	40	1	11	1	100	0
21094	4	40	3	26	2	200	0
21094	5	40	4	26	4	40000	1
21094	6	5	1	26	1	3000	1
31001	1	25	1	17	1	10000	1
31001	2	88	 	 	 	 	 
31001	3	88	 	 	 	 	 
31001	4	88	 	 	 	 	 
31001	5	88	 	 	 	 	 
31001	6	88	 	 	 	 	 
31002	1	4	1	11	1	400	0
31002	2	40	1	11	1	500	0
31002	3	5	1	11	1	300	0
31002	4	1	17	11	17	-77	0
31002	5	24	1	23	1	-77	0
31002	6	25	1	24	1	70000	0
31004	1	1	4	11	4	100	1
31004	2	88	 	 	 	 	 
31004	3	88	 	 	 	 	 
31004	4	88	 	 	 	 	 
31004	5	88	 	 	 	 	 
31004	6	88	 	 	 	 	 
31005	1	1	11	11	11	110	0
31005	2	4	2	11	2	600	0
31005	3	2	1	11	1	1000	0
31005	4	88	 	 	 	 	 
31005	5	88	 	 	 	 	 
31005	6	88	 	 	 	 	 
31006	1	1	8	11	8	100	0
31006	2	3	1	11	1	-77	0
31006	3	88	 	 	 	 	 
31006	4	88	 	 	 	 	 
31006	5	88	 	 	 	 	 
31006	6	88	 	 	 	 	 
31007	1	1	5	11	5	400	1
31007	2	2	1	11	1	3500	0
31007	3	4	1	11	1	400	0
31007	4	3	1	11	1	350	0
31007	5	88	 	 	 	 	 
31007	6	88	 	 	 	 	 
31008	1	1	12	11	12	500	0
31008	2	88	 	 	 	 	 
31008	3	88	 	 	 	 	 
31008	4	88	 	 	 	 	 
31008	5	88	 	 	 	 	 
31008	6	88	 	 	 	 	 
31010	1	1	8	11	8	100	1
31010	2	4	2	11	2	300	1
31010	3	88	 	 	 	 	 
31010	4	88	 	 	 	 	 
31010	5	88	 	 	 	 	 
31010	6	88	 	 	 	 	 
31011	1	1	20	11	20	200	0
31011	2	4	2	11	2	600	0
31011	3	2	1	11	1	3000	0
31011	4	88	 	 	 	 	 
31011	5	88	 	 	 	 	 
31011	6	88	 	 	 	 	 
31012	1	1	9	11	9	150	1
31012	2	3	1	11	1	50	1
31012	3	4	1	11	1	100	1
31012	4	88	 	 	 	 	 
31012	5	88	 	 	 	 	 
31012	6	88	 	 	 	 	 
31013	1	1	5	11	5	-77	0
31013	2	88	 	 	 	 	 
31013	3	88	 	 	 	 	 
31013	4	88	 	 	 	 	 
31013	5	88	 	 	 	 	 
31013	6	88	 	 	 	 	 
31018	1	1	4	11	4	100	1
31018	2	3	1	11	1	100	1
31018	3	88	 	 	 	 	 
31018	4	88	 	 	 	 	 
31018	5	88	 	 	 	 	 
31018	6	88	 	 	 	 	 
31020	1	1	9	11	9	-77	0
31020	2	3	1	11	1	100	0
31020	3	88	 	 	 	 	 
31020	4	88	 	 	 	 	 
31020	5	88	 	 	 	 	 
31020	6	88	 	 	 	 	 
31021	1	1	9	11	9	200	0
31021	2	13	5	7	5	500	0
31021	3	88	 	 	 	 	 
31021	4	88	 	 	 	 	 
31021	5	88	 	 	 	 	 
31021	6	88	 	 	 	 	 
31023	1	1	6	11	6	200	1
31023	2	4	3	11	3	900	1
31023	3	3	1	11	1	500	0
31023	4	2	1	11	1	700	0
31023	5	88	 	 	 	 	 
31023	6	88	 	 	 	 	 
31024	1	2	1	11	1	-77	1
31024	2	3	1	11	1	-77	1
31024	3	1	6	11	6	200	1
31024	4	88	 	 	 	 	 
31024	5	88	 	 	 	 	 
31024	6	88	 	 	 	 	 
31025	1	1	13	11	13	-77	0
31025	2	2	1	11	1	4000	0
31025	3	3	1	11	1	400	0
31025	4	4	1	11	1	260	0
31025	5	88	 	 	 	 	 
31025	6	88	 	 	 	 	 
31027	1	1	4	11	4	100	1
31027	2	3	1	11	1	50	1
31027	3	88	 	 	 	 	 
31027	4	88	 	 	 	 	 
31027	5	88	 	 	 	 	 
31027	6	88	 	 	 	 	 
31028	1	1	3	11	3	150	0
31028	2	88	 	 	 	 	 
31028	3	88	 	 	 	 	 
31028	4	88	 	 	 	 	 
31028	5	88	 	 	 	 	 
31028	6	88	 	 	 	 	 
31029	1	1	3	11	3	100	0
31029	2	2	1	11	1	600	0
31029	3	4	1	11	1	300	0
31029	4	3	1	11	1	500	0
31029	5	25	1	24	1	-77	0
31029	6	88	 	 	 	 	 
31031	1	1	10	11	10	100	0
31031	2	88	 	 	 	 	 
31031	3	88	 	 	 	 	 
31031	4	88	 	 	 	 	 
31031	5	88	 	 	 	 	 
31031	6	88	 	 	 	 	 
31032	1	7	1	11	1	450000	1
31032	2	3	3	11	3	1000	1
31032	3	4	2	11	2	1000	1
31032	4	1	15	11	15	500	1
31032	5	88	 	 	 	 	 
31032	6	88	 	 	 	 	 
31035	1	1	12	11	12	700	1
31035	2	40	1	11	1	750	1
31035	3	2	1	11	1	1000	1
31035	4	3	1	11	1	350	1
31035	5	88	 	 	 	 	 
31035	6	88	 	 	 	 	 
31036	1	25	1	13	1	10000	1
31036	2	20	1	13	1	300	1
31036	3	88	 	 	 	 	 
31036	4	88	 	 	 	 	 
31036	5	88	 	 	 	 	 
31036	6	88	 	 	 	 	 
31037	1	5	1	26	1	15000	1
31037	2	88	 	 	 	 	 
31037	3	88	 	 	 	 	 
31037	4	88	 	 	 	 	 
31037	5	88	 	 	 	 	 
31037	6	88	 	 	 	 	 
31038	1	8	2	11	2	3	0
31038	2	3	1	11	1	20	0
31038	3	40	1	11	1	600	0
31038	4	88	 	 	 	 	 
31038	5	88	 	 	 	 	 
31038	6	88	 	 	 	 	 
31039	1	25	1	24	1	3000	0
31039	2	88	 	 	 	 	 
31039	3	88	 	 	 	 	 
31039	4	88	 	 	 	 	 
31039	5	88	 	 	 	 	 
31039	6	88	 	 	 	 	 
31040	1	 	 	 	 	 	 
31040	2	 	 	 	 	 	 
31040	3	 	 	 	 	 	 
31040	4	 	 	 	 	 	 
31040	5	 	 	 	 	 	 
31040	6	 	 	 	 	 	 
31041	1	24	1	2	1	-77	0
31041	2	25	1	5	1	1500	0
31041	3	88	 	 	 	 	 
31041	4	88	 	 	 	 	 
31041	5	88	 	 	 	 	 
31041	6	88	 	 	 	 	 
31043	1	1	9	11	9	-77	0
31043	2	88	 	 	 	 	 
31043	3	88	 	 	 	 	 
31043	4	88	 	 	 	 	 
31043	5	88	 	 	 	 	 
31043	6	88	 	 	 	 	 
31044	1	1	18	11	18	1200	1
31044	2	88	 	 	 	 	 
31044	3	88	 	 	 	 	 
31044	4	88	 	 	 	 	 
31044	5	88	 	 	 	 	 
31044	6	88	 	 	 	 	 
31045	1	 	 	 	 	 	 
31045	2	 	 	 	 	 	 
31045	3	 	 	 	 	 	 
31045	4	 	 	 	 	 	 
31045	5	 	 	 	 	 	 
31045	6	 	 	 	 	 	 
31046	1	 	 	 	 	 	 
31046	2	 	 	 	 	 	 
31046	3	 	 	 	 	 	 
31046	4	 	 	 	 	 	 
31046	5	 	 	 	 	 	 
31046	6	 	 	 	 	 	 
31048	1	4	1	11	1	250000	1
31048	2	25	1	24	1	100000	1
31048	3	88	 	 	 	 	 
31048	4	88	 	 	 	 	 
31048	5	88	 	 	 	 	 
31048	6	88	 	 	 	 	 
31049	1	2	1	11	1	3000	0
31049	2	1	4	11	4	400	0
31049	3	4	1	11	1	300	0
31049	4	88	 	 	 	 	 
31049	5	88	 	 	 	 	 
31049	6	88	 	 	 	 	 
31050	1	1	4	11	4	150	0
31050	2	88	 	 	 	 	 
31050	3	88	 	 	 	 	 
31050	4	88	 	 	 	 	 
31050	5	88	 	 	 	 	 
31050	6	88	 	 	 	 	 
31052	1	1	15	11	15	150	1
31052	2	4	3	11	3	300	1
31052	3	2	1	11	1	2000	1
31052	4	88	 	 	 	 	 
31052	5	88	 	 	 	 	 
31052	6	88	 	 	 	 	 
31058	1	1	6	11	6	100	1
31058	2	88	 	 	 	 	 
31058	3	88	 	 	 	 	 
31058	4	88	 	 	 	 	 
31058	5	88	 	 	 	 	 
31058	6	88	 	 	 	 	 
31059	1	1	5	11	5	200	1
31059	2	88	 	 	 	 	 
31059	3	88	 	 	 	 	 
31059	4	88	 	 	 	 	 
31059	5	88	 	 	 	 	 
31059	6	88	 	 	 	 	 
31060	1	1	15	11	15	150	0
31060	2	88	 	 	 	 	 
31060	3	88	 	 	 	 	 
31060	4	88	 	 	 	 	 
31060	5	88	 	 	 	 	 
31060	6	88	 	 	 	 	 
31079	1	4	1	11	1	200	1
31079	2	1	3	11	2	20	1
31079	3	3	1	11	0	 	 
31079	4	88	 	 	 	 	 
31079	5	88	 	 	 	 	 
31079	6	88	 	 	 	 	 
31096	1	1	5	11	5	250	0
31096	2	4	2	11	2	1000	0
31096	3	3	1	11	1	500	0
31096	4	2	1	11	1	1000	0
31096	5	88	 	 	 	 	 
31096	6	88	 	 	 	 	 
31098	1	2	1	11	1	3000	0
31098	2	1	15	11	15	300	0
31098	3	3	2	11	2	300	0
31098	4	4	2	11	2	400	0
31098	5	88	 	 	 	 	 
31098	6	88	 	 	 	 	 
