CHILDCODE	ACTIDR5	ECNSCTR5	ACTR5	ACTFORR5	ACTMTHR5	ACTDAYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PDPCPRR5	PRFACTR5	MTHPRFR5
18016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18017	1	6	10	3	5	3	3	1	10	1	50	 	2	 	1	5
18017	2	8	10	3	3	8	4	2	14	1	30	 	2	 	1	4
18017	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18019	1	8	10	6	12	20	4	5	6	1	25	 	2	 	1	12
18019	2	6	3	3	8	12	4	3	8	1	40	 	2	 	1	12
18019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18020	1	11	11	3	1	4	4	1	12	1	50	 	2	 	0	 
18020	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18020	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18021	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18021	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18021	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18024	1	15	11	3	7	20	4	5	5	1	15	 	2	 	1	1
18024	2	7	15	2	12	24	4	6	4	0	 	 	 	 	1	12
18024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18025	1	13	11	4	12	14	4	4	24	1	2300	 	4	 	1	12
18025	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18026	1	8	10	6	12	24	4	6	13	1	60	 	2	 	1	12
18026	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18026	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	1	7	10	2	12	24	4	6	10	1	1200	 	4	 	1	12
18027	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	1	18	11	1	12	24	4	6	3	1	80	 	7	 	1	3
18028	2	1	3	1	12	12	4	3	3	1	50	 	2	 	1	3
18028	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18029	1	15	11	8	12	24	4	6	14	1	2800	 	4	 	1	12
18029	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18029	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18030	1	7	11	1	1	10	2	5	7	1	30	 	2	 	0	 
18030	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18030	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18032	1	10	12	1	1	24	4	6	8	1	25	 	2	 	0	 
18032	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18032	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18034	1	15	11	4	2	24	4	6	7	1	1500	 	4	 	0	 
18034	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18034	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18035	1	19	7	2	12	12	4	3	7	0	 	 	 	 	1	5
18035	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18035	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18036	1	19	10	6	12	24	4	6	6	1	60	 	2	 	1	12
18036	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18036	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18037	1	1	3	4	2	8	4	2	12	1	1500	 	4	 	0	 
18037	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18037	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18038	1	3	11	1	12	28	4	7	8	1	1000	 	4	 	0	 
18038	2	1	6	6	2	24	4	6	7	1	40	 	2	 	1	4
18038	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18039	1	15	11	5	12	20	4	5	5	1	296	 	4	 	1	12
18039	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18039	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18040	1	10	11	1	6	24	4	6	8	1	850	 	4	 	1	3
18040	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18040	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18041	1	7	14	2	3	8	4	2	7	0	 	 	 	 	1	1
18041	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18041	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18042	1	15	10	4	1	20	4	5	8	1	1500	 	4	 	1	0
18042	2	15	10	4	2	28	4	7	5	1	1800	 	4	 	0	 
18042	3	15	10	4	6	20	4	5	8	1	950	 	4	 	0	 
18044	1	8	10	6	12	30	4	7	13	1	50	 	2	 	1	12
18044	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18044	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18046	1	7	10	6	12	12	4	3	2	1	15	 	2	 	1	12
18046	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18046	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18047	1	7	11	3	2	20	4	5	11	1	25	 	2	 	0	 
18047	2	7	11	3	2	20	4	5	8	1	15	 	2	 	0	 
18047	3	7	11	3	1	20	4	5	9	1	20	 	2	 	0	 
18048	1	7	12	3	12	28	4	7	10	1	210	 	8	 	0	 
18048	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18048	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	1	15	11	4	0	5	1	5	7	1	-77	 	4	 	1	12
18049	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18050	1	18	11	2	12	24	4	6	3	1	150	 	7	 	1	12
18050	2	19	10	6	12	4	4	1	2	1	70	 	7	 	1	12
18050	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28001	1	1	2	1	12	24	4	6	11	1	30	 	2	 	1	12
28001	2	1	21	6	12	4	4	1	5	1	300	 	4	 	1	12
28001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28002	1	1	11	3	4	20	4	5	8	1	445.799987792969	 	8	 	1	12
28002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28003	1	1	21	2	12	20	4	5	5	1	120	 	3	 	1	4
28003	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28003	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28004	1	1	2	3	3	24	4	6	6	1	30	 	2	 	0	 
28004	2	3	11	1	6	20	4	5	8	1	850	 	4	 	1	12
28004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28006	1	19	11	3	1	8	4	2	9	1	25	 	2	 	0	 
28006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28008	1	1	2	3	2	12	4	3	5	1	90	 	3	 	0	 
28008	2	1	21	6	1	5	4	1	5	0	 	 	 	 	0	 
28008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28010	1	19	23	3	3	12	4	3	5	1	30	 	3	 	0	 
28010	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28010	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28012	1	1	2	1	12	24	4	6	12	1	900	 	4	 	1	6
28012	2	1	21	2	12	5	4	1	4	0	 	 	 	 	1	12
28012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28013	1	7	14	2	2	4	4	1	7	1	40	 	2	 	1	12
28013	2	1	3	3	1	7	1	1	8	1	33	 	2	 	1	12
28013	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28014	1	7	11	1	10	24	4	6	4	1	600	 	4	 	1	2
28014	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28015	1	19	11	8	12	12	4	3	3	1	20	 	2	 	1	12
28015	2	19	7	8	12	30	4	7	2	0	 	 	 	 	1	12
28015	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28016	1	1	11	1	6	24	4	6	8	1	470	 	8	 	1	6
28016	2	7	11	1	9	24	4	6	12	1	400	 	8	 	0	 
28016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28017	1	1	11	1	12	24	4	6	10	1	1200	 	4	 	1	12
28017	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28017	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	1	1	11	1	12	24	4	6	10	1	560	 	8	 	1	12
28018	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28020	1	7	11	1	12	24	4	6	4	1	500	 	4	 	1	12
28020	2	1	21	2	12	4	4	1	3	0	 	 	 	 	1	12
28020	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28021	1	2	11	1	5	21	3	7	12	1	1200	 	4	 	1	12
28021	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	1	7	14	6	12	28	4	7	12	1	500	 	4	 	1	12
28023	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28024	1	19	10	6	7	24	4	6	11	1	70	 	2	 	1	12
28024	2	1	21	6	5	20	4	5	3	3	10000	300	7	 	0	 
28024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38001	1	1	21	2	5	24	4	6	8	0	 	 	 	 	1	2
38001	2	1	2	1	3	24	4	6	8	1	15	 	2	 	1	1
38001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38002	1	1	2	3	5	24	4	6	8	1	15	 	2	 	1	12
38002	2	1	2	3	7	12	4	3	3	1	15	 	2	 	1	12
38002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38004	1	1	2	3	4	30	4	6	9	1	150	 	3	 	1	2
38004	2	1	21	6	10	30	4	6	9	0	 	 	 	 	1	8
38004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38006	1	18	11	1	12	24	4	6	9	1	700	 	4	 	1	12
38006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38008	1	20	23	3	9	12	4	6	6	3	900	360	4	 	0	 
38008	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38010	1	6	11	1	6	24	4	6	8	3	1200	480	4	 	1	12
38010	2	3	11	1	6	24	4	6	8	1	336	 	3	 	0	 
38010	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38014	1	15	11	4	12	30	4	7	8	1	2000	 	4	 	1	12
38014	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38015	1	8	11	1	5	16	4	4	8	1	120	 	3	 	1	0
38015	2	1	21	2	1	20	4	5	6	0	 	 	 	 	1	12
38015	3	19	11	1	0	0	0	0	0	1	280	 	3	 	1	12
38016	1	1	21	2	1	7	1	7	7	0	 	 	 	 	0	 
38016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38017	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38017	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38017	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38019	1	7	14	6	12	30	4	7	12	1	30	 	2	 	1	2
38019	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38020	1	1	2	3	5	30	4	6	8	1	300	 	4	 	1	12
38020	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38020	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38021	1	8	11	1	12	24	4	6	12	1	1200	 	4	 	1	12
38021	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38022	1	8	10	6	9	24	4	6	9	1	1200	 	4	 	1	12
38022	2	1	7	3	12	4	4	1	8	0	 	 	 	 	1	12
38022	3	8	11	4	3	24	4	6	8	1	1000	 	4	 	0	 
38023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38023	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38023	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38024	1	3	11	1	12	24	4	6	8	1	880	 	4	 	1	1
38024	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38025	1	7	11	1	4	8	4	2	8	1	35	 	2	 	1	2
38025	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48001	1	9	11	3	2	28	4	7	8	1	900	 	4	 	0	 
48001	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48002	1	1	21	8	12	4	4	1	6	6	0	0	 	 	1	12
48002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48003	1	1	21	2	2	20	4	5	8	0	 	 	 	 	1	2
48003	2	6	11	1	5	26	4	6	8	1	40	 	2	 	0	 
48003	3	1	2	3	3	20	4	5	8	1	45	 	2	 	0	 
48004	1	6	12	3	12	8	4	2	9	1	50	 	2	 	1	4
48004	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48005	1	3	11	3	12	24	4	6	8	1	300	 	3	 	1	12
48005	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48005	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48006	1	9	12	1	3	30	4	7	14	1	1200	 	4	 	0	 
48006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48007	1	1	15	2	12	24	4	6	8	0	 	 	 	 	1	12
48007	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48007	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48008	1	1	21	2	12	16	4	3	5	0	 	 	 	 	1	12
48008	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48009	1	1	7	2	12	16	4	4	11	0	 	 	 	 	1	5
48009	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48009	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48013	1	1	21	2	10	24	4	6	8	1	150	 	3	 	1	12
48013	2	6	3	1	2	24	4	6	8	1	30	 	2	 	1	1
48013	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48014	1	1	21	6	12	24	4	6	7	0	 	 	 	 	1	12
48014	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48015	1	7	11	1	12	24	4	6	8	1	950	 	4	 	1	12
48015	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48015	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48016	1	7	11	3	12	28	4	7	4	1	300	 	4	 	1	12
48016	2	13	11	1	9	24	4	6	12	1	700	 	4	 	0	 
48016	3	19	11	6	2	24	4	6	11	1	300	 	4	 	0	 
48017	1	16	20	6	12	28	4	7	4	1	10	 	1	 	1	0
48017	2	19	10	3	1	16	4	4	3	1	1500	 	7	 	0	 
48017	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48018	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48018	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48018	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48019	1	1	21	2	12	4	4	1	8	0	 	 	 	 	1	12
48019	2	7	9	2	3	28	4	7	8	0	 	 	 	 	1	12
48019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48020	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48020	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48021	1	7	14	6	12	24	4	6	8	1	60	 	2	 	1	12
48021	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48022	1	9	12	3	6	30	4	7	13	1	250	 	4	 	0	 
48022	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48023	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48023	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48024	1	19	11	1	3	24	4	6	8	1	2200	 	4	 	1	12
48024	2	19	11	1	5	24	4	6	8	1	1800	 	4	 	0	 
48024	3	19	11	1	4	24	4	6	8	1	1800	 	4	 	0	 
48025	1	3	11	3	1	26	4	6	11	1	600	 	4	 	0	 
48025	2	3	11	1	12	26	4	6	3	1	200	 	8	 	1	12
48025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48026	1	15	11	1	6	24	4	6	8	1	800	 	4	 	1	12
48026	2	8	11	3	6	8	4	2	7	1	120	 	2	 	0	 
48026	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58002	1	19	11	1	12	24	4	6	12	1	1200	 	4	 	1	12
58002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58004	1	18	11	1	12	24	4	6	8	1	1044	 	4	 	1	8
58004	2	6	11	1	10	4	4	1	7	1	30	 	2	 	1	8
58004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58007	1	15	20	4	12	8	4	5	15	1	360	 	4	 	1	2
58007	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58007	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58008	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58008	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58008	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58011	1	9	11	1	11	26	4	6	10	1	800	 	4	 	1	12
58011	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58011	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58012	1	1	21	2	12	24	4	6	5	3	100	50	4	 	1	3
58012	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58014	1	1	2	3	6	20	4	5	8	1	150	 	3	 	0	 
58014	2	1	21	2	1	12	4	3	6	0	 	 	 	 	1	1
58014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58015	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58015	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58015	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58016	1	1	2	3	12	12	4	3	7	1	40	 	2	 	1	12
58016	2	1	21	2	12	16	4	4	7	0	 	 	 	 	1	12
58016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58017	1	1	21	2	12	24	4	6	5	6	40000	0	 	 	1	12
58017	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58017	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58019	1	20	11	3	3	24	4	6	8	1	300	 	4	 	1	1
58019	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58020	1	3	11	1	1	24	4	6	12	1	950	 	4	 	0	 
58020	2	7	15	2	9	28	4	7	9	0	 	 	 	 	1	12
58020	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58021	1	1	2	3	6	24	4	6	8	1	20	 	2	 	1	4
58021	2	1	7	2	6	24	4	6	6	0	 	 	 	 	1	5
58021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58022	1	6	10	3	12	24	4	6	9	1	40	 	2	 	1	12
58022	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
