formno	COMMID	crpid	crop	harvest
R1COMM	IN033	1	1	1
R1COMM	IN033	2	9	5
R1COMM	IN033	3	13	3
R1COMM	IN034	1	1	1
R1COMM	IN034	2	21	3
R1COMM	IN034	3	9	4
R1COMM	IN035	1	23	4
R1COMM	IN035	2	 	4
R1COMM	IN035	3	 	4
R1COMM	IN036	1	 	4
R1COMM	IN036	2	 	1
R1COMM	IN036	3	 	4
R1COMM	IN037	1	28	 
R1COMM	IN037	2	 	 
R1COMM	IN037	3	 	 
R1COMM	IN038	1	28	4
R1COMM	IN038	2	1	4
R1COMM	IN040	1	28	 
R1COMM	IN040	2	1	 
R1COMM	IN040	3	28	 
R1COMM	IN041	1	28	4
R1COMM	IN041	2	1	5
R1COMM	IN041	3	28	4
R1COMM	IN042	1	28	 
R1COMM	IN042	2	1	 
R1COMM	IN042	3	28	 
R1COMM	IN043	1	10	 
R1COMM	IN043	2	28	 
R1COMM	IN043	3	1	 
R1COMM	IN044	1	28	 
R1COMM	IN044	2	1	 
R1COMM	IN044	3	2	 
R1COMM	IN045	1	28	1
R1COMM	IN045	2	 	 
R1COMM	IN045	3	 	 
R1COMM	IN046	1	28	 
R1COMM	IN046	2	28	 
R1COMM	IN046	3	1	 
R1COMM	IN050	1	 	 
R1COMM	IN050	2	28	 
R1COMM	IN050	3	 	 
R1COMM	IN051	1	1	 
R1COMM	IN051	2	28	 
R1COMM	IN051	3	28	 
R1COMM	IN052	1	1	4
R1COMM	IN052	2	28	4
R1COMM	IN052	3	28	4
R1COMM	IN053	1	1	 
R1COMM	IN053	2	28	 
R1COMM	IN054	1	1	 
R1COMM	IN054	2	28	 
R1COMM	IN055	1	1	4
R1COMM	IN055	2	28	4
R1COMM	IN055	3	28	1
R1COMM	IN056	1	1	4
R1COMM	IN056	2	28	4
R1COMM	IN056	3	28	1
R1COMM	IN057	1	1	4
R1COMM	IN057	2	28	4
R1COMM	IN057	3	28	4
R1COMM	IN058	1	1	 
R1COMM	IN058	2	28	 
R1COMM	IN058	3	28	 
R1COMM	IN059	1	1	 
R1COMM	IN059	2	28	 
R1COMM	IN059	3	28	 
R1COMM	IN060	1	1	4
R1COMM	IN060	2	28	2
R1COMM	IN060	3	28	4
R1COMM	IN061	1	28	5
R1COMM	IN061	2	28	4
R1COMM	IN061	3	1	4
R1COMM	IN062	1	1	4
R1COMM	IN062	2	28	5
R1COMM	IN062	3	3	4
R1COMM	IN063	1	1	1
R1COMM	IN063	2	28	1
R1COMM	IN063	3	28	5
R1COMM	IN064	1	28	1
R1COMM	IN064	2	28	5
R1COMM	IN064	3	1	5
R1COMM	IN065	1	28	5
R1COMM	IN065	2	1	1
R1COMM	IN065	3	28	1
R1COMM	IN066	1	1	1
R1COMM	IN066	2	28	5
R1COMM	IN066	3	28	1
R1COMM	IN067	1	1	1
R1COMM	IN067	2	28	1
R1COMM	IN067	3	28	5
R1COMM	IN068	1	1	 
R1COMM	IN068	2	28	 
R1COMM	IN068	3	28	 
R1COMM	IN069	1	1	1
R1COMM	IN069	2	28	1
R1COMM	IN069	3	2	1
R1COMM	IN070	1	1	 
R1COMM	IN070	2	28	 
R1COMM	IN070	3	28	 
R1COMM	IN071	1	14	4
R1COMM	IN071	2	28	4
R1COMM	IN071	3	28	5
R1COMM	IN072	1	14	4
R1COMM	IN072	2	28	4
R1COMM	IN072	3	28	4
R1COMM	IN073	1	14	 
R1COMM	IN073	2	28	 
R1COMM	IN073	3	28	 
R1COMM	IN074	1	28	 
R1COMM	IN074	2	28	 
R1COMM	IN074	3	14	 
R1COMM	IN075	1	14	 
R1COMM	IN075	2	28	 
R1COMM	IN075	3	8	 
R1COMM	IN076	1	1	1
R1COMM	IN076	2	28	1
R1COMM	IN076	3	28	1
R1COMM	IN077	1	1	1
R1COMM	IN077	2	28	1
R1COMM	IN077	3	28	1
R1COMM	IN078	1	1	 
R1COMM	IN078	2	28	 
R1COMM	IN078	3	14	 
R1COMM	IN079	1	28	1
R1COMM	IN079	2	1	1
R1COMM	IN079	3	28	1
R1COMM	IN080	1	28	1
R1COMM	IN080	2	28	1
R1COMM	IN080	3	1	1
R1COMM	IN081	1	1	4
R1COMM	IN081	2	28	4
R1COMM	IN081	3	14	4
R1COMM	IN082	1	1	 
R1COMM	IN082	2	14	 
R1COMM	IN082	3	28	 
R1COMM	IN083	1	1	4
R1COMM	IN083	2	14	4
R1COMM	IN083	3	28	4
R1COMM	IN084	1	1	4
R1COMM	IN084	2	28	4
R1COMM	IN084	3	14	4
R1COMM	IN085	1	14	4
R1COMM	IN085	2	1	4
R1COMM	IN085	3	28	4
R1COMM	IN086	1	1	2
R1COMM	IN086	2	8	2
R1COMM	IN086	3	28	2
R1COMM	IN092	1	1	5
R1COMM	IN092	2	28	1
R1COMM	IN092	3	28	1
R1COMM	IN093	1	1	1
R1COMM	IN093	2	14	3
R1COMM	IN093	3	28	4
R1COMM	IN096	1	1	 
R1COMM	IN096	2	14	 
R1COMM	IN096	3	8	 
R1COMM	IN097	1	1	5
R1COMM	IN097	2	28	5
R1COMM	IN097	3	28	5
R1COMM	IN099	1	28	1
R1COMM	IN099	2	1	1
R1COMM	IN099	3	28	5
R1COMM	IN098	1	1	 
R1COMM	IN098	2	13	 
R1COMM	IN098	3	15	 
R1COMM	IN102	1	1	5
R1COMM	IN102	2	28	1
