formno	COMMID	credid	crdnme
R1COMM	IN038	1	1
R1COMM	IN038	2	4
R1COMM	IN040	1	1
R1COMM	IN040	2	4
R1COMM	IN041	1	1
R1COMM	IN041	2	1
R1COMM	IN041	3	4
R1COMM	IN042	1	4
R1COMM	IN042	2	1
R1COMM	IN043	1	1
R1COMM	IN043	2	4
R1COMM	IN045	1	4
R1COMM	IN046	1	4
R1COMM	IN047	1	1
R1COMM	IN047	2	2
R1COMM	IN047	3	3
R1COMM	IN048	1	4
R1COMM	IN048	2	2
R1COMM	IN048	3	1
R1COMM	IN050	1	4
R1COMM	IN050	2	 
R1COMM	IN050	3	1
R1COMM	IN051	1	1
R1COMM	IN051	2	4
R1COMM	IN051	3	 
R1COMM	IN052	1	4
R1COMM	IN052	2	 
R1COMM	IN052	3	1
R1COMM	IN053	1	4
R1COMM	IN053	2	 
R1COMM	IN053	3	1
R1COMM	IN054	1	4
R1COMM	IN054	2	 
R1COMM	IN054	3	1
R1COMM	IN055	1	1
R1COMM	IN055	2	4
R1COMM	IN056	1	1
R1COMM	IN056	2	4
R1COMM	IN056	3	4
R1COMM	IN057	1	4
R1COMM	IN057	2	4
R1COMM	IN057	3	1
R1COMM	IN058	1	4
R1COMM	IN058	2	4
R1COMM	IN058	3	1
R1COMM	IN059	1	4
R1COMM	IN059	2	5
R1COMM	IN059	3	1
R1COMM	IN060	1	4
R1COMM	IN060	2	5
R1COMM	IN060	3	1
R1COMM	IN061	1	1
R1COMM	IN061	2	4
R1COMM	IN061	3	4
R1COMM	IN062	1	1
R1COMM	IN062	2	2
R1COMM	IN062	3	4
R1COMM	IN063	1	1
R1COMM	IN063	2	4
R1COMM	IN063	3	4
R1COMM	IN064	1	1
R1COMM	IN064	2	4
R1COMM	IN064	3	4
R1COMM	IN065	1	1
R1COMM	IN065	2	4
R1COMM	IN066	1	4
R1COMM	IN066	2	1
R1COMM	IN066	3	4
R1COMM	IN067	1	3
R1COMM	IN067	2	4
R1COMM	IN067	3	4
R1COMM	IN068	1	4
R1COMM	IN068	2	4
R1COMM	IN068	3	1
R1COMM	IN069	1	4
R1COMM	IN069	2	4
R1COMM	IN070	1	4
R1COMM	IN070	2	4
R1COMM	IN070	3	1
R1COMM	IN071	1	4
R1COMM	IN071	2	1
R1COMM	IN071	3	4
R1COMM	IN072	1	4
R1COMM	IN072	2	4
R1COMM	IN072	3	1
R1COMM	IN073	1	1
R1COMM	IN073	2	4
R1COMM	IN073	3	4
R1COMM	IN074	1	4
R1COMM	IN074	2	1
R1COMM	IN074	3	4
R1COMM	IN075	1	1
R1COMM	IN075	2	4
R1COMM	IN075	3	4
R1COMM	IN075	4	4
R1COMM	IN076	1	3
R1COMM	IN076	2	4
R1COMM	IN076	3	4
R1COMM	IN077	1	1
R1COMM	IN077	2	4
R1COMM	IN077	3	4
R1COMM	IN078	1	1
R1COMM	IN078	2	4
R1COMM	IN078	3	4
R1COMM	IN079	1	4
R1COMM	IN079	2	4
R1COMM	IN080	1	1
R1COMM	IN080	2	4
R1COMM	IN080	3	4
R1COMM	IN081	1	3
R1COMM	IN081	2	4
R1COMM	IN081	3	4
R1COMM	IN082	1	4
R1COMM	IN082	2	1
R1COMM	IN082	3	4
R1COMM	IN083	1	1
R1COMM	IN083	2	4
R1COMM	IN083	3	4
R1COMM	IN084	1	4
R1COMM	IN084	2	1
R1COMM	IN084	3	4
R1COMM	IN085	1	4
R1COMM	IN085	2	4
R1COMM	IN085	3	1
R1COMM	IN086	1	4
R1COMM	IN087	1	1
R1COMM	IN087	2	4
R1COMM	IN088	1	1
R1COMM	IN088	2	4
R1COMM	IN089	1	4
R1COMM	IN089	2	5
R1COMM	IN090	1	4
R1COMM	IN090	2	5
R1COMM	IN090	3	5
R1COMM	IN091	1	4
R1COMM	IN091	2	5
R1COMM	IN091	3	3
R1COMM	IN092	1	4
R1COMM	IN092	2	1
R1COMM	IN093	1	1
R1COMM	IN093	2	4
R1COMM	IN093	3	3
R1COMM	IN096	1	3
R1COMM	IN096	2	4
R1COMM	IN096	3	4
R1COMM	IN097	1	4
R1COMM	IN097	2	1
R1COMM	IN098	1	1
R1COMM	IN098	2	4
R1COMM	IN098	3	4
R1COMM	IN099	1	4
R1COMM	IN099	2	1
R1COMM	IN101	1	4
R1COMM	IN101	2	2
R1COMM	IN102	1	1
R1COMM	IN102	2	4
R1COMM	IN044	1	4
R1COMM	IN044	2	1
R1COMM	IN044	3	3
