formno	COMMID	prodid	problem
R1COMM	IN064	2	1
R1COMM	IN064	3	2
R1COMM	IN065	1	3
R1COMM	IN065	2	4
R1COMM	IN065	3	1
R1COMM	IN065	9	1
R1COMM	IN066	1	 
R1COMM	IN066	2	 
R1COMM	IN066	3	 
R1COMM	IN067	1	 
R1COMM	IN067	2	 
R1COMM	IN067	3	 
R1COMM	IN067	9	 
R1COMM	IN068	1	 
R1COMM	IN068	2	 
R1COMM	IN068	3	 
R1COMM	IN068	9	 
R1COMM	IN069	1	4
R1COMM	IN069	2	1
R1COMM	IN069	3	1
R1COMM	IN070	1	3
R1COMM	IN070	2	1
R1COMM	IN070	3	1
R1COMM	IN070	9	1
R1COMM	IN071	1	4
R1COMM	IN071	2	3
R1COMM	IN071	3	1
R1COMM	IN072	1	4
R1COMM	IN072	2	9
R1COMM	IN072	3	1
R1COMM	IN072	9	1
R1COMM	IN073	1	4
R1COMM	IN073	2	1
R1COMM	IN073	3	1
R1COMM	IN074	1	4
R1COMM	IN074	2	1
R1COMM	IN074	3	4
R1COMM	IN075	1	4
R1COMM	IN075	2	4
R1COMM	IN075	3	1
R1COMM	IN076	1	1
R1COMM	IN076	2	1
R1COMM	IN076	3	1
R1COMM	IN076	9	1
R1COMM	IN077	1	3
R1COMM	IN077	2	3
R1COMM	IN077	3	3
R1COMM	IN077	9	3
R1COMM	IN078	1	3
R1COMM	IN078	2	3
R1COMM	IN078	3	3
R1COMM	IN078	9	3
R1COMM	IN079	1	3
R1COMM	IN079	2	1
R1COMM	IN079	3	1
R1COMM	IN079	9	1
R1COMM	IN080	1	4
R1COMM	IN080	2	1
R1COMM	IN080	3	2
R1COMM	IN080	9	1
R1COMM	IN081	1	 
R1COMM	IN081	2	 
R1COMM	IN081	3	 
R1COMM	IN082	1	 
R1COMM	IN082	2	 
R1COMM	IN082	3	 
R1COMM	IN083	1	 
R1COMM	IN083	2	 
R1COMM	IN083	3	 
R1COMM	IN084	1	 
R1COMM	IN084	2	 
R1COMM	IN084	3	 
R1COMM	IN085	1	 
R1COMM	IN085	2	 
R1COMM	IN085	3	 
R1COMM	IN086	1	 
R1COMM	IN086	2	 
R1COMM	IN086	3	 
R1COMM	IN089	3	1
R1COMM	IN090	3	1
R1COMM	IN091	1	1
R1COMM	IN092	1	1
R1COMM	IN092	2	1
R1COMM	IN092	3	1
R1COMM	IN092	9	1
R1COMM	IN093	1	1
R1COMM	IN093	2	1
R1COMM	IN093	3	1
R1COMM	IN096	1	 
R1COMM	IN096	2	 
R1COMM	IN096	3	 
R1COMM	IN097	1	4
R1COMM	IN097	2	4
R1COMM	IN097	3	1
R1COMM	IN097	9	1
R1COMM	IN098	1	 
R1COMM	IN098	2	 
R1COMM	IN098	3	 
R1COMM	IN099	1	4
R1COMM	IN099	2	4
R1COMM	IN099	3	1
R1COMM	IN099	9	1
R1COMM	IN101	1	1
R1COMM	IN101	2	1
R1COMM	IN101	3	1
R1COMM	IN101	9	1
R1COMM	IN102	1	1
R1COMM	IN102	2	1
R1COMM	IN102	3	1
