PLACEID	PRLDIDR5	AVLNDPRC	MNLNDPRC	MXLDNPRC
1226	3	120	 	 
1227	1	-88	 	 
1227	2	-88	 	 
1227	3	2900	 	 
1228	1	-88	 	 
1228	2	-88	 	 
1228	3	-77	100	150
1229	1	-88	 	 
1229	2	-88	 	 
1229	3	-77	600	800
1230	1	-88	 	 
1230	2	-88	 	 
1230	3	1800	 	 
1231	1	-88	 	 
1231	2	-88	 	 
1231	3	700	 	 
1232	1	-88	 	 
1232	2	-88	 	 
1232	3	3000	 	 
1233	1	-88	 	 
1233	2	-88	 	 
1233	3	1000	 	 
1234	1	-88	 	 
1234	2	-88	 	 
1234	3	980	 	 
1235	1	-88	 	 
1235	2	-88	 	 
1235	3	1000	 	 
1236	1	-88	 	 
1236	2	-88	 	 
1236	3	-77	222.199996948242	444.399993896484
1237	1	-88	 	 
1237	2	-88	 	 
1237	3	-77	500	1000
1301	1	-88	 	 
1301	2	-88	 	 
1301	3	300	 	 
1304	1	-88	 	 
1304	2	-88	 	 
1304	3	-77	300	500
1305	1	-88	 	 
1305	2	-88	 	 
1305	3	160	 	 
1306	1	-88	 	 
1306	2	-88	 	 
1306	3	-77	1800	1900
1308	1	-88	 	 
1308	2	-88	 	 
1308	3	3000	 	 
1309	1	-88	 	 
1309	2	-88	 	 
1309	3	-77	100	250
1310	1	-88	 	 
1310	2	-88	 	 
1310	3	-77	100	250
1401	1	-88	 	 
1401	2	-88	 	 
1401	3	-77	1000	9000
1404	1	-88	 	 
1404	2	-88	 	 
1404	3	-77	1000	1800
1405	1	-88	 	 
1405	2	-88	 	 
1405	3	-77	1500	3000
1406	1	-88	 	 
1406	2	-88	 	 
1406	3	450	 	 
1407	1	-88	 	 
1407	2	-88	 	 
1407	3	-77	1900	2500
1408	1	-88	 	 
1408	2	-88	 	 
1408	3	400	 	 
1409	1	-88	 	 
1409	2	-88	 	 
1409	3	-77	500	800
1410	1	-88	 	 
1410	2	-88	 	 
1410	3	-77	1000	1465
1411	1	-88	 	 
1411	2	-88	 	 
1411	3	1500	 	 
1412	1	-88	 	 
1412	2	-88	 	 
1412	3	-77	100	200
1413	1	88	 	 
1413	2	88	 	 
1413	3	300	 	 
1414	1	-88	 	 
1414	2	-88	 	 
1414	3	-88	 	 
1504	1	-88	 	 
1504	2	-88	 	 
1504	3	-88	 	 
1505	1	10000	 	 
1505	2	3000	 	 
1505	3	300	 	 
1507	1	2000	 	 
1507	2	500	 	 
1507	3	100	 	 
1508	1	-88	 	 
1508	2	-77	5000	10000
1508	3	30	 	 
1509	1	-77	-77	-77
1509	2	-77	-77	-77
1509	3	-77	-77	-77
1510	1	-88	 	 
1510	2	-88	 	 
1510	3	-88	 	 
1511	1	-88	 	 
1511	2	-88	 	 
1511	3	-88	 	 
1601	1	24000	 	 
1601	2	8000	 	 
1601	3	10	 	 
1603	1	5000	 	 
1603	2	2000	 	 
1603	3	-88	 	 
1604	1	-88	 	 
1604	2	-88	 	 
1604	3	-88	 	 
1702	1	-88	 	 
1702	2	16000	 	 
1702	3	5	 	 
1801	1	20000	 	 
1801	2	8000	 	 
1801	3	20	 	 
2002	1	-88	 	 
2002	2	-88	 	 
2002	3	-77	250	380
2004	1	-88	 	 
2004	2	-88	 	 
2004	3	-77	2000	3000
2005	1	-88	 	 
2005	2	-88	 	 
2005	3	870	 	 
2007	1	-88	 	 
2007	2	-88	 	 
2007	3	700	 	 
2008	1	-88	 	 
2008	2	-88	 	 
2008	3	-77	200	400
2009	1	-88	 	 
2009	2	-88	 	 
2009	3	-77	250	300
2010	1	-88	 	 
2010	2	-88	 	 
2010	3	-77	250	600
2011	1	-88	 	 
2011	2	-88	 	 
2011	3	1700	 	 
2012	1	-88	 	 
2012	2	-88	 	 
2012	3	-77	800	1200
2014	1	-88	 	 
2014	2	-88	 	 
2014	3	210	 	 
2015	1	-88	 	 
2015	2	-88	 	 
2015	3	350	 	 
2016	1	-88	 	 
2016	2	-88	 	 
2016	3	-77	200	300
2017	1	-88	 	 
2017	2	-88	 	 
2017	3	1600	 	 
2018	1	-88	 	 
2018	2	-88	 	 
2018	3	1500	 	 
2019	1	-88	 	 
2019	2	-88	 	 
2019	3	500	 	 
2020	1	-88	 	 
2020	2	-88	 	 
2020	3	-77	1000	2000
2021	1	-88	 	 
2021	2	-88	 	 
2021	3	750	 	 
2022	1	-88	 	 
2022	2	-88	 	 
2022	3	380	 	 
2024	1	-88	 	 
2024	2	-88	 	 
2024	3	400	 	 
2025	1	-88	 	 
2025	2	-88	 	 
2025	3	-77	260	220
8007	1	-88	 	 
8007	2	-88	 	 
8007	3	300	 	 
8008	1	-88	 	 
8008	2	1	 	 
8008	3	1800	 	 
8012	1	-88	 	 
8012	2	-88	 	 
8012	3	240	 	 
8013	1	6000	 	 
8013	2	-88	 	 
8013	3	15	 	 
8014	1	40000	 	 
8014	2	-88	 	 
8014	3	20	 	 
8015	1	5000	 	 
8015	2	3000	 	 
8015	3	-88	 	 
8018	1	50000	 	 
8018	2	15000	 	 
8018	3	-77	1500	2000
8020	1	-88	 	 
8020	2	-88	 	 
8020	3	-77	1000	1500
8024	1	200000	 	 
8024	2	-88	 	 
8024	3	700	 	 
8029	1	6000	 	 
8029	2	3000	 	 
8029	3	5	 	 
8032	1	2000	 	 
8032	2	-88	 	 
8032	3	2500	 	 
8034	1	160	 	 
8034	2	120	 	 
8034	3	-88	 	 
8037	1	-88	 	 
8037	2	10000	 	 
8037	3	30	 	 
8038	1	500	 	 
8038	2	-88	 	 
8038	3	900	 	 
8039	1	-88	 	 
8039	2	-88	 	 
8039	3	-88	 	 
8046	1	-88	 	 
8046	2	-88	 	 
8046	3	1000	 	 
8048	1	520000	 	 
8048	2	36000	 	 
8048	3	15	 	 
8049	1	-88	 	 
8049	2	-88	 	 
8049	3	120	 	 
8059	1	50000	 	 
8059	2	-88	 	 
8059	3	400	 	 
8060	1	-88	 	 
8060	2	-88	 	 
8060	3	1200	 	 
8062	1	-88	 	 
8062	2	-88	 	 
8062	3	200	 	 
8064	1	-77	-77	-77
8064	2	-77	-77	-77
8064	3	250	 	 
8066	1	-88	 	 
8066	2	5000	 	 
8066	3	50	 	 
8070	1	-88	 	 
8070	2	12000	 	 
8070	3	20	 	 
8071	1	-88	 	 
8071	2	-88	 	 
8071	3	-88	 	 
8079	1	-88	 	 
8079	2	-88	 	 
8079	3	50	 	 
8084	1	-88	 	 
8084	2	-88	 	 
8084	3	567	 	 
8085	1	70000	 	 
8085	2	30000	 	 
8085	3	40	 	 
8088	1	-88	 	 
8088	2	-88	 	 
8088	3	-77	1100	1300
8090	1	-88	 	 
8090	2	-88	 	 
8090	3	4500	 	 
8092	1	-88	 	 
8092	2	-88	 	 
8092	3	3000	 	 
8094	1	-88	 	 
8094	2	-88	 	 
8094	3	-77	550	750
8097	1	-88	 	 
8097	2	-88	 	 
8097	3	-77	600	900
8098	1	-88	 	 
8098	2	-88	 	 
8098	3	-88	 	 
8099	1	-88	 	 
8099	2	-88	 	 
8099	3	6600	 	 
8101	1	-88	 	 
8101	2	-88	 	 
8101	3	2600	 	 
8103	1	-88	 	 
8103	2	-88	 	 
8103	3	1050	 	 
8107	1	-88	 	 
8107	2	-88	 	 
8107	3	630	 	 
8108	1	-88	 	 
8108	2	-88	 	 
8108	3	400	 	 
8110	1	-88	 	 
8110	2	-88	 	 
8110	3	35000	 	 
8112	1	-88	 	 
8112	2	-88	 	 
8112	3	-77	100	400
8113	1	-88	 	 
8113	2	-88	 	 
8113	3	2000	 	 
8114	1	-88	 	 
8114	2	-88	 	 
8114	3	-77	1200	1600
8115	1	-88	 	 
8115	2	-88	 	 
8115	3	660	 	 
8119	1	-88	 	 
8119	2	-88	 	 
8119	3	1500	 	 
8123	1	-88	 	 
8123	2	-88	 	 
8123	3	5000	 	 
8126	1	-88	 	 
8126	2	-88	 	 
8126	3	700	 	 
8127	1	-88	 	 
8127	2	-88	 	 
8127	3	2500	 	 
8128	1	-88	 	 
8128	2	-88	 	 
8128	3	-77	-77	-77
8129	1	1200	 	 
8129	2	-88	 	 
8129	3	1200	 	 
8130	1	-88	 	 
8130	2	-88	 	 
8130	3	-77	500	700
8132	1	-88	 	 
8132	2	-88	 	 
8132	3	80	 	 
8134	1	-88	 	 
8134	2	-88	 	 
8134	3	100	 	 
8135	1	-88	 	 
8135	2	2000	 	 
8135	3	13	 	 
8138	1	-88	 	 
8138	2	-88	 	 
8138	3	-77	-77	-77
8140	1	-88	 	 
8140	2	-88	 	 
8140	3	300	 	 
8141	1	-77	30000	50000
8141	2	-88	 	 
8141	3	-77	11	116
8142	1	10000	 	 
8142	2	8000	 	 
8142	3	5	 	 
8143	1	30000	 	 
8143	2	15000	 	 
8143	3	40	 	 
8145	1	-88	 	 
8145	2	-88	 	 
8145	3	100	 	 
8146	1	40000	 	 
8146	2	-88	 	 
8146	3	-77	39	98
8147	1	-88	 	 
8147	2	-88	 	 
8147	3	-77	70	130
8148	1	15000	 	 
8148	2	15000	 	 
8148	3	350	 	 
8151	1	25000	 	 
8151	2	2000	 	 
8151	3	300	 	 
8152	1	10000	 	 
8152	2	5000	 	 
8152	3	10	 	 
8160	1	10000	 	 
8160	2	5000	 	 
8160	3	800	 	 
8162	1	15000	 	 
8162	2	8000	 	 
8162	3	50	 	 
8166	1	60000	 	 
8166	2	10000	 	 
8166	3	12.5	 	 
8169	1	-88	 	 
8169	2	-77	5000	6000
8169	3	12	 	 
8170	1	-88	 	 
8170	2	1000	 	 
8170	3	10	 	 
8172	1	-88	 	 
8172	2	-88	 	 
8172	3	-88	 	 
8177	1	-88	 	 
8177	2	1500	 	 
8177	3	30	 	 
8180	1	50000	 	 
8180	2	-88	 	 
8180	3	-77	300	350
8181	1	30000	 	 
8181	2	1000	 	 
8181	3	100	 	 
8184	1	2100	 	 
8184	2	-88	 	 
8184	3	14	 	 
8185	1	-88	 	 
8185	2	-88	 	 
8185	3	750	 	 
8186	1	15000	 	 
8186	2	10000	 	 
8186	3	10	 	 
8187	1	-88	 	 
8187	2	-88	 	 
8187	3	800	 	 
8188	1	-88	 	 
8188	2	-88	 	 
8188	3	-77	145	575
8189	1	45000	 	 
8189	2	-88	 	 
8189	3	1200	 	 
8193	1	-88	 	 
8193	2	-88	 	 
8193	3	150	 	 
8195	1	-88	 	 
8195	2	-88	 	 
8195	3	-77	1000	1500
8196	1	-88	 	 
8196	2	-88	 	 
8196	3	2000	 	 
8197	1	-88	 	 
8197	2	-88	 	 
8197	3	1600	 	 
8198	1	-77	10000	15000
8198	2	-77	5000	8000
8198	3	50	 	 
8199	1	-88	 	 
8199	2	-88	 	 
8199	3	250	 	 
8202	1	60000	 	 
8202	2	-88	 	 
8202	3	-77	187.5	312.5
8203	1	-77	70000	90000
8203	2	-77	600	1800
8203	3	-77	100	300
8204	1	-88	 	 
8204	2	5000	 	 
8204	3	30	 	 
8205	1	-88	 	 
8205	2	8000	 	 
8205	3	25	 	 
8207	1	-88	 	 
8207	2	5000	 	 
8207	3	100	 	 
8209	1	-88	 	 
8209	2	-77	5000	8000
8209	3	80	 	 
8212	1	-88	 	 
8212	2	-88	 	 
8212	3	38	 	 
8215	1	26400	 	 
8215	2	20000	 	 
8215	3	330	 	 
8216	1	-88	 	 
8216	2	-88	 	 
8216	3	1980	 	 
8219	1	-88	 	 
8219	2	-88	 	 
8219	3	350	 	 
8220	1	12157.599609375	 	 
8220	2	6078.7998046875	 	 
8220	3	35	 	 
8223	1	-88	 	 
8223	2	-88	 	 
8223	3	-77	500	1000
8226	1	-88	 	 
8226	2	-88	 	 
8226	3	450	 	 
8227	1	-88	 	 
8227	2	-88	 	 
8227	3	-77	400	800
8228	1	-77	95000	100000
8228	2	-77	15000	20000
8228	3	-77	16	20
8236	1	30000	 	 
8236	2	13000	 	 
8236	3	1200	 	 
8237	1	-77	600	1200
8237	2	-88	 	 
8237	3	1000	 	 
8244	1	-88	 	 
8244	2	-88	 	 
8244	3	1500	 	 
8245	1	-88	 	 
8245	2	-88	 	 
8245	3	250	 	 
8248	1	25	 	 
8248	2	15	 	 
8248	3	50	 	 
8252	1	-77	-77	-77
8252	2	-77	-77	-77
8252	3	-77	-77	-77
8254	1	-88	 	 
8254	2	-88	 	 
8254	3	-77	1100	30000
8255	1	-77	35000	50000
8255	2	-88	 	 
8255	3	-77	150	200
8257	1	-88	 	 
8257	2	-88	 	 
8257	3	-77	100	150
8258	1	-88	 	 
8258	2	-88	 	 
8258	3	-77	250	300
8259	1	-88	 	 
8259	2	-88	 	 
8259	3	-77	60	80
8260	1	-88	 	 
8260	2	-88	 	 
8260	3	50	 	 
8262	1	-88	 	 
8262	2	-88	 	 
8262	3	100	 	 
8264	1	-77	-77	-77
8264	2	-77	-77	-77
8264	3	60	 	 
8267	1	-88	 	 
8267	2	-88	 	 
8267	3	1200	 	 
8269	1	-88	 	 
8269	2	-88	 	 
8269	3	30	 	 
8273	1	-8888	 	 
8273	2	-8888	 	 
8273	3	110	 	 
8274	1	-88	 	 
8274	2	-88	 	 
8274	3	25	 	 
8277	1	500000	 	 
8277	2	40000	 	 
8277	3	70	 	 
8278	1	69000	 	 
8278	2	-88	 	 
8278	3	1000	 	 
8279	1	-88	 	 
8279	2	-88	 	 
8279	3	200	 	 
8281	1	60000	 	 
8281	2	-88	 	 
8281	3	100	 	 
8285	1	-88	 	 
8285	2	-88	 	 
8285	3	700	 	 
8286	1	-88	 	 
8286	2	-88	 	 
8286	3	-77	800	1000
8287	1	-88	 	 
8287	2	-88	 	 
8287	3	-77	900	1800
8290	1	-88	 	 
8290	2	-88	 	 
8290	3	300	 	 
8293	1	-88	 	 
8293	2	-88	 	 
8293	3	4800	 	 
8297	1	-88	 	 
8297	2	-88	 	 
8297	3	-77	9000	1500
8302	1	-88	 	 
8302	2	-88	 	 
8302	3	650	 	 
8305	1	-88	 	 
8305	2	-88	 	 
8305	3	450	 	 
8306	1	-88	 	 
8306	2	-88	 	 
8306	3	900	 	 
8310	1	-88	 	 
8310	2	-88	 	 
8310	3	800	 	 
8311	1	-88	 	 
8311	2	-88	 	 
8311	3	-77	2500	3000
8316	1	-77	6000	10000
8316	2	-77	3000	4000
8316	3	120	 	 
8317	1	-88	 	 
8317	2	-77	1700	1800
8317	3	-77	500	600
8318	1	-88	 	 
8318	2	18000	 	 
8318	3	-77	1500	1600
8319	1	-88	 	 
8319	2	-77	1000	1200
8319	3	-88	 	 
8320	1	-88	 	 
8320	2	-88	 	 
8320	3	80	 	 
8321	1	-88	 	 
8321	2	-88	 	 
8321	3	150	 	 
8322	1	-88	 	 
8322	2	-88	 	 
8322	3	200	 	 
8323	1	-88	 	 
8323	2	-88	 	 
8323	3	450	 	 
8325	1	-88	 	 
8325	2	-88	 	 
8325	3	12	 	 
8327	1	-88	 	 
8327	2	-88	 	 
8327	3	-77	160	200
8328	1	60000	 	 
8328	2	30000	 	 
8328	3	80	 	 
8332	1	-88	 	 
8332	2	20000	 	 
8332	3	200	 	 
8333	1	-88	 	 
8333	2	8000	 	 
8333	3	20	 	 
8334	1	-88	 	 
8334	2	-77	7000	15000
8334	3	19	 	 
8340	1	-88	 	 
8340	2	-88	 	 
8340	3	120	 	 
8345	1	-88	 	 
8345	2	-88	 	 
8345	3	-88	 	 
8348	1	-88	 	 
8348	2	50000	 	 
8348	3	167	 	 
8349	1	30000	 	 
8349	2	10000	 	 
8349	3	20	 	 
8350	1	-88	 	 
8350	2	-88	 	 
8350	3	108	 	 
8353	1	-88	 	 
8353	2	-88	 	 
8353	3	1000	 	 
8354	1	-88	 	 
8354	2	-88	 	 
8354	3	3000	 	 
8357	1	80000	 	 
8357	2	20000	 	 
8357	3	100	 	 
8358	1	30000	 	 
8358	2	6000	 	 
8358	3	15	 	 
8361	1	-88	 	 
8361	2	-88	 	 
8361	3	44.5	 	 
8363	1	-88	 	 
8363	2	-88	 	 
8363	3	1500	 	 
8364	1	-88	 	 
8364	2	-88	 	 
8364	3	1600	 	 
8369	1	-88	 	 
8369	2	-88	 	 
8369	3	1700	 	 
8370	1	-88	 	 
8370	2	-88	 	 
8370	3	-77	2000	3000
8371	1	-88	 	 
8371	2	-88	 	 
8371	3	-77	-77	-77
8372	1	-88	 	 
8372	2	-88	 	 
8372	3	220	 	 
8374	1	-88	 	 
8374	2	-88	 	 
8374	3	-77	300	500
8377	1	-88	 	 
8377	2	-88	 	 
8377	3	5862	 	 
8379	1	-88	 	 
8379	2	-88	 	 
8379	3	1200	 	 
8380	1	-77	40000	60000
8380	2	-77	20000	35000
8380	3	200	 	 
8381	1	-88	 	 
8381	2	-88	 	 
8381	3	40	 	 
8383	1	-88	 	 
8383	2	-88	 	 
8383	3	-77	660	990
8384	1	88	 	 
8384	2	88	 	 
8384	3	-77	1237	1443
8386	1	-88	 	 
8386	2	-88	 	 
8386	3	700	 	 
8389	1	-88	 	 
8389	2	-88	 	 
8389	3	1000	 	 
8390	1	-88	 	 
8390	2	-88	 	 
8390	3	1500	 	 
8393	1	-88	 	 
8393	2	-88	 	 
8393	3	329	 	 
8394	1	-88	 	 
8394	2	-88	 	 
8394	3	1500	 	 
8395	1	-88	 	 
8395	2	-88	 	 
8395	3	1000	 	 
8396	1	-88	 	 
8396	2	-88	 	 
8396	3	-77	2450	4200
8399	1	-88	 	 
8399	2	-88	 	 
8399	3	1500	 	 
8402	1	-77	49500	99000
8402	2	3000	 	 
8402	3	10	 	 
8403	1	30000	 	 
8403	2	20000	 	 
8403	3	200	 	 
8404	1	-88	 	 
8404	2	3000	 	 
8404	3	8	 	 
8405	1	-88	 	 
8405	2	-88	 	 
8405	3	50	 	 
8406	1	-88	 	 
8406	2	-88	 	 
8406	3	50	 	 
8407	1	3000	 	 
8407	2	800	 	 
8407	3	100	 	 
8408	1	-88	 	 
8408	2	-88	 	 
8408	3	1500	 	 
8409	1	300000	 	 
8409	2	10000	 	 
8409	3	120	 	 
8410	1	-88	 	 
8410	2	-88	 	 
8410	3	150	 	 
8411	1	-88	 	 
8411	2	-88	 	 
8411	3	80	 	 
8412	1	-88	 	 
8412	2	-88	 	 
8412	3	50	 	 
8413	1	-88	 	 
8413	2	-88	 	 
8413	3	200	 	 
8415	1	-88	 	 
8415	2	-88	 	 
8415	3	30	 	 
8418	1	-88	 	 
8418	2	5000	 	 
8418	3	30	 	 
8419	1	-88	 	 
8419	2	50000	 	 
8419	3	100	 	 
8420	1	-88	 	 
8420	2	20000	 	 
8420	3	30	 	 
8421	1	-88	 	 
8421	2	3000	 	 
8421	3	150	 	 
8422	1	-77	150000	18000
8422	2	12000	 	 
8422	3	-88	 	 
8424	1	-88	 	 
8424	2	-88	 	 
8424	3	-88	 	 
8426	1	10000	 	 
8426	2	4000	 	 
8426	3	116	 	 
8427	1	-88	 	 
8427	2	2000	 	 
8427	3	4	 	 
8429	1	-88	 	 
8429	2	3000	 	 
8429	3	5	 	 
8431	1	-88	 	 
8431	2	-88	 	 
8431	3	200	 	 
8433	1	40000	 	 
8433	2	20000	 	 
8433	3	100	 	 
8434	1	-88	 	 
8434	2	-88	 	 
8434	3	800	 	 
8435	1	-88	 	 
8435	2	-88	 	 
8435	3	3500	 	 
8436	1	-88	 	 
8436	2	-88	 	 
8436	3	-77	500	800
8440	1	-88	 	 
8440	2	-88	 	 
8440	3	-77	100	150
8441	1	-88	 	 
8441	2	-88	 	 
8441	3	800	 	 
8442	1	-88	 	 
8442	2	-88	 	 
8442	3	-77	1000	2500
8443	1	-88	 	 
8443	2	-88	 	 
8443	3	-88	 	 
8444	1	-88	 	 
8444	2	-88	 	 
8444	3	-88	 	 
8447	1	-88	 	 
8447	2	-88	 	 
8447	3	2000	 	 
8448	1	-88	 	 
8448	2	-88	 	 
8448	3	1500	 	 
8449	1	-88	 	 
8449	2	-88	 	 
8449	3	600	 	 
8450	1	-88	 	 
8450	2	-88	 	 
8450	3	100	 	 
8451	1	-88	 	 
8451	2	-88	 	 
8451	3	125	 	 
8452	1	-8888	 	 
8452	2	-8888	 	 
8452	3	114	 	 
8453	1	-88	 	 
8453	2	-88	 	 
8453	3	31	 	 
8454	1	-88	 	 
8454	2	-88	 	 
8454	3	300	 	 
8455	1	-88	 	 
8455	2	-88	 	 
8455	3	330	 	 
8456	1	-88	 	 
8456	2	-88	 	 
8456	3	3340	 	 
8457	1	40000	 	 
8457	2	20000	 	 
8457	3	75	 	 
8458	1	5000	 	 
8458	2	1500	 	 
8458	3	300	 	 
8459	1	30000	 	 
8459	2	15000	 	 
8459	3	2	 	 
8460	1	-88	 	 
8460	2	-88	 	 
8460	3	70	 	 
8461	1	-88	 	 
8461	2	-88	 	 
8461	3	-77	60	70
8462	1	-88	 	 
8462	2	-88	 	 
8462	3	100	 	 
8463	1	-88	 	 
8463	2	-88	 	 
8463	3	300	 	 
8464	1	-88	 	 
8464	2	-88	 	 
8464	3	60	 	 
8465	1	-88	 	 
8465	2	-88	 	 
8465	3	3800	 	 
8466	1	-88	 	 
8466	2	-88	 	 
8466	3	-77	300	600
8467	1	-88	 	 
8467	2	21000	 	 
8467	3	-88	 	 
8468	1	-77	20000	30000
8468	2	-77	10000	15000
8468	3	300	 	 
8469	1	50000	 	 
8469	2	10000	 	 
8469	3	-77	30	100
8470	1	-88	 	 
8470	2	-88	 	 
8470	3	55	 	 
8471	1	-88	 	 
8471	2	10000	 	 
8471	3	15	 	 
8472	1	-88	 	 
8472	2	2000	 	 
8472	3	30	 	 
8473	1	-88	 	 
8473	2	5000	 	 
8473	3	30	 	 
8474	1	4000	 	 
8474	2	-88	 	 
8474	3	100	 	 
8475	1	-88	 	 
8475	2	10000	 	 
8475	3	200	 	 
8476	1	-88	 	 
8476	2	1500	 	 
8476	3	14	 	 
8477	1	-88	 	 
8477	2	5000	 	 
8477	3	7.5	 	 
8478	1	-88	 	 
8478	2	1000	 	 
8478	3	450	 	 
8479	1	-88	 	 
8479	2	-77	400	500
8479	3	-88	 	 
8480	1	-88	 	 
8480	2	10000	 	 
8480	3	10	 	 
8481	1	100000	 	 
8481	2	20000	 	 
8481	3	48	 	 
8502	1	-77	500000	2000000
8502	2	-88	 	 
8502	3	-77	145	575
8503	1	65000	 	 
8503	2	-88	 	 
8503	3	190	 	 
8504	1	30000	 	 
8504	2	-88	 	 
8504	3	-77	-77	-77
8505	1	100000	 	 
8505	2	80000	 	 
8505	3	500	 	 
8506	1	-88	 	 
8506	2	-88	 	 
8506	3	320	 	 
8507	1	-77	-77	-77
8507	2	-77	-77	-77
8507	3	-77	-77	-77
8508	1	-88	 	 
8508	2	5000	 	 
8508	3	16	 	 
8509	1	-77	-77	-77
8509	2	-77	-77	-77
8509	3	-77	-77	-77
8510	1	-77	-77	-77
8510	2	-77	-77	-77
8510	3	-77	-77	-77
8512	1	10000	 	 
8512	2	3000	 	 
8512	3	400	 	 
8513	1	10000	 	 
8513	2	500	 	 
8513	3	120	 	 
8514	1	-88	 	 
8514	2	-88	 	 
8514	3	185	 	 
8515	1	-88	 	 
8515	2	-88	 	 
8515	3	300	 	 
8516	1	-77	-77	-77
8516	2	-77	-77	-77
8516	3	350	 	 
8520	1	-88	 	 
8520	2	-88	 	 
8520	3	200	 	 
8521	1	-88	 	 
8521	2	-88	 	 
8521	3	500	 	 
8524	1	500000	 	 
8524	2	-88	 	 
8524	3	50	 	 
8525	1	350	 	 
8525	2	-88	 	 
8525	3	-88	 	 
8526	1	-88	 	 
8526	2	-88	 	 
8526	3	150	 	 
8527	1	-88	 	 
8527	2	-88	 	 
8527	3	100	 	 
8528	1	2500	 	 
8528	2	-88	 	 
8528	3	100	 	 
8529	1	30000	 	 
8529	2	15000	 	 
8529	3	25	 	 
8530	1	-77	1000	2000
