CHILDCODE	WRKIDR4	WRK12MR4	WRKWEER4
41011	1	0	 
41011	2	0	 
41011	3	0	 
41012	1	0	 
41012	2	0	 
41012	3	1	1
41013	1	0	 
41013	2	0	 
41013	3	0	 
41014	1	0	 
41014	2	0	 
41014	3	0	 
41015	1	0	 
41015	2	0	 
41015	3	0	 
41016	1	0	 
41016	2	0	 
41016	3	0	 
41017	1	0	 
41017	2	0	 
41017	3	0	 
41018	1	0	 
41018	2	1	1
41018	3	0	 
41020	1	0	 
41020	2	0	 
41020	3	0	 
41021	1	0	 
41021	2	0	 
41021	3	1	1
41022	1	1	1
41022	2	0	 
41022	3	0	 
41023	1	0	 
41023	2	1	0
41023	3	0	 
41024	1	0	 
41024	2	1	0
41024	3	1	1
41025	1	0	 
41025	2	0	 
41025	3	1	1
41026	1	1	0
41026	2	0	 
41026	3	0	 
41027	1	0	 
41027	2	0	 
41027	3	0	 
41028	1	0	 
41028	2	0	 
41028	3	0	 
41029	1	0	 
41029	2	0	 
41029	3	1	1
41030	1	0	 
41030	2	1	1
41030	3	0	 
41031	1	0	 
41031	2	0	 
41031	3	0	 
41032	1	0	 
41032	2	0	 
41032	3	0	 
41034	1	1	0
41034	2	0	 
41034	3	1	1
41035	1	0	 
41035	2	1	0
41035	3	0	 
41036	1	0	 
41036	2	1	0
41036	3	0	 
41037	1	0	 
41037	2	1	1
41037	3	0	 
41038	1	0	 
41038	2	0	 
41038	3	1	0
41039	1	0	 
41039	2	1	1
41039	3	0	 
41040	1	0	 
41040	2	1	1
41040	3	0	 
41041	1	0	 
41041	2	1	0
41041	3	0	 
41042	1	0	 
41042	2	0	 
41042	3	0	 
41043	1	0	 
41043	2	1	1
41043	3	1	0
41044	1	0	 
41044	2	0	 
41044	3	0	 
41045	1	0	 
41045	2	0	 
41045	3	1	1
41046	1	0	 
41046	2	1	0
41046	3	0	 
41047	1	0	 
41047	2	0	 
41047	3	0	 
41048	1	0	 
41048	2	0	 
41048	3	1	1
41049	1	0	 
41049	2	0	 
41049	3	0	 
41050	1	1	0
41050	2	1	0
41050	3	0	 
51001	1	0	 
51001	2	0	 
51001	3	0	 
51002	1	1	0
51002	2	0	 
51002	3	0	 
51003	1	0	 
51003	2	1	0
51003	3	0	 
51004	1	1	1
51004	2	0	 
51004	3	0	 
51005	1	1	1
51005	2	0	 
51005	3	1	1
51006	1	0	 
51006	2	1	1
51006	3	0	 
51007	1	1	0
51007	2	0	 
51007	3	1	1
51008	1	1	0
51008	2	0	 
51008	3	1	0
51009	1	1	0
51009	2	1	0
51009	3	0	 
51010	1	0	 
51010	2	1	1
51010	3	0	 
51012	1	0	 
51012	2	1	1
51012	3	0	 
51013	1	0	 
51013	2	1	0
51013	3	0	 
51014	1	0	 
51014	2	0	 
51014	3	1	1
51015	1	0	 
51015	2	1	0
51015	3	0	 
51016	1	0	 
51016	2	0	 
51016	3	0	 
51017	1	0	 
51017	2	1	1
51017	3	0	 
51018	1	1	1
51018	2	0	 
51018	3	0	 
51019	1	0	 
51019	2	1	0
51019	3	0	 
51021	1	0	 
51021	2	0	 
51021	3	0	 
51022	1	0	 
51022	2	0	 
51022	3	0	 
51023	1	0	 
51023	2	0	 
51023	3	1	0
51024	1	0	 
51024	2	1	0
51024	3	0	 
51025	1	0	 
51025	2	0	 
51025	3	0	 
51026	1	0	 
51026	2	0	 
51026	3	0	 
51027	1	0	 
51027	2	0	 
51027	3	0	 
51028	1	1	1
51028	2	1	0
51028	3	0	 
51029	1	0	 
51029	2	0	 
51029	3	0	 
51030	1	0	 
51030	2	1	1
51030	3	0	 
51031	1	0	 
51031	2	1	1
51031	3	0	 
51032	1	0	 
51032	2	0	 
51032	3	0	 
51033	1	1	0
51033	2	0	 
51033	3	0	 
51034	1	0	 
51034	2	1	1
51034	3	0	 
51035	1	1	0
51035	2	0	 
51035	3	0	 
51036	1	1	0
51036	2	0	 
51036	3	0	 
51038	1	0	 
51038	2	0	 
51038	3	1	0
51039	1	1	0
51039	2	0	 
51039	3	1	1
51040	1	0	 
51040	2	0	 
51040	3	0	 
51041	1	0	 
51041	2	0	 
51041	3	0	 
51042	1	0	 
51042	2	1	0
51042	3	0	 
51043	1	0	 
51043	2	0	 
51043	3	0	 
51044	1	1	0
51044	2	1	1
51044	3	0	 
51045	1	1	1
51045	2	0	 
51045	3	0	 
51046	1	0	 
51046	2	0	 
51046	3	0	 
51047	1	0	 
51047	2	1	0
51047	3	1	1
51048	1	0	 
51048	2	0	 
51048	3	0	 
51049	1	0	 
51049	2	1	0
51049	3	1	1
51050	1	0	 
51050	2	0	 
51050	3	0	 
61002	1	1	0
61002	2	0	 
61002	3	0	 
61003	1	0	 
61003	2	0	 
61003	3	0	 
61004	1	1	1
61004	2	1	0
61004	3	0	 
61005	1	1	0
61005	2	0	 
61005	3	1	1
61007	1	1	1
61007	2	0	 
61007	3	0	 
61008	1	1	1
61008	2	1	0
61008	3	0	 
61009	1	1	0
61009	2	0	 
61009	3	0	 
61010	1	0	 
61010	2	0	 
61010	3	0	 
61011	1	1	1
61011	2	0	 
61011	3	0	 
61012	1	1	1
61012	2	0	 
61012	3	0	 
61014	1	0	 
61014	2	1	0
61014	3	1	0
61015	1	1	1
61015	2	0	 
61015	3	0	 
61016	1	1	0
61016	2	0	 
61016	3	0	 
61018	1	0	 
61018	2	1	1
61018	3	0	 
61019	1	1	0
61019	2	0	 
61019	3	0	 
61020	1	1	0
61020	2	0	 
61020	3	1	0
61021	1	0	 
61021	2	1	0
61021	3	1	1
61022	1	1	0
61022	2	1	0
61022	3	0	 
61023	1	1	0
61023	2	0	 
61023	3	0	 
61024	1	1	0
61024	2	0	 
61024	3	0	 
61025	1	0	 
61025	2	0	 
61025	3	1	0
61026	1	0	 
61026	2	0	 
61026	3	0	 
61027	1	1	0
61027	2	0	 
61027	3	0	 
61029	1	0	 
61029	2	1	1
61029	3	0	 
61031	1	1	0
61031	2	0	 
61031	3	0	 
61033	1	1	0
61033	2	0	 
61033	3	0	 
61034	1	1	1
61034	2	1	1
61034	3	1	0
61036	1	1	1
61036	2	0	 
61036	3	1	0
61037	1	1	0
61037	2	0	 
61037	3	1	0
61038	1	1	1
61038	2	0	 
61038	3	0	 
61039	1	1	0
61039	2	0	 
61039	3	0	 
61041	1	0	 
61041	2	1	1
61041	3	0	 
61044	1	1	0
61044	2	0	 
61044	3	0	 
61046	1	1	1
61046	2	0	 
61046	3	1	0
61047	1	0	 
61047	2	1	1
61047	3	0	 
61049	1	1	0
61049	2	0	 
61049	3	1	1
61050	1	1	0
61050	2	1	1
61050	3	0	 
61051	1	0	 
61051	2	1	0
61051	3	0	 
61052	1	1	0
61052	2	1	0
61052	3	0	 
61054	1	1	0
61054	2	0	 
61054	3	1	0
61056	1	0	 
61056	2	1	1
61056	3	1	1
61057	1	0	 
61057	2	0	 
61057	3	0	 
61058	1	1	1
61058	2	1	0
61058	3	1	0
61059	1	1	1
61059	2	1	0
61059	3	0	 
71001	1	1	1
71001	2	0	 
71001	3	0	 
71002	1	0	 
71002	2	1	1
71002	3	0	 
71003	1	1	1
71003	2	1	0
71003	3	0	 
71004	1	1	1
71004	2	0	 
71004	3	0	 
71005	1	1	1
71005	2	0	 
71005	3	1	0
71006	1	1	0
71006	2	1	1
71006	3	1	0
71007	1	1	1
71007	2	1	0
71007	3	0	 
71008	1	1	1
71008	2	0	 
71008	3	0	 
71009	1	1	1
71009	2	0	 
71009	3	0	 
71010	1	1	0
71010	2	0	 
71010	3	1	1
71011	1	1	1
71011	2	0	 
71011	3	0	 
71012	1	1	1
71012	2	0	 
71012	3	1	0
71013	1	1	0
71013	2	1	1
71013	3	0	 
71014	1	1	1
71014	2	1	1
71014	3	0	 
71015	1	0	 
71015	2	1	1
71015	3	0	 
71016	1	0	 
71016	2	1	1
71016	3	0	 
71017	1	1	1
71017	2	0	 
71017	3	0	 
71018	1	1	0
71018	2	1	1
71018	3	0	 
71019	1	1	0
71019	2	0	 
71019	3	0	 
71020	1	1	1
71020	2	0	 
71020	3	1	0
71021	1	1	1
71021	2	0	 
71021	3	1	0
71022	1	1	0
71022	2	1	1
71022	3	0	 
71024	1	1	1
71024	2	1	0
71024	3	0	 
71025	1	1	1
71025	2	1	0
71025	3	0	 
71026	1	1	1
71026	2	1	0
71026	3	0	 
71027	1	1	1
71027	2	0	 
71027	3	0	 
71028	1	1	1
71028	2	0	 
71028	3	0	 
71029	1	1	1
71029	2	1	0
71029	3	0	 
71030	1	1	0
71030	2	1	1
71030	3	0	 
71031	1	1	0
71031	2	0	 
71031	3	0	 
71032	1	1	0
71032	2	0	 
71032	3	0	 
71033	1	1	0
71033	2	0	 
71033	3	0	 
71034	1	1	1
71034	2	0	 
71034	3	0	 
71035	1	1	1
71035	2	0	 
71035	3	0	 
71036	1	0	 
71036	2	0	 
71036	3	0	 
71037	1	1	0
71037	2	0	 
71037	3	0	 
71038	1	1	1
71038	2	1	0
71038	3	1	0
71039	1	1	0
71039	2	1	0
71039	3	0	 
71040	1	1	0
71040	2	1	0
71040	3	0	 
71041	1	0	 
71041	2	1	1
71041	3	0	 
71042	1	1	1
71042	2	0	 
71042	3	0	 
71043	1	0	 
71043	2	0	 
71043	3	0	 
71044	1	1	0
71044	2	1	1
71044	3	0	 
71045	1	1	1
71045	2	1	0
71045	3	0	 
71046	1	1	1
71046	2	1	0
71046	3	0	 
71047	1	1	1
71047	2	1	1
71047	3	0	 
71048	1	0	 
71048	2	0	 
71048	3	0	 
71049	1	0	 
71049	2	1	1
71049	3	0	 
81001	1	1	0
81001	2	0	 
81001	3	0	 
81002	1	1	1
81002	2	0	 
81002	3	1	1
81003	1	1	1
81003	2	1	0
81003	3	0	 
81004	1	1	1
81004	2	1	0
81004	3	0	 
81005	1	1	0
81005	2	1	0
81005	3	0	 
81006	1	1	0
81006	2	1	1
81006	3	1	0
81007	1	1	0
81007	2	1	0
81007	3	1	0
81009	1	1	1
81009	2	0	 
81009	3	0	 
81010	1	1	1
81010	2	1	1
81010	3	0	 
81011	1	0	 
81011	2	0	 
81011	3	0	 
81012	1	0	 
81012	2	0	 
81012	3	0	 
81013	1	1	0
81013	2	1	0
81013	3	0	 
81014	1	1	0
81014	2	1	1
81014	3	0	 
81015	1	1	1
81015	2	0	 
81015	3	1	0
81016	1	1	0
81016	2	0	 
81016	3	0	 
81017	1	1	0
81017	2	1	1
81017	3	1	1
81018	1	1	1
81018	2	1	0
81018	3	1	0
81019	1	1	1
81019	2	1	0
81019	3	1	0
81020	1	1	1
81020	2	0	 
81020	3	1	1
81021	1	1	0
81021	2	0	 
81021	3	1	0
81023	1	1	1
81023	2	0	 
81023	3	1	1
81024	1	1	1
81024	2	1	1
81024	3	0	 
81025	1	1	0
81025	2	1	1
81025	3	1	1
81026	1	1	1
81026	2	0	 
81026	3	1	0
81027	1	1	0
81027	2	1	0
81027	3	1	0
81028	1	1	0
81028	2	1	0
81028	3	1	0
81029	1	1	1
81029	2	1	1
81029	3	0	 
81030	1	1	1
81030	2	0	 
81030	3	0	 
81031	1	1	0
81031	2	1	1
81031	3	1	0
81032	1	1	0
81032	2	1	1
81032	3	0	 
81033	1	1	1
81033	2	0	 
81033	3	0	 
81034	1	1	0
81034	2	1	1
81034	3	0	 
81035	1	1	0
81035	2	0	 
81035	3	0	 
81036	1	1	1
81036	2	1	0
81036	3	0	 
81037	1	1	1
81037	2	1	0
81037	3	1	1
81038	1	1	0
81038	2	0	 
81038	3	1	0
81039	1	0	 
81039	2	1	1
81039	3	0	 
81040	1	1	1
81040	2	0	 
81040	3	1	1
81041	1	1	1
81041	2	1	1
81041	3	1	1
81042	1	1	0
81042	2	1	0
81042	3	1	0
81043	1	1	0
81043	2	1	1
81043	3	0	 
81044	1	1	0
81044	2	1	0
81044	3	0	 
81045	1	1	1
81045	2	1	1
81045	3	0	 
81046	1	1	1
81046	2	1	1
81046	3	0	 
81047	1	1	1
81047	2	1	0
81047	3	1	0
81048	1	1	1
81048	2	1	1
81048	3	0	 
81049	1	1	1
81049	2	0	 
81049	3	0	 
81050	1	1	1
81050	2	1	1
81050	3	0	 
91001	1	1	0
91001	2	1	0
91001	3	0	 
91002	1	1	0
91002	2	0	 
91002	3	0	 
91003	1	1	0
91003	2	0	 
91003	3	0	 
91004	1	0	 
91004	2	0	 
91004	3	0	 
91005	1	1	0
91005	2	1	0
91005	3	0	 
91006	1	1	0
91006	2	1	0
91006	3	0	 
91007	1	1	0
91007	2	1	0
91007	3	1	1
91008	1	1	0
91008	2	0	 
91008	3	1	0
91010	1	1	0
91010	2	0	 
91010	3	0	 
91011	1	1	0
91011	2	1	0
91011	3	1	1
91012	1	0	 
91012	2	0	 
91012	3	0	 
91013	1	1	0
91013	2	0	 
91013	3	0	 
91014	1	1	1
91014	2	0	 
91014	3	0	 
91015	1	1	0
91015	2	1	0
91015	3	0	 
91017	1	1	0
91017	2	0	 
91017	3	0	 
91018	1	1	0
91018	2	0	 
91018	3	0	 
91019	1	1	0
91019	2	0	 
91019	3	0	 
91020	1	1	0
91020	2	1	0
91020	3	1	0
91021	1	1	1
91021	2	1	1
91021	3	0	 
91022	1	1	1
91022	2	1	1
91022	3	0	 
91023	1	1	0
91023	2	1	0
91023	3	1	0
91024	1	1	0
91024	2	1	0
91024	3	0	 
91025	1	1	1
91025	2	0	 
91025	3	0	 
91026	1	1	0
91026	2	1	0
91026	3	1	1
91027	1	1	0
91027	2	1	0
91027	3	1	0
91028	1	1	0
91028	2	0	 
91028	3	1	1
91029	1	1	0
91029	2	1	0
91029	3	1	0
91030	1	1	1
91030	2	0	 
91030	3	0	 
91031	1	1	0
91031	2	1	0
91031	3	0	 
91032	1	1	0
91032	2	0	 
91032	3	1	1
91033	1	1	0
91033	2	1	0
91033	3	0	 
91034	1	1	0
91034	2	0	 
91034	3	0	 
91035	1	1	0
91035	2	0	 
91035	3	0	 
91036	1	1	1
91036	2	0	 
91036	3	0	 
91037	1	1	1
91037	2	1	0
91037	3	0	 
91038	1	1	0
91038	2	0	 
91038	3	1	1
91039	1	1	0
91039	2	1	0
91039	3	1	0
91040	1	1	0
91040	2	1	0
91040	3	0	 
91041	1	1	1
91041	2	1	0
91041	3	1	0
91042	1	1	0
91042	2	1	0
91042	3	0	 
91043	1	1	0
91043	2	1	1
91043	3	0	 
91044	1	1	0
91044	2	1	0
91044	3	1	0
91045	1	1	0
91045	2	1	0
91045	3	0	 
91046	1	1	0
91046	2	0	 
91046	3	0	 
91047	1	1	0
91047	2	1	0
91047	3	0	 
91048	1	1	0
91048	2	1	0
91048	3	0	 
91049	1	1	0
91049	2	0	 
91049	3	0	 
91050	1	1	0
91050	2	1	0
91050	3	0	 
101001	1	0	 
101001	2	1	0
101001	3	0	 
101002	1	0	 
101002	2	0	 
101002	3	1	0
101003	1	1	0
101003	2	1	0
101003	3	0	 
101004	1	1	0
101004	2	0	 
101004	3	0	 
101005	1	0	 
101005	2	1	1
101005	3	0	 
101006	1	1	0
101006	2	0	 
101006	3	0	 
101007	1	1	1
101007	2	0	 
101007	3	1	0
101009	1	0	 
101009	2	0	 
101009	3	0	 
101010	1	1	0
101010	2	1	0
101010	3	0	 
101011	1	0	 
101011	2	0	 
101011	3	0	 
101012	1	0	 
101012	2	0	 
101012	3	1	1
101013	1	0	 
101013	2	0	 
101013	3	0	 
101014	1	0	 
101014	2	0	 
101014	3	1	1
101015	1	0	 
101015	2	0	 
101015	3	0	 
101016	1	0	 
101016	2	0	 
101016	3	1	1
101017	1	1	0
101017	2	0	 
101017	3	1	1
101018	1	0	 
101018	2	0	 
101018	3	0	 
101019	1	0	 
101019	2	0	 
101019	3	0	 
101020	1	1	0
101020	2	1	1
101020	3	1	1
101021	1	1	1
101021	2	0	 
101021	3	0	 
101022	1	0	 
101022	2	0	 
101022	3	1	1
101023	1	0	 
101023	2	0	 
101023	3	0	 
101024	1	0	 
101024	2	0	 
101024	3	0	 
101025	1	0	 
101025	2	0	 
101025	3	0	 
101027	1	0	 
101027	2	0	 
101027	3	1	1
101028	1	0	 
101028	2	0	 
101028	3	0	 
101029	1	1	1
101029	2	0	 
101029	3	0	 
101030	1	0	 
101030	2	0	 
101030	3	1	0
101031	1	0	 
101031	2	0	 
101031	3	0	 
101032	1	0	 
101032	2	1	1
101032	3	0	 
101033	1	0	 
101033	2	1	1
101033	3	1	1
101034	1	0	 
101034	2	0	 
101034	3	0	 
101035	1	0	 
101035	2	0	 
101035	3	1	1
101036	1	0	 
101036	2	0	 
101036	3	1	1
101037	1	1	0
101037	2	0	 
101037	3	0	 
101038	1	0	 
101038	2	0	 
101038	3	0	 
101040	1	0	 
101040	2	1	1
101040	3	0	 
101041	1	0	 
101041	2	0	 
101041	3	0	 
101042	1	0	 
101042	2	0	 
101042	3	0	 
101044	1	0	 
101044	2	0	 
101044	3	0	 
101045	1	1	1
101045	2	0	 
101045	3	1	1
101046	1	0	 
101046	2	0	 
101046	3	1	1
101047	1	0	 
101047	2	0	 
101047	3	0	 
101048	1	0	 
101048	2	0	 
101048	3	0	 
101049	1	0	 
101049	2	0	 
101049	3	0	 
101050	1	1	0
101050	2	1	0
101050	3	1	1
111002	1	0	 
111002	2	0	 
111002	3	0	 
111003	1	1	0
111003	2	1	0
111003	3	0	 
111004	1	0	 
111004	2	0	 
111004	3	0	 
111005	1	1	1
111005	2	0	 
111005	3	0	 
111006	1	0	 
111006	2	0	 
111006	3	0	 
111008	1	1	0
111008	2	0	 
111008	3	0	 
111009	1	1	1
111009	2	0	 
111009	3	0	 
111010	1	1	1
111010	2	0	 
111010	3	1	1
111011	1	1	1
111011	2	0	 
111011	3	0	 
111012	1	1	0
111012	2	0	 
111012	3	0	 
111013	1	1	1
111013	2	0	 
111013	3	0	 
111015	1	1	0
111015	2	0	 
111015	3	0	 
111016	1	1	1
111016	2	1	1
111016	3	0	 
111017	1	0	 
111017	2	0	 
111017	3	0	 
111018	1	1	0
111018	2	1	1
111018	3	0	 
111019	1	1	1
111019	2	0	 
111019	3	0	 
111020	1	1	0
111020	2	0	 
111020	3	0	 
111021	1	0	 
111021	2	0	 
111021	3	1	1
111022	1	0	 
111022	2	1	0
111022	3	1	1
111023	1	1	1
111023	2	1	1
111023	3	0	 
111024	1	0	 
111024	2	0	 
111024	3	0	 
111025	1	1	1
111025	2	1	0
111025	3	1	1
111027	1	0	 
111027	2	1	1
111027	3	0	 
111028	1	1	1
111028	2	0	 
111028	3	0	 
111029	1	1	0
111029	2	1	1
111029	3	1	1
111030	1	1	0
111030	2	0	 
111030	3	0	 
111031	1	1	1
111031	2	1	1
111031	3	0	 
111032	1	1	0
111032	2	0	 
111032	3	0	 
111033	1	0	 
111033	2	0	 
111033	3	0	 
111034	1	1	0
111034	2	0	 
111034	3	0	 
111035	1	0	 
111035	2	1	1
111035	3	0	 
111036	1	1	1
111036	2	0	 
111036	3	0	 
111037	1	0	 
111037	2	0	 
111037	3	1	1
111038	1	1	0
111038	2	0	 
111038	3	0	 
111040	1	1	0
111040	2	0	 
111040	3	0	 
111041	1	0	 
111041	2	1	1
111041	3	0	 
111042	1	0	 
111042	2	0	 
111042	3	1	1
111043	1	1	1
111043	2	1	0
111043	3	0	 
111044	1	0	 
111044	2	1	1
111044	3	0	 
111045	1	1	1
111045	2	1	1
111045	3	0	 
111046	1	0	 
111046	2	0	 
111046	3	0	 
111047	1	1	1
111047	2	1	1
111047	3	0	 
111048	1	1	1
111048	2	0	 
111048	3	0	 
121001	1	1	0
121001	2	0	 
121001	3	1	1
121002	1	1	1
121002	2	0	 
121002	3	0	 
121004	1	0	 
121004	2	0	 
121004	3	1	1
121005	1	1	0
121005	2	0	 
121005	3	1	0
121007	1	1	0
121007	2	0	 
121007	3	1	1
121008	1	0	 
121008	2	0	 
121008	3	1	1
121009	1	0	 
121009	2	0	 
121009	3	1	1
121010	1	1	0
121010	2	0	 
121010	3	1	1
121011	1	1	0
121011	2	1	1
121011	3	0	 
121012	1	1	1
121012	2	0	 
121012	3	1	1
121013	1	1	0
121013	2	0	 
121013	3	1	1
121014	1	0	 
121014	2	0	 
121014	3	0	 
121015	1	0	 
121015	2	0	 
121015	3	1	0
121020	1	1	0
121020	2	0	 
121020	3	0	 
121021	1	0	 
121021	2	1	0
121021	3	0	 
