CHILDCODE	GFMRIDR4	OFNTYUR4	VLNTYUR4	OFNTSPR4	VLNTSPR4	OFSPYUR4	VLSPYUR4	OFSPNTR4	VLSPNTR4
11014	13	 	 	 	 	 	 	 	 
11015	1	 	 	 	 	 	 	 	 
11015	2	 	 	 	 	 	 	 	 
11015	3	 	 	 	 	 	 	 	 
11015	4	 	 	 	 	 	 	 	 
11015	5	 	 	 	 	 	 	 	 
11015	6	 	 	 	 	 	 	 	 
11015	7	 	 	 	 	 	 	 	 
11015	8	 	 	 	 	 	 	 	 
11015	9	 	 	 	 	 	 	 	 
11015	10	 	 	 	 	 	 	 	 
11015	11	 	 	 	 	 	 	 	 
11015	12	 	 	 	 	 	 	 	 
11015	13	 	 	 	 	 	 	 	 
11016	1	 	 	 	 	 	 	 	 
11016	2	 	 	 	 	 	 	 	 
11016	3	 	 	 	 	 	 	 	 
11016	4	 	 	 	 	 	 	 	 
11016	5	 	 	 	 	 	 	 	 
11016	6	 	 	 	 	 	 	 	 
11016	7	 	 	 	 	 	 	 	 
11016	8	 	 	 	 	 	 	 	 
11016	9	 	 	 	 	 	 	 	 
11016	10	 	 	 	 	 	 	 	 
11016	11	 	 	 	 	 	 	 	 
11016	12	 	 	 	 	 	 	 	 
11016	13	 	 	 	 	 	 	 	 
11017	1	 	 	 	 	 	 	 	 
11017	2	 	 	 	 	 	 	 	 
11017	3	 	 	 	 	 	 	 	 
11017	4	 	 	 	 	 	 	 	 
11017	5	 	 	 	 	 	 	 	 
11017	6	 	 	 	 	 	 	 	 
11017	7	 	 	 	 	 	 	 	 
11017	8	 	 	 	 	 	 	 	 
11017	9	 	 	 	 	 	 	 	 
11017	10	 	 	 	 	 	 	 	 
11017	11	 	 	 	 	 	 	 	 
11017	12	 	 	 	 	 	 	 	 
11017	13	 	 	 	 	 	 	 	 
11018	1	 	 	 	 	 	 	 	 
11018	2	 	 	 	 	 	 	 	 
11018	3	 	 	 	 	 	 	 	 
11018	4	 	 	 	 	 	 	 	 
11018	5	 	 	 	 	 	 	 	 
11018	6	 	 	 	 	 	 	 	 
11018	7	 	 	 	 	 	 	 	 
11018	8	 	 	 	 	 	 	 	 
11018	9	 	 	 	 	 	 	 	 
11018	10	 	 	 	 	 	 	 	 
11018	11	 	 	 	 	 	 	 	 
11018	12	 	 	 	 	 	 	 	 
11018	13	 	 	 	 	 	 	 	 
11019	1	 	 	 	 	 	 	 	 
11019	2	 	 	 	 	 	 	 	 
11019	3	 	 	 	 	 	 	 	 
11019	4	 	 	 	 	 	 	 	 
11019	5	 	 	 	 	 	 	 	 
11019	6	 	 	 	 	 	 	 	 
11019	7	 	 	 	 	 	 	 	 
11019	8	 	 	 	 	 	 	 	 
11019	9	 	 	 	 	 	 	 	 
11019	10	 	 	 	 	 	 	 	 
11019	11	 	 	 	 	 	 	 	 
11019	12	 	 	 	 	 	 	 	 
11019	13	 	 	 	 	 	 	 	 
11020	1	 	 	 	 	 	 	 	 
11020	2	 	 	 	 	 	 	 	 
11020	3	 	 	 	 	 	 	 	 
11020	4	 	 	 	 	 	 	 	 
11020	5	 	 	 	 	 	 	 	 
11020	6	 	 	 	 	 	 	 	 
11020	7	 	 	 	 	 	 	 	 
11020	8	 	 	 	 	 	 	 	 
11020	9	 	 	 	 	 	 	 	 
11020	10	 	 	 	 	 	 	 	 
11020	11	 	 	 	 	 	 	 	 
11020	12	 	 	 	 	 	 	 	 
11020	13	 	 	 	 	 	 	 	 
11021	1	 	 	 	 	 	 	 	 
11021	2	 	 	 	 	 	 	 	 
11021	3	 	 	 	 	 	 	 	 
11021	4	 	 	 	 	 	 	 	 
11021	5	 	 	 	 	 	 	 	 
11021	6	 	 	 	 	 	 	 	 
11021	7	 	 	 	 	 	 	 	 
11021	8	 	 	 	 	 	 	 	 
11021	9	 	 	 	 	 	 	 	 
11021	10	 	 	 	 	 	 	 	 
11021	11	 	 	 	 	 	 	 	 
11021	12	 	 	 	 	 	 	 	 
11021	13	 	 	 	 	 	 	 	 
11022	1	 	 	 	 	 	 	 	 
11022	2	 	 	 	 	 	 	 	 
11022	3	 	 	 	 	 	 	 	 
11022	4	 	 	 	 	 	 	 	 
11022	5	 	 	 	 	 	 	 	 
11022	6	 	 	 	 	 	 	 	 
11022	7	 	 	 	 	 	 	 	 
11022	8	 	 	 	 	 	 	 	 
11022	9	 	 	 	 	 	 	 	 
11022	10	 	 	 	 	 	 	 	 
11022	11	 	 	 	 	 	 	 	 
11022	12	 	 	 	 	 	 	 	 
11022	13	 	 	 	 	 	 	 	 
11024	1	 	 	 	 	 	 	 	 
11024	2	 	 	 	 	 	 	 	 
11024	3	 	 	 	 	 	 	 	 
11024	4	 	 	 	 	 	 	 	 
11024	5	 	 	 	 	 	 	 	 
11024	6	 	 	 	 	 	 	 	 
11024	7	 	 	 	 	 	 	 	 
11024	8	 	 	 	 	 	 	 	 
11024	9	 	 	 	 	 	 	 	 
11024	10	 	 	 	 	 	 	 	 
11024	11	 	 	 	 	 	 	 	 
11024	12	 	 	 	 	 	 	 	 
11024	13	 	 	 	 	 	 	 	 
11025	1	 	 	 	 	 	 	 	 
11025	2	 	 	 	 	 	 	 	 
11025	3	 	 	 	 	 	 	 	 
11025	4	 	 	 	 	 	 	 	 
11025	5	 	 	 	 	 	 	 	 
11025	6	 	 	 	 	 	 	 	 
11025	7	 	 	 	 	 	 	 	 
11025	8	 	 	 	 	 	 	 	 
11025	9	 	 	 	 	 	 	 	 
11025	10	 	 	 	 	 	 	 	 
11025	11	 	 	 	 	 	 	 	 
11025	12	 	 	 	 	 	 	 	 
11025	13	 	 	 	 	 	 	 	 
11026	1	 	 	 	 	 	 	 	 
11026	2	 	 	 	 	 	 	 	 
11026	3	 	 	 	 	 	 	 	 
11026	4	 	 	 	 	 	 	 	 
11026	5	 	 	 	 	 	 	 	 
11026	6	 	 	 	 	 	 	 	 
11026	7	 	 	 	 	 	 	 	 
11026	8	 	 	 	 	 	 	 	 
11026	9	 	 	 	 	 	 	 	 
11026	10	 	 	 	 	 	 	 	 
11026	11	 	 	 	 	 	 	 	 
11026	12	 	 	 	 	 	 	 	 
11026	13	 	 	 	 	 	 	 	 
11027	1	 	 	 	 	 	 	 	 
11027	2	 	 	 	 	 	 	 	 
11027	3	 	 	 	 	 	 	 	 
11027	4	 	 	 	 	 	 	 	 
11027	5	 	 	 	 	 	 	 	 
11027	6	 	 	 	 	 	 	 	 
11027	7	 	 	 	 	 	 	 	 
11027	8	 	 	 	 	 	 	 	 
11027	9	 	 	 	 	 	 	 	 
11027	10	 	 	 	 	 	 	 	 
11027	11	 	 	 	 	 	 	 	 
11027	12	 	 	 	 	 	 	 	 
11027	13	 	 	 	 	 	 	 	 
11028	1	 	 	 	 	 	 	 	 
11028	2	 	 	 	 	 	 	 	 
11028	3	 	 	 	 	 	 	 	 
11028	4	 	 	 	 	 	 	 	 
11028	5	 	 	 	 	 	 	 	 
11028	6	 	 	 	 	 	 	 	 
11028	7	 	 	 	 	 	 	 	 
11028	8	 	 	 	 	 	 	 	 
11028	9	 	 	 	 	 	 	 	 
11028	10	 	 	 	 	 	 	 	 
11028	11	 	 	 	 	 	 	 	 
11028	12	 	 	 	 	 	 	 	 
11028	13	 	 	 	 	 	 	 	 
11029	1	 	 	 	 	 	 	 	 
11029	2	 	 	 	 	 	 	 	 
11029	3	 	 	 	 	 	 	 	 
11029	4	 	 	 	 	 	 	 	 
11029	5	 	 	 	 	 	 	 	 
11029	6	 	 	 	 	 	 	 	 
11029	7	 	 	 	 	 	 	 	 
11029	8	 	 	 	 	 	 	 	 
11029	9	 	 	 	 	 	 	 	 
11029	10	 	 	 	 	 	 	 	 
11029	11	 	 	 	 	 	 	 	 
11029	12	 	 	 	 	 	 	 	 
11029	13	 	 	 	 	 	 	 	 
11030	1	 	 	 	 	 	 	 	 
11030	2	 	 	 	 	 	 	 	 
11030	3	 	 	 	 	 	 	 	 
11030	4	 	 	 	 	 	 	 	 
11030	5	 	 	 	 	 	 	 	 
11030	6	 	 	 	 	 	 	 	 
11030	7	 	 	 	 	 	 	 	 
11030	8	 	 	 	 	 	 	 	 
11030	9	 	 	 	 	 	 	 	 
11030	10	 	 	 	 	 	 	 	 
11030	11	 	 	 	 	 	 	 	 
11030	12	 	 	 	 	 	 	 	 
11030	13	 	 	 	 	 	 	 	 
11031	1	 	 	 	 	 	 	 	 
11031	2	 	 	 	 	 	 	 	 
11031	3	 	 	 	 	 	 	 	 
11031	4	 	 	 	 	 	 	 	 
11031	5	 	 	 	 	 	 	 	 
11031	6	 	 	 	 	 	 	 	 
11031	7	 	 	 	 	 	 	 	 
11031	8	 	 	 	 	 	 	 	 
11031	9	 	 	 	 	 	 	 	 
11031	10	 	 	 	 	 	 	 	 
11031	11	 	 	 	 	 	 	 	 
11031	12	 	 	 	 	 	 	 	 
11031	13	 	 	 	 	 	 	 	 
11032	1	 	 	 	 	 	 	 	 
11032	2	 	 	 	 	 	 	 	 
11032	3	 	 	 	 	 	 	 	 
11032	4	 	 	 	 	 	 	 	 
11032	5	 	 	 	 	 	 	 	 
11032	6	 	 	 	 	 	 	 	 
11032	7	 	 	 	 	 	 	 	 
11032	8	 	 	 	 	 	 	 	 
11032	9	 	 	 	 	 	 	 	 
11032	10	 	 	 	 	 	 	 	 
11032	11	 	 	 	 	 	 	 	 
11032	12	 	 	 	 	 	 	 	 
11032	13	 	 	 	 	 	 	 	 
11033	1	 	 	 	 	 	 	 	 
11033	2	 	 	 	 	 	 	 	 
11033	3	 	 	 	 	 	 	 	 
11033	4	 	 	 	 	 	 	 	 
11033	5	 	 	 	 	 	 	 	 
11033	6	 	 	 	 	 	 	 	 
11033	7	 	 	 	 	 	 	 	 
11033	8	 	 	 	 	 	 	 	 
11033	9	 	 	 	 	 	 	 	 
11033	10	 	 	 	 	 	 	 	 
11033	11	 	 	 	 	 	 	 	 
11033	12	 	 	 	 	 	 	 	 
11033	13	 	 	 	 	 	 	 	 
11034	1	 	 	 	 	 	 	 	 
11034	2	 	 	 	 	 	 	 	 
11034	3	 	 	 	 	 	 	 	 
11034	4	 	 	 	 	 	 	 	 
11034	5	 	 	 	 	 	 	 	 
11034	6	 	 	 	 	 	 	 	 
11034	7	 	 	 	 	 	 	 	 
11034	8	 	 	 	 	 	 	 	 
11034	9	 	 	 	 	 	 	 	 
11034	10	 	 	 	 	 	 	 	 
11034	11	 	 	 	 	 	 	 	 
11034	12	 	 	 	 	 	 	 	 
11034	13	 	 	 	 	 	 	 	 
11035	1	0	 	0	 	0	 	0	 
11035	2	0	 	0	 	0	 	0	 
11035	3	0	 	0	 	0	 	0	 
11035	4	0	 	0	 	0	 	0	 
11035	5	1	500	0	 	1	1000	0	 
11035	6	0	 	0	 	0	 	0	 
11035	7	0	 	0	 	1	2000	1	1500
11035	8	0	 	0	 	0	 	0	 
11035	9	0	 	0	 	0	 	0	 
11035	10	0	 	0	 	0	 	0	 
11035	11	0	 	0	 	0	 	0	 
11035	12	0	 	0	 	0	 	0	 
11035	13	0	 	0	 	0	 	0	 
11036	1	 	 	 	 	 	 	 	 
11036	2	 	 	 	 	 	 	 	 
11036	3	 	 	 	 	 	 	 	 
11036	4	 	 	 	 	 	 	 	 
11036	5	 	 	 	 	 	 	 	 
11036	6	 	 	 	 	 	 	 	 
11036	7	 	 	 	 	 	 	 	 
11036	8	 	 	 	 	 	 	 	 
11036	9	 	 	 	 	 	 	 	 
11036	10	 	 	 	 	 	 	 	 
11036	11	 	 	 	 	 	 	 	 
11036	12	 	 	 	 	 	 	 	 
11036	13	 	 	 	 	 	 	 	 
11037	1	 	 	 	 	 	 	 	 
11037	2	 	 	 	 	 	 	 	 
11037	3	 	 	 	 	 	 	 	 
11037	4	 	 	 	 	 	 	 	 
11037	5	 	 	 	 	 	 	 	 
11037	6	 	 	 	 	 	 	 	 
11037	7	 	 	 	 	 	 	 	 
11037	8	 	 	 	 	 	 	 	 
11037	9	 	 	 	 	 	 	 	 
11037	10	 	 	 	 	 	 	 	 
11037	11	 	 	 	 	 	 	 	 
11037	12	 	 	 	 	 	 	 	 
11037	13	 	 	 	 	 	 	 	 
11038	1	 	 	 	 	 	 	 	 
11038	2	 	 	 	 	 	 	 	 
11038	3	 	 	 	 	 	 	 	 
11038	4	 	 	 	 	 	 	 	 
11038	5	 	 	 	 	 	 	 	 
11038	6	 	 	 	 	 	 	 	 
11038	7	 	 	 	 	 	 	 	 
11038	8	 	 	 	 	 	 	 	 
11038	9	 	 	 	 	 	 	 	 
11038	10	 	 	 	 	 	 	 	 
11038	11	 	 	 	 	 	 	 	 
11038	12	 	 	 	 	 	 	 	 
11038	13	 	 	 	 	 	 	 	 
11039	1	 	 	 	 	 	 	 	 
11039	2	 	 	 	 	 	 	 	 
11039	3	 	 	 	 	 	 	 	 
11039	4	 	 	 	 	 	 	 	 
11039	5	 	 	 	 	 	 	 	 
11039	6	 	 	 	 	 	 	 	 
11039	7	 	 	 	 	 	 	 	 
11039	8	 	 	 	 	 	 	 	 
11039	9	 	 	 	 	 	 	 	 
11039	10	 	 	 	 	 	 	 	 
11039	11	 	 	 	 	 	 	 	 
11039	12	 	 	 	 	 	 	 	 
11039	13	 	 	 	 	 	 	 	 
11040	1	 	 	 	 	 	 	 	 
11040	2	 	 	 	 	 	 	 	 
11040	3	 	 	 	 	 	 	 	 
11040	4	 	 	 	 	 	 	 	 
11040	5	 	 	 	 	 	 	 	 
11040	6	 	 	 	 	 	 	 	 
11040	7	 	 	 	 	 	 	 	 
11040	8	 	 	 	 	 	 	 	 
11040	9	 	 	 	 	 	 	 	 
11040	10	 	 	 	 	 	 	 	 
11040	11	 	 	 	 	 	 	 	 
11040	12	 	 	 	 	 	 	 	 
11040	13	 	 	 	 	 	 	 	 
11042	1	 	 	 	 	 	 	 	 
11042	2	 	 	 	 	 	 	 	 
11042	3	 	 	 	 	 	 	 	 
11042	4	 	 	 	 	 	 	 	 
11042	5	 	 	 	 	 	 	 	 
11042	6	 	 	 	 	 	 	 	 
11042	7	 	 	 	 	 	 	 	 
11042	8	 	 	 	 	 	 	 	 
11042	9	 	 	 	 	 	 	 	 
11042	10	 	 	 	 	 	 	 	 
11042	11	 	 	 	 	 	 	 	 
11042	12	 	 	 	 	 	 	 	 
11042	13	 	 	 	 	 	 	 	 
11043	1	 	 	 	 	 	 	 	 
11043	2	 	 	 	 	 	 	 	 
11043	3	 	 	 	 	 	 	 	 
11043	4	 	 	 	 	 	 	 	 
11043	5	 	 	 	 	 	 	 	 
11043	6	 	 	 	 	 	 	 	 
11043	7	 	 	 	 	 	 	 	 
11043	8	 	 	 	 	 	 	 	 
11043	9	 	 	 	 	 	 	 	 
11043	10	 	 	 	 	 	 	 	 
11043	11	 	 	 	 	 	 	 	 
11043	12	 	 	 	 	 	 	 	 
11043	13	 	 	 	 	 	 	 	 
11044	1	 	 	 	 	 	 	 	 
11044	2	 	 	 	 	 	 	 	 
11044	3	 	 	 	 	 	 	 	 
11044	4	 	 	 	 	 	 	 	 
11044	5	 	 	 	 	 	 	 	 
11044	6	 	 	 	 	 	 	 	 
11044	7	 	 	 	 	 	 	 	 
11044	8	 	 	 	 	 	 	 	 
11044	9	 	 	 	 	 	 	 	 
11044	10	 	 	 	 	 	 	 	 
11044	11	 	 	 	 	 	 	 	 
11044	12	 	 	 	 	 	 	 	 
11044	13	 	 	 	 	 	 	 	 
11045	1	 	 	 	 	 	 	 	 
11045	2	 	 	 	 	 	 	 	 
11045	3	 	 	 	 	 	 	 	 
11045	4	 	 	 	 	 	 	 	 
11045	5	 	 	 	 	 	 	 	 
11045	6	 	 	 	 	 	 	 	 
11045	7	 	 	 	 	 	 	 	 
11045	8	 	 	 	 	 	 	 	 
11045	9	 	 	 	 	 	 	 	 
11045	10	 	 	 	 	 	 	 	 
11045	11	 	 	 	 	 	 	 	 
11045	12	 	 	 	 	 	 	 	 
11045	13	 	 	 	 	 	 	 	 
11046	1	 	 	 	 	 	 	 	 
11046	2	 	 	 	 	 	 	 	 
11046	3	 	 	 	 	 	 	 	 
11046	4	 	 	 	 	 	 	 	 
11046	5	 	 	 	 	 	 	 	 
11046	6	 	 	 	 	 	 	 	 
11046	7	 	 	 	 	 	 	 	 
11046	8	 	 	 	 	 	 	 	 
11046	9	 	 	 	 	 	 	 	 
11046	10	 	 	 	 	 	 	 	 
11046	11	 	 	 	 	 	 	 	 
11046	12	 	 	 	 	 	 	 	 
11046	13	 	 	 	 	 	 	 	 
11048	1	 	 	 	 	 	 	 	 
11048	2	 	 	 	 	 	 	 	 
11048	3	 	 	 	 	 	 	 	 
11048	4	 	 	 	 	 	 	 	 
11048	5	 	 	 	 	 	 	 	 
11048	6	 	 	 	 	 	 	 	 
11048	7	 	 	 	 	 	 	 	 
11048	8	 	 	 	 	 	 	 	 
11048	9	 	 	 	 	 	 	 	 
11048	10	 	 	 	 	 	 	 	 
11048	11	 	 	 	 	 	 	 	 
11048	12	 	 	 	 	 	 	 	 
11048	13	 	 	 	 	 	 	 	 
11049	1	 	 	 	 	 	 	 	 
11049	2	 	 	 	 	 	 	 	 
11049	3	 	 	 	 	 	 	 	 
11049	4	 	 	 	 	 	 	 	 
11049	5	 	 	 	 	 	 	 	 
11049	6	 	 	 	 	 	 	 	 
11049	7	 	 	 	 	 	 	 	 
11049	8	 	 	 	 	 	 	 	 
11049	9	 	 	 	 	 	 	 	 
11049	10	 	 	 	 	 	 	 	 
11049	11	 	 	 	 	 	 	 	 
11049	12	 	 	 	 	 	 	 	 
11049	13	 	 	 	 	 	 	 	 
11050	1	 	 	 	 	 	 	 	 
11050	2	 	 	 	 	 	 	 	 
11050	3	 	 	 	 	 	 	 	 
11050	4	 	 	 	 	 	 	 	 
11050	5	 	 	 	 	 	 	 	 
11050	6	 	 	 	 	 	 	 	 
11050	7	 	 	 	 	 	 	 	 
11050	8	 	 	 	 	 	 	 	 
11050	9	 	 	 	 	 	 	 	 
11050	10	 	 	 	 	 	 	 	 
11050	11	 	 	 	 	 	 	 	 
11050	12	 	 	 	 	 	 	 	 
11050	13	 	 	 	 	 	 	 	 
21002	1	 	 	 	 	 	 	 	 
21002	2	 	 	 	 	 	 	 	 
21002	3	 	 	 	 	 	 	 	 
21002	4	 	 	 	 	 	 	 	 
21002	5	 	 	 	 	 	 	 	 
21002	6	 	 	 	 	 	 	 	 
21002	7	 	 	 	 	 	 	 	 
21002	8	 	 	 	 	 	 	 	 
21002	9	 	 	 	 	 	 	 	 
21002	10	 	 	 	 	 	 	 	 
21002	11	 	 	 	 	 	 	 	 
21002	12	 	 	 	 	 	 	 	 
21002	13	 	 	 	 	 	 	 	 
21003	1	 	 	 	 	 	 	 	 
21003	2	 	 	 	 	 	 	 	 
21003	3	 	 	 	 	 	 	 	 
21003	4	 	 	 	 	 	 	 	 
21003	5	 	 	 	 	 	 	 	 
21003	6	 	 	 	 	 	 	 	 
21003	7	 	 	 	 	 	 	 	 
21003	8	 	 	 	 	 	 	 	 
21003	9	 	 	 	 	 	 	 	 
21003	10	 	 	 	 	 	 	 	 
21003	11	 	 	 	 	 	 	 	 
21003	12	 	 	 	 	 	 	 	 
21003	13	 	 	 	 	 	 	 	 
21004	1	 	 	 	 	 	 	 	 
21004	2	 	 	 	 	 	 	 	 
21004	3	 	 	 	 	 	 	 	 
21004	4	 	 	 	 	 	 	 	 
21004	5	 	 	 	 	 	 	 	 
21004	6	 	 	 	 	 	 	 	 
21004	7	 	 	 	 	 	 	 	 
21004	8	 	 	 	 	 	 	 	 
21004	9	 	 	 	 	 	 	 	 
21004	10	 	 	 	 	 	 	 	 
21004	11	 	 	 	 	 	 	 	 
21004	12	 	 	 	 	 	 	 	 
21004	13	 	 	 	 	 	 	 	 
21005	1	 	 	 	 	 	 	 	 
21005	2	 	 	 	 	 	 	 	 
21005	3	 	 	 	 	 	 	 	 
21005	4	 	 	 	 	 	 	 	 
21005	5	 	 	 	 	 	 	 	 
21005	6	 	 	 	 	 	 	 	 
21005	7	 	 	 	 	 	 	 	 
21005	8	 	 	 	 	 	 	 	 
21005	9	 	 	 	 	 	 	 	 
21005	10	 	 	 	 	 	 	 	 
21005	11	 	 	 	 	 	 	 	 
21005	12	 	 	 	 	 	 	 	 
21005	13	 	 	 	 	 	 	 	 
21006	1	 	 	 	 	 	 	 	 
21006	2	 	 	 	 	 	 	 	 
21006	3	 	 	 	 	 	 	 	 
21006	4	 	 	 	 	 	 	 	 
21006	5	 	 	 	 	 	 	 	 
21006	6	 	 	 	 	 	 	 	 
21006	7	 	 	 	 	 	 	 	 
