CHILDCODE	LVSKIDR5	AYANR5	NMAMR5	CHDSANR5
11021	7	 	 	 
11021	8	 	 	 
11021	9	 	 	 
11021	10	 	 	 
11021	11	 	 	 
11021	12	 	 	 
11021	13	 	 	 
11021	14	 	 	 
11021	15	 	 	 
11021	16	 	 	 
11021	17	 	 	 
11021	31	 	 	 
11021	32	 	 	 
11021	33	 	 	 
11022	1	 	 	 
11022	2	 	 	 
11022	3	 	 	 
11022	4	 	 	 
11022	5	 	 	 
11022	6	 	 	 
11022	7	 	 	 
11022	8	 	 	 
11022	9	 	 	 
11022	10	 	 	 
11022	11	 	 	 
11022	12	 	 	 
11022	13	 	 	 
11022	14	 	 	 
11022	15	 	 	 
11022	16	 	 	 
11022	17	 	 	 
11022	31	 	 	 
11022	32	 	 	 
11022	33	 	 	 
11024	1	 	 	 
11024	2	 	 	 
11024	3	 	 	 
11024	4	 	 	 
11024	5	 	 	 
11024	6	 	 	 
11024	7	 	 	 
11024	8	 	 	 
11024	9	 	 	 
11024	10	 	 	 
11024	11	 	 	 
11024	12	 	 	 
11024	13	 	 	 
11024	14	 	 	 
11024	15	 	 	 
11024	16	 	 	 
11024	17	 	 	 
11024	31	 	 	 
11024	32	 	 	 
11024	33	 	 	 
11025	1	 	 	 
11025	2	 	 	 
11025	3	 	 	 
11025	4	 	 	 
11025	5	 	 	 
11025	6	 	 	 
11025	7	 	 	 
11025	8	 	 	 
11025	9	 	 	 
11025	10	 	 	 
11025	11	 	 	 
11025	12	 	 	 
11025	13	 	 	 
11025	14	 	 	 
11025	15	 	 	 
11025	16	 	 	 
11025	17	 	 	 
11025	31	 	 	 
11025	32	 	 	 
11025	33	 	 	 
11026	1	 	 	 
11026	2	 	 	 
11026	3	 	 	 
11026	4	 	 	 
11026	5	 	 	 
11026	6	 	 	 
11026	7	 	 	 
11026	8	 	 	 
11026	9	 	 	 
11026	10	 	 	 
11026	11	 	 	 
11026	12	 	 	 
11026	13	 	 	 
11026	14	 	 	 
11026	15	 	 	 
11026	16	 	 	 
11026	17	 	 	 
11026	31	 	 	 
11026	32	 	 	 
11026	33	 	 	 
11027	1	 	 	 
11027	2	 	 	 
11027	3	 	 	 
11027	4	 	 	 
11027	5	 	 	 
11027	6	 	 	 
11027	7	 	 	 
11027	8	 	 	 
11027	9	 	 	 
11027	10	 	 	 
11027	11	 	 	 
11027	12	 	 	 
11027	13	 	 	 
11027	14	 	 	 
11027	15	 	 	 
11027	16	 	 	 
11027	17	 	 	 
11027	31	 	 	 
11027	32	 	 	 
11027	33	 	 	 
11028	1	 	 	 
11028	2	 	 	 
11028	3	 	 	 
11028	4	 	 	 
11028	5	 	 	 
11028	6	 	 	 
11028	7	 	 	 
11028	8	 	 	 
11028	9	 	 	 
11028	10	 	 	 
11028	11	 	 	 
11028	12	 	 	 
11028	13	 	 	 
11028	14	 	 	 
11028	15	 	 	 
11028	16	 	 	 
11028	17	 	 	 
11028	31	 	 	 
11028	32	 	 	 
11028	33	 	 	 
11029	1	 	 	 
11029	2	 	 	 
11029	3	 	 	 
11029	4	 	 	 
11029	5	 	 	 
11029	6	 	 	 
11029	7	 	 	 
11029	8	 	 	 
11029	9	 	 	 
11029	10	 	 	 
11029	11	 	 	 
11029	12	 	 	 
11029	13	 	 	 
11029	14	 	 	 
11029	15	 	 	 
11029	16	 	 	 
11029	17	 	 	 
11029	31	 	 	 
11029	32	 	 	 
11029	33	 	 	 
11030	1	 	 	 
11030	2	 	 	 
11030	3	 	 	 
11030	4	 	 	 
11030	5	 	 	 
11030	6	 	 	 
11030	7	 	 	 
11030	8	 	 	 
11030	9	 	 	 
11030	10	 	 	 
11030	11	 	 	 
11030	12	 	 	 
11030	13	 	 	 
11030	14	 	 	 
11030	15	 	 	 
11030	16	 	 	 
11030	17	 	 	 
11030	31	 	 	 
11030	32	 	 	 
11030	33	 	 	 
11031	1	 	 	 
11031	2	 	 	 
11031	3	 	 	 
11031	4	 	 	 
11031	5	 	 	 
11031	6	 	 	 
11031	7	 	 	 
11031	8	 	 	 
11031	9	 	 	 
11031	10	 	 	 
11031	11	 	 	 
11031	12	 	 	 
11031	13	 	 	 
11031	14	 	 	 
11031	15	 	 	 
11031	16	 	 	 
11031	17	 	 	 
11031	31	 	 	 
11031	32	 	 	 
11031	33	 	 	 
11032	1	 	 	 
11032	2	 	 	 
11032	3	 	 	 
11032	4	 	 	 
11032	5	 	 	 
11032	6	 	 	 
11032	7	 	 	 
11032	8	 	 	 
11032	9	 	 	 
11032	10	 	 	 
11032	11	 	 	 
11032	12	 	 	 
11032	13	 	 	 
11032	14	 	 	 
11032	15	 	 	 
11032	16	 	 	 
11032	17	 	 	 
11032	31	 	 	 
11032	32	 	 	 
11032	33	 	 	 
11033	1	 	 	 
11033	2	 	 	 
11033	3	 	 	 
11033	4	 	 	 
11033	5	 	 	 
11033	6	 	 	 
11033	7	 	 	 
11033	8	 	 	 
11033	9	 	 	 
11033	10	 	 	 
11033	11	 	 	 
11033	12	 	 	 
11033	13	 	 	 
11033	14	 	 	 
11033	15	 	 	 
11033	16	 	 	 
11033	17	 	 	 
11033	31	 	 	 
11033	32	 	 	 
11033	33	 	 	 
11034	1	 	 	 
11034	2	 	 	 
11034	3	 	 	 
11034	4	 	 	 
11034	5	 	 	 
11034	6	 	 	 
11034	7	 	 	 
11034	8	 	 	 
11034	9	 	 	 
11034	10	 	 	 
11034	11	 	 	 
11034	12	 	 	 
11034	13	 	 	 
11034	14	 	 	 
11034	15	 	 	 
11034	16	 	 	 
11034	17	 	 	 
11034	31	 	 	 
11034	32	 	 	 
11034	33	 	 	 
11037	1	 	 	 
11037	2	 	 	 
11037	3	 	 	 
11037	4	 	 	 
11037	5	 	 	 
11037	6	 	 	 
11037	7	 	 	 
11037	8	 	 	 
11037	9	 	 	 
11037	10	 	 	 
11037	11	 	 	 
11037	12	 	 	 
11037	13	 	 	 
11037	14	 	 	 
11037	15	 	 	 
11037	16	 	 	 
11037	17	 	 	 
11037	31	 	 	 
11037	32	 	 	 
11037	33	 	 	 
11038	1	 	 	 
11038	2	 	 	 
11038	3	 	 	 
11038	4	 	 	 
11038	5	 	 	 
11038	6	 	 	 
11038	7	 	 	 
11038	8	 	 	 
11038	9	 	 	 
11038	10	 	 	 
11038	11	 	 	 
11038	12	 	 	 
11038	13	 	 	 
11038	14	 	 	 
11038	15	 	 	 
11038	16	 	 	 
11038	17	 	 	 
11038	31	 	 	 
11038	32	 	 	 
11038	33	 	 	 
11039	1	 	 	 
11039	2	 	 	 
11039	3	 	 	 
11039	4	 	 	 
11039	5	 	 	 
11039	6	 	 	 
11039	7	 	 	 
11039	8	 	 	 
11039	9	 	 	 
11039	10	 	 	 
11039	11	 	 	 
11039	12	 	 	 
11039	13	 	 	 
11039	14	 	 	 
11039	15	 	 	 
11039	16	 	 	 
11039	17	 	 	 
11039	31	 	 	 
11039	32	 	 	 
11039	33	 	 	 
11040	1	 	 	 
11040	2	 	 	 
11040	3	 	 	 
11040	4	 	 	 
11040	5	 	 	 
11040	6	 	 	 
11040	7	 	 	 
11040	8	 	 	 
11040	9	 	 	 
11040	10	 	 	 
11040	11	 	 	 
11040	12	 	 	 
11040	13	 	 	 
11040	14	 	 	 
11040	15	 	 	 
11040	16	 	 	 
11040	17	 	 	 
11040	31	 	 	 
11040	32	 	 	 
11040	33	 	 	 
11041	1	 	 	 
11041	2	 	 	 
11041	3	 	 	 
11041	4	 	 	 
11041	5	 	 	 
11041	6	 	 	 
11041	7	 	 	 
11041	8	 	 	 
11041	9	 	 	 
11041	10	 	 	 
11041	11	 	 	 
11041	12	 	 	 
11041	13	 	 	 
11041	14	 	 	 
11041	15	 	 	 
11041	16	 	 	 
11041	17	 	 	 
11041	31	 	 	 
11041	32	 	 	 
11041	33	 	 	 
11042	1	 	 	 
11042	2	 	 	 
11042	3	 	 	 
11042	4	 	 	 
11042	5	 	 	 
11042	6	 	 	 
11042	7	 	 	 
11042	8	 	 	 
11042	9	 	 	 
11042	10	 	 	 
11042	11	 	 	 
11042	12	 	 	 
11042	13	 	 	 
11042	14	 	 	 
11042	15	 	 	 
11042	16	 	 	 
11042	17	 	 	 
11042	31	 	 	 
11042	32	 	 	 
11042	33	 	 	 
11043	1	 	 	 
11043	2	 	 	 
11043	3	 	 	 
11043	4	 	 	 
11043	5	 	 	 
11043	6	 	 	 
11043	7	 	 	 
11043	8	 	 	 
11043	9	 	 	 
11043	10	 	 	 
11043	11	 	 	 
11043	12	 	 	 
11043	13	 	 	 
11043	14	 	 	 
11043	15	 	 	 
11043	16	 	 	 
11043	17	 	 	 
11043	31	 	 	 
11043	32	 	 	 
11043	33	 	 	 
11045	1	 	 	 
11045	2	 	 	 
11045	3	 	 	 
11045	4	 	 	 
11045	5	 	 	 
11045	6	 	 	 
11045	7	 	 	 
11045	8	 	 	 
11045	9	 	 	 
11045	10	 	 	 
11045	11	 	 	 
11045	12	 	 	 
11045	13	 	 	 
11045	14	 	 	 
11045	15	 	 	 
11045	16	 	 	 
11045	17	 	 	 
11045	31	 	 	 
11045	32	 	 	 
11045	33	 	 	 
11046	1	 	 	 
11046	2	 	 	 
11046	3	 	 	 
11046	4	 	 	 
11046	5	 	 	 
11046	6	 	 	 
11046	7	 	 	 
11046	8	 	 	 
11046	9	 	 	 
11046	10	 	 	 
11046	11	 	 	 
11046	12	 	 	 
11046	13	 	 	 
11046	14	 	 	 
11046	15	 	 	 
11046	16	 	 	 
11046	17	 	 	 
11046	31	 	 	 
11046	32	 	 	 
11046	33	 	 	 
11048	1	 	 	 
11048	2	 	 	 
11048	3	 	 	 
11048	4	 	 	 
11048	5	 	 	 
11048	6	 	 	 
11048	7	 	 	 
11048	8	 	 	 
11048	9	 	 	 
11048	10	 	 	 
11048	11	 	 	 
11048	12	 	 	 
11048	13	 	 	 
11048	14	 	 	 
11048	15	 	 	 
11048	16	 	 	 
11048	17	 	 	 
11048	31	 	 	 
11048	32	 	 	 
11048	33	 	 	 
11049	1	 	 	 
11049	2	 	 	 
11049	3	 	 	 
11049	4	 	 	 
11049	5	 	 	 
11049	6	 	 	 
11049	7	 	 	 
11049	8	 	 	 
11049	9	 	 	 
11049	10	 	 	 
11049	11	 	 	 
11049	12	 	 	 
11049	13	 	 	 
11049	14	 	 	 
11049	15	 	 	 
11049	16	 	 	 
11049	17	 	 	 
11049	31	 	 	 
11049	32	 	 	 
11049	33	 	 	 
11050	1	 	 	 
11050	2	 	 	 
11050	3	 	 	 
11050	4	 	 	 
11050	5	 	 	 
11050	6	 	 	 
11050	7	 	 	 
11050	8	 	 	 
11050	9	 	 	 
11050	10	 	 	 
11050	11	 	 	 
11050	12	 	 	 
11050	13	 	 	 
11050	14	 	 	 
11050	15	 	 	 
11050	16	 	 	 
11050	17	 	 	 
11050	31	 	 	 
11050	32	 	 	 
11050	33	 	 	 
21002	1	0	 	 
21002	2	0	 	 
21002	3	0	 	 
21002	4	0	 	 
21002	5	0	 	 
21002	6	0	 	 
21002	7	0	 	 
21002	8	0	 	 
21002	9	0	 	 
21002	10	0	 	 
21002	11	0	 	 
21002	12	0	 	 
21002	13	0	 	 
21002	14	0	 	 
21002	15	0	 	 
21002	16	1	4	1
21002	17	0	 	 
21002	31	0	 	 
21002	32	0	 	 
21002	33	0	 	 
21003	1	 	 	 
21003	2	 	 	 
21003	3	 	 	 
21003	4	 	 	 
21003	5	 	 	 
21003	6	 	 	 
21003	7	 	 	 
21003	8	 	 	 
21003	9	 	 	 
21003	10	 	 	 
21003	11	 	 	 
21003	12	 	 	 
21003	13	 	 	 
21003	14	 	 	 
21003	15	 	 	 
21003	16	 	 	 
21003	17	 	 	 
21003	31	 	 	 
21003	32	 	 	 
21003	33	 	 	 
21004	1	 	 	 
21004	2	 	 	 
21004	3	 	 	 
21004	4	 	 	 
21004	5	 	 	 
21004	6	 	 	 
21004	7	 	 	 
21004	8	 	 	 
21004	9	 	 	 
21004	10	 	 	 
21004	11	 	 	 
21004	12	 	 	 
21004	13	 	 	 
21004	14	 	 	 
21004	15	 	 	 
21004	16	 	 	 
21004	17	 	 	 
21004	31	 	 	 
21004	32	 	 	 
21004	33	 	 	 
21005	1	 	 	 
21005	2	 	 	 
21005	3	 	 	 
21005	4	 	 	 
21005	5	 	 	 
21005	6	 	 	 
21005	7	 	 	 
21005	8	 	 	 
21005	9	 	 	 
21005	10	 	 	 
21005	11	 	 	 
21005	12	 	 	 
21005	13	 	 	 
21005	14	 	 	 
21005	15	 	 	 
21005	16	 	 	 
21005	17	 	 	 
21005	31	 	 	 
21005	32	 	 	 
21005	33	 	 	 
21006	1	 	 	 
21006	2	 	 	 
21006	3	 	 	 
21006	4	 	 	 
21006	5	 	 	 
21006	6	 	 	 
21006	7	 	 	 
21006	8	 	 	 
21006	9	 	 	 
21006	10	 	 	 
21006	11	 	 	 
21006	12	 	 	 
21006	13	 	 	 
21006	14	 	 	 
21006	15	 	 	 
21006	16	 	 	 
21006	17	 	 	 
21006	31	 	 	 
21006	32	 	 	 
21006	33	 	 	 
21007	1	 	 	 
21007	2	 	 	 
21007	3	 	 	 
21007	4	 	 	 
21007	5	 	 	 
21007	6	 	 	 
21007	7	 	 	 
21007	8	 	 	 
21007	9	 	 	 
21007	10	 	 	 
21007	11	 	 	 
21007	12	 	 	 
21007	13	 	 	 
21007	14	 	 	 
21007	15	 	 	 
21007	16	 	 	 
21007	17	 	 	 
21007	31	 	 	 
21007	32	 	 	 
21007	33	 	 	 
21008	1	 	 	 
21008	2	 	 	 
21008	3	 	 	 
21008	4	 	 	 
21008	5	 	 	 
21008	6	 	 	 
21008	7	 	 	 
21008	8	 	 	 
21008	9	 	 	 
21008	10	 	 	 
21008	11	 	 	 
21008	12	 	 	 
21008	13	 	 	 
21008	14	 	 	 
21008	15	 	 	 
21008	16	 	 	 
21008	17	 	 	 
21008	31	 	 	 
21008	32	 	 	 
21008	33	 	 	 
21010	1	 	 	 
21010	2	 	 	 
21010	3	 	 	 
21010	4	 	 	 
21010	5	 	 	 
21010	6	 	 	 
21010	7	 	 	 
21010	8	 	 	 
21010	9	 	 	 
21010	10	 	 	 
21010	11	 	 	 
21010	12	 	 	 
21010	13	 	 	 
21010	14	 	 	 
21010	15	 	 	 
21010	16	 	 	 
21010	17	 	 	 
21010	31	 	 	 
21010	32	 	 	 
21010	33	 	 	 
21011	1	 	 	 
21011	2	 	 	 
21011	3	 	 	 
21011	4	 	 	 
21011	5	 	 	 
21011	6	 	 	 
21011	7	 	 	 
21011	8	 	 	 
21011	9	 	 	 
21011	10	 	 	 
21011	11	 	 	 
21011	12	 	 	 
21011	13	 	 	 
21011	14	 	 	 
21011	15	 	 	 
21011	16	 	 	 
21011	17	 	 	 
21011	31	 	 	 
21011	32	 	 	 
21011	33	 	 	 
21012	1	 	 	 
21012	2	 	 	 
21012	3	 	 	 
21012	4	 	 	 
21012	5	 	 	 
21012	6	 	 	 
21012	7	 	 	 
21012	8	 	 	 
21012	9	 	 	 
21012	10	 	 	 
21012	11	 	 	 
21012	12	 	 	 
21012	13	 	 	 
21012	14	 	 	 
21012	15	 	 	 
21012	16	 	 	 
21012	17	 	 	 
21012	31	 	 	 
21012	32	 	 	 
21012	33	 	 	 
21013	1	0	 	 
21013	2	0	 	 
21013	3	0	 	 
21013	4	0	 	 
21013	5	0	 	 
21013	6	0	 	 
21013	7	0	 	 
21013	8	0	 	 
21013	9	0	 	 
21013	10	0	 	 
21013	11	0	 	 
21013	12	0	 	 
21013	13	0	 	 
21013	14	0	 	 
21013	15	0	 	 
21013	16	1	5	1
21013	17	0	 	 
21013	31	0	 	 
21013	32	0	 	 
21013	33	0	 	 
21014	1	 	 	 
21014	2	 	 	 
21014	3	 	 	 
21014	4	 	 	 
21014	5	 	 	 
21014	6	 	 	 
21014	7	 	 	 
21014	8	 	 	 
21014	9	 	 	 
21014	10	 	 	 
21014	11	 	 	 
21014	12	 	 	 
21014	13	 	 	 
21014	14	 	 	 
21014	15	 	 	 
21014	16	 	 	 
21014	17	 	 	 
21014	31	 	 	 
21014	32	 	 	 
21014	33	 	 	 
21015	1	 	 	 
21015	2	 	 	 
21015	3	 	 	 
21015	4	 	 	 
21015	5	 	 	 
21015	6	 	 	 
21015	7	 	 	 
21015	8	 	 	 
21015	9	 	 	 
21015	10	 	 	 
21015	11	 	 	 
21015	12	 	 	 
21015	13	 	 	 
21015	14	 	 	 
21015	15	 	 	 
21015	16	 	 	 
21015	17	 	 	 
21015	31	 	 	 
21015	32	 	 	 
21015	33	 	 	 
21016	1	 	 	 
21016	2	 	 	 
21016	3	 	 	 
21016	4	 	 	 
21016	5	 	 	 
21016	6	 	 	 
21016	7	 	 	 
21016	8	 	 	 
21016	9	 	 	 
21016	10	 	 	 
21016	11	 	 	 
21016	12	 	 	 
21016	13	 	 	 
21016	14	 	 	 
21016	15	 	 	 
21016	16	 	 	 
21016	17	 	 	 
21016	31	 	 	 
21016	32	 	 	 
21016	33	 	 	 
21017	1	 	 	 
21017	2	 	 	 
21017	3	 	 	 
21017	4	 	 	 
21017	5	 	 	 
21017	6	 	 	 
21017	7	 	 	 
21017	8	 	 	 
21017	9	 	 	 
21017	10	 	 	 
21017	11	 	 	 
21017	12	 	 	 
21017	13	 	 	 
21017	14	 	 	 
21017	15	 	 	 
21017	16	 	 	 
21017	17	 	 	 
21017	31	 	 	 
21017	32	 	 	 
21017	33	 	 	 
21018	1	 	 	 
21018	2	 	 	 
21018	3	 	 	 
21018	4	 	 	 
21018	5	 	 	 
21018	6	 	 	 
21018	7	 	 	 
21018	8	 	 	 
21018	9	 	 	 
21018	10	 	 	 
21018	11	 	 	 
21018	12	 	 	 
21018	13	 	 	 
21018	14	 	 	 
21018	15	 	 	 
21018	16	 	 	 
21018	17	 	 	 
21018	31	 	 	 
21018	32	 	 	 
21018	33	 	 	 
21019	1	 	 	 
21019	2	 	 	 
21019	3	 	 	 
21019	4	 	 	 
21019	5	 	 	 
21019	6	 	 	 
21019	7	 	 	 
21019	8	 	 	 
21019	9	 	 	 
21019	10	 	 	 
21019	11	 	 	 
21019	12	 	 	 
21019	13	 	 	 
21019	14	 	 	 
21019	15	 	 	 
21019	16	 	 	 
21019	17	 	 	 
21019	31	 	 	 
21019	32	 	 	 
21019	33	 	 	 
21020	1	 	 	 
21020	2	 	 	 
21020	3	 	 	 
21020	4	 	 	 
21020	5	 	 	 
21020	6	 	 	 
21020	7	 	 	 
21020	8	 	 	 
21020	9	 	 	 
21020	10	 	 	 
21020	11	 	 	 
21020	12	 	 	 
21020	13	 	 	 
21020	14	 	 	 
21020	15	 	 	 
21020	16	 	 	 
21020	17	 	 	 
21020	31	 	 	 
21020	32	 	 	 
21020	33	 	 	 
21021	1	 	 	 
21021	2	 	 	 
21021	3	 	 	 
21021	4	 	 	 
21021	5	 	 	 
21021	6	 	 	 
21021	7	 	 	 
21021	8	 	 	 
21021	9	 	 	 
21021	10	 	 	 
21021	11	 	 	 
21021	12	 	 	 
21021	13	 	 	 
21021	14	 	 	 
21021	15	 	 	 
21021	16	 	 	 
21021	17	 	 	 
21021	31	 	 	 
21021	32	 	 	 
21021	33	 	 	 
21022	1	 	 	 
21022	2	 	 	 
21022	3	 	 	 
21022	4	 	 	 
21022	5	 	 	 
21022	6	 	 	 
21022	7	 	 	 
21022	8	 	 	 
21022	9	 	 	 
21022	10	 	 	 
21022	11	 	 	 
21022	12	 	 	 
21022	13	 	 	 
21022	14	 	 	 
21022	15	 	 	 
21022	16	 	 	 
21022	17	 	 	 
21022	31	 	 	 
21022	32	 	 	 
21022	33	 	 	 
21023	1	0	 	 
21023	2	1	1	1
21023	3	0	 	 
21023	4	0	 	 
21023	5	0	 	 
21023	6	0	 	 
21023	7	0	 	 
21023	8	0	 	 
21023	9	0	 	 
21023	10	0	 	 
21023	11	0	 	 
21023	12	0	 	 
21023	13	0	 	 
21023	14	0	 	 
21023	15	0	 	 
21023	16	0	 	 
21023	17	0	 	 
21023	31	0	 	 
21023	32	0	 	 
21023	33	1	1	1
21025	1	0	 	 
21025	2	1	2	1
21025	3	0	 	 
21025	4	0	 	 
21025	5	0	 	 
21025	6	1	1	2
21025	7	0	 	 
21025	8	0	 	 
21025	9	0	 	 
21025	10	0	 	 
21025	11	0	 	 
21025	12	0	 	 
21025	13	1	4	2
21025	14	0	 	 
21025	15	0	 	 
21025	16	1	5	1
21025	17	0	 	 
21025	31	0	 	 
21025	32	0	 	 
21025	33	1	2	1
21030	1	 	 	 
21030	2	 	 	 
21030	3	 	 	 
21030	4	 	 	 
21030	5	 	 	 
