CHILDCODE	EDCHSTR4	SCHAGER4	ATSCR4	GRDER4	SMESCHR4	TYSCR4	LOCSCRR4	LOCSCZR4	NMSCWDR4
10035	10	9	1	2	Y	 	 	 	82
10035	9	8	1	1	Y	 	 	 	82
10035	8	7	1	1	Y	 	 	 	82
10035	7	6	1	15	N	1	14	1407	497
10035	6	5	1	15	Y	 	 	 	497
10035	5	4	0	 	 	 	 	 	 
10035	4	3	0	 	 	 	 	 	 
10035	3	2	0	 	 	 	 	 	 
10035	2	1	0	 	 	 	 	 	 
10035	1	-88	88	 	 	 	 	 	 
10036	13	11	1	6	 	4	14	1407	82
10036	12	10	1	5	Y	 	 	 	82
10036	11	9	1	4	Y	 	 	 	82
10036	10	8	1	3	Y	 	 	 	82
10036	9	7	1	2	Y	 	 	 	82
10036	8	6	1	1	Y	 	 	 	82
10036	7	5	1	15	N	4	14	1407	616
10036	6	4	1	15	Y	 	 	 	616
10036	5	3	0	 	 	 	 	 	 
10036	4	2	0	 	 	 	 	 	 
10036	3	1	0	 	 	 	 	 	 
10036	2	0	88	 	 	 	 	 	 
10036	1	-88	88	 	 	 	 	 	 
10037	13	12	1	7	 	1	14	1404	635
10037	12	11	1	6	N	1	14	1407	657
10037	11	10	1	5	Y	 	 	 	657
10037	10	9	1	4	Y	 	 	 	657
10037	9	8	1	3	N	1	14	1407	269
10037	8	7	1	2	Y	 	 	 	269
10037	7	6	1	1	Y	 	 	 	269
10037	6	5	1	15	Y	 	 	 	269
10037	5	4	1	15	Y	 	 	 	269
10037	4	3	0	 	 	 	 	 	 
10037	3	2	0	 	 	 	 	 	 
10037	2	1	0	 	 	 	 	 	 
10037	1	0	0	 	 	 	 	 	 
10038	13	11	1	6	 	4	14	1407	82
10038	12	10	1	5	Y	 	 	 	82
10038	11	9	1	4	Y	 	 	 	82
10038	10	8	1	3	Y	 	 	 	82
10038	9	7	1	2	Y	 	 	 	82
10038	8	6	1	1	Y	 	 	 	82
10038	7	5	1	15	Y	 	 	 	82
10038	6	4	1	15	Y	 	 	 	82
10038	5	3	0	 	 	 	 	 	 
10038	4	2	0	 	 	 	 	 	 
10038	3	1	0	 	 	 	 	 	 
10038	2	0	88	 	 	 	 	 	 
10038	1	-88	88	 	 	 	 	 	 
10040	13	12	1	6	 	4	14	1407	82
10040	12	11	1	5	Y	 	 	 	82
10040	11	10	1	4	Y	 	 	 	82
10040	10	9	1	3	Y	 	 	 	82
10040	9	8	1	2	Y	 	 	 	82
10040	8	7	1	1	Y	 	 	 	82
10040	7	6	1	15	N	2	14	1407	596
10040	6	5	1	14	Y	 	 	 	596
10040	5	4	0	 	 	 	 	 	 
10040	4	3	0	 	 	 	 	 	 
10040	3	2	0	 	 	 	 	 	 
10040	2	1	0	 	 	 	 	 	 
10040	1	-88	88	 	 	 	 	 	 
10041	13	12	1	7	 	4	14	1407	569
10041	12	11	1	6	Y	 	 	 	569
10041	11	10	1	5	Y	 	 	 	569
10041	10	9	1	4	N	1	14	1407	497
10041	9	8	1	3	Y	 	 	 	497
10041	8	7	1	2	Y	 	 	 	497
10041	7	6	1	1	Y	 	 	 	497
10041	6	5	1	15	Y	 	 	 	497
10041	5	4	1	15	Y	 	 	 	497
10041	4	3	1	14	Y	 	 	 	497
10041	3	2	0	 	 	 	 	 	 
10041	2	1	0	 	 	 	 	 	 
10041	1	0	88	 	 	 	 	 	 
10042	13	12	1	5	 	4	14	1407	118
10042	12	11	1	5	Y	 	 	 	118
10042	11	10	1	4	N	1	14	1408	750
10042	10	9	1	3	Y	 	 	 	750
10042	9	8	1	2	Y	 	 	 	750
10042	8	7	1	1	Y	 	 	 	750
10042	7	6	1	15	N	2	14	1407	596
10042	6	5	1	15	Y	 	 	 	596
10042	5	4	1	14	Y	 	 	 	596
10042	4	3	0	 	 	 	 	 	 
10042	3	2	0	 	 	 	 	 	 
10042	2	1	0	 	 	 	 	 	 
10042	1	0	88	 	 	 	 	 	 
10043	13	12	1	6	 	4	14	1407	648
10043	12	11	1	5	Y	 	 	 	648
10043	11	10	1	4	Y	 	 	 	648
10043	10	9	1	3	N	1	14	1407	497
10043	9	8	1	2	Y	 	 	 	497
10043	8	7	1	1	N	4	14	1407	82
10043	7	6	1	15	N	4	14	1407	616
10043	6	5	1	15	Y	 	 	 	616
10043	5	4	1	14	Y	 	 	 	616
10043	4	3	0	 	 	 	 	 	 
10043	3	2	0	 	 	 	 	 	 
10043	2	1	0	 	 	 	 	 	 
10043	1	0	0	 	 	 	 	 	 
10044	13	11	1	5	 	4	14	1407	569
10044	12	10	1	4	N	1	14	1407	497
10044	11	9	1	3	Y	 	 	 	497
10044	10	8	1	2	Y	 	 	 	497
10044	9	7	1	1	Y	 	 	 	497
10044	8	6	1	15	Y	 	 	 	497
10044	7	5	1	15	Y	 	 	 	497
10044	6	4	1	15	Y	 	 	 	497
10044	5	3	0	 	 	 	 	 	 
10044	4	2	0	 	 	 	 	 	 
10044	3	1	0	 	 	 	 	 	 
10044	2	0	88	 	 	 	 	 	 
10044	1	-88	88	 	 	 	 	 	 
10045	13	11	1	5	 	4	14	1404	640
10045	12	10	1	4	Y	 	 	 	640
10045	11	9	1	3	Y	 	 	 	640
10045	10	8	1	2	Y	 	 	 	640
10045	9	7	1	1	Y	 	 	 	640
10045	8	6	1	15	N	1	14	1404	649
10045	7	5	1	15	Y	 	 	 	649
10045	6	4	1	15	Y	 	 	 	649
10045	5	3	0	 	 	 	 	 	 
10045	4	2	0	 	 	 	 	 	 
10045	3	1	0	 	 	 	 	 	 
10045	2	0	0	 	 	 	 	 	 
10045	1	-88	88	 	 	 	 	 	 
10046	13	12	1	7	 	4	14	1407	82
10046	12	11	1	6	Y	 	 	 	82
10046	11	10	1	5	Y	 	 	 	82
10046	10	9	1	4	Y	 	 	 	82
10046	9	8	1	3	Y	 	 	 	82
10046	8	7	1	2	Y	 	 	 	82
10046	7	6	1	1	Y	 	 	 	82
10046	6	5	1	15	N	1	14	1407	596
10046	5	4	1	14	Y	 	 	 	596
10046	4	3	0	 	 	 	 	 	 
10046	3	2	0	 	 	 	 	 	 
10046	2	1	0	 	 	 	 	 	 
10046	1	-88	88	 	 	 	 	 	 
10048	13	12	1	4	 	4	4	401	925
10048	12	11	1	3	N	4	7	720	1059
10048	11	10	1	2	Y	 	 	 	1059
10048	10	9	1	1	Y	 	 	 	1059
10048	9	8	0	 	 	 	 	 	 
10048	8	7	0	 	 	 	 	 	 
10048	7	6	0	 	 	 	 	 	 
10048	6	5	0	 	 	 	 	 	 
10048	5	4	0	 	 	 	 	 	 
10048	4	3	0	 	 	 	 	 	 
10048	3	2	0	 	 	 	 	 	 
10048	2	1	0	 	 	 	 	 	 
10048	1	0	0	 	 	 	 	 	 
10049	13	12	1	6	 	4	14	1407	82
10049	12	11	1	5	Y	 	 	 	82
10049	11	10	1	4	Y	 	 	 	82
10049	10	9	1	3	Y	 	 	 	82
10049	9	8	1	2	Y	 	 	 	82
10049	8	7	1	1	Y	 	 	 	82
10049	7	6	1	15	N	4	14	1407	616
10049	6	5	1	15	Y	 	 	 	616
10049	5	4	0	 	 	 	 	 	 
10049	4	3	0	 	 	 	 	 	 
10049	3	2	0	 	 	 	 	 	 
10049	2	1	0	 	 	 	 	 	 
10049	1	-88	88	 	 	 	 	 	 
10050	13	12	1	6	 	4	3	301	810
10050	12	11	1	5	N	4	14	1407	82
10050	11	10	1	4	Y	 	 	 	82
10050	10	9	1	3	Y	 	 	 	82
10050	9	8	1	2	Y	 	 	 	82
10050	8	7	1	1	Y	 	 	 	82
10050	7	6	0	 	 	 	 	 	 
10050	6	5	0	 	 	 	 	 	 
10050	5	4	0	 	 	 	 	 	 
10050	4	3	0	 	 	 	 	 	 
10050	3	2	0	 	 	 	 	 	 
10050	2	1	0	 	 	 	 	 	 
10050	1	0	0	 	 	 	 	 	 
10051	13	12	1	6	 	4	14	1407	82
10051	12	11	1	5	Y	 	 	 	82
10051	11	10	1	4	Y	 	 	 	82
10051	10	9	1	3	Y	 	 	 	82
10051	9	8	1	2	Y	 	 	 	82
10051	8	7	1	1	Y	 	 	 	82
10051	7	6	1	15	N	1	14	1407	596
10051	6	5	1	15	Y	 	 	 	596
10051	5	4	0	 	 	 	 	 	 
10051	4	3	0	 	 	 	 	 	 
10051	3	2	0	 	 	 	 	 	 
10051	2	1	0	 	 	 	 	 	 
10051	1	-88	88	 	 	 	 	 	 
10052	13	12	1	7	 	4	14	1407	82
10052	12	11	1	6	Y	 	 	 	82
10052	11	10	1	5	Y	 	 	 	82
10052	10	9	1	4	Y	 	 	 	82
10052	9	8	1	3	N	1	14	1407	497
10052	8	7	1	2	Y	 	 	 	497
10052	7	6	1	1	Y	 	 	 	497
10052	6	5	1	15	Y	 	 	 	497
10052	5	4	1	14	Y	 	 	 	497
10052	4	3	0	 	 	 	 	 	 
10052	3	2	0	 	 	 	 	 	 
10052	2	1	0	 	 	 	 	 	 
10052	1	-88	88	 	 	 	 	 	 
10053	13	11	1	4	 	4	14	1407	82
10053	12	10	1	3	Y	 	 	 	82
10053	11	9	1	2	Y	 	 	 	82
10053	10	8	1	1	Y	 	 	 	82
10053	9	7	1	15	N	1	14	1407	497
10053	8	6	1	15	Y	 	 	 	497
10053	7	5	1	14	Y	 	 	 	497
10053	6	4	0	 	 	 	 	 	 
10053	5	3	0	 	 	 	 	 	 
10053	4	2	0	 	 	 	 	 	 
10053	3	1	0	 	 	 	 	 	 
10053	2	0	88	 	 	 	 	 	 
10053	1	-88	88	 	 	 	 	 	 
10055	13	12	1	7	 	4	1	102	1212
10055	12	11	1	6	Y	 	 	 	1212
10055	11	10	1	5	N	4	1	102	1353
10055	10	9	1	4	Y	 	 	 	1353
10055	9	8	1	3	Y	 	 	 	1353
10055	8	7	1	2	Y	 	 	 	1353
10055	7	6	1	1	Y	 	 	 	1353
10055	6	5	0	 	 	 	 	 	 
10055	5	4	0	 	 	 	 	 	 
10055	4	3	0	 	 	 	 	 	 
10055	3	2	0	 	 	 	 	 	 
10055	2	1	0	 	 	 	 	 	 
10055	1	0	0	 	 	 	 	 	 
10056	13	12	1	3	 	4	4	405	958
10056	12	11	1	3	Y	 	 	 	958
10056	11	10	1	2	Y	 	 	 	958
10056	10	9	1	1	Y	 	 	 	958
10056	9	8	0	 	 	 	 	 	 
10056	8	7	0	 	 	 	 	 	 
10056	7	6	0	 	 	 	 	 	 
10056	6	5	0	 	 	 	 	 	 
10056	5	4	0	 	 	 	 	 	 
10056	4	3	0	 	 	 	 	 	 
10056	3	2	0	 	 	 	 	 	 
10056	2	1	0	 	 	 	 	 	 
10056	1	0	88	 	 	 	 	 	 
10057	13	12	1	8	 	4	14	1407	82
10057	12	11	1	7	Y	 	 	 	82
10057	11	10	1	6	Y	 	 	 	82
10057	10	9	1	5	Y	 	 	 	82
10057	9	8	1	4	Y	 	 	 	82
10057	8	7	1	3	Y	 	 	 	82
10057	7	6	1	2	N	1	14	1408	631
10057	6	5	1	1	Y	 	 	 	631
10057	5	4	1	15	N	1	14	1407	497
10057	4	3	1	15	Y	 	 	 	497
10057	3	2	0	 	 	 	 	 	 
10057	2	1	0	 	 	 	 	 	 
10057	1	-88	0	 	 	 	 	 	 
