CHILDID	CAID	WHO	TIMECARE	PAYCARE
VN020131	1	1	2	2
VN020133	1	1	2	2
VN020136	1	1	1	2
VN030001	1	1	2	2
VN030004	1	1	2	2
VN030011	1	1	2	2
VN030015	1	1	1	2
VN030017	1	1	2	2
VN030018	1	1	2	2
VN030027	1	1	2	2
VN030030	1	1	1	2
VN030032	1	1	2	2
VN030037	1	1	2	2
VN030044	1	1	1	2
VN030049	1	1	1	2
VN030050	1	1	2	2
VN030051	1	1	1	1
VN030061	1	1	2	2
VN030067	1	1	2	2
VN030069	1	1	1	2
VN030077	1	1	3	2
VN030078	1	1	2	2
VN030079	1	1	1	2
VN030081	1	1	2	1
VN030086	1	1	1	2
VN030094	1	1	1	2
VN030094	2	2	1	2
VN030099	1	1	2	2
VN030100	1	1	2	2
VN030100	2	2	1	2
VN030129	1	1	2	2
VN030131	1	1	1	2
VN030132	1	1	2	1
VN040002	1	1	3	2
VN040003	1	1	2	2
VN040005	1	1	1	2
VN040007	1	1	3	2
VN040012	1	1	1	2
VN040020	1	1	3	2
VN040021	1	1	2	2
VN040025	1	1	2	2
VN040026	1	1	2	2
VN040033	1	1	1	2
VN040035	1	1	2	2
VN040036	1	1	2	2
VN040038	1	2	2	2
VN040044	1	1	2	2
VN040045	1	1	1	2
VN040047	1	1	1	2
VN040050	1	1	1	2
VN040051	1	1	2	2
VN040053	1	1	2	2
VN040054	1	1	2	2
VN040056	1	1	2	2
VN040059	1	1	1	2
VN040060	1	1	2	2
VN040070	1	1	1	2
VN040071	1	1	1	2
VN040073	1	1	1	2
VN040075	2	99	1	2
VN040076	1	1	1	2
VN040077	1	1	1	2
VN040082	1	1	2	2
VN040088	1	2	2	2
VN040089	1	1	1	2
VN040092	1	1	2	2
VN040093	1	1	3	2
VN040094	1	1	2	2
VN040097	1	1	2	2
VN040098	1	1	2	2
VN040106	1	1	2	2
VN040118	1	1	1	2
VN040122	1	1	1	2
VN040151	1	1	2	2
VN040164	1	1	1	2
VN040174	1	1	2	2
VN050004	1	1	1	2
VN050006	1	1	2	2
VN050009	1	1	2	2
VN050013	1	1	1	2
VN050017	1	1	1	2
VN050018	1	1	1	2
VN050021	1	1	2	2
VN050022	1	1	1	2
VN050027	1	1	2	2
VN050028	1	1	1	2
VN050034	1	1	1	2
VN050037	1	1	2	2
VN050040	1	1	1	1
VN050041	1	1	3	2
VN050042	1	1	2	2
VN050043	1	1	2	1
VN050044	1	1	2	2
VN050048	1	1	2	2
VN050049	1	1	2	2
VN050054	1	1	1	2
VN050055	1	1	1	2
VN050079	1	1	2	2
VN050087	1	2	2	1
VN050091	1	1	1	2
VN050095	1	1	1	2
VN050096	1	1	1	2
VN050109	1	1	1	2
VN050114	1	1	2	2
VN050115	1	1	2	2
VN050118	1	1	1	2
VN060005	1	1	1	2
VN060007	1	1	2	2
VN060008	1	1	1	2
VN060009	1	1	1	2
VN060010	1	1	2	2
VN060013	1	2	4	2
VN060025	1	1	1	2
VN060029	1	1	2	2
VN060032	1	1	2	2
VN060037	1	1	1	2
VN060045	1	1	1	2
VN060047	1	1	1	2
VN060048	1	1	2	1
VN060049	1	1	1	2
VN060052	1	1	1	2
VN060058	1	1	1	2
VN060064	1	1	1	2
VN060065	1	1	2	1
VN060066	1	1	3	2
VN060069	1	1	2	2
VN060070	1	1	2	2
VN060075	1	2	1	2
VN060078	1	1	2	2
VN060080	1	1	2	2
VN060084	1	1	2	2
VN060085	1	1	2	2
VN060086	1	1	1	2
VN060087	1	1	2	2
VN060091	1	1	1	2
VN060092	1	1	2	2
VN060093	1	1	2	2
VN060095	1	1	2	2
VN060097	1	1	1	2
VN060100	1	1	2	2
VN060105	1	1	2	2
VN060109	1	1	2	2
VN060111	1	1	2	2
VN060115	1	1	1	2
VN060119	1	1	2	2
VN060127	1	1	1	2
VN070004	1	1	1	1
VN070009	1	2	1	1
VN070016	1	1	1	2
VN070018	1	2	2	2
VN070021	1	1	1	2
VN070028	1	1	2	2
VN070029	1	1	2	2
VN070032	1	1	2	2
VN070041	1	1	2	2
VN070051	1	1	1	2
VN070054	1	1	2	2
VN070055	1	1	1	2
VN070058	1	1	2	2
VN070076	1	1	2	2
VN070082	1	2	1	2
VN070083	1	1	2	2
VN070084	1	1	1	2
VN070087	1	1	2	2
VN070087	2	2	1	2
VN070088	1	1	2	2
VN070090	1	1	1	2
VN070093	1	1	1	2
VN070097	1	1	1	2
VN070099	1	1	1	2
VN070099	2	2	1	2
VN070105	1	1	1	2
VN070123	1	1	1	2
VN070126	1	1	2	2
VN080001	1	1	1	2
VN080002	1	1	1	2
VN080004	1	1	2	2
VN080006	1	1	1	2
VN080006	2	2	1	1
VN080008	1	1	2	2
VN080011	1	1	2	2
VN080016	1	1	2	2
VN080019	1	1	2	2
VN080020	1	1	1	2
VN080021	1	1	2	1
VN080024	1	1	1	2
VN080026	1	1	2	2
VN080031	1	1	2	2
VN080033	1	1	2	2
VN080036	1	1	1	2
VN080040	1	1	2	2
VN080052	1	1	2	2
VN080053	1	1	2	2
VN080058	1	1	1	2
VN080064	1	1	1	2
VN080065	1	1	1	1
VN080067	1	1	2	2
VN080068	1	1	1	2
VN080069	1	1	2	2
VN080078	1	1	2	2
VN080078	2	2	2	2
VN080090	1	1	1	2
VN080093	1	2	2	2
VN080095	1	1	2	2
VN080099	1	1	3	2
VN080100	1	1	2	2
VN080107	1	1	3	2
VN080119	1	1	1	2
VN080124	1	1	1	2
VN080165	1	1	1	2
VN090001	1	2	2	2
VN090006	1	1	1	2
VN090013	1	1	1	2
VN090047	1	1	2	2
VN090061	1	1	3	2
VN090068	1	1	1	2
VN090079	1	1	2	2
VN090080	1	1	2	2
VN090094	1	1	1	2
VN090098	1	2	1	2
VN090103	1	1	2	2
VN100007	1	1	1	2
VN100011	1	1	2	2
VN100011	2	2	2	2
VN100015	1	1	2	2
VN100018	1	1	2	2
VN100020	1	1	2	2
VN100025	1	1	2	2
VN100027	1	1	1	2
VN100032	1	2	2	2
VN100033	1	2	1	2
VN100044	1	1	2	1
VN100046	1	1	1	2
VN100052	1	1	3	2
VN100058	1	1	2	2
VN100060	1	1	2	2
VN100068	1	1	1	2
VN100079	1	1	2	1
VN100080	1	2	3	2
VN100092	1	1	1	1
VN100096	1	2	1	2
VN100106	1	2	3	2
VN100107	1	1	2	2
VN100109	1	1	2	2
VN100113	1	1	2	2
VN110001	1	1	1	2
VN110001	2	2	1	1
VN110004	1	1	1	2
VN110006	1	1	1	2
VN110015	1	1	2	2
VN110021	1	1	1	1
VN110029	1	1	2	2
VN110030	1	1	1	2
VN110036	1	1	2	2
VN110043	1	1	4	2
VN110051	1	1	3	1
VN110052	1	2	2	2
VN110053	1	1	3	2
VN110054	1	1	2	2
VN110055	1	1	2	1
VN110059	1	1	2	2
VN110064	1	1	1	2
VN110067	1	1	1	2
VN110079	1	1	2	2
VN110080	1	2	2	2
VN110082	1	1	2	2
VN110086	1	1	4	2
VN110088	1	1	4	1
VN110095	1	1	2	1
VN110099	1	1	1	2
VN110100	1	1	2	2
VN110115	1	1	3	2
VN110119	1	2	1	2
VN110121	1	1	2	1
VN110123	1	1	2	1
VN110126	1	1	2	2
VN120004	1	1	2	2
VN120006	1	1	1	1
VN120011	1	1	2	2
VN120033	1	1	3	2
VN120039	1	1	1	2
VN120040	1	1	2	2
VN120045	1	1	2	2
VN120046	1	1	2	2
VN120066	1	1	1	2
VN120067	1	1	1	2
VN120079	1	1	1	2
VN120090	1	1	2	2
VN120095	1	1	1	2
VN120115	1	2	2	2
VN120140	1	1	4	2
VN130010	1	1	1	2
VN130012	1	1	2	2
VN130015	1	1	2	2
VN130033	1	1	2	2
VN130037	1	1	2	2
VN130046	1	1	2	1
VN130050	1	1	1	2
VN130051	1	1	1	2
VN130055	1	1	1	2
VN130058	1	1	3	2
VN130060	1	1	3	2
VN130063	1	1	1	2
VN130064	1	1	1	1
VN130069	1	1	2	2
VN130069	2	2	1	1
VN130071	1	1	1	2
VN130074	1	1	2	2
VN130078	1	1	1	2
VN130080	1	1	1	2
VN130081	1	3	1	1
VN130081	2	1	1	1
VN130082	1	1	1	2
VN130083	1	1	2	2
VN130085	1	2	1	1
VN130086	1	1	2	2
VN130088	1	1	1	2
VN130090	1	1	1	2
VN130096	1	1	2	2
VN130100	1	1	1	1
VN130104	1	1	1	2
VN140002	1	1	1	2
VN140004	1	1	2	2
VN140007	1	1	2	1
VN140010	1	1	1	2
VN140013	1	1	2	1
VN140016	1	1	1	2
VN140017	1	1	2	2
VN140018	1	1	1	2
VN140020	1	1	2	1
VN140023	1	1	2	1
VN140025	1	1	1	2
VN140026	1	1	3	1
VN140029	1	1	2	2
VN140030	1	1	2	1
VN140031	1	2	2	1
VN140033	1	1	2	1
VN140036	1	1	2	1
VN140037	1	1	1	2
VN140038	1	1	1	2
VN140039	1	1	2	2
VN140040	1	1	1	2
VN140041	1	1	1	2
VN140043	1	2	2	1
VN140044	1	1	1	2
VN140045	1	1	2	2
VN140047	1	1	1	2
VN140048	1	1	1	2
VN140049	1	1	2	1
VN140050	1	1	2	1
VN140051	1	1	1	2
VN140052	1	1	1	2
VN140053	1	1	1	2
VN140055	1	1	1	2
VN140056	1	2	1	2
VN140058	1	1	2	1
VN140059	1	1	1	1
VN140060	1	1	2	2
VN140061	1	1	1	1
VN140062	1	1	2	2
VN140066	1	1	1	2
VN140067	1	1	2	2
VN140069	1	1	2	1
VN140071	1	1	2	2
VN140072	1	1	1	1
VN140073	1	1	2	1
VN140074	1	1	1	2
VN140074	2	2	1	1
VN140077	1	1	4	2
VN140078	1	1	4	2
VN140080	1	1	1	2
VN140081	1	1	1	2
VN140083	1	1	1	2
VN140085	1	1	1	1
VN140088	1	1	2	1
VN140090	1	1	1	2
VN140094	1	1	2	2
VN140095	1	1	2	2
VN140097	1	3	1	1
VN140098	1	1	2	1
VN140102	1	1	1	1
VN140107	1	1	2	2
VN150008	1	1	2	2
VN150009	1	1	3	2
VN150010	1	1	2	2
VN150014	1	1	2	2
VN150015	1	1	1	2
VN150017	1	3	2	2
VN150020	1	1	3	2
VN150022	1	1	2	1
VN150023	1	1	1	2
VN150024	1	1	2	2
VN150027	1	1	1	2
VN150029	1	1	3	2
VN150033	1	1	1	2
VN150034	2	1	2	2
VN150038	1	1	3	2
VN150039	1	1	2	2
VN150040	1	1	1	2
VN150041	1	1	1	2
VN150041	2	2	1	1
VN150042	1	1	3	2
VN150043	1	1	2	2
VN150049	1	3	2	2
VN150054	1	1	2	2
VN150059	1	1	1	2
VN150060	1	1	2	2
VN150063	1	1	2	2
VN150064	1	1	2	2
VN150065	1	1	3	2
VN150066	1	1	3	1
VN150068	1	1	2	2
VN150070	1	1	2	2
VN150077	1	1	2	1
VN150078	1	1	2	2
VN150081	1	1	1	2
VN150087	1	1	2	2
VN150090	1	1	3	2
VN150095	1	1	4	2
VN150096	1	1	2	2
VN150097	1	1	2	2
VN150098	1	1	2	1
VN150104	1	1	2	2
VN150105	2	1	2	2
VN150128	1	1	1	2
VN150129	1	1	2	2
VN150133	1	1	1	2
VN150134	1	1	1	2
VN150136	1	1	1	2
VN150137	1	1	1	2
VN150138	1	1	1	1
VN150139	1	1	1	2
VN160003	1	1	3	1
VN160014	1	1	1	1
VN160018	1	1	3	2
VN160020	1	1	2	2
VN160024	1	1	1	2
VN160025	1	1	4	2
VN160026	1	1	2	2
VN160027	1	1	2	1
VN160032	1	1	1	2
VN160033	1	1	2	2
VN160037	1	1	2	2
VN160039	1	1	2	2
VN160040	1	1	3	1
VN160046	1	2	2	2
VN160046	2	2	2	2
VN160047	1	1	4	2
VN160048	1	1	3	2
VN160063	1	3	4	2
VN160065	1	1	2	2
VN160066	1	1	1	2
VN160067	1	1	3	2
VN160068	1	1	2	2
VN160069	1	1	2	2
VN160070	1	1	2	2
VN160072	1	3	2	1
VN160075	1	1	2	2
VN160077	1	1	1	1
VN160078	1	1	1	2
VN160080	1	1	2	2
VN160081	1	1	1	1
VN160082	1	1	2	2
VN160084	1	1	1	2
VN160089	1	1	1	2
VN160090	1	1	3	2
VN160095	1	1	1	2
VN160096	1	1	3	2
VN160099	1	1	1	2
VN160104	1	1	2	1
VN160107	1	1	2	2
VN160114	1	1	2	2
VN170002	1	2	1	2
VN170005	1	1	2	2
VN170015	1	1	2	2
VN170017	1	2	1	1
VN170018	1	2	1	1
VN170024	1	2	3	1
VN170025	1	1	1	1
VN170027	1	2	1	1
VN170029	1	2	1	1
VN170032	1	1	2	1
VN170035	1	2	1	1
VN170036	1	1	1	1
VN170037	1	1	1	1
VN170046	1	3	1	1
VN170048	1	2	1	1
VN170063	1	1	4	2
VN170063	2	2	1	1
VN170069	1	1	2	1
VN170069	3	1	1	1
VN170070	1	1	1	1
VN170071	1	1	4	2
VN170072	1	1	2	1
VN170073	1	1	1	1
VN170076	1	1	2	2
VN170082	1	2	1	1
VN170084	1	2	1	1
VN170089	1	1	1	1
VN170090	1	1	1	2
VN170091	1	1	2	2
VN170092	1	3	1	1
VN170095	1	2	1	1
VN170096	1	2	1	1
VN170097	1	2	2	1
VN170101	1	1	1	2
VN170103	1	3	1	1
VN170126	1	2	2	1
VN180005	1	3	1	1
VN180027	1	1	1	1
VN180028	1	1	2	1
VN180029	1	2	2	1
VN180032	1	1	2	1
VN180036	1	2	2	1
VN180039	1	2	1	1
VN180042	1	2	1	1
VN180044	1	3	1	1
VN180055	1	1	2	2
VN180055	2	2	2	1
VN180058	1	2	1	1
VN180061	1	3	1	1
VN180061	2	1	4	2
VN180062	1	1	1	1
VN180068	1	3	3	1
VN180069	1	1	2	1
VN180075	1	1	2	1
VN180077	1	1	2	1
VN180078	1	1	1	2
VN180079	1	3	2	1
VN180080	1	1	3	2
VN180087	1	1	1	2
VN180088	1	2	3	1
VN180095	1	3	2	1
VN180096	1	1	2	1
VN180105	1	1	2	2
VN180106	1	1	1	2
VN180112	1	1	1	1
VN180123	1	1	1	2
VN190006	1	1	1	1
VN190007	1	1	2	2
VN190010	1	2	2	1
VN190013	1	2	1	1
VN190014	1	2	2	1
VN190016	1	2	1	1
VN190028	1	1	2	2
VN190029	1	1	1	2
VN190030	1	1	4	2
VN190039	1	2	1	2
VN190048	1	1	4	2
VN190057	1	2	3	2
VN190058	1	2	2	1
VN190090	1	1	2	1
VN190112	1	1	2	1
VN190113	1	2	1	2
VN190115	1	1	2	2
VN190130	1	1	2	1
VN190137	1	1	1	2
VN190139	1	2	2	2
VN200001	1	1	1	2
VN200002	1	3	1	1
VN200006	1	2	1	1
VN200012	1	2	2	2
VN200013	1	1	2	1
VN200021	1	3	1	1
VN200029	1	1	1	2
VN200034	1	1	2	2
VN200035	1	2	1	1
VN200036	1	1	2	2
VN200041	1	2	1	1
VN200042	1	2	2	1
VN200043	1	2	1	1
VN200048	1	2	2	1
VN200049	1	1	1	1
VN200069	1	2	1	1
VN200081	1	2	1	1
VN200085	1	2	2	1
VN200086	1	2	3	1
VN200087	1	2	1	1
VN200089	1	1	1	1
VN200091	1	3	2	1
VN200093	1	1	1	1
VN200094	1	2	1	1
VN200095	1	1	1	2
VN200099	1	1	2	1
VN200115	1	1	2	2
