CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4
20117	2	2	1	0	 
20118	1	1	1	0	 
20118	2	2	1	0	 
20119	1	3	1	0	 
20119	2	2	1	0	 
20123	1	6	2	1	1
20123	2	3	1	0	 
20125	1	2	1	0	 
20129	1	2	1	0	 
20129	2	1	1	1	2
20131	1	2	1	0	 
20133	1	2	1	0	 
20135	1	2	1	0	 
20136	1	2	1	0	 
30001	1	2	1	0	 
30002	1	2	1	0	 
30003	1	3	1	0	 
30004	1	2	1	1	1
30005	1	2	1	0	 
30005	2	3	1	0	 
30006	1	2	1	0	 
30007	1	2	1	0	 
30007	2	1	1	0	 
30008	1	2	1	0	 
30009	1	2	1	0	 
30009	2	1	1	0	 
30010	1	2	1	0	 
30010	2	1	1	0	 
30011	1	2	1	0	 
30012	1	2	1	0	 
30012	2	1	1	0	 
30012	3	7	1	0	 
30013	1	2	1	0	 
30013	2	1	1	0	 
30013	3	7	1	0	 
30014	1	2	1	0	 
30015	1	2	1	0	 
30015	2	3	1	0	 
30016	1	2	1	0	 
30016	2	3	1	0	 
30016	3	1	1	0	 
30017	1	2	1	0	 
30017	2	1	1	0	 
30018	1	2	1	0	 
30020	1	2	1	0	 
30020	2	3	1	0	 
30020	3	1	1	0	 
30021	1	2	1	0	 
30021	2	4	1	0	 
30022	1	2	1	0	 
30022	2	1	1	0	 
30023	1	2	1	0	 
30024	1	2	1	0	 
30024	2	1	1	0	 
30024	3	3	1	0	 
30025	1	2	1	0	 
30026	1	2	1	0	 
30027	1	2	1	0	 
30027	2	1	1	0	 
30028	1	2	2	0	 
30028	2	3	1	0	 
30028	3	1	2	0	 
30029	1	1	2	1	0
30029	2	2	1	0	 
30030	1	2	1	0	 
30030	2	1	1	0	 
30030	3	3	1	0	 
30031	1	1	2	1	0
30031	2	2	1	0	 
30032	1	2	1	0	 
30033	1	2	1	0	 
30034	1	2	1	0	 
30035	1	2	1	0	 
30036	1	4	1	0	 
30037	1	 	 	 	 
30038	1	2	2	0	 
30039	1	2	1	0	 
30040	1	1	2	1	1
30040	2	2	1	0	 
30041	1	1	2	1	1
30041	2	2	1	0	 
30041	3	3	1	0	 
30042	1	2	1	0	 
30042	2	4	1	0	 
30043	1	2	1	0	 
30044	1	1	1	0	 
30044	2	2	1	0	 
30047	1	2	1	0	 
30047	2	1	1	0	 
30047	3	3	1	0	 
30048	1	1	1	0	 
30049	1	2	1	0	 
30050	1	7	1	0	 
30051	1	2	1	0	 
30051	2	3	1	0	 
30051	3	1	2	0	 
30052	1	2	1	0	 
30053	1	1	2	1	0
30055	1	2	1	0	 
30055	2	7	1	0	 
30055	3	1	1	0	 
30056	1	1	2	1	1
30056	2	2	1	0	 
30057	1	2	1	0	 
30057	2	3	1	0	 
30058	1	1	2	1	2
30059	1	2	1	0	 
30059	2	1	1	0	 
30061	1	2	1	0	 
30062	1	1	2	1	2
30062	2	2	1	0	 
30063	1	2	1	0	 
30064	1	2	1	0	 
30065	1	2	1	0	 
30066	1	2	1	0	 
30067	1	2	1	0	 
30071	1	2	1	0	 
30071	2	1	1	0	 
30071	3	3	1	0	 
30072	1	1	1	0	 
30072	2	2	1	0	 
30073	1	2	1	0	 
30074	1	2	1	0	 
30075	1	2	1	0	 
30079	1	1	1	0	 
30083	1	1	1	0	 
30084	1	2	1	0	 
30086	1	2	1	0	 
30086	2	4	1	0	 
30087	1	2	1	0	 
30087	2	3	1	0	 
30088	1	2	1	0	 
30089	1	2	1	0	 
30089	2	3	1	0	 
30089	3	1	1	0	 
30090	1	2	1	0	 
30092	1	2	1	0	 
30093	1	2	1	0	 
30096	1	2	1	0	 
30097	1	2	1	0	 
30097	2	1	1	0	 
30098	1	2	1	0	 
30098	2	3	1	0	 
30099	1	2	1	0	 
30129	1	2	1	0	 
30129	2	4	1	0	 
30130	1	2	1	0	 
30131	1	2	1	0	 
30132	1	2	1	0	 
30132	2	1	1	0	 
30132	3	3	1	0	 
30138	1	2	1	0	 
40001	1	4	1	0	 
40002	1	2	1	0	 
40003	1	2	1	0	 
40004	1	2	1	0	 
40005	1	2	1	0	 
40007	1	2	1	0	 
40008	1	2	1	0	 
40008	2	3	1	0	 
40009	1	2	1	0	 
40009	2	4	1	0	 
40010	1	4	1	0	 
40010	2	2	1	0	 
40012	1	2	1	0	 
40013	1	2	1	0	 
40014	1	2	1	0	 
40015	1	2	1	0	 
40015	2	7	1	0	 
40016	1	2	1	0	 
40017	1	2	1	88	 
40018	1	2	1	0	 
40020	1	2	1	0	 
40023	1	2	1	0	 
40024	1	 	 	 	 
40025	1	3	1	0	 
40026	1	4	1	0	 
40028	1	2	1	0	 
40029	1	2	1	0	 
40030	1	2	1	0	 
40031	1	2	1	0	 
40032	1	2	1	0	 
40034	1	2	1	0	 
40034	2	4	1	1	2
40035	1	2	1	0	 
40036	1	2	1	0	 
40039	1	2	1	0	 
40043	1	4	1	0	 
40044	1	3	1	0	 
40045	1	2	1	0	 
40047	1	4	1	0	 
40047	2	2	1	0	 
40048	1	2	1	0	 
40049	1	2	1	0	 
40049	2	3	1	0	 
40050	1	2	1	0	 
40051	1	2	1	0	 
40051	2	3	1	0	 
40052	1	2	1	0	 
40053	1	4	1	0	 
40053	2	2	1	0	 
40055	1	2	1	0	 
40056	1	2	1	0	 
40060	1	4	1	0	 
40064	1	5	2	1	1
40066	1	 	 	 	 
40066	2	 	 	 	 
40069	1	4	1	0	 
40070	1	 	 	 	 
40075	1	7	1	0	 
40076	1	 	 	 	 
40081	1	 	 	 	 
40083	1	2	1	0	 
40083	2	4	1	1	2
40084	1	4	1	0	 
40088	1	2	1	0	 
40090	1	2	1	0	 
40092	1	7	1	1	2
40095	1	 	 	 	 
40106	1	1	1	0	 
40106	2	2	1	0	 
40108	1	2	1	0	 
40113	1	4	1	0	 
40118	1	4	1	1	2
40122	1	2	1	0	 
40129	1	4	1	0	 
40129	2	3	1	0	 
40129	3	2	1	0	 
40171	1	 	 	 	 
40174	1	2	1	0	 
50005	1	3	1	0	 
50008	1	3	1	0	 
50009	1	3	1	0	 
50011	1	1	1	0	 
50011	2	2	1	0	 
50017	1	1	2	1	2
50021	1	2	1	0	 
50023	1	2	1	0	 
50024	1	2	1	0	 
50026	1	2	1	0	 
50031	1	2	1	0	 
50032	1	7	2	1	0
50032	2	3	1	0	 
50032	3	2	1	0	 
50038	1	2	1	0	 
50043	1	1	1	0	 
50043	2	2	1	0	 
50046	1	6	1	0	 
50046	2	2	1	0	 
50047	1	7	1	0	 
50053	1	2	1	0	 
50055	1	2	1	0	 
50056	1	2	1	0	 
50058	1	2	1	0	 
50058	2	1	1	0	 
50062	1	2	1	0	 
50066	1	2	1	0	 
50068	1	1	2	1	0
50069	1	2	1	0	 
50074	1	2	1	0	 
50079	1	2	1	0	 
50080	1	3	1	0	 
50081	1	2	1	0	 
50084	1	1	1	1	1
50089	1	2	1	0	 
50092	1	2	1	0	 
50092	2	6	2	1	1
50094	1	2	1	0	 
50098	1	1	2	1	0
50102	1	1	1	0	 
50105	1	2	1	0	 
50105	2	3	1	0	 
50109	1	3	1	0	 
50109	2	2	1	0	 
50114	1	2	1	0	 
50117	1	2	1	0	 
60002	1	2	1	0	 
60010	1	2	1	0	 
60012	1	2	1	0	 
60013	1	2	1	0	 
60013	2	4	1	0	 
60015	1	2	1	0	 
60016	1	2	1	0	 
60016	2	3	1	0	 
60024	1	4	1	0	 
60028	1	3	1	0	 
60028	2	2	1	0	 
60035	1	1	1	0	 
60036	1	2	1	0	 
60038	1	2	1	0	 
60039	1	1	2	1	0
60041	1	2	1	0	 
60043	1	2	1	0	 
60047	1	2	1	0	 
60048	1	2	1	0	 
60049	1	2	1	0	 
60052	1	2	1	0	 
60053	1	2	1	0	 
60057	1	2	1	0	 
60057	2	3	1	0	 
60059	1	2	1	0	 
60062	1	2	1	0	 
60064	1	2	1	0	 
60065	1	4	1	1	1
60067	1	6	2	1	0
60067	2	2	1	0	 
60069	1	2	1	0	 
60069	2	3	1	0	 
60071	1	2	1	0	 
60073	1	2	1	0	 
60074	1	1	1	1	1
60074	2	2	1	0	 
60076	1	2	1	0	 
60078	1	2	1	0	 
60078	2	3	1	0	 
60080	1	2	1	0	 
60080	2	1	1	0	 
60082	1	3	1	0	 
60082	2	2	1	0	 
60083	1	2	1	0	 
60084	1	2	1	0	 
60086	1	2	1	0	 
60088	1	2	1	0	 
60092	1	2	1	0	 
60094	1	4	1	0	 
60095	1	2	1	0	 
60099	1	2	1	0	 
60103	1	4	2	2	2
60105	1	2	1	0	 
60105	2	3	1	0	 
60109	1	2	1	0	 
60109	2	3	1	0	 
60111	1	2	1	0	 
60115	1	2	1	0	 
60119	1	2	1	0	 
60127	1	1	2	1	0
60127	2	2	1	0	 
60127	3	3	1	0	 
70001	1	4	1	0	 
70001	2	2	1	0	 
70001	3	3	1	0	 
70002	1	2	1	0	 
70004	1	2	1	0	 
70009	1	2	1	0	 
70009	2	3	1	0	 
70009	3	6	1	0	 
70011	1	4	1	1	2
70011	2	2	1	0	 
70017	1	2	2	0	 
70017	2	3	1	0	 
70021	1	4	2	3	2
70021	2	2	1	0	 
70023	1	3	1	0	 
70023	2	2	1	0	 
70029	1	6	1	0	 
70029	2	2	1	0	 
70032	1	2	1	0	 
70032	2	1	1	0	 
70032	3	79	 	 	 
70039	1	1	1	0	 
70039	2	2	1	0	 
70040	1	7	2	1	1
70044	1	1	1	0	 
70044	2	2	1	0	 
70049	1	6	1	1	0
70053	1	2	2	0	 
70053	2	1	1	0	 
70053	3	3	1	0	 
70054	1	2	1	0	 
70054	2	5	1	0	 
70063	1	4	1	0	 
70065	1	2	1	0	 
70071	1	1	2	1	0
70080	1	3	1	0	 
70081	1	2	1	0	 
70083	1	4	1	0	 
70083	2	2	1	0	 
70083	3	79	 	 	 
70084	1	1	1	0	 
70087	1	6	1	0	 
70087	2	2	1	0	 
70093	1	2	1	0	 
70093	2	1	1	0	 
70097	1	2	1	0	 
70099	1	1	1	0	 
70101	1	1	1	0	 
70105	1	2	1	0	 
70107	1	1	1	0	 
70107	2	3	1	0	 
70107	3	2	1	0	 
70124	1	3	1	0	 
70124	2	2	1	0	 
80002	1	4	1	0	 
80002	2	2	1	0	 
80003	1	2	1	0	 
80006	1	6	2	1	0
80011	1	2	1	0	 
80013	1	1	1	0	 
80013	2	2	1	0	 
80014	1	2	1	0	 
80016	1	2	1	0	 
80016	2	3	1	0	 
80017	1	2	1	0	 
80018	1	4	1	0	 
80018	2	2	1	0	 
80019	1	2	1	0	 
80021	1	2	1	0	 
80024	1	2	1	0	 
80025	1	2	1	0	 
80025	2	3	1	0	 
80026	1	3	1	0	 
80026	2	2	1	0	 
80027	1	1	1	0	 
80030	1	2	1	0	 
80030	2	3	1	0	 
80033	1	2	1	0	 
80036	1	2	1	0	 
80040	1	2	1	0	 
80041	1	1	1	0	 
80041	2	2	1	0	 
80045	1	1	1	0	 
80045	2	2	1	0	 
80048	1	1	1	0	 
80048	2	2	1	0	 
80050	1	4	1	0	 
80051	1	4	1	0	 
80052	1	4	1	0	 
80052	2	2	1	0	 
80058	1	2	1	0	 
80059	1	2	1	0	 
80059	2	3	1	0	 
80067	1	1	1	0	 
80068	1	2	1	0	 
80069	1	2	1	0	 
80070	1	2	1	0	 
80072	1	5	1	1	1
80073	1	2	1	0	 
80080	1	2	1	0	 
80082	1	2	1	0	 
80087	1	2	1	0	 
80093	1	2	1	0	 
80095	1	2	1	0	 
80096	1	2	1	0	 
80096	2	3	1	0	 
80099	1	4	1	1	0
80100	1	2	1	0	 
80104	1	2	1	0	 
80115	1	2	1	0	 
80124	1	2	1	0	 
80124	2	3	1	0	 
80154	1	7	1	0	 
80162	1	2	1	0	 
80165	1	2	1	0	 
90002	1	3	1	0	 
90002	2	2	1	0	 
90005	1	1	1	0	 
90006	1	1	1	0	 
90006	2	2	1	0	 
90007	1	2	1	0	 
90009	1	 	 	 	 
90012	1	1	2	1	0
90014	1	3	1	0	 
90014	2	2	1	0	 
90015	1	1	1	0	 
90015	2	2	1	0	 
90017	1	3	1	0	 
90017	2	1	1	0	 
90018	1	1	1	0	 
90018	2	2	1	0	 
90019	1	2	1	0	 
90019	2	1	1	0	 
90019	3	3	1	0	 
90020	1	2	1	0	 
90021	1	1	1	0	 
90023	1	2	1	0	 
90023	2	1	1	0	 
90023	3	3	1	0	 
90024	1	1	1	0	 
90025	1	1	1	0	 
90025	2	2	1	0	 
90025	3	3	1	0	 
90027	1	2	1	0	 
90028	1	1	1	0	 
90028	2	2	1	0	 
90029	1	1	1	0	 
90029	2	2	1	0	 
90031	1	2	1	0	 
90032	1	1	1	0	 
90033	1	3	1	0	 
90033	2	2	1	0	 
90033	3	1	1	0	 
90033	4	1	2	1	0
90035	1	2	1	0	 
90036	1	2	1	0	 
90037	1	2	1	0	 
90038	1	2	1	0	 
90042	1	1	1	0	 
90042	2	2	1	0	 
90043	1	2	1	0	 
90044	1	1	1	0	 
90044	2	2	1	0	 
90045	1	1	1	0	 
90045	2	3	1	0	 
90045	3	2	1	0	 
90046	1	1	1	0	 
90046	2	3	1	0	 
90047	1	3	1	0	 
90047	2	2	1	0	 
90049	1	1	1	0	 
90051	1	1	1	0	 
90051	2	2	1	0	 
90051	3	3	1	0	 
90052	1	1	1	0	 
90052	2	2	1	0	 
90053	1	1	1	0	 
90054	1	3	1	0	 
90054	2	2	1	0	 
90058	1	1	1	0	 
90059	1	1	1	0	 
90059	2	2	1	0	 
90061	1	2	1	0	 
90061	2	1	1	0	 
90062	1	1	1	0	 
90062	2	2	1	0	 
90062	3	3	1	0	 
90063	1	1	1	0	 
90063	2	3	1	0	 
90066	1	2	1	0	 
90067	1	3	1	0	 
90067	2	2	1	0	 
90067	3	3	1	0	 
90068	1	1	1	0	 
90069	1	1	1	0	 
90070	1	2	1	0	 
90071	1	2	1	0	 
90072	1	1	1	0	 
90073	1	1	1	0	 
90073	2	3	1	0	 
90073	3	2	1	0	 
90074	1	2	1	0	 
90075	1	1	1	0	 
90075	2	2	1	0	 
90076	1	1	1	0	 
90076	2	2	1	0	 
90078	1	2	1	0	 
90079	1	1	1	0	 
90080	1	2	1	0	 
90081	1	2	1	0	 
90082	1	2	1	0	 
90084	1	1	1	0	 
90084	2	3	1	0	 
90084	3	2	1	0	 
90085	1	1	1	0	 
90085	2	7	1	0	 
90086	1	1	1	0	 
90086	2	2	1	0	 
90086	3	3	1	0	 
90087	1	2	1	0	 
90088	1	1	1	0	 
90090	1	2	1	0	 
90092	1	1	1	0	 
90092	2	2	1	0	 
90094	1	1	1	0	 
90094	2	2	1	0	 
90094	3	3	1	0	 
90095	1	2	1	0	 
90097	1	2	1	0	 
90097	2	1	1	0	 
90098	1	1	1	0	 
90100	1	2	1	0	 
90102	1	2	1	0	 
90102	2	4	1	0	 
90105	1	2	1	0	 
90106	1	1	1	0	 
90120	1	1	1	0	 
90120	2	2	1	0	 
90120	3	3	1	0	 
90121	1	2	1	0	 
100002	1	2	1	0	 
100003	1	2	1	0	 
100004	1	2	1	0	 
100006	1	1	1	0	 
100006	2	2	1	0	 
100007	1	2	1	0	 
100010	1	2	1	0	 
100011	1	1	1	0	 
100011	2	2	1	0	 
100012	1	2	1	0	 
100012	2	1	1	0	 
100013	1	2	1	0	 
100013	2	1	1	0	 
100014	1	2	1	0	 
100015	1	2	1	0	 
100017	1	2	1	0	 
100017	2	4	1	0	 
100018	1	2	1	0	 
100024	1	2	1	0	 
100025	1	1	1	0	 
100026	1	2	1	0	 
100027	1	2	1	0	 
100029	1	1	1	0	 
100029	2	2	1	0	 
100029	3	3	1	0	 
100030	1	2	1	0	 
100031	1	2	1	0	 
100032	1	2	1	0	 
100033	1	1	1	0	 
100033	2	2	1	0	 
100035	1	1	2	0	 
100035	2	2	1	0	 
100035	3	5	2	1	2
100036	1	3	1	0	 
100036	2	2	1	0	 
100038	1	2	1	0	 
100038	2	1	1	0	 
100039	1	1	1	0	 
100040	1	2	1	0	 
100041	1	1	1	0	 
100041	2	2	1	0	 
100041	3	3	1	0	 
100042	1	2	1	0	 
100042	2	1	1	0	 
100043	1	2	1	0	 
100044	1	2	1	0	 
100045	1	2	1	0	 
100046	1	2	1	0	 
100047	1	1	1	0	 
100047	2	2	1	0	 
100050	1	2	1	0	 
100051	1	2	1	0	 
100052	1	2	1	0	 
100052	2	1	1	0	 
100053	1	1	1	0	 
100054	1	2	1	0	 
100055	1	2	1	0	 
100056	1	2	1	0	 
100056	2	4	1	0	 
100057	1	2	1	0	 
100057	2	1	1	0	 
100058	1	1	1	0	 
100058	2	2	1	0	 
100058	3	4	1	0	 
100059	1	2	1	0	 
100060	1	3	1	0	 
100060	2	2	1	0	 
100061	1	2	1	0	 
100062	1	1	1	0	 
100062	2	2	1	0	 
100062	3	4	1	0	 
100064	1	2	1	0	 
100066	1	2	1	0	 
100067	1	2	1	0	 
100067	2	4	1	0	 
100069	1	2	1	0	 
100069	2	1	1	0	 
100070	1	1	1	0	 
100070	2	2	1	0	 
100071	1	1	1	0	 
100071	2	2	1	0	 
100072	1	1	1	0	 
100073	1	2	1	0	 
100074	1	1	1	0	 
100074	2	2	1	0	 
100076	1	2	1	0	 
100077	1	2	1	0	 
100078	1	2	1	0	 
100079	1	2	1	0	 
100080	1	2	1	0	 
100080	2	6	2	1	2
100081	1	2	1	0	 
100083	1	2	1	0	 
100084	1	2	1	0	 
100085	1	3	1	0	 
100085	2	2	1	0	 
100086	1	2	1	0	 
100086	2	1	1	0	 
100087	1	2	1	0	 
100088	1	2	1	0	 
100088	2	1	1	0	 
100089	1	3	1	0	 
100089	2	2	1	0	 
100090	1	2	1	0	 
100090	2	1	1	0	 
100091	1	2	1	0	 
100091	2	3	1	0	 
100092	1	3	1	0	 
100093	1	2	1	0	 
100093	2	3	1	0	 
100093	3	1	1	0	 
100094	1	2	1	0	 
100095	1	3	1	0	 
100096	1	2	1	0	 
100097	1	2	1	0	 
100097	2	3	1	0	 
100097	3	1	1	0	 
100098	1	2	1	0	 
100099	1	3	1	0	 
100099	2	2	1	0	 
100099	3	4	2	0	 
100100	1	2	1	0	 
100101	1	1	1	0	 
100103	1	4	1	0	 
100103	2	2	1	0	 
100106	1	2	1	0	 
100107	1	2	1	0	 
100108	1	2	1	0	 
100109	1	2	1	0	 
100109	2	3	1	0	 
100111	1	1	1	0	 
100111	2	2	1	0	 
100111	3	3	1	0	 
100113	1	2	1	0	 
100115	1	1	1	0	 
100118	1	2	1	0	 
110001	1	2	1	0	 
110003	1	2	1	0	 
110005	1	2	1	0	 
110008	1	3	1	0	 
110008	2	2	1	0	 
110010	1	2	1	0	 
110012	1	2	1	0	 
110012	2	1	1	0	 
110014	1	2	1	0	 
110014	2	1	1	0	 
110017	1	2	1	0	 
110017	2	3	1	0	 
110018	1	2	1	0	 
110018	2	1	1	0	 
110019	1	2	1	0	 
110019	2	1	1	0	 
110024	1	1	1	0	 
110024	2	2	1	0	 
110026	1	2	1	0	 
110026	2	1	1	0	 
110027	1	3	1	0	 
110027	2	2	1	0	 
110029	1	1	1	0	 
110029	2	2	1	0	 
110031	1	2	1	0	 
110034	1	2	1	0	 
110034	2	1	1	0	 
110036	1	7	2	1	0
110036	2	2	1	0	 
110040	1	1	1	0	 
110040	2	2	1	0	 
110042	1	2	1	0	 
110042	2	1	1	0	 
110043	1	2	1	0	 
110045	1	2	1	0	 
110046	1	2	1	0	 
110048	1	2	1	0	 
110049	1	2	1	0	 
110049	2	1	1	0	 
110051	1	2	1	0	 
110051	2	1	1	0	 
110052	1	2	1	0	 
110053	1	1	1	0	 
110054	1	2	1	0	 
110055	1	1	1	0	 
110055	2	2	1	0	 
110058	1	1	1	0	 
110058	2	2	1	0	 
110058	3	3	1	0	 
110059	1	1	1	0	 
110059	2	2	1	0	 
110060	1	3	1	0	 
110062	1	2	1	0	 
110064	1	3	1	0	 
110066	1	1	1	0	 
110066	2	2	1	0	 
110067	1	1	1	0	 
110067	2	2	1	0	 
110069	1	2	1	0	 
110069	2	1	1	0	 
110072	1	2	1	0	 
110072	2	3	1	0	 
110073	1	2	1	0	 
110076	1	2	1	0	 
110076	2	6	2	1	0
110077	1	2	1	0	 
110077	2	3	1	0	 
110079	1	2	1	0	 
110079	2	3	1	0	 
110081	1	2	1	0	 
110082	1	2	1	0	 
110083	1	2	1	0	 
110083	2	3	 	0	 
110084	1	1	1	0	 
110084	2	1	1	0	 
110085	1	2	1	0	 
110085	2	1	1	0	 
110086	1	2	1	0	 
110090	1	2	1	0	 
110092	1	2	1	0	 
110094	1	1	1	0	 
110094	2	2	1	0	 
110094	3	7	2	1	1
110095	1	2	1	0	 
110096	1	2	1	0	 
110097	1	1	1	0	 
110097	2	2	1	0	 
110098	1	2	1	0	 
110099	1	2	1	0	 
110099	2	3	1	0	 
110100	1	2	1	0	 
110104	1	2	1	0	 
110108	1	2	1	0	 
110115	1	1	1	0	 
110115	2	2	1	0	 
110115	3	1	2	1	1
110121	1	2	1	0	 
110123	1	2	1	0	 
110125	1	2	1	0	 
110126	1	2	1	0	 
120003	1	2	1	0	 
120007	1	2	1	0	 
120009	1	2	1	0	 
120011	1	2	1	0	 
120011	2	1	2	0	 
120012	1	1	1	0	 
120012	2	2	1	0	 
120013	1	2	1	0	 
120014	1	2	1	0	 
120014	2	1	1	0	 
120015	1	3	1	0	 
120015	2	2	1	0	 
120017	1	1	1	0	 
120017	2	2	1	0	 
120018	1	1	1	0	 
120018	2	2	1	0	 
120020	1	2	1	0	 
120020	2	1	1	0	 
120022	1	2	1	0	 
120022	2	1	1	0	 
120022	3	5	2	1	1
120026	1	1	1	0	 
120026	2	2	1	0	 
120028	1	2	1	0	 
120028	2	1	1	0	 
120028	3	7	2	1	0
120029	1	2	1	0	 
120029	2	1	1	0	 
120030	1	2	1	0	 
120030	2	3	1	0	 
120032	1	2	1	0	 
120035	1	1	1	0	 
120035	2	2	1	0	 
120036	1	1	1	0	 
120036	2	2	1	0	 
120038	1	3	1	0	 
120038	2	2	1	0	 
120040	1	2	1	0	 
120041	1	2	1	0	 
120041	2	3	1	0	 
120042	1	2	1	0	 
120043	1	1	1	0	 
120043	2	2	1	0	 
120045	1	1	1	0	 
120045	2	2	1	0	 
120048	1	2	1	0	 
120048	2	3	1	0	 
120053	1	2	1	0	 
120054	1	2	1	0	 
