CHILDCODE	LANDIDR5	TOTLNDR5	LUPLTAR5	PLTUSAR5	PRIRRR5	TOTINDR5	LUPLTNR5	USEINDR5
10026	1	 	 	 	 	0	 	 
10026	2	 	 	 	 	0	 	 
10026	3	 	 	 	 	12	17	1
10026	4	 	 	 	 	 	 	 
10026	5	 	 	 	 	0	 	 
10028	1	 	 	 	 	300	17	2
10028	2	 	 	 	 	0	 	 
10028	3	 	 	 	 	0	 	 
10028	4	 	 	 	 	 	 	 
10028	5	 	 	 	 	0	 	 
10029	1	 	 	 	 	0	 	 
10029	2	 	 	 	 	0	 	 
10029	3	 	 	 	 	20	17	1
10029	4	 	 	 	 	 	 	 
10029	5	 	 	 	 	0	 	 
10030	1	0	 	 	 	470	17	2
10030	2	0	 	 	 	0	 	 
10030	3	0	 	 	 	0	 	 
10030	4	0	 	 	 	 	 	 
10030	5	0	 	 	 	0	 	 
10031	1	 	 	 	 	15	17	1
10031	2	 	 	 	 	0	 	 
10031	3	 	 	 	 	0	 	 
10031	4	 	 	 	 	 	 	 
10031	5	 	 	 	 	0	 	 
10032	1	 	 	 	 	0	 	 
10032	2	 	 	 	 	0	 	 
10032	3	 	 	 	 	12	17	1
10032	4	 	 	 	 	 	 	 
10032	5	 	 	 	 	0	 	 
10033	1	 	 	 	 	400	17	1
10033	2	 	 	 	 	0	 	 
10033	3	 	 	 	 	0	 	 
10033	4	 	 	 	 	 	 	 
10033	5	 	 	 	 	0	 	 
10035	1	 	 	 	 	0	 	 
10035	2	 	 	 	 	0	 	 
10035	3	 	 	 	 	8	17	1
10035	4	 	 	 	 	 	 	 
10035	5	 	 	 	 	0	 	 
10036	1	 	 	 	 	25	17	1
10036	2	 	 	 	 	0	 	 
10036	3	 	 	 	 	0	 	 
10036	4	 	 	 	 	 	 	 
10036	5	 	 	 	 	0	 	 
10037	1	 	 	 	 	0	 	 
10037	2	 	 	 	 	0	 	 
10037	3	 	 	 	 	32	17	1
10037	4	 	 	 	 	 	 	 
10037	5	 	 	 	 	0	 	 
10038	1	 	 	 	 	16	17	1
10038	2	 	 	 	 	0	 	 
10038	3	 	 	 	 	2	17	8
10038	4	 	 	 	 	 	 	 
10038	5	 	 	 	 	0	 	 
10040	1	 	 	 	 	0	 	 
10040	2	 	 	 	 	0	 	 
10040	3	 	 	 	 	20	17	1
10040	4	 	 	 	 	 	 	 
10040	5	 	 	 	 	0	 	 
10041	1	 	 	 	 	8	17	1
10041	2	 	 	 	 	0	 	 
10041	3	 	 	 	 	0	 	 
10041	4	 	 	 	 	 	 	 
10041	5	 	 	 	 	0	 	 
10042	1	 	 	 	 	0	 	 
10042	2	 	 	 	 	0	 	 
10042	3	 	 	 	 	30	17	1
10042	4	 	 	 	 	 	 	 
10042	5	 	 	 	 	0	 	 
10043	1	 	 	 	 	0	 	 
10043	2	 	 	 	 	0	 	 
10043	3	 	 	 	 	36	17	4
10043	4	 	 	 	 	 	 	 
10043	5	 	 	 	 	0	 	 
10044	1	 	 	 	 	0	 	 
10044	2	 	 	 	 	0	 	 
10044	3	 	 	 	 	20	17	1
10044	4	 	 	 	 	 	 	 
10044	5	 	 	 	 	0	 	 
10045	1	 	 	 	 	200	17	2
10045	2	 	 	 	 	0	 	 
10045	3	 	 	 	 	0	 	 
10045	4	 	 	 	 	 	 	 
10045	5	 	 	 	 	0	 	 
10046	1	 	 	 	 	24	17	1
10046	2	 	 	 	 	0	 	 
10046	3	 	 	 	 	16	17	1
10046	4	 	 	 	 	 	 	 
10046	5	 	 	 	 	0	 	 
10047	1	 	 	 	 	0	 	 
10047	2	 	 	 	 	0	 	 
10047	3	 	 	 	 	16	17	1
10047	4	 	 	 	 	 	 	 
10047	5	 	 	 	 	0	 	 
10049	1	 	 	 	 	0	 	 
10049	2	 	 	 	 	0	 	 
10049	3	 	 	 	 	16	17	1
10049	4	 	 	 	 	 	 	 
10049	5	 	 	 	 	0	 	 
10050	1	 	 	 	 	0	 	 
10050	2	 	 	 	 	0	 	 
10050	3	 	 	 	 	350	17	1
10050	4	 	 	 	 	 	 	 
10050	5	 	 	 	 	0	 	 
10051	1	 	 	 	 	0	 	 
10051	2	 	 	 	 	0	 	 
10051	3	 	 	 	 	16	17	1
10051	4	 	 	 	 	 	 	 
10051	5	 	 	 	 	0	 	 
10052	1	 	 	 	 	0	 	 
10052	2	 	 	 	 	0	 	 
10052	3	 	 	 	 	16	17	1
10052	4	 	 	 	 	 	 	 
10052	5	 	 	 	 	0	 	 
10053	1	 	 	 	 	0	 	 
10053	2	 	 	 	 	0	 	 
10053	3	 	 	 	 	6	17	1
10053	4	 	 	 	 	 	 	 
10053	5	 	 	 	 	0	 	 
10055	1	 	 	 	 	200	17	1
10055	2	 	 	 	 	0	 	 
10055	3	 	 	 	 	0	 	 
10055	4	 	 	 	 	 	 	 
10055	5	 	 	 	 	0	 	 
10057	1	 	 	 	 	0	 	 
10057	2	 	 	 	 	0	 	 
10057	3	 	 	 	 	12	17	1
10057	4	 	 	 	 	 	 	 
10057	5	 	 	 	 	0	 	 
10060	1	 	 	 	 	0	 	 
10060	2	 	 	 	 	0	 	 
10060	3	 	 	 	 	6	17	1
10060	4	 	 	 	 	 	 	 
10060	5	 	 	 	 	0	 	 
10061	1	 	 	 	 	0	 	 
10061	2	 	 	 	 	0	 	 
10061	3	 	 	 	 	20	17	1
10061	4	 	 	 	 	 	 	 
10061	5	 	 	 	 	0	 	 
10062	1	 	 	 	 	0	 	 
10062	2	 	 	 	 	0	 	 
10062	3	 	 	 	 	24	17	1
10062	4	 	 	 	 	 	 	 
10062	5	 	 	 	 	0	 	 
10063	1	 	 	 	 	0	 	 
10063	2	 	 	 	 	0	 	 
10063	3	 	 	 	 	72	17	1
10063	4	 	 	 	 	 	 	 
10063	5	 	 	 	 	0	 	 
10064	1	 	 	 	 	0	 	 
10064	2	 	 	 	 	0	 	 
10064	3	 	 	 	 	12	17	1
10064	4	 	 	 	 	 	 	 
10064	5	 	 	 	 	0	 	 
10065	1	 	 	 	 	0	 	 
10065	2	 	 	 	 	0	 	 
10065	3	 	 	 	 	32	17	1
10065	4	 	 	 	 	 	 	 
10065	5	 	 	 	 	0	 	 
10066	1	 	 	 	 	27	17	1
10066	2	 	 	 	 	0	 	 
10066	3	 	 	 	 	16	17	8
10066	4	 	 	 	 	 	 	 
10066	5	 	 	 	 	0	 	 
10067	1	 	 	 	 	0	 	 
10067	2	 	 	 	 	0	 	 
10067	3	 	 	 	 	18	17	1
10067	4	 	 	 	 	 	 	 
10067	5	 	 	 	 	0	 	 
10068	1	 	 	 	 	0	 	 
10068	2	 	 	 	 	0	 	 
10068	3	 	 	 	 	8	17	1
10068	4	 	 	 	 	 	 	 
10068	5	 	 	 	 	0	 	 
10069	1	 	 	 	 	0	 	 
10069	2	 	 	 	 	0	 	 
10069	3	 	 	 	 	20	17	1
10069	4	 	 	 	 	 	 	 
10069	5	 	 	 	 	0	 	 
10070	1	 	 	 	 	42	17	1
10070	2	 	 	 	 	0	 	 
10070	3	 	 	 	 	16	17	1
10070	4	 	 	 	 	 	 	 
10070	5	 	 	 	 	0	 	 
10071	1	 	 	 	 	0	 	 
10071	2	 	 	 	 	0	 	 
10071	3	 	 	 	 	16	17	1
10071	4	 	 	 	 	 	 	 
10071	5	 	 	 	 	0	 	 
10072	1	 	 	 	 	0	 	 
10072	2	 	 	 	 	0	 	 
10072	3	 	 	 	 	16	17	1
10072	4	 	 	 	 	 	 	 
10072	5	 	 	 	 	0	 	 
10073	1	 	 	 	 	0	 	 
10073	2	 	 	 	 	0	 	 
10073	3	 	 	 	 	18	17	1
10073	4	 	 	 	 	 	 	 
10073	5	 	 	 	 	0	 	 
10074	1	 	 	 	 	12	17	1
10074	2	 	 	 	 	0	 	 
10074	3	 	 	 	 	0	 	 
10074	4	 	 	 	 	 	 	 
10074	5	 	 	 	 	0	 	 
10075	1	 	 	 	 	0	 	 
10075	2	 	 	 	 	0	 	 
10075	3	 	 	 	 	16	17	1
10075	4	 	 	 	 	 	 	 
10075	5	 	 	 	 	0	 	 
10076	1	 	 	 	 	0	 	 
10076	2	 	 	 	 	0	 	 
10076	3	 	 	 	 	32	17	1
10076	4	 	 	 	 	 	 	 
10076	5	 	 	 	 	0	 	 
10077	1	 	 	 	 	0	 	 
10077	2	 	 	 	 	56	17	4
10077	3	 	 	 	 	0	 	 
10077	4	 	 	 	 	 	 	 
10077	5	 	 	 	 	0	 	 
10079	1	 	 	 	 	12.5	17	1
10079	2	 	 	 	 	0	 	 
10079	3	 	 	 	 	0	 	 
10079	4	 	 	 	 	 	 	 
10079	5	 	 	 	 	0	 	 
10080	1	 	 	 	 	16	17	1
10080	2	 	 	 	 	0	 	 
10080	3	 	 	 	 	0	 	 
10080	4	 	 	 	 	 	 	 
10080	5	 	 	 	 	0	 	 
10081	1	 	 	 	 	0	 	 
10081	2	 	 	 	 	0	 	 
10081	3	 	 	 	 	16	17	1
10081	4	 	 	 	 	 	 	 
10081	5	 	 	 	 	0	 	 
10082	1	 	 	 	 	0	 	 
10082	2	 	 	 	 	0	 	 
10082	3	 	 	 	 	15	17	1
10082	4	 	 	 	 	 	 	 
10082	5	 	 	 	 	0	 	 
10083	1	 	 	 	 	0	 	 
10083	2	 	 	 	 	0	 	 
10083	3	 	 	 	 	28	17	1
10083	4	 	 	 	 	 	 	 
10083	5	 	 	 	 	0	 	 
10084	1	 	 	 	 	0	 	 
10084	2	 	 	 	 	0	 	 
10084	3	 	 	 	 	10	17	1
10084	4	 	 	 	 	 	 	 
10084	5	 	 	 	 	0	 	 
10085	1	 	 	 	 	0	 	 
10085	2	 	 	 	 	0	 	 
10085	3	 	 	 	 	6	17	1
10085	4	 	 	 	 	 	 	 
10085	5	 	 	 	 	0	 	 
10086	1	 	 	 	 	0	 	 
10086	2	 	 	 	 	0	 	 
10086	3	 	 	 	 	22	17	4
10086	4	 	 	 	 	 	 	 
10086	5	 	 	 	 	0	 	 
10087	1	 	 	 	 	0	 	 
10087	2	 	 	 	 	0	 	 
10087	3	 	 	 	 	12	17	1
10087	4	 	 	 	 	 	 	 
10087	5	 	 	 	 	0	 	 
10088	1	 	 	 	 	0	 	 
10088	2	 	 	 	 	0	 	 
10088	3	 	 	 	 	16	17	1
10088	4	 	 	 	 	 	 	 
10088	5	 	 	 	 	0	 	 
10089	1	 	 	 	 	0	 	 
10089	2	 	 	 	 	0	 	 
10089	3	 	 	 	 	25	17	1
10089	4	 	 	 	 	 	 	 
10089	5	 	 	 	 	0	 	 
10091	1	 	 	 	 	44	17	1
10091	2	 	 	 	 	0	 	 
10091	3	 	 	 	 	0	 	 
10091	4	 	 	 	 	 	 	 
10091	5	 	 	 	 	0	 	 
10093	1	 	 	 	 	0	 	 
10093	2	 	 	 	 	0	 	 
10093	3	 	 	 	 	12	17	1
10093	4	 	 	 	 	 	 	 
10093	5	 	 	 	 	0	 	 
10094	1	 	 	 	 	160	17	1
10094	2	 	 	 	 	0	 	 
10094	3	 	 	 	 	20	17	1
10094	4	 	 	 	 	 	 	 
10094	5	 	 	 	 	0	 	 
10095	1	 	 	 	 	6	17	1
10095	2	 	 	 	 	9	17	8
10095	3	 	 	 	 	0	 	 
10095	4	 	 	 	 	 	 	 
10095	5	 	 	 	 	0	 	 
10096	1	 	 	 	 	49	17	1
10096	2	 	 	 	 	0	 	 
10096	3	 	 	 	 	0	 	 
10096	4	 	 	 	 	 	 	 
10096	5	 	 	 	 	0	 	 
10097	1	 	 	 	 	30	17	8
10097	2	 	 	 	 	0	 	 
10097	3	 	 	 	 	32	17	1
10097	4	 	 	 	 	 	 	 
10097	5	 	 	 	 	0	 	 
10098	1	 	 	 	 	0	 	 
10098	2	 	 	 	 	0	 	 
10098	3	 	 	 	 	10	17	1
10098	4	 	 	 	 	 	 	 
10098	5	 	 	 	 	0	 	 
10099	1	 	 	 	 	75	17	3
10099	2	 	 	 	 	0	 	 
10099	3	 	 	 	 	0	 	 
10099	4	 	 	 	 	 	 	 
10099	5	 	 	 	 	270	17	9
10100	1	 	 	 	 	71.75	17	1
10100	2	 	 	 	 	0	 	 
10100	3	 	 	 	 	0	 	 
10100	4	 	 	 	 	 	 	 
10100	5	 	 	 	 	0	 	 
20001	1	 	 	 	 	0	 	 
20001	2	 	 	 	 	0	 	 
20001	3	 	 	 	 	12	17	1
20001	4	 	 	 	 	 	 	 
20001	5	 	 	 	 	0	 	 
20002	1	 	 	 	 	0	 	 
20002	2	 	 	 	 	0	 	 
20002	3	 	 	 	 	25	17	1
20002	4	 	 	 	 	 	 	 
20002	5	 	 	 	 	0	 	 
20003	1	 	 	 	 	0	 	 
20003	2	 	 	 	 	0	 	 
20003	3	 	 	 	 	18	17	1
20003	4	 	 	 	 	 	 	 
20003	5	 	 	 	 	0	 	 
20004	1	 	 	 	 	0	 	 
20004	2	 	 	 	 	0	 	 
20004	3	 	 	 	 	16	17	1
20004	4	 	 	 	 	 	 	 
20004	5	 	 	 	 	0	 	 
20005	1	 	 	 	 	200	17	2
20005	2	 	 	 	 	0	 	 
20005	3	 	 	 	 	0	 	 
20005	4	 	 	 	 	 	 	 
20005	5	 	 	 	 	0	 	 
20007	1	 	 	 	 	35	17	2
20007	2	 	 	 	 	0	 	 
20007	3	 	 	 	 	0	 	 
20007	4	 	 	 	 	 	 	 
20007	5	 	 	 	 	0	 	 
20008	1	12	5	5	5	300	17	1
20008	2	0	 	 	 	4	17	8
20008	3	0	 	 	 	0	 	 
20008	4	0	 	 	 	 	 	 
20008	5	0	 	 	 	0	 	 
20011	1	 	 	 	 	250	17	1
20011	2	 	 	 	 	0	 	 
20011	3	 	 	 	 	0	 	 
20011	4	 	 	 	 	 	 	 
20011	5	 	 	 	 	0	 	 
20012	1	 	 	 	 	0	 	 
20012	2	 	 	 	 	0	 	 
20012	3	 	 	 	 	48	17	2
20012	4	 	 	 	 	 	 	 
20012	5	 	 	 	 	0	 	 
20013	1	 	 	 	 	0	 	 
20013	2	 	 	 	 	0	 	 
20013	3	 	 	 	 	170	17	2
20013	4	 	 	 	 	 	 	 
20013	5	 	 	 	 	0	 	 
20014	1	 	 	 	 	200	17	1
20014	2	 	 	 	 	0	 	 
20014	3	 	 	 	 	0	 	 
20014	4	 	 	 	 	 	 	 
20014	5	 	 	 	 	0	 	 
20015	1	 	 	 	 	0	 	 
20015	2	 	 	 	 	12	17	1
20015	3	 	 	 	 	0	 	 
20015	4	 	 	 	 	 	 	 
20015	5	 	 	 	 	0	 	 
20018	1	 	 	 	 	250	17	1
20018	2	 	 	 	 	0	 	 
20018	3	 	 	 	 	0	 	 
20018	4	 	 	 	 	 	 	 
20018	5	 	 	 	 	0	 	 
20019	1	 	 	 	 	0	 	 
20019	2	 	 	 	 	0	 	 
20019	3	 	 	 	 	135	17	5
20019	4	 	 	 	 	 	 	 
20019	5	 	 	 	 	0	 	 
20020	1	 	 	 	 	250	17	1
20020	2	 	 	 	 	0	 	 
20020	3	 	 	 	 	0	 	 
20020	4	 	 	 	 	 	 	 
20020	5	 	 	 	 	0	 	 
20022	1	 	 	 	 	0	 	 
20022	2	 	 	 	 	0	 	 
20022	3	 	 	 	 	12	17	1
20022	4	 	 	 	 	 	 	 
20022	5	 	 	 	 	0	 	 
20023	1	 	 	 	 	0	 	 
20023	2	 	 	 	 	0	 	 
20023	3	 	 	 	 	100	17	5
20023	4	 	 	 	 	 	 	 
20023	5	 	 	 	 	0	 	 
20024	1	 	 	 	 	180	17	4
20024	2	 	 	 	 	0	 	 
20024	3	 	 	 	 	0	 	 
20024	4	 	 	 	 	 	 	 
20024	5	 	 	 	 	0	 	 
20025	1	 	 	 	 	0	 	 
20025	2	 	 	 	 	0	 	 
20025	3	 	 	 	 	42	17	2
20025	4	 	 	 	 	 	 	 
20025	5	 	 	 	 	0	 	 
20026	1	 	 	 	 	0	 	 
20026	2	 	 	 	 	40	17	1
20026	3	 	 	 	 	0	 	 
20026	4	 	 	 	 	 	 	 
20026	5	 	 	 	 	0	 	 
20027	1	 	 	 	 	0	 	 
20027	2	 	 	 	 	0	 	 
20027	3	 	 	 	 	120	17	4
20027	4	 	 	 	 	 	 	 
20027	5	 	 	 	 	0	 	 
20028	1	 	 	 	 	0	 	 
20028	2	 	 	 	 	0	 	 
20028	3	 	 	 	 	32	17	1
20028	4	 	 	 	 	 	 	 
20028	5	 	 	 	 	0	 	 
20029	1	 	 	 	 	158	17	2
20029	2	 	 	 	 	0	 	 
20029	3	 	 	 	 	0	 	 
20029	4	 	 	 	 	 	 	 
20029	5	 	 	 	 	50	17	8
20030	1	 	 	 	 	100	17	1
20030	2	 	 	 	 	0	 	 
20030	3	 	 	 	 	0	 	 
20030	4	 	 	 	 	 	 	 
20030	5	 	 	 	 	0	 	 
20031	1	 	 	 	 	0	 	 
20031	2	 	 	 	 	50	17	1
20031	3	 	 	 	 	0	 	 
20031	4	 	 	 	 	 	 	 
20031	5	 	 	 	 	0	 	 
20032	1	 	 	 	 	0	 	 
20032	2	 	 	 	 	0	 	 
20032	3	 	 	 	 	16	17	1
20032	4	 	 	 	 	 	 	 
20032	5	 	 	 	 	0	 	 
20033	1	 	 	 	 	0	 	 
20033	2	 	 	 	 	0	 	 
20033	3	 	 	 	 	9	17	1
20033	4	 	 	 	 	 	 	 
20033	5	 	 	 	 	0	 	 
20034	1	 	 	 	 	0	 	 
20034	2	 	 	 	 	0	 	 
20034	3	 	 	 	 	36	17	4
20034	4	 	 	 	 	 	 	 
20034	5	 	 	 	 	0	 	 
20035	1	 	 	 	 	150	17	2
20035	2	 	 	 	 	0	 	 
20035	3	 	 	 	 	0	 	 
20035	4	 	 	 	 	 	 	 
20035	5	 	 	 	 	0	 	 
20036	1	 	 	 	 	0	 	 
20036	2	 	 	 	 	35	17	1
20036	3	 	 	 	 	0	 	 
20036	4	 	 	 	 	 	 	 
20036	5	 	 	 	 	0	 	 
20037	1	 	 	 	 	0	 	 
20037	2	 	 	 	 	0	 	 
20037	3	 	 	 	 	16	17	4
20037	4	 	 	 	 	 	 	 
20037	5	 	 	 	 	0	 	 
20038	1	 	 	 	 	0	 	 
20038	2	 	 	 	 	0	 	 
20038	3	 	 	 	 	25	17	1
20038	4	 	 	 	 	 	 	 
20038	5	 	 	 	 	0	 	 
20039	1	 	 	 	 	0	 	 
20039	2	 	 	 	 	0	 	 
20039	3	 	 	 	 	23	17	1
20039	4	 	 	 	 	 	 	 
20039	5	 	 	 	 	0	 	 
20040	1	 	 	 	 	0	 	 
20040	2	 	 	 	 	0	 	 
20040	3	 	 	 	 	16	17	2
20040	4	 	 	 	 	 	 	 
20040	5	 	 	 	 	0	 	 
20041	1	 	 	 	 	0	 	 
20041	2	 	 	 	 	15	17	1
20041	3	 	 	 	 	0	 	 
20041	4	 	 	 	 	 	 	 
20041	5	 	 	 	 	0	 	 
20042	1	 	 	 	 	0	 	 
20042	2	 	 	 	 	0	 	 
20042	3	 	 	 	 	20	17	1
20042	4	 	 	 	 	 	 	 
20042	5	 	 	 	 	0	 	 
20044	1	 	 	 	 	0	 	 
20044	2	 	 	 	 	0	 	 
20044	3	 	 	 	 	9	17	1
20044	4	 	 	 	 	 	 	 
20044	5	 	 	 	 	0	 	 
20045	1	 	 	 	 	30	17	1
20045	2	 	 	 	 	0	 	 
20045	3	 	 	 	 	0	 	 
20045	4	 	 	 	 	 	 	 
20045	5	 	 	 	 	0	 	 
20046	1	 	 	 	 	0	 	 
20046	2	 	 	 	 	9	17	20
20046	3	 	 	 	 	16	17	1
20046	4	 	 	 	 	 	 	 
20046	5	 	 	 	 	0	 	 
20047	1	 	 	 	 	280	17	4
20047	2	 	 	 	 	0	 	 
20047	3	 	 	 	 	0	 	 
20047	4	 	 	 	 	 	 	 
20047	5	 	 	 	 	0	 	 
20048	1	 	 	 	 	0	 	 
20048	2	 	 	 	 	0	 	 
20048	3	 	 	 	 	16	17	1
20048	4	 	 	 	 	 	 	 
20048	5	 	 	 	 	0	 	 
20049	1	 	 	 	 	0	 	 
20049	2	 	 	 	 	0	 	 
20049	3	 	 	 	 	18	17	4
20049	4	 	 	 	 	 	 	 
20049	5	 	 	 	 	0	 	 
20050	1	 	 	 	 	0	 	 
20050	2	 	 	 	 	0	 	 
20050	3	 	 	 	 	30	17	4
20050	4	 	 	 	 	 	 	 
20050	5	 	 	 	 	0	 	 
20051	1	 	 	 	 	0	 	 
20051	2	 	 	 	 	0	 	 
20051	3	 	 	 	 	20	17	1
20051	4	 	 	 	 	 	 	 
20051	5	 	 	 	 	0	 	 
20052	1	 	 	 	 	0	 	 
20052	2	 	 	 	 	0	 	 
20052	3	 	 	 	 	200	17	2
20052	4	 	 	 	 	 	 	 
20052	5	 	 	 	 	0	 	 
20053	1	 	 	 	 	0	 	 
20053	2	 	 	 	 	0	 	 
20053	3	 	 	 	 	25	17	1
20053	4	 	 	 	 	 	 	 
20053	5	 	 	 	 	0	 	 
20054	1	1	2	5	5	.25	5	3
20054	2	0	 	 	 	0	 	 
20054	3	1	2	5	5	0	 	 
20054	4	0	 	 	 	 	 	 
20054	5	0	 	 	 	0	 	 
20055	1	 	 	 	 	0	 	 
20055	2	 	 	 	 	0	 	 
20055	3	 	 	 	 	20	17	1
20055	4	 	 	 	 	 	 	 
20055	5	 	 	 	 	0	 	 
20056	1	 	 	 	 	0	 	 
20056	2	 	 	 	 	40	17	1
20056	3	 	 	 	 	0	 	 
20056	4	 	 	 	 	 	 	 
20056	5	 	 	 	 	0	 	 
20058	1	 	 	 	 	0	 	 
20058	2	 	 	 	 	0	 	 
20058	3	 	 	 	 	250	17	2
20058	4	 	 	 	 	 	 	 
20058	5	 	 	 	 	0	 	 
20059	1	 	 	 	 	0	 	 
20059	2	 	 	 	 	37	17	1
20059	3	 	 	 	 	0	 	 
20059	4	 	 	 	 	 	 	 
20059	5	 	 	 	 	0	 	 
20060	1	 	 	 	 	0	 	 
20060	2	 	 	 	 	0	 	 
20060	3	 	 	 	 	25	17	1
20060	4	 	 	 	 	 	 	 
20060	5	 	 	 	 	0	 	 
20061	1	 	 	 	 	0	 	 
20061	2	 	 	 	 	0	 	 
20061	3	 	 	 	 	48	17	1
20061	4	 	 	 	 	 	 	 
20061	5	 	 	 	 	0	 	 
20062	1	 	 	 	 	0	 	 
20062	2	 	 	 	 	0	 	 
20062	3	 	 	 	 	36	17	1
20062	4	 	 	 	 	 	 	 
20062	5	 	 	 	 	0	 	 
20064	1	 	 	 	 	0	 	 
20064	2	 	 	 	 	0	 	 
20064	3	 	 	 	 	12	17	2
20064	4	 	 	 	 	 	 	 
20064	5	 	 	 	 	0	 	 
20065	1	 	 	 	 	0	 	 
20065	2	 	 	 	 	9	17	8
20065	3	 	 	 	 	16	17	1
20065	4	 	 	 	 	 	 	 
20065	5	 	 	 	 	0	 	 
20066	1	 	 	 	 	0	 	 
20066	2	 	 	 	 	0	 	 
20066	3	 	 	 	 	44	17	2
20066	4	 	 	 	 	 	 	 
20066	5	 	 	 	 	0	 	 
20067	1	 	 	 	 	235	17	4
20067	2	 	 	 	 	0	 	 
20067	3	 	 	 	 	0	 	 
20067	4	 	 	 	 	 	 	 
20067	5	 	 	 	 	0	 	 
20068	1	 	 	 	 	0	 	 
20068	2	 	 	 	 	0	 	 
20068	3	 	 	 	 	28	17	1
20068	4	 	 	 	 	 	 	 
20068	5	 	 	 	 	0	 	 
20070	1	 	 	 	 	200	17	4
20070	2	 	 	 	 	0	 	 
20070	3	 	 	 	 	0	 	 
