CHILDCODE	LANDIDR5	TOTINDR5	USEINDR5	TOTLNDR5	USERANR5	USEDRYR5	PRIRRR5
50043	2	0	 	0	 	 	 
50043	3	0	 	0	 	 	 
50043	4	 	 	0	 	 	 
50043	5	0	 	0	 	 	 
50044	1	.0299999993294477	1	0	 	 	 
50044	2	0	 	0	 	 	 
50044	3	0	 	0	 	 	 
50044	4	 	 	0	 	 	 
50044	5	0	 	0	 	 	 
50045	1	.0199999995529652	1	0	 	 	 
50045	2	0	 	0	 	 	 
50045	3	0	 	0	 	 	 
50045	4	 	 	0	 	 	 
50045	5	0	 	0	 	 	 
50046	1	.0199999995529652	1	1	5	11	 
50046	2	0	 	0	 	 	 
50046	3	0	 	0	 	 	 
50046	4	 	 	0	 	 	 
50046	5	0	 	0	 	 	 
50047	1	.0199999995529652	1	0	 	 	 
50047	2	0	 	0	 	 	 
50047	3	0	 	0	 	 	 
50047	4	 	 	1	5	11	 
50047	5	0	 	0	 	 	 
50048	1	.0199999995529652	1	.600000023841858	5	11	 
50048	2	0	 	0	 	 	 
50048	3	0	 	0	 	 	 
50048	4	 	 	0	 	 	 
50048	5	0	 	0	 	 	 
50049	1	.0199999995529652	1	0	 	 	 
50049	2	0	 	0	 	 	 
50049	3	0	 	0	 	 	 
50049	4	 	 	0	 	 	 
50049	5	0	 	0	 	 	 
50050	1	.0299999993294477	1	2	5	11	 
50050	2	0	 	0	 	 	 
50050	3	0	 	0	 	 	 
50050	4	 	 	0	 	 	 
50050	5	0	 	0	 	 	 
50051	1	.0199999995529652	1	.5	5	11	 
50051	2	0	 	0	 	 	 
50051	3	0	 	0	 	 	 
50051	4	 	 	0	 	 	 
50051	5	0	 	0	 	 	 
50052	1	.0299999993294477	1	.699999988079071	5	11	 
50052	2	0	 	0	 	 	 
50052	3	0	 	1	5	11	 
50052	4	 	 	0	 	 	 
50052	5	0	 	0	 	 	 
50053	1	.0399999991059303	1	1	5	11	 
50053	2	0	 	0	 	 	 
50053	3	0	 	0	 	 	 
50053	4	 	 	0	 	 	 
50053	5	0	 	0	 	 	 
50054	1	.0299999993294477	1	.5	5	11	 
50054	2	0	 	0	 	 	 
50054	3	0	 	0	 	 	 
50054	4	 	 	0	 	 	 
50054	5	0	 	0	 	 	 
50055	1	.0299999993294477	1	0	 	 	 
50055	2	0	 	0	 	 	 
50055	3	0	 	0	 	 	 
50055	4	 	 	0	 	 	 
50055	5	0	 	0	 	 	 
50056	1	.0199999995529652	1	0	 	 	 
50056	2	0	 	0	 	 	 
50056	3	0	 	0	 	 	 
50056	4	 	 	0	 	 	 
50056	5	0	 	0	 	 	 
50057	1	.0399999991059303	1	2.5	5	11	 
50057	2	0	 	0	 	 	 
50057	3	0	 	0	 	 	 
50057	4	 	 	0	 	 	 
50057	5	0	 	0	 	 	 
50058	1	.0199999995529652	1	0	 	 	 
50058	2	0	 	0	 	 	 
50058	3	0	 	3	5	5	4
50058	4	 	 	0	 	 	 
50058	5	0	 	0	 	 	 
50059	1	.0299999993294477	1	2	5	11	 
50059	2	0	 	0	 	 	 
50059	3	0	 	0	 	 	 
50059	4	 	 	0	 	 	 
50059	5	0	 	0	 	 	 
50060	1	.0399999991059303	1	0	 	 	 
50060	2	0	 	0	 	 	 
50060	3	0	 	0	 	 	 
50060	4	 	 	0	 	 	 
50060	5	0	 	0	 	 	 
50061	1	.0199999995529652	1	0	 	 	 
50061	2	0	 	0	 	 	 
50061	3	0	 	0	 	 	 
50061	4	 	 	0	 	 	 
50061	5	0	 	0	 	 	 
50064	1	.0199999995529652	1	0	 	 	 
50064	2	0	 	0	 	 	 
50064	3	0	 	0	 	 	 
50064	4	 	 	0	 	 	 
50064	5	0	 	0	 	 	 
50065	1	.0599999986588955	1	0	 	 	 
50065	2	0	 	0	 	 	 
50065	3	0	 	0	 	 	 
50065	4	 	 	0	 	 	 
50065	5	0	 	0	 	 	 
50066	1	.0199999995529652	1	0	 	 	 
50066	2	0	 	0	 	 	 
50066	3	0	 	0	 	 	 
50066	4	 	 	0	 	 	 
50066	5	0	 	0	 	 	 
50067	1	.0199999995529652	1	1	5	11	 
50067	2	0	 	0	 	 	 
50067	3	0	 	0	 	 	 
50067	4	 	 	1	5	11	 
50067	5	0	 	0	 	 	 
50068	1	.0299999993294477	1	.5	5	11	 
50068	2	0	 	0	 	 	 
50068	3	0	 	0	 	 	 
50068	4	 	 	0	 	 	 
50068	5	0	 	0	 	 	 
50069	1	.0500000007450581	1	6	5	5	4
50069	2	0	 	0	 	 	 
50069	3	0	 	0	 	 	 
50069	4	 	 	0	 	 	 
50069	5	0	 	0	 	 	 
50070	1	.0299999993294477	1	.5	5	11	 
50070	2	0	 	0	 	 	 
50070	3	0	 	0	 	 	 
50070	4	 	 	0	 	 	 
50070	5	0	 	0	 	 	 
50071	1	0	 	0	 	 	 
50071	2	0	 	0	 	 	 
50071	3	0	 	0	 	 	 
50071	4	 	 	0	 	 	 
50071	5	0	 	0	 	 	 
50072	1	.0199999995529652	1	1	5	5	4
50072	2	0	 	0	 	 	 
50072	3	0	 	0	 	 	 
50072	4	 	 	0	 	 	 
50072	5	0	 	0	 	 	 
50073	1	.0199999995529652	1	0	 	 	 
50073	2	0	 	0	 	 	 
50073	3	0	 	1	5	5	4
50073	4	 	 	0	 	 	 
50073	5	0	 	0	 	 	 
50074	1	0	 	3	5	5	2
50074	2	0	 	0	 	 	 
50074	3	0	 	0	 	 	 
50074	4	 	 	0	 	 	 
50074	5	0	 	0	 	 	 
50075	1	.0299999993294477	1	9	5	5	4
50075	2	0	 	0	 	 	 
50075	3	0	 	0	 	 	 
50075	4	 	 	0	 	 	 
50075	5	0	 	0	 	 	 
50076	1	.0299999993294477	1	.5	10	10	5
50076	2	0	 	0	 	 	 
50076	3	0	 	0	 	 	 
50076	4	 	 	0	 	 	 
50076	5	0	 	0	 	 	 
50077	1	.0700000002980232	1	1	5	11	 
50077	2	0	 	0	 	 	 
50077	3	0	 	0	 	 	 
50077	4	 	 	0	 	 	 
50077	5	0	 	0	 	 	 
50078	1	.0199999995529652	1	0	 	 	 
50078	2	0	 	0	 	 	 
50078	3	0	 	0	 	 	 
50078	4	 	 	0	 	 	 
50078	5	0	 	0	 	 	 
50079	1	.0199999995529652	1	.300000011920929	5	11	 
50079	2	0	 	0	 	 	 
50079	3	0	 	0	 	 	 
50079	4	 	 	0	 	 	 
50079	5	0	 	0	 	 	 
50080	1	0	 	0	 	 	 
50080	2	0	 	0	 	 	 
50080	3	0	 	3	5	5	2
50080	4	 	 	0	 	 	 
50080	5	0	 	0	 	 	 
50081	1	.0199999995529652	1	0	 	 	 
50081	2	0	 	0	 	 	 
50081	3	0	 	0	 	 	 
50081	4	 	 	0	 	 	 
50081	5	0	 	0	 	 	 
50082	1	.0299999993294477	1	0	 	 	 
50082	2	0	 	0	 	 	 
50082	3	0	 	0	 	 	 
50082	4	 	 	0	 	 	 
50082	5	0	 	0	 	 	 
50083	1	.0199999995529652	1	.400000005960464	13	11	 
50083	2	0	 	0	 	 	 
50083	3	0	 	0	 	 	 
50083	4	 	 	0	 	 	 
50083	5	0	 	0	 	 	 
50084	1	.0399999991059303	1	0	 	 	 
50084	2	0	 	0	 	 	 
50084	3	0	 	1.5	5	11	 
50084	4	 	 	0	 	 	 
50084	5	0	 	0	 	 	 
50085	1	.0399999991059303	1	0	 	 	 
50085	2	0	 	0	 	 	 
50085	3	0	 	0	 	 	 
50085	4	 	 	0	 	 	 
50085	5	0	 	0	 	 	 
50086	1	.0399999991059303	1	0	 	 	 
50086	2	0	 	0	 	 	 
50086	3	0	 	1.5	5	11	 
50086	4	 	 	0	 	 	 
50086	5	0	 	0	 	 	 
50087	1	.0299999993294477	1	0	 	 	 
50087	2	0	 	0	 	 	 
50087	3	0	 	0	 	 	 
50087	4	 	 	0	 	 	 
50087	5	0	 	0	 	 	 
50088	1	.0399999991059303	1	0	 	 	 
50088	2	0	 	0	 	 	 
50088	3	0	 	0	 	 	 
50088	4	 	 	0	 	 	 
50088	5	0	 	0	 	 	 
50089	1	.0299999993294477	1	0	 	 	 
50089	2	0	 	0	 	 	 
50089	3	0	 	2	5	11	 
50089	4	 	 	0	 	 	 
50089	5	0	 	0	 	 	 
50090	1	.0500000007450581	1	 	 	 	 
50090	2	0	 	 	 	 	 
50090	3	0	 	 	 	 	 
50090	4	 	 	 	 	 	 
50090	5	0	 	 	 	 	 
50091	1	0	 	 	 	 	 
50091	2	0	 	 	 	 	 
50091	3	0	 	 	 	 	 
50091	4	 	 	 	 	 	 
50091	5	0	 	 	 	 	 
50092	1	.0500000007450581	1	0	 	 	 
50092	2	0	 	0	 	 	 
50092	3	0	 	0	 	 	 
50092	4	 	 	0	 	 	 
50092	5	0	 	0	 	 	 
50093	1	.0399999991059303	1	1	5	11	 
50093	2	0	 	0	 	 	 
50093	3	0	 	0	 	 	 
50093	4	 	 	0	 	 	 
50093	5	0	 	0	 	 	 
50094	1	.0299999993294477	1	5	5	5	2
50094	2	0	 	0	 	 	 
50094	3	0	 	0	 	 	 
50094	4	 	 	0	 	 	 
50094	5	0	 	0	 	 	 
50095	1	.0199999995529652	1	0	 	 	 
50095	2	0	 	0	 	 	 
50095	3	0	 	0	 	 	 
50095	4	 	 	0	 	 	 
50095	5	0	 	0	 	 	 
50096	1	0	 	 	 	 	 
50096	2	0	 	 	 	 	 
50096	3	0	 	 	 	 	 
50096	4	 	 	 	 	 	 
50096	5	0	 	 	 	 	 
50097	1	0	 	 	 	 	 
50097	2	0	 	 	 	 	 
50097	3	0	 	 	 	 	 
50097	4	 	 	 	 	 	 
50097	5	0	 	 	 	 	 
50098	1	.0199999995529652	1	3	5	11	 
50098	2	0	 	0	 	 	 
50098	3	0	 	0	 	 	 
50098	4	 	 	0	 	 	 
50098	5	0	 	0	 	 	 
50099	1	.0199999995529652	1	.699999988079071	5	5	4
50099	2	0	 	0	 	 	 
50099	3	0	 	0	 	 	 
50099	4	 	 	0	 	 	 
50099	5	0	 	0	 	 	 
50100	1	.0199999995529652	1	2	5	5	4
50100	2	0	 	0	 	 	 
50100	3	0	 	2	5	5	4
50100	4	 	 	0	 	 	 
50100	5	0	 	0	 	 	 
60001	1	.0299999993294477	1	.699999988079071	5	11	 
60001	2	0	 	0	 	 	 
60001	3	0	 	0	 	 	 
60001	4	 	 	0	 	 	 
60001	5	0	 	0	 	 	 
60002	1	.0399999991059303	1	6	5	5	3
60002	2	0	 	0	 	 	 
60002	3	0	 	0	 	 	 
60002	4	 	 	0	 	 	 
60002	5	0	 	0	 	 	 
60003	1	.0299999993294477	1	.5	5	5	1
60003	2	0	 	0	 	 	 
60003	3	0	 	3	5	5	1
60003	4	 	 	0	 	 	 
60003	5	0	 	0	 	 	 
60004	1	.0299999993294477	1	.699999988079071	5	11	 
60004	2	0	 	0	 	 	 
60004	3	0	 	0	 	 	 
60004	4	 	 	0	 	 	 
60004	5	0	 	0	 	 	 
60005	1	.0299999993294477	1	.800000011920929	5	11	 
60005	2	0	 	0	 	 	 
60005	3	0	 	0	 	 	 
60005	4	 	 	.899999976158142	5	11	 
60005	5	0	 	0	 	 	 
60006	1	.0599999986588955	1	0	 	 	 
60006	2	0	 	0	 	 	 
60006	3	0	 	0	 	 	 
60006	4	 	 	0	 	 	 
60006	5	0	 	0	 	 	 
60007	1	.0399999991059303	1	0	 	 	 
60007	2	0	 	0	 	 	 
60007	3	0	 	0	 	 	 
60007	4	 	 	0	 	 	 
60007	5	0	 	0	 	 	 
60008	1	.0299999993294477	1	0	 	 	 
60008	2	0	 	0	 	 	 
60008	3	0	 	0	 	 	 
60008	4	 	 	0	 	 	 
60008	5	0	 	0	 	 	 
60009	1	.129999995231628	2	2	5	11	 
60009	2	0	 	0	 	 	 
60009	3	0	 	0	 	 	 
60009	4	 	 	0	 	 	 
60009	5	0	 	0	 	 	 
60010	1	.0199999995529652	1	0	 	 	 
60010	2	0	 	0	 	 	 
60010	3	0	 	0	 	 	 
60010	4	 	 	.200000002980232	5	11	 
60010	5	0	 	0	 	 	 
60012	1	.0199999995529652	1	0	 	 	 
60012	2	0	 	0	 	 	 
60012	3	0	 	0	 	 	 
60012	4	 	 	1	5	11	 
60012	5	0	 	0	 	 	 
60013	1	.0199999995529652	1	0	 	 	 
60013	2	0	 	0	 	 	 
60013	3	0	 	0	 	 	 
60013	4	 	 	0	 	 	 
60013	5	0	 	0	 	 	 
60014	1	.0199999995529652	1	0	 	 	 
60014	2	0	 	0	 	 	 
60014	3	0	 	0	 	 	 
60014	4	 	 	0	 	 	 
60014	5	0	 	0	 	 	 
60015	1	.0399999991059303	1	2	5	11	 
60015	2	0	 	0	 	 	 
60015	3	0	 	0	 	 	 
60015	4	 	 	0	 	 	 
60015	5	0	 	0	 	 	 
60016	1	.5	2	2	5	11	 
60016	2	0	 	0	 	 	 
60016	3	0	 	0	 	 	 
60016	4	 	 	0	 	 	 
60016	5	0	 	0	 	 	 
60017	1	0	 	 	 	 	 
60017	2	0	 	 	 	 	 
60017	3	0	 	 	 	 	 
60017	4	 	 	 	 	 	 
60017	5	0	 	 	 	 	 
60018	1	.0199999995529652	1	.0799999982118607	11	11	 
60018	2	0	 	0	 	 	 
60018	3	0	 	0	 	 	 
60018	4	 	 	0	 	 	 
60018	5	0	 	0	 	 	 
60019	1	.0199999995529652	1	0	 	 	 
60019	2	0	 	0	 	 	 
60019	3	0	 	0	 	 	 
60019	4	 	 	1	5	11	 
60019	5	0	 	0	 	 	 
60020	1	.0299999993294477	1	 	 	 	 
60020	2	0	 	 	 	 	 
60020	3	0	 	 	 	 	 
60020	4	 	 	 	 	 	 
60020	5	0	 	 	 	 	 
60021	1	.0599999986588955	1	1	5	11	 
60021	2	0	 	0	 	 	 
60021	3	0	 	.800000011920929	5	11	 
60021	4	 	 	0	 	 	 
60021	5	0	 	0	 	 	 
60022	1	.0900000035762787	1	.5	5	11	 
60022	2	0	 	0	 	 	 
60022	3	0	 	0	 	 	 
60022	4	 	 	0	 	 	 
60022	5	0	 	0	 	 	 
60023	1	.0299999993294477	1	.200000002980232	5	11	 
60023	2	0	 	0	 	 	 
60023	3	0	 	0	 	 	 
60023	4	 	 	0	 	 	 
60023	5	0	 	0	 	 	 
60024	1	.560000002384186	2	2	5	11	 
60024	2	0	 	0	 	 	 
60024	3	0	 	1	5	11	 
60024	4	 	 	0	 	 	 
60024	5	0	 	0	 	 	 
60025	1	.0500000007450581	1	2	5	11	 
60025	2	0	 	0	 	 	 
60025	3	0	 	0	 	 	 
60025	4	 	 	0	 	 	 
60025	5	0	 	0	 	 	 
60026	1	.00999999977648258	1	.5	5	11	 
60026	2	0	 	0	 	 	 
60026	3	0	 	0	 	 	 
60026	4	 	 	0	 	 	 
60026	5	0	 	0	 	 	 
60027	1	.0199999995529652	1	.5	5	11	 
60027	2	0	 	0	 	 	 
60027	3	0	 	0	 	 	 
60027	4	 	 	0	 	 	 
60027	5	0	 	0	 	 	 
60028	1	1	1	1	5	11	 
60028	2	0	 	0	 	 	 
60028	3	0	 	0	 	 	 
60028	4	 	 	0	 	 	 
60028	5	0	 	0	 	 	 
60029	1	.0199999995529652	1	.25	5	5	4
60029	2	0	 	0	 	 	 
60029	3	0	 	0	 	 	 
60029	4	 	 	0	 	 	 
60029	5	0	 	0	 	 	 
60030	1	.0399999991059303	1	.100000001490116	5	5	4
60030	2	0	 	0	 	 	 
60030	3	0	 	0	 	 	 
60030	4	 	 	0	 	 	 
60030	5	0	 	0	 	 	 
60031	1	.730000019073486	2	0	 	 	 
60031	2	0	 	0	 	 	 
60031	3	0	 	0	 	 	 
60031	4	 	 	0	 	 	 
60031	5	0	 	0	 	 	 
60032	1	.0199999995529652	1	0	 	 	 
60032	2	0	 	0	 	 	 
60032	3	0	 	0	 	 	 
60032	4	 	 	0	 	 	 
60032	5	0	 	0	 	 	 
60033	1	.0299999993294477	1	0	 	 	 
60033	2	0	 	0	 	 	 
60033	3	0	 	0	 	 	 
60033	4	 	 	0	 	 	 
60033	5	0	 	0	 	 	 
60034	1	.0199999995529652	1	0	 	 	 
60034	2	0	 	0	 	 	 
60034	3	0	 	0	 	 	 
60034	4	 	 	0	 	 	 
60034	5	0	 	0	 	 	 
60035	1	.00999999977648258	1	0	 	 	 
60035	2	0	 	0	 	 	 
60035	3	0	 	0	 	 	 
60035	4	 	 	0	 	 	 
60035	5	0	 	0	 	 	 
60036	1	.200000002980232	1	1.20000004768372	5	5	4
60036	2	0	 	0	 	 	 
60036	3	0	 	0	 	 	 
60036	4	 	 	0	 	 	 
60036	5	0	 	0	 	 	 
60037	1	.0199999995529652	1	3	5	5	1
60037	2	0	 	0	 	 	 
60037	3	0	 	0	 	 	 
60037	4	 	 	0	 	 	 
60037	5	0	 	0	 	 	 
60038	1	.00999999977648258	1	0	 	 	 
60038	2	0	 	0	 	 	 
60038	3	0	 	0	 	 	 
60038	4	 	 	0	 	 	 
60038	5	0	 	0	 	 	 
60039	1	.0299999993294477	1	0	 	 	 
60039	2	0	 	0	 	 	 
60039	3	0	 	2.5	5	5	4
60039	4	 	 	0	 	 	 
60039	5	0	 	0	 	 	 
60040	1	.0399999991059303	1	0	 	 	 
60040	2	0	 	0	 	 	 
60040	3	0	 	0	 	 	 
60040	4	 	 	0	 	 	 
60040	5	0	 	0	 	 	 
60041	1	.0299999993294477	1	0	 	 	 
60041	2	0	 	0	 	 	 
60041	3	0	 	0	 	 	 
60041	4	 	 	0	 	 	 
60041	5	0	 	0	 	 	 
60042	1	.0199999995529652	1	0	 	 	 
60042	2	0	 	0	 	 	 
60042	3	0	 	0	 	 	 
60042	4	 	 	0	 	 	 
60042	5	0	 	0	 	 	 
60043	1	.0299999993294477	1	.5	5	5	1
60043	2	0	 	0	 	 	 
60043	3	0	 	0	 	 	 
60043	4	 	 	0	 	 	 
60043	5	0	 	0	 	 	 
60044	1	.00999999977648258	1	0	 	 	 
60044	2	0	 	0	 	 	 
60044	3	0	 	0	 	 	 
60044	4	 	 	0	 	 	 
60044	5	0	 	0	 	 	 
60045	1	.300000011920929	1	.600000023841858	5	11	 
60045	2	0	 	0	 	 	 
60045	3	0	 	1	5	11	 
60045	4	 	 	0	 	 	 
60045	5	0	 	0	 	 	 
60046	1	.0299999993294477	1	0	 	 	 
60046	2	0	 	0	 	 	 
60046	3	0	 	0	 	 	 
60046	4	 	 	0	 	 	 
60046	5	0	 	0	 	 	 
60047	1	.0199999995529652	1	2	5	11	 
60047	2	0	 	0	 	 	 
60047	3	0	 	0	 	 	 
60047	4	 	 	0	 	 	 
60047	5	0	 	0	 	 	 
60048	1	.0399999991059303	1	.5	5	11	 
60048	2	0	 	0	 	 	 
60048	3	0	 	0	 	 	 
60048	4	 	 	0	 	 	 
60048	5	0	 	0	 	 	 
60049	1	.0399999991059303	1	.699999988079071	5	5	1
60049	2	0	 	0	 	 	 
60049	3	0	 	0	 	 	 
60049	4	 	 	0	 	 	 
60049	5	0	 	0	 	 	 
60050	1	.109999999403954	1	0	 	 	 
60050	2	0	 	0	 	 	 
60050	3	0	 	0	 	 	 
60050	4	 	 	0	 	 	 
60050	5	0	 	0	 	 	 
60051	1	.0299999993294477	1	.349999994039536	5	11	 
60051	2	0	 	0	 	 	 
60051	3	0	 	0	 	 	 
60051	4	 	 	0	 	 	 
60051	5	0	 	0	 	 	 
60052	1	.0299999993294477	1	0	 	 	 
60052	2	0	 	0	 	 	 
60052	3	0	 	0	 	 	 
60052	4	 	 	0	 	 	 
60052	5	0	 	0	 	 	 
60053	1	0	 	 	 	 	 
60053	2	0	 	 	 	 	 
60053	3	0	 	 	 	 	 
60053	4	 	 	 	 	 	 
60053	5	0	 	 	 	 	 
60054	1	.0500000007450581	1	1	5	11	 
60054	2	0	 	0	 	 	 
60054	3	0	 	1	5	11	 
60054	4	 	 	0	 	 	 
60054	5	0	 	0	 	 	 
60055	1	.0199999995529652	1	.300000011920929	5	11	 
60055	2	0	 	0	 	 	 
60055	3	0	 	0	 	 	 
60055	4	 	 	0	 	 	 
60055	5	0	 	0	 	 	 
60056	1	.0299999993294477	1	0	 	 	 
60056	2	0	 	0	 	 	 
60056	3	0	 	0	 	 	 
60056	4	 	 	0	 	 	 
60056	5	0	 	0	 	 	 
60057	1	.0199999995529652	1	.349999994039536	5	11	 
60057	2	0	 	0	 	 	 
60057	3	0	 	0	 	 	 
60057	4	 	 	0	 	 	 
60057	5	0	 	0	 	 	 
60058	1	.00999999977648258	1	0	 	 	 
60058	2	0	 	0	 	 	 
60058	3	0	 	0	 	 	 
60058	4	 	 	0	 	 	 
60058	5	0	 	0	 	 	 
60059	1	.0299999993294477	1	1.10000002384186	5	5	4
60059	2	0	 	0	 	 	 
60059	3	0	 	0	 	 	 
60059	4	 	 	0	 	 	 
60059	5	0	 	0	 	 	 
60060	1	.0199999995529652	1	.25	20	11	 
60060	2	0	 	0	 	 	 
60060	3	0	 	0	 	 	 
60060	4	 	 	0	 	 	 
60060	5	0	 	0	 	 	 
60061	1	.0199999995529652	1	0	 	 	 
60061	2	0	 	0	 	 	 
60061	3	0	 	2	5	5	1
60061	4	 	 	0	 	 	 
60061	5	0	 	0	 	 	 
60062	1	.00999999977648258	11	 	 	 	 
60062	2	0	 	 	 	 	 
60062	3	0	 	 	 	 	 
60062	4	 	 	 	 	 	 
60062	5	0	 	 	 	 	 
60063	1	.0299999993294477	1	0	 	 	 
60063	2	0	 	0	 	 	 
60063	3	0	 	0	 	 	 
60063	4	 	 	0	 	 	 
60063	5	0	 	0	 	 	 
60064	1	.0299999993294477	1	.5	11	11	 
60064	2	0	 	0	 	 	 
60064	3	0	 	0	 	 	 
60064	4	 	 	0	 	 	 
60064	5	0	 	0	 	 	 
60065	1	.0199999995529652	1	0	 	 	 
60065	2	0	 	0	 	 	 
60065	3	0	 	0	 	 	 
60065	4	 	 	0	 	 	 
60065	5	0	 	0	 	 	 
60066	1	.0299999993294477	1	0	 	 	 
60066	2	0	 	0	 	 	 
60066	3	0	 	0	 	 	 
60066	4	 	 	0	 	 	 
60066	5	0	 	0	 	 	 
60067	1	.0199999995529652	1	0	 	 	 
60067	2	0	 	0	 	 	 
60067	3	0	 	0	 	 	 
60067	4	 	 	0	 	 	 
60067	5	0	 	0	 	 	 
60068	1	.0199999995529652	1	1	5	5	1
60068	2	0	 	0	 	 	 
60068	3	0	 	0	 	 	 
60068	4	 	 	0	 	 	 
60068	5	0	 	0	 	 	 
60069	1	.0299999993294477	1	0	 	 	 
60069	2	0	 	0	 	 	 
60069	3	0	 	1	5	11	 
60069	4	 	 	0	 	 	 
60069	5	0	 	0	 	 	 
60070	1	.5	1	1	5	5	1
60070	2	0	 	0	 	 	 
60070	3	0	 	0	 	 	 
60070	4	 	 	0	 	 	 
60070	5	0	 	0	 	 	 
60071	1	.0399999991059303	1	2	5	5	1
60071	2	0	 	0	 	 	 
60071	3	0	 	0	 	 	 
60071	4	 	 	0	 	 	 
60071	5	0	 	0	 	 	 
60072	1	.46000000834465	2	3	5	11	 
60072	2	0	 	0	 	 	 
60072	3	0	 	0	 	 	 
60072	4	 	 	0	 	 	 
60072	5	0	 	0	 	 	 
60073	1	.0299999993294477	1	0	 	 	 
60073	2	0	 	0	 	 	 
60073	3	0	 	0	 	 	 
60073	4	 	 	0	 	 	 
60073	5	0	 	0	 	 	 
60074	1	.0199999995529652	1	.5	5	11	 
60074	2	0	 	0	 	 	 
60074	3	0	 	0	 	 	 
60074	4	 	 	0	 	 	 
60074	5	0	 	0	 	 	 
60075	1	.0299999993294477	1	3	5	11	 
60075	2	0	 	0	 	 	 
60075	3	0	 	0	 	 	 
60075	4	 	 	0	 	 	 
60075	5	0	 	0	 	 	 
60076	1	.0599999986588955	1	.899999976158142	5	11	 
60076	2	0	 	0	 	 	 
60076	3	0	 	0	 	 	 
60076	4	 	 	0	 	 	 
60076	5	0	 	0	 	 	 
60077	1	1.10000002384186	2	5	5	11	 
60077	2	0	 	0	 	 	 
60077	3	0	 	0	 	 	 
60077	4	 	 	0	 	 	 
60077	5	0	 	0	 	 	 
60078	1	.0299999993294477	1	1	5	11	 
60078	2	0	 	0	 	 	 
60078	3	0	 	0	 	 	 
60078	4	 	 	0	 	 	 
60078	5	0	 	0	 	 	 
60079	1	.0599999986588955	1	1	5	5	2
60079	2	0	 	0	 	 	 
60079	3	0	 	0	 	 	 
60079	4	 	 	0	 	 	 
60079	5	0	 	0	 	 	 
60080	1	.0299999993294477	1	0	 	 	 
60080	2	0	 	0	 	 	 
60080	3	0	 	.300000011920929	5	11	 
60080	4	 	 	0	 	 	 
60080	5	0	 	0	 	 	 
60081	1	.0299999993294477	1	0	 	 	 
60081	2	0	 	0	 	 	 
60081	3	0	 	0	 	 	 
60081	4	 	 	0	 	 	 
60081	5	0	 	0	 	 	 
60082	1	.0299999993294477	1	.699999988079071	5	11	 
60082	2	0	 	0	 	 	 
60082	3	0	 	0	 	 	 
60082	4	 	 	0	 	 	 
60082	5	0	 	0	 	 	 
60083	1	.0299999993294477	1	0	 	 	 
60083	2	0	 	0	 	 	 
60083	3	0	 	0	 	 	 
60083	4	 	 	0	 	 	 
60083	5	0	 	0	 	 	 
60084	1	.0399999991059303	1	0	 	 	 
60084	2	0	 	0	 	 	 
60084	3	0	 	0	 	 	 
60084	4	 	 	0	 	 	 
60084	5	0	 	0	 	 	 
60085	1	0	 	 	 	 	 
60085	2	0	 	 	 	 	 
60085	3	0	 	 	 	 	 
60085	4	 	 	 	 	 	 
60085	5	0	 	 	 	 	 
60086	1	.0299999993294477	1	0	 	 	 
60086	2	0	 	0	 	 	 
60086	3	0	 	0	 	 	 
60086	4	 	 	0	 	 	 
60086	5	0	 	0	 	 	 
60089	1	.00999999977648258	1	0	 	 	 
60089	2	0	 	0	 	 	 
60089	3	0	 	0	 	 	 
60089	4	 	 	0	 	 	 
60089	5	0	 	0	 	 	 
60090	1	.00999999977648258	1	1	5	5	4
60090	2	0	 	0	 	 	 
60090	3	0	 	0	 	 	 
60090	4	 	 	0	 	 	 
60090	5	0	 	0	 	 	 
60091	1	.0199999995529652	1	 	 	 	 
60091	2	0	 	 	 	 	 
60091	3	0	 	 	 	 	 
60091	4	 	 	 	 	 	 
60091	5	0	 	 	 	 	 
60092	1	.0199999995529652	1	.349999994039536	5	11	 
60092	2	0	 	0	 	 	 
60092	3	0	 	0	 	 	 
60092	4	 	 	0	 	 	 
60092	5	0	 	0	 	 	 
60093	1	.0199999995529652	1	.300000011920929	5	11	 
60093	2	0	 	0	 	 	 
60093	3	0	 	0	 	 	 
60093	4	 	 	0	 	 	 
60093	5	0	 	0	 	 	 
60094	1	.0199999995529652	1	.5	5	11	 
60094	2	0	 	0	 	 	 
60094	3	0	 	0	 	 	 
60094	4	 	 	0	 	 	 
60094	5	0	 	0	 	 	 
60096	1	.0599999986588955	1	0	 	 	 
60096	2	0	 	0	 	 	 
60096	3	0	 	0	 	 	 
60096	4	 	 	0	 	 	 
60096	5	0	 	0	 	 	 
60097	1	.0199999995529652	1	0	 	 	 
60097	2	0	 	0	 	 	 
60097	3	0	 	0	 	 	 
60097	4	 	 	0	 	 	 
60097	5	0	 	0	 	 	 
60098	1	.0299999993294477	1	0	 	 	 
60098	2	0	 	0	 	 	 
60098	3	0	 	0	 	 	 
60098	4	 	 	0	 	 	 
60098	5	0	 	0	 	 	 
60099	1	.0399999991059303	1	0	 	 	 
60099	2	0	 	0	 	 	 
60099	3	0	 	0	 	 	 
60099	4	 	 	0	 	 	 
60099	5	0	 	0	 	 	 
60100	1	.0199999995529652	1	0	 	 	 
60100	2	0	 	0	 	 	 
60100	3	0	 	0	 	 	 
60100	4	 	 	0	 	 	 
60100	5	0	 	0	 	 	 
70001	1	.0299999993294477	1	4	5	11	 
70001	2	0	 	0	 	 	 
