CHILDCODE	EDCHSTR4	EDGRADER4	TYSCR4	SMESCHR4	PROVR4	SITER4	SCHNMER4
11018	2	1	3	0	1	1	92
11018	3	2	3	1	1	1	92
11018	4	3	3	1	1	1	92
11018	5	4	3	1	1	1	92
11018	6	5	3	1	1	1	92
11018	7	6	3	0	1	1	141
11018	8	7	3	1	1	1	141
11018	9	8	3	1	1	1	141
11018	10	0	 	 	 	 	 
11018	11	0	 	 	 	 	 
11018	12	0	 	 	 	 	 
11019	0	1	3	0	1	1	93
11019	1	2	3	1	1	1	93
11019	2	3	3	1	1	1	93
11019	3	4	3	1	1	1	93
11019	4	5	3	1	1	1	93
11019	5	6	3	0	1	1	141
11019	6	7	3	1	1	1	141
11019	7	8	3	1	1	1	141
11019	8	9	3	1	1	1	141
11019	9	10	3	0	1	1	189
11019	10	11	3	1	1	1	189
11019	11	12	3	1	1	1	189
11019	12	29	3	0	98	98	311
11020	0	1	3	0	1	1	93
11020	1	2	3	1	1	1	93
11020	2	3	3	1	1	1	93
11020	3	4	3	1	1	1	93
11020	4	5	3	1	1	1	93
11020	5	6	3	0	1	1	141
11020	6	8	3	1	1	1	141
11020	7	8	3	1	1	1	141
11020	8	9	3	1	1	1	141
11020	9	10	3	0	1	1	189
11020	10	11	3	1	1	1	189
11020	11	12	3	1	1	1	189
11020	12	24	3	0	98	98	335
11021	0	1	3	0	1	1	93
11021	1	2	3	1	1	1	93
11021	2	3	3	1	1	1	93
11021	3	4	3	1	1	1	93
11021	4	5	3	1	1	1	93
11021	5	6	3	0	1	1	141
11021	6	7	3	1	1	1	141
11021	7	8	3	1	1	1	141
11021	8	9	3	1	1	1	141
11021	9	10	3	0	1	98	182
11021	10	11	3	1	1	98	182
11021	11	12	3	1	1	98	182
11021	12	17	3	0	1	98	203
11022	0	1	3	0	1	1	93
11022	1	2	3	1	1	1	93
11022	2	3	3	1	1	1	93
11022	3	4	3	1	1	1	93
11022	4	5	3	1	1	1	93
11022	5	6	3	0	1	1	92
11022	6	7	3	1	1	1	92
11022	7	8	6	1	1	1	92
11022	8	9	3	1	1	1	92
11022	9	10	3	0	1	98	182
11022	10	11	3	1	1	98	182
11022	11	12	3	1	1	98	182
11022	12	21	3	0	1	98	199
11024	0	50	3	1	 	 	 
11024	1	1	3	0	1	1	93
11024	2	2	3	1	1	1	93
11024	3	3	3	1	1	1	93
11024	4	4	3	1	1	1	93
11024	5	5	3	1	1	1	93
11024	6	6	3	0	1	1	141
11024	7	7	3	1	1	1	141
11024	8	8	3	1	1	1	141
11024	9	9	3	1	1	1	141
11024	10	0	 	 	 	 	 
11024	11	0	 	 	 	 	 
11024	12	0	 	 	 	 	 
11025	0	50	3	1	 	 	 
11025	1	1	3	0	1	1	93
11025	2	2	3	1	1	1	93
11025	3	3	3	1	1	1	93
11025	4	4	3	1	1	1	93
11025	5	5	3	1	1	1	93
11025	6	6	3	0	1	1	141
11025	7	7	3	1	1	1	141
11025	8	8	3	1	1	1	141
11025	9	9	3	1	1	1	141
11025	10	10	3	0	1	1	182
11025	11	11	3	1	1	1	182
11025	12	12	3	1	1	1	182
11028	0	1	3	0	1	1	92
11028	1	2	3	1	1	1	92
11028	2	3	3	1	1	1	92
11028	3	4	3	1	1	1	92
11028	4	5	3	1	1	1	92
11028	5	6	3	0	1	98	91
11028	6	7	3	1	1	98	91
11028	7	8	3	1	1	98	91
11028	8	9	3	1	1	98	91
11028	9	10	3	0	1	98	182
11028	10	11	3	1	1	98	182
11028	11	12	3	1	1	98	182
11028	12	17	8	0	1	98	198
11029	0	50	3	77	1	1	724
11029	1	1	3	0	1	1	92
11029	2	2	3	1	1	1	92
11029	3	3	3	1	1	1	92
11029	4	4	3	1	1	1	92
11029	5	5	3	1	1	1	92
11029	6	6	3	0	1	1	141
11029	7	7	3	1	1	1	141
11029	8	8	3	1	1	1	141
11029	9	9	3	1	1	1	141
11029	10	21	3	0	1	98	200
11029	11	22	3	1	1	98	200
11029	12	16	3	1	1	98	200
11030	0	1	3	0	1	1	91
11030	1	2	3	1	1	1	91
11030	2	3	3	1	1	1	91
11030	3	4	3	1	1	1	91
11030	4	5	3	1	1	1	91
11030	5	6	3	0	1	1	141
11030	6	7	3	1	1	1	141
11030	7	8	3	1	1	1	141
11030	8	9	3	1	1	1	141
11030	9	10	3	0	1	1	191
11030	10	11	3	1	1	1	191
11030	11	12	3	1	1	1	191
11030	12	0	 	 	 	 	 
11031	0	1	3	0	1	1	92
11031	1	2	3	1	1	1	92
11031	2	3	3	1	1	1	92
11031	3	4	3	1	1	1	92
11031	4	5	3	1	1	1	92
11031	5	6	3	0	1	1	141
11031	6	7	3	1	1	1	141
11031	7	8	3	1	1	1	141
11031	8	9	3	1	1	1	141
11031	9	10	3	0	1	98	189
11031	10	11	3	1	1	98	189
11031	11	12	3	1	1	98	189
11031	12	24	5	0	98	98	335
11032	0	1	3	0	1	1	91
11032	1	2	3	1	1	1	91
11032	2	3	3	1	1	1	91
11032	3	4	3	1	1	1	91
11032	4	5	3	1	1	1	91
11032	5	6	3	0	1	1	141
11032	6	7	3	1	1	1	141
11032	7	8	3	1	1	1	141
11032	8	9	3	1	1	1	141
11032	9	10	3	0	1	2	192
11032	10	11	3	1	1	2	192
11032	11	12	3	1	1	2	192
11032	12	0	 	 	 	 	 
11033	0	1	3	0	1	1	92
11033	1	2	3	1	1	1	92
11033	2	3	3	1	1	1	92
11033	3	4	3	1	1	1	92
11033	4	5	3	1	1	1	92
11033	5	6	3	0	1	1	138
11033	6	7	3	1	1	1	138
11033	7	8	3	1	1	1	138
11033	8	9	3	1	1	1	138
11033	9	10	1	0	1	98	357
11033	10	11	1	1	1	98	357
11033	11	12	1	1	1	98	357
11033	12	29	3	0	98	98	304
11034	0	1	3	0	1	1	91
11034	1	2	3	1	1	1	91
11034	2	3	3	1	1	1	91
11034	3	4	3	1	1	1	91
11034	4	5	3	1	1	1	91
11034	5	6	3	0	1	1	141
11034	6	7	3	1	1	1	141
11034	7	8	3	1	1	1	141
11034	8	9	3	1	1	1	141
11034	9	10	3	0	1	4	190
11034	10	11	3	1	1	4	190
11034	11	12	3	1	1	4	190
11034	12	29	3	0	98	98	314
11035	0	1	3	1	 	 	 
11035	1	2	3	1	 	 	 
11035	2	3	3	1	 	 	 
11035	3	4	3	1	 	 	 
11035	4	5	3	1	 	 	 
11035	5	6	3	0	1	1	141
11035	6	7	3	1	1	1	141
11035	7	8	3	1	1	1	141
11035	8	9	3	1	1	1	141
11035	9	10	3	0	1	98	357
11035	10	0	 	 	 	 	 
11035	11	0	 	 	 	 	 
11035	12	0	 	 	 	 	 
11037	0	1	3	0	1	4	81
11037	1	2	3	1	1	4	81
11037	2	3	3	1	1	4	81
11037	3	4	3	1	1	4	81
11037	4	5	3	1	1	4	81
11037	5	6	3	0	1	4	134
11037	6	7	3	1	1	4	134
11037	7	8	3	1	1	4	134
11037	8	9	3	1	1	4	134
11037	9	10	1	0	1	98	357
11037	10	11	1	1	1	98	357
11037	11	12	1	1	1	98	357
11037	12	14	3	0	98	98	306
11038	0	1	3	0	1	1	91
11038	1	2	3	1	1	1	91
11038	2	3	3	1	1	1	91
11038	3	4	3	1	1	1	91
11038	4	5	3	1	1	1	91
11038	5	6	3	0	1	1	140
11038	6	7	3	1	1	1	140
11038	7	8	3	1	1	1	140
11038	8	9	3	1	1	1	140
11038	9	10	3	0	1	98	191
11038	10	11	3	1	1	98	191
11038	11	12	3	1	1	98	191
11038	12	24	3	0	1	98	201
11039	0	0	 	 	 	 	 
11039	1	1	3	0	1	1	91
11039	2	2	3	1	1	1	91
11039	3	3	3	1	1	1	91
11039	4	4	3	1	1	1	91
11039	5	5	3	1	1	1	91
11039	6	6	3	0	1	1	141
11039	7	7	3	1	1	1	141
11039	8	8	3	1	1	1	141
11039	9	0	 	 	 	 	 
11039	10	0	 	 	 	 	 
11039	11	0	 	 	 	 	 
11039	12	0	 	 	 	 	 
11040	0	50	3	0	1	1	724
11040	1	1	3	0	1	1	91
11040	2	2	3	1	1	1	91
11040	3	3	3	1	1	1	91
11040	4	4	3	1	1	1	91
11040	5	5	3	1	1	1	91
11040	6	6	3	0	1	1	141
11040	7	7	3	1	1	1	141
11040	8	8	3	1	1	1	141
11040	9	9	3	1	1	1	141
11040	10	0	 	 	 	 	 
11040	11	0	 	 	 	 	 
11040	12	0	 	 	 	 	 
11041	0	1	3	0	1	1	91
11041	1	2	3	1	1	1	91
11041	2	3	3	1	1	1	91
11041	3	4	3	1	1	1	91
11041	4	5	3	1	1	1	91
11041	5	6	3	0	1	1	141
11041	6	7	3	1	1	1	141
11041	7	8	3	1	1	1	141
11041	8	9	3	1	1	1	141
11041	9	10	3	0	1	1	184
11041	10	11	3	1	1	1	184
11041	11	12	3	1	1	1	184
11041	12	0	 	 	 	 	 
11042	0	2	3	1	 	 	 
11042	1	3	3	1	 	 	 
11042	2	4	3	1	 	 	 
11042	3	5	3	1	 	 	 
11042	4	6	3	0	1	1	141
11042	5	7	3	1	1	1	141
11042	6	8	3	1	1	1	141
11042	7	9	3	1	1	1	141
11042	8	10	3	0	1	1	184
11042	9	0	 	 	 	 	 
11042	10	0	 	 	 	 	 
11042	11	0	 	 	 	 	 
11042	12	0	 	 	 	 	 
11043	0	 	 	 	 	 	 
11043	1	 	 	 	 	 	 
11043	2	 	 	 	 	 	 
11043	3	 	 	 	 	 	 
11043	4	 	 	 	 	 	 
11043	5	 	 	 	 	 	 
11043	6	 	 	 	 	 	 
11043	7	 	 	 	 	 	 
11043	8	 	 	 	 	 	 
11043	9	 	 	 	 	 	 
11043	10	 	 	 	 	 	 
11043	11	 	 	 	 	 	 
11043	12	77	88	 	 	 	 
11044	0	1	3	0	1	1	92
11044	1	2	3	1	1	1	92
11044	2	3	3	1	1	1	92
11044	3	4	3	1	1	1	92
11044	4	5	3	1	1	1	92
11044	5	6	3	0	1	1	141
11044	6	7	3	1	1	1	141
11044	7	8	3	1	1	1	141
11044	8	9	3	1	1	1	141
11044	9	10	7	0	1	1	363
11044	10	11	3	1	1	1	363
11044	11	0	 	 	 	 	 
11044	12	0	 	 	 	 	 
11048	0	1	3	0	1	1	91
11048	1	2	3	1	1	1	91
11048	2	3	3	1	1	1	91
11048	3	4	3	1	1	1	91
11048	4	5	3	1	1	1	91
11048	5	6	3	0	1	1	141
11048	6	7	3	1	1	1	141
11048	7	8	3	1	1	1	141
11048	8	9	3	1	1	1	141
11048	9	10	3	0	1	1	189
11048	10	11	3	1	1	1	189
11048	11	12	3	1	1	1	189
11048	12	24	3	0	98	98	291
11050	0	50	3	0	1	98	782
11050	1	1	3	0	1	98	578
11050	2	2	3	1	1	98	578
11050	3	3	3	1	1	98	578
11050	4	4	3	1	1	98	578
11050	5	5	3	1	1	98	578
11050	6	6	3	0	1	98	421
11050	7	7	3	1	1	98	421
11050	8	8	3	1	1	98	421
11050	9	9	3	1	1	98	421
11050	10	10	3	0	1	1	184
11050	11	11	3	1	1	1	184
11050	12	12	3	1	1	1	184
11052	0	1	3	0	1	1	91
11052	1	2	3	1	1	1	91
11052	2	3	3	1	1	1	91
11052	3	4	3	1	1	1	91
11052	4	5	3	1	1	1	91
11052	5	6	3	0	1	4	141
11052	6	7	3	1	1	4	141
11052	7	8	3	1	1	4	141
11052	8	9	3	1	1	4	141
11052	9	10	3	0	1	4	193
11052	10	11	3	1	1	4	193
11052	11	12	3	1	1	4	193
11052	12	29	3	0	98	98	287
11061	0	50	3	1	 	 	 
11061	1	1	3	0	1	1	93
11061	2	2	3	1	1	1	93
11061	3	3	3	1	1	1	93
11061	4	4	3	1	1	1	93
11061	5	5	3	1	1	1	93
11061	6	6	3	0	1	1	141
11061	7	7	3	1	1	1	141
11061	8	8	3	1	1	1	141
11061	9	9	3	1	1	1	141
11061	10	0	 	 	 	 	 
11061	11	0	 	 	 	 	 
11061	12	0	 	 	 	 	 
11063	0	1	3	0	1	1	92
11063	1	2	3	1	1	1	92
11063	2	3	3	1	1	1	92
11063	3	4	3	1	1	1	92
11063	4	5	3	1	1	1	92
11063	5	6	3	0	1	1	141
11063	6	7	3	1	1	1	141
11063	7	8	3	1	1	1	141
11063	8	9	3	1	1	1	141
11063	9	10	3	0	1	98	189
11063	10	11	3	1	1	98	189
11063	11	12	3	1	1	98	189
11063	12	0	 	 	 	 	 
11069	0	1	3	0	1	1	91
11069	1	2	3	1	1	1	91
11069	2	3	3	1	1	1	91
11069	3	4	3	1	1	1	91
11069	4	5	3	1	1	1	91
11069	5	6	3	0	1	1	141
11069	6	7	3	1	1	1	141
11069	7	8	3	1	1	1	141
11069	8	9	3	1	1	1	141
11069	9	0	 	 	 	 	 
11069	10	0	 	 	 	 	 
11069	11	0	 	 	 	 	 
11069	12	0	 	 	 	 	 
11074	0	1	3	0	1	1	91
11074	1	2	3	1	1	1	91
11074	2	3	3	1	1	1	91
11074	3	4	3	1	1	1	91
11074	4	5	3	1	1	1	91
11074	5	6	3	0	1	1	141
11074	6	7	3	1	1	1	141
11074	7	8	3	1	1	1	141
11074	8	9	3	1	1	1	141
11074	9	10	3	0	1	98	184
11074	10	11	3	1	1	98	184
11074	11	12	3	1	1	98	184
11074	12	17	3	0	1	98	202
11088	0	50	3	1	 	 	 
11088	1	1	3	0	1	1	91
11088	2	2	6	1	1	1	91
11088	3	4	6	1	1	1	91
11088	4	4	3	1	1	1	91
11088	5	5	3	1	1	1	91
11088	6	6	6	0	1	1	141
11088	7	7	6	1	1	1	141
11088	8	8	3	1	1	1	141
11088	9	9	3	1	1	1	141
11088	10	10	3	0	1	1	191
11088	11	11	3	1	1	1	191
11088	12	12	3	1	1	1	191
21002	0	1	3	0	1	2	85
21002	1	2	3	1	1	2	85
21002	2	3	3	1	1	2	85
21002	3	4	3	1	1	2	85
21002	4	5	3	1	1	2	85
21002	5	6	3	0	1	2	136
21002	6	7	3	1	1	2	136
21002	7	8	3	1	1	2	136
21002	8	0	 	 	 	 	 
21002	9	0	 	 	 	 	 
21002	10	0	 	 	 	 	 
21002	11	0	 	 	 	 	 
21002	12	0	 	 	 	 	 
21004	0	50	3	0	1	2	739
21004	1	1	3	0	1	2	88
21004	2	2	3	1	1	2	88
21004	3	3	3	1	1	2	88
21004	4	4	3	1	1	2	88
21004	5	5	3	1	1	2	88
21004	6	6	3	0	1	2	136
21004	7	7	3	1	1	2	136
21004	8	8	3	1	1	2	136
21004	9	9	3	1	1	2	136
21004	10	0	 	 	 	 	 
21004	11	0	 	 	 	 	 
21004	12	0	 	 	 	 	 
21005	0	0	 	 	 	 	 
21005	1	1	3	0	1	2	88
21005	2	2	3	1	1	2	88
21005	3	3	3	1	1	2	88
21005	4	4	3	1	1	2	88
21005	5	5	3	1	1	2	88
21005	6	6	3	0	1	2	136
21005	7	7	3	1	1	2	136
21005	8	8	3	1	1	2	136
21005	9	9	3	1	1	2	136
21005	10	10	3	0	1	2	358
21005	11	11	3	1	1	2	358
21005	12	12	3	1	1	2	358
21007	0	1	3	0	1	2	88
21007	1	2	3	1	1	2	88
21007	2	3	3	1	1	2	88
21007	3	4	3	1	1	2	88
21007	4	5	3	1	1	2	88
21007	5	6	3	0	1	2	136
21007	6	7	3	1	1	2	136
21007	7	8	3	1	1	2	136
21007	8	9	3	1	1	2	136
21007	9	10	3	0	1	98	358
21007	10	11	3	1	1	98	358
21007	11	11	3	1	1	98	358
21007	12	0	 	 	 	 	 
21008	0	50	3	1	 	 	 
21008	1	1	3	0	1	2	88
21008	2	2	3	1	1	2	88
21008	3	3	3	1	1	2	88
21008	4	4	3	1	1	2	88
21008	5	5	3	1	1	2	88
21008	6	6	3	0	1	2	136
21008	7	7	3	1	1	2	136
21008	8	8	3	1	1	2	136
21008	9	9	3	1	1	2	136
21008	10	10	3	0	1	98	358
21008	11	11	3	1	1	98	358
21008	12	12	3	1	1	98	358
21009	0	1	3	0	1	2	86
21009	1	2	3	1	1	2	86
21009	2	3	3	1	1	2	86
21009	3	4	3	1	1	2	86
21009	4	5	3	1	1	2	86
21009	5	6	3	0	1	2	136
21009	6	7	3	1	1	2	136
21009	7	8	3	1	1	2	136
21009	8	9	3	1	1	2	136
21009	9	10	3	0	1	98	357
21009	10	11	3	1	1	98	357
21009	11	12	3	1	1	98	357
21009	12	12	1	0	98	98	299
21011	0	1	3	0	1	2	88
21011	1	2	3	1	1	2	88
21011	2	3	3	1	1	2	88
21011	3	4	3	1	1	2	88
21011	4	5	3	1	1	2	88
21011	5	6	3	0	1	2	136
21011	6	7	3	1	1	2	136
21011	7	8	3	1	1	2	136
21011	8	9	3	1	1	2	136
21011	9	0	 	 	 	 	 
21011	10	0	 	 	 	 	 
21011	11	0	 	 	 	 	 
21011	12	0	 	 	 	 	 
21012	0	50	3	0	1	2	734
21012	1	1	3	0	1	2	88
21012	2	2	3	1	1	2	88
21012	3	3	3	1	1	2	88
21012	4	4	3	1	1	2	88
21012	5	5	3	1	1	2	88
21012	6	6	3	0	1	2	136
21012	7	7	3	1	1	2	136
21012	8	0	 	 	 	 	 
21012	9	0	 	 	 	 	 
21012	10	0	 	 	 	 	 
21012	11	0	 	 	 	 	 
21012	12	0	 	 	 	 	 
21013	0	50	3	0	1	2	742
21013	1	1	3	0	1	2	88
21013	2	2	3	1	1	2	88
21013	3	3	3	1	1	2	88
21013	4	4	3	1	1	2	88
21013	5	5	3	1	1	2	88
21013	6	6	3	0	1	2	136
21013	7	7	3	1	1	2	136
21013	8	8	3	1	1	2	136
21013	9	9	3	1	1	2	136
21013	10	0	 	 	 	 	 
21013	11	0	 	 	 	 	 
21013	12	0	 	 	 	 	 
21014	0	1	3	0	1	2	88
21014	1	2	3	1	1	2	88
21014	2	3	3	1	1	2	88
21014	3	4	3	1	1	2	88
21014	4	5	3	1	1	2	88
21014	5	6	3	0	1	2	136
21014	6	7	3	1	1	2	136
21014	7	8	3	1	1	2	136
21014	8	9	3	1	1	2	136
21014	9	10	3	0	1	2	358
21014	10	11	3	1	1	2	358
21014	11	0	 	 	 	 	 
21014	12	0	 	 	 	 	 
21015	0	1	3	0	1	2	88
21015	1	2	3	1	1	2	88
21015	2	3	3	1	1	2	88
21015	3	4	3	1	1	2	88
21015	4	0	 	 	 	 	 
21015	5	0	 	 	 	 	 
21015	6	0	 	 	 	 	 
21015	7	0	 	 	 	 	 
21015	8	0	 	 	 	 	 
21015	9	0	 	 	 	 	 
21015	10	0	 	 	 	 	 
21015	11	0	 	 	 	 	 
21015	12	0	 	 	 	 	 
21017	0	1	3	0	1	2	88
21017	1	2	3	1	1	2	88
21017	2	3	3	1	1	2	88
21017	3	4	3	1	1	2	88
21017	4	5	3	1	1	2	88
21017	5	6	3	0	1	2	136
21017	6	7	3	1	1	2	136
21017	7	8	3	1	1	2	136
21017	8	9	3	1	1	2	136
21017	9	10	3	0	1	2	358
21017	10	11	3	1	1	2	358
21017	11	12	3	1	1	2	358
21017	12	0	 	 	 	 	 
21018	0	1	3	1	 	 	 
21018	1	2	3	1	 	 	 
21018	2	3	3	1	 	 	 
21018	3	4	3	1	 	 	 
21018	4	5	3	1	 	 	 
21018	5	6	3	0	1	2	136
21018	6	7	3	1	1	2	136
21018	7	8	3	1	1	2	136
21018	8	8	3	1	1	2	136
21018	9	0	 	 	 	 	 
21018	10	0	 	 	 	 	 
21018	11	0	 	 	 	 	 
21018	12	0	 	 	 	 	 
21020	0	1	3	0	1	2	88
21020	1	2	3	1	1	2	88
21020	2	3	3	1	1	2	88
21020	3	4	3	1	1	2	88
21020	4	5	3	1	1	2	88
21020	5	6	3	0	1	2	136
21020	6	7	3	1	1	2	136
21020	7	0	 	 	 	 	 
21020	8	0	 	 	 	 	 
21020	9	0	 	 	 	 	 
21020	10	0	 	 	 	 	 
21020	11	0	 	 	 	 	 
21020	12	0	 	 	 	 	 
21022	0	1	3	0	1	2	85
21022	1	2	3	1	1	2	85
21022	2	3	3	1	1	2	85
21022	3	4	3	1	1	2	85
21022	4	5	3	1	1	2	85
21022	5	6	3	0	1	2	137
21022	6	7	3	1	1	2	137
21022	7	8	3	1	1	2	137
21022	8	9	3	1	1	2	137
21022	9	10	3	0	1	98	358
21022	10	11	3	1	1	98	358
21022	11	12	3	1	1	98	358
21022	12	27	3	0	1	98	198
21023	0	1	3	0	1	2	85
21023	1	2	3	0	1	2	85
21023	2	3	3	1	1	2	85
21023	3	4	3	1	1	2	85
21023	4	5	3	1	1	2	85
21023	5	6	3	0	1	2	137
21023	6	7	3	1	1	2	137
21023	7	8	3	1	1	2	137
21023	8	9	3	1	1	2	137
21023	9	10	3	0	1	98	358
21023	10	11	3	1	1	98	358
21023	11	12	3	1	1	98	358
21023	12	29	3	0	1	98	201
21024	0	50	3	0	1	2	746
21024	1	1	3	0	1	2	85
21024	2	2	3	1	1	2	85
21024	3	3	3	1	1	2	85
21024	4	4	3	1	1	2	85
21024	5	5	3	1	1	2	85
21024	6	6	3	0	1	2	137
21024	7	7	3	1	1	2	137
21024	8	8	3	1	1	2	137
21024	9	9	3	1	1	2	137
21024	10	0	 	 	 	 	 
21024	11	0	 	 	 	 	 
21024	12	0	 	 	 	 	 
21025	0	1	3	0	1	2	86
21025	1	2	3	1	1	2	86
21025	2	3	3	1	1	2	86
21025	3	4	3	1	1	2	86
21025	4	5	3	1	1	2	86
21025	5	6	3	0	1	2	136
21025	6	7	3	1	1	2	136
21025	7	8	3	1	1	2	136
21025	8	9	3	1	1	2	136
21025	9	10	7	0	1	98	364
21025	10	11	7	1	1	98	364
21025	11	12	7	1	1	98	364
21025	12	29	3	0	98	98	320
21026	0	1	3	0	1	2	90
21026	1	2	3	1	1	2	90
21026	2	3	3	1	1	2	90
21026	3	0	 	 	 	 	 
21026	4	0	 	 	 	 	 
21026	5	0	 	 	 	 	 
21026	6	0	 	 	 	 	 
21026	7	0	 	 	 	 	 
21026	8	0	 	 	 	 	 
21026	9	0	 	 	 	 	 
