CHILDCODE	ASSTIDR4	ASSETR4	NMTOTR4	ASACTR4	NMOWNR4	VLASTR4
10018	1	1	3	11	3	150
10018	2	3	1	11	1	200
10018	3	88	 	 	 	 
10018	4	88	 	 	 	 
10018	5	88	 	 	 	 
10018	6	88	 	 	 	 
10019	1	3	1	11	1	100
10019	2	1	5	11	5	200
10019	3	8	6	11	6	500
10019	4	77	-77	11	-77	 
10019	5	88	 	 	 	 
10019	6	88	 	 	 	 
10020	1	1	6	11	6	180
10020	2	88	 	 	 	 
10020	3	88	 	 	 	 
10020	4	88	 	 	 	 
10020	5	88	 	 	 	 
10020	6	88	 	 	 	 
10021	1	1	3	11	3	-77
10021	2	88	 	 	 	 
10021	3	88	 	 	 	 
10021	4	88	 	 	 	 
10021	5	88	 	 	 	 
10021	6	88	 	 	 	 
10022	1	25	1	23	1	10000
10022	2	24	1	23	1	10000
10022	3	23	5	23	4	5000
10022	4	88	 	 	 	 
10022	5	88	 	 	 	 
10022	6	88	 	 	 	 
10024	1	1	6	11	6	50
10024	2	25	1	5	1	2500
10024	3	88	 	 	 	 
10024	4	88	 	 	 	 
10024	5	88	 	 	 	 
10024	6	88	 	 	 	 
10025	1	25	1	5	1	1500
10025	2	13	6	5	6	1000
10025	3	88	 	 	 	 
10025	4	88	 	 	 	 
10025	5	88	 	 	 	 
10025	6	88	 	 	 	 
10026	1	1	2	11	2	100
10026	2	13	5	14	5	1000
10026	3	88	 	 	 	 
10026	4	88	 	 	 	 
10026	5	88	 	 	 	 
10026	6	88	 	 	 	 
10027	1	88	 	 	 	 
10027	2	88	 	 	 	 
10027	3	88	 	 	 	 
10027	4	88	 	 	 	 
10027	5	88	 	 	 	 
10027	6	88	 	 	 	 
10029	1	25	1	24	1	10000
10029	2	1	3	11	3	100
10029	3	88	 	 	 	 
10029	4	88	 	 	 	 
10029	5	88	 	 	 	 
10029	6	88	 	 	 	 
10030	1	1	3	11	3	200
10030	2	40	3	11	3	900
10030	3	88	 	 	 	 
10030	4	88	 	 	 	 
10030	5	88	 	 	 	 
10030	6	88	 	 	 	 
10031	1	1	8	11	8	300
10031	2	88	 	 	 	 
10031	3	88	 	 	 	 
10031	4	88	 	 	 	 
10031	5	88	 	 	 	 
10031	6	88	 	 	 	 
10032	1	 	 	 	 	 
10032	2	 	 	 	 	 
10032	3	 	 	 	 	 
10032	4	 	 	 	 	 
10032	5	 	 	 	 	 
10032	6	 	 	 	 	 
10033	1	25	1	5	1	3000
10033	2	1	7	11	7	300
10033	3	88	 	 	 	 
10033	4	88	 	 	 	 
10033	5	88	 	 	 	 
10033	6	88	 	 	 	 
10034	1	1	5	11	5	200
10034	2	88	 	 	 	 
10034	3	88	 	 	 	 
10034	4	88	 	 	 	 
10034	5	88	 	 	 	 
10034	6	88	 	 	 	 
10035	1	5	1	11	1	1000
10035	2	1	5	11	5	200
10035	3	88	 	 	 	 
10035	4	88	 	 	 	 
10035	5	88	 	 	 	 
10035	6	88	 	 	 	 
10036	1	1	7	11	7	250
10036	2	88	 	 	 	 
10036	3	88	 	 	 	 
10036	4	88	 	 	 	 
10036	5	88	 	 	 	 
10036	6	88	 	 	 	 
10037	1	4	1	11	1	200
10037	2	1	5	11	1	-77
10037	3	88	 	 	 	 
10037	4	88	 	 	 	 
10037	5	88	 	 	 	 
10037	6	88	 	 	 	 
10038	1	1	6	11	5	150
10038	2	25	1	20	1	2000
10038	3	25	1	26	1	3000
10038	4	88	 	 	 	 
10038	5	88	 	 	 	 
10038	6	88	 	 	 	 
10039	1	13	3	7	3	40
10039	2	1	3	11	3	100
10039	3	88	 	 	 	 
10039	4	88	 	 	 	 
10039	5	88	 	 	 	 
10039	6	88	 	 	 	 
10040	1	 	 	 	 	 
10040	2	 	 	 	 	 
10040	3	 	 	 	 	 
10040	4	 	 	 	 	 
10040	5	 	 	 	 	 
10040	6	 	 	 	 	 
10041	1	25	2	23	2	12000
10041	2	23	5	23	5	1000
10041	3	1	5	11	5	100
10041	4	88	 	 	 	 
10041	5	88	 	 	 	 
10041	6	88	 	 	 	 
10042	1	25	2	23	2	200
10042	2	1	7	11	7	200
10042	3	88	 	 	 	 
10042	4	88	 	 	 	 
10042	5	88	 	 	 	 
10042	6	88	 	 	 	 
10043	1	1	1	11	1	20
10043	2	4	1	11	1	15500
10043	3	88	 	 	 	 
10043	4	88	 	 	 	 
10043	5	88	 	 	 	 
10043	6	88	 	 	 	 
10044	1	25	2	28	2	30000
10044	2	40	1	28	1	4000
10044	3	88	 	 	 	 
10044	4	88	 	 	 	 
10044	5	88	 	 	 	 
10044	6	88	 	 	 	 
10045	1	25	2	23	2	15000
10045	2	23	6	23	6	300
10045	3	88	 	 	 	 
10045	4	88	 	 	 	 
10045	5	88	 	 	 	 
10045	6	88	 	 	 	 
10046	1	1	5	11	3	30
10046	2	13	11	7	11	60
10046	3	23	3	23	3	5
10046	4	88	 	 	 	 
10046	5	88	 	 	 	 
10046	6	88	 	 	 	 
10047	1	25	1	23	1	1500
10047	2	88	 	 	 	 
10047	3	88	 	 	 	 
10047	4	88	 	 	 	 
10047	5	88	 	 	 	 
10047	6	88	 	 	 	 
10048	1	14	4	9	4	20000
10048	2	40	1	9	1	1000
10048	3	25	2	9	2	7000
10048	4	14	1	9	1	4500
10048	5	14	1	9	1	3000
10048	6	14	1	9	1	700
10049	1	1	4	11	4	200
10049	2	88	 	 	 	 
10049	3	88	 	 	 	 
10049	4	88	 	 	 	 
10049	5	88	 	 	 	 
10049	6	88	 	 	 	 
10050	1	1	3	11	3	100
10050	2	40	1	11	1	30000
10050	3	3	1	11	1	10
10050	4	88	 	 	 	 
10050	5	88	 	 	 	 
10050	6	88	 	 	 	 
10051	1	6	1	11	0	 
10051	2	4	1	11	0	 
10051	3	2	1	11	0	 
10051	4	1	4	11	4	200
10051	5	25	2	5	2	500
10051	6	88	 	 	 	 
10052	1	1	5	11	5	350
10052	2	88	 	 	 	 
10052	3	88	 	 	 	 
10052	4	88	 	 	 	 
10052	5	88	 	 	 	 
10052	6	88	 	 	 	 
10053	1	3	1	11	1	100
10053	2	1	3	11	3	80
10053	3	88	 	 	 	 
10053	4	88	 	 	 	 
10053	5	88	 	 	 	 
10053	6	88	 	 	 	 
10055	1	25	2	23	2	20000
10055	2	40	1	23	1	1000
10055	3	23	1	23	1	40
10055	4	23	1	23	1	20
10055	5	23	1	23	1	20
10055	6	88	 	 	 	 
10056	1	40	1	9	1	40000
10056	2	88	 	 	 	 
10056	3	88	 	 	 	 
10056	4	88	 	 	 	 
10056	5	88	 	 	 	 
10056	6	88	 	 	 	 
10057	1	1	4	11	4	100
10057	2	88	 	 	 	 
10057	3	88	 	 	 	 
10057	4	88	 	 	 	 
10057	5	88	 	 	 	 
10057	6	88	 	 	 	 
10058	1	1	3	11	3	300
10058	2	88	 	 	 	 
10058	3	88	 	 	 	 
10058	4	88	 	 	 	 
10058	5	88	 	 	 	 
10058	6	88	 	 	 	 
10059	1	8	1	11	1	60
10059	2	88	 	 	 	 
10059	3	88	 	 	 	 
10059	4	88	 	 	 	 
10059	5	88	 	 	 	 
10059	6	88	 	 	 	 
10060	1	22	1	22	1	-77
10060	2	25	2	22	2	2100
10060	3	1	1	11	1	20
10060	4	40	1	22	1	3000
10060	5	88	 	 	 	 
10060	6	88	 	 	 	 
10061	1	1	2	11	2	80
10061	2	88	 	 	 	 
10061	3	88	 	 	 	 
10061	4	88	 	 	 	 
10061	5	88	 	 	 	 
10061	6	88	 	 	 	 
10062	1	 	 	 	 	 
10062	2	 	 	 	 	 
10062	3	 	 	 	 	 
10062	4	 	 	 	 	 
10062	5	 	 	 	 	 
10062	6	 	 	 	 	 
10063	1	1	1	11	1	40
10063	2	88	 	 	 	 
10063	3	3	1	11	1	120
10063	4	88	 	 	 	 
10063	5	88	 	 	 	 
10063	6	88	 	 	 	 
10064	1	25	1	24	1	50000
10064	2	3	1	11	1	30
10064	3	1	5	24	5	-77
10064	4	88	 	 	 	 
10064	5	88	 	 	 	 
10064	6	88	 	 	 	 
10065	1	24	1	23	1	-77
10065	2	88	 	 	 	 
10065	3	88	 	 	 	 
10065	4	88	 	 	 	 
10065	5	88	 	 	 	 
10065	6	88	 	 	 	 
10067	1	5	1	11	1	2000
10067	2	2	2	11	2	3000
10067	3	3	1	11	1	100
10067	4	1	10	11	10	300
10067	5	88	 	 	 	 
10067	6	88	 	 	 	 
10068	1	2	1	5	1	3000
10068	2	1	2	11	2	70
10068	3	88	 	 	 	 
10068	4	88	 	 	 	 
10068	5	88	 	 	 	 
10068	6	88	 	 	 	 
10069	1	1	2	11	2	70
10069	2	88	 	 	 	 
10069	3	88	 	 	 	 
10069	4	88	 	 	 	 
10069	5	88	 	 	 	 
10069	6	88	 	 	 	 
10070	1	1	3	11	3	120
10070	2	88	 	 	 	 
10070	3	88	 	 	 	 
10070	4	88	 	 	 	 
10070	5	88	 	 	 	 
10070	6	88	 	 	 	 
10071	1	23	6	23	6	6000
10071	2	88	 	 	 	 
10071	3	88	 	 	 	 
10071	4	88	 	 	 	 
10071	5	88	 	 	 	 
10071	6	88	 	 	 	 
10072	1	1	3	11	3	100
10072	2	3	1	11	1	100
10072	3	88	 	 	 	 
10072	4	88	 	 	 	 
10072	5	88	 	 	 	 
10072	6	88	 	 	 	 
10073	1	4	1	11	1	300
10073	2	1	5	11	5	200
10073	3	88	 	 	 	 
10073	4	88	 	 	 	 
10073	5	88	 	 	 	 
10073	6	88	 	 	 	 
10074	1	1	2	11	2	70
10074	2	88	 	 	 	 
10074	3	88	 	 	 	 
10074	4	88	 	 	 	 
10074	5	88	 	 	 	 
10074	6	88	 	 	 	 
10075	1	1	4	11	4	30
10075	2	13	6	26	6	5000
10075	3	88	 	 	 	 
10075	4	88	 	 	 	 
10075	5	88	 	 	 	 
10075	6	88	 	 	 	 
10076	1	1	6	11	6	100
10076	2	3	1	11	1	50
10076	3	88	 	 	 	 
10076	4	88	 	 	 	 
10076	5	88	 	 	 	 
10076	6	88	 	 	 	 
10077	1	25	2	12	2	30000
10077	2	88	 	 	 	 
10077	3	88	 	 	 	 
10077	4	88	 	 	 	 
10077	5	88	 	 	 	 
10077	6	88	 	 	 	 
10078	1	1	5	11	5	30
10078	2	13	6	7	6	20
10078	3	88	 	 	 	 
10078	4	88	 	 	 	 
10078	5	88	 	 	 	 
10078	6	88	 	 	 	 
10079	1	23	-77	23	-77	 
10079	2	88	 	 	 	 
10079	3	88	 	 	 	 
10079	4	88	 	 	 	 
10079	5	88	 	 	 	 
10079	6	88	 	 	 	 
10080	1	13	2	7	2	100
10080	2	1	1	11	1	50
10080	3	88	 	 	 	 
10080	4	88	 	 	 	 
10080	5	88	 	 	 	 
10080	6	88	 	 	 	 
10081	1	2	1	11	1	1000
10081	2	3	1	11	1	50
10081	3	4	1	11	1	200
10081	4	1	4	11	4	100
10081	5	88	 	 	 	 
10081	6	88	 	 	 	 
10082	1	24	2	23	2	1000
10082	2	23	4	23	4	3000
10082	3	1	5	11	5	100
10082	4	88	 	 	 	 
10082	5	88	 	 	 	 
10082	6	88	 	 	 	 
10083	1	15	352	12	352	10000
10083	2	13	10	26	10	30000
10083	3	88	 	 	 	 
10083	4	88	 	 	 	 
10083	5	88	 	 	 	 
10083	6	88	 	 	 	 
10084	1	13	3	7	3	300
10084	2	1	3	11	3	100
10084	3	88	 	 	 	 
10084	4	88	 	 	 	 
10084	5	88	 	 	 	 
10084	6	88	 	 	 	 
10086	1	1	4	11	4	100
10086	2	4	1	11	1	250
10086	3	3	1	11	1	100
10086	4	88	 	 	 	 
10086	5	88	 	 	 	 
10086	6	88	 	 	 	 
10087	1	1	3	11	3	150
10087	2	2	1	24	1	1000
10087	3	3	1	11	1	100
10087	4	40	1	11	1	500
10087	5	88	 	 	 	 
10087	6	88	 	 	 	 
10088	1	1	3	11	3	50
10088	2	15	2	12	2	500
10088	3	88	 	 	 	 
10088	4	88	 	 	 	 
10088	5	88	 	 	 	 
10088	6	88	 	 	 	 
10089	1	2	1	4	1	2500
10089	2	8	3	5	3	50
10089	3	88	 	 	 	 
10089	4	88	 	 	 	 
10089	5	88	 	 	 	 
10089	6	88	 	 	 	 
10091	1	1	5	11	4	50
10091	2	13	4	7	4	5
10091	3	88	 	 	 	 
10091	4	88	 	 	 	 
10091	5	88	 	 	 	 
10091	6	88	 	 	 	 
10092	1	1	3	11	1	100
10092	2	88	 	 	 	 
10092	3	88	 	 	 	 
10092	4	88	 	 	 	 
10092	5	88	 	 	 	 
10092	6	88	 	 	 	 
10093	1	1	4	11	4	200
10093	2	88	 	 	 	 
10093	3	88	 	 	 	 
10093	4	88	 	 	 	 
10093	5	88	 	 	 	 
10093	6	88	 	 	 	 
10094	1	1	9	11	9	50
10094	2	40	2	11	2	130000
10094	3	88	 	 	 	 
10094	4	88	 	 	 	 
10094	5	88	 	 	 	 
10094	6	88	 	 	 	 
10095	1	1	5	11	3	20
10095	2	13	7	7	7	50
10095	3	88	 	 	 	 
10095	4	88	 	 	 	 
10095	5	88	 	 	 	 
10095	6	88	 	 	 	 
10096	1	13	3	7	3	150
10096	2	1	4	11	4	120
10096	3	88	 	 	 	 
10096	4	88	 	 	 	 
10096	5	88	 	 	 	 
10096	6	88	 	 	 	 
10097	1	13	10	26	10	2000
10097	2	1	2	11	2	50
10097	3	88	 	 	 	 
10097	4	88	 	 	 	 
10097	5	88	 	 	 	 
10097	6	88	 	 	 	 
10100	1	1	5	11	5	100
10100	2	3	1	11	1	100
10100	3	88	 	 	 	 
10100	4	88	 	 	 	 
10100	5	88	 	 	 	 
10100	6	88	 	 	 	 
10104	1	25	1	5	1	4000
10104	2	88	 	 	 	 
10104	3	88	 	 	 	 
10104	4	88	 	 	 	 
10104	5	88	 	 	 	 
10104	6	88	 	 	 	 
10109	1	1	4	11	4	20
10109	2	13	6	7	6	30
10109	3	88	 	 	 	 
10109	4	88	 	 	 	 
10109	5	88	 	 	 	 
10109	6	88	 	 	 	 
10118	1	3	1	11	1	100
10118	2	1	2	11	2	40
10118	3	88	 	 	 	 
10118	4	88	 	 	 	 
10118	5	88	 	 	 	 
10118	6	88	 	 	 	 
10121	1	1	1	11	1	60
10121	2	88	 	 	 	 
10121	3	88	 	 	 	 
10121	4	88	 	 	 	 
10121	5	88	 	 	 	 
10121	6	88	 	 	 	 
10122	1	24	1	23	1	3000
10122	2	88	 	 	 	 
10122	3	88	 	 	 	 
10122	4	88	 	 	 	 
10122	5	88	 	 	 	 
10122	6	88	 	 	 	 
10124	1	1	5	11	3	20
10124	2	88	 	 	 	 
10124	3	88	 	 	 	 
10124	4	88	 	 	 	 
10124	5	88	 	 	 	 
10124	6	88	 	 	 	 
10140	1	1	4	11	4	100
10140	2	3	1	11	1	100
10140	3	88	 	 	 	 
10140	4	88	 	 	 	 
10140	5	88	 	 	 	 
10140	6	88	 	 	 	 
20001	1	1	5	11	5	200
20001	2	3	1	11	1	200
20001	3	4	1	11	1	100
20001	4	88	 	 	 	 
20001	5	88	 	 	 	 
20001	6	88	 	 	 	 
20002	1	1	4	11	4	120
20002	2	3	1	11	1	150
20002	3	40	1	26	1	500
20002	4	88	 	 	 	 
20002	5	88	 	 	 	 
20002	6	88	 	 	 	 
20003	1	13	10	7	10	500
20003	2	40	1	11	1	1000
20003	3	1	7	11	6	200
20003	4	3	1	11	1	100
20003	5	88	 	 	 	 
20003	6	88	 	 	 	 
20004	1	30	1	30	1	6000
20004	2	40	1	30	1	10000
20004	3	88	 	 	 	 
20004	4	88	 	 	 	 
20004	5	88	 	 	 	 
20004	6	88	 	 	 	 
20005	1	1	3	11	3	100
20005	2	88	 	 	 	 
20005	3	88	 	 	 	 
20005	4	88	 	 	 	 
20005	5	88	 	 	 	 
20005	6	88	 	 	 	 
20007	1	18	746	23	746	25000
20007	2	30	1	30	1	100000
20007	3	14	5	30	5	2500
20007	4	14	24	11	24	72000
20007	5	40	3	23	3	15000
20007	6	88	 	 	 	 
20008	1	15	60	23	60	2500
20008	2	40	30	23	30	1000
20008	3	30	1	30	1	20000
20008	4	13	6	30	6	5000
20008	5	88	 	 	 	 
20008	6	88	 	 	 	 
20009	1	23	5	23	5	200
20009	2	24	1	23	1	10000
20009	3	88	 	 	 	 
20009	4	88	 	 	 	 
20009	5	88	 	 	 	 
20009	6	88	 	 	 	 
20010	1	1	2	11	2	100
20010	2	40	3	12	3	11000
20010	3	88	 	 	 	 
20010	4	88	 	 	 	 
20010	5	88	 	 	 	 
20010	6	88	 	 	 	 
20012	1	40	20	26	20	20000
20012	2	40	1	26	1	2000
20012	3	15	40	23	40	200
20012	4	88	 	 	 	 
20012	5	88	 	 	 	 
20012	6	88	 	 	 	 
20013	1	40	8	26	8	300
20013	2	40	60	26	60	100
20013	3	40	2	23	2	10000
20013	4	88	 	 	 	 
20013	5	88	 	 	 	 
20013	6	88	 	 	 	 
20016	1	24	1	23	1	12000
20016	2	25	1	23	1	4000
20016	3	11	5	23	5	500
20016	4	88	 	 	 	 
20016	5	88	 	 	 	 
20016	6	88	 	 	 	 
20017	1	1	2	11	2	10
20017	2	88	 	 	 	 
20017	3	88	 	 	 	 
20017	4	88	 	 	 	 
20017	5	88	 	 	 	 
20017	6	88	 	 	 	 
20018	1	 	 	 	 	 
20018	2	 	 	 	 	 
20018	3	 	 	 	 	 
20018	4	 	 	 	 	 
20018	5	 	 	 	 	 
20018	6	 	 	 	 	 
20019	1	1	10	11	10	500
20019	2	3	1	11	1	500
20019	3	88	 	 	 	 
20019	4	88	 	 	 	 
20019	5	88	 	 	 	 
20019	6	88	 	 	 	 
20020	1	30	1	30	1	200000
20020	2	40	1	30	1	20000
20020	3	40	10	30	10	20000
20020	4	88	 	 	 	 
20020	5	88	 	 	 	 
20020	6	88	 	 	 	 
20021	1	40	30	26	30	1000000
20021	2	88	 	 	 	 
20021	3	88	 	 	 	 
20021	4	88	 	 	 	 
20021	5	88	 	 	 	 
20021	6	88	 	 	 	 
20022	1	40	100	26	100	10000
20022	2	24	1	26	1	15000
20022	3	88	 	 	 	 
20022	4	88	 	 	 	 
20022	5	88	 	 	 	 
20022	6	88	 	 	 	 
20023	1	 	 	 	 	 
20023	2	 	 	 	 	 
20023	3	 	 	 	 	 
20023	4	 	 	 	 	 
20023	5	 	 	 	 	 
20023	6	 	 	 	 	 
20024	1	23	4	23	4	4000
20024	2	88	 	 	 	 
20024	3	88	 	 	 	 
20024	4	88	 	 	 	 
20024	5	88	 	 	 	 
20024	6	88	 	 	 	 
20025	1	13	12	7	12	500
20025	2	88	 	 	 	 
20025	3	88	 	 	 	 
20025	4	88	 	 	 	 
20025	5	88	 	 	 	 
20025	6	88	 	 	 	 
20026	1	23	5	23	5	200
20026	2	88	 	 	 	 
20026	3	88	 	 	 	 
20026	4	88	 	 	 	 
20026	5	88	 	 	 	 
20026	6	88	 	 	 	 
20027	1	1	3	11	3	120
20027	2	30	1	30	1	3000
20027	3	40	2	30	2	2000
20027	4	88	 	 	 	 
20027	5	88	 	 	 	 
20027	6	88	 	 	 	 
20028	1	23	6	23	6	20000
20028	2	24	1	26	1	50000
20028	3	14	50	26	50	20000
20028	4	40	45	26	45	135000
20028	5	88	 	 	 	 
20028	6	88	 	 	 	 
20029	1	1	3	11	3	150
20029	2	88	 	 	 	 
20029	3	88	 	 	 	 
20029	4	88	 	 	 	 
20029	5	88	 	 	 	 
20029	6	88	 	 	 	 
20032	1	23	4	23	4	3000
20032	2	88	 	 	 	 
20032	3	88	 	 	 	 
20032	4	88	 	 	 	 
20032	5	88	 	 	 	 
20032	6	88	 	 	 	 
20033	1	30	1	30	1	8000
20033	2	40	4	30	4	30000
20033	3	88	 	 	 	 
20033	4	88	 	 	 	 
20033	5	88	 	 	 	 
20033	6	88	 	 	 	 
20034	1	30	1	30	1	200000
20034	2	40	1	30	1	50000
20034	3	40	6	30	6	10000
20034	4	40	1	30	1	1000
20034	5	88	 	 	 	 
20034	6	88	 	 	 	 
20035	1	40	50	26	50	2000
20035	2	24	1	23	1	10000
20035	3	23	5	23	5	100
20035	4	25	1	24	1	1500
20035	5	88	 	 	 	 
20035	6	88	 	 	 	 
20036	1	30	1	30	1	30000
20036	2	13	3	30	3	10000
20036	3	88	 	 	 	 
20036	4	88	 	 	 	 
20036	5	88	 	 	 	 
20036	6	88	 	 	 	 
20037	1	40	25	26	25	50000
20037	2	40	1	26	1	30000
20037	3	30	1	26	1	10000
20037	4	24	2	23	2	5000
20037	5	88	 	 	 	 
20037	6	88	 	 	 	 
20038	1	40	1	30	1	1000
20038	2	40	1	30	1	3000
20038	3	40	5	30	5	10000
20038	4	40	1	23	1	50
20038	5	88	 	 	 	 
20038	6	88	 	 	 	 
20039	1	40	1	30	1	300
20039	2	40	5	30	5	200
20039	3	23	5	23	5	20
20039	4	25	1	23	1	3000
20039	5	40	4	26	4	1600
20039	6	88	 	 	 	 
20041	1	40	4	7	4	100
20041	2	40	3	11	3	100
20041	3	88	 	 	 	 
20041	4	88	 	 	 	 
20041	5	88	 	 	 	 
20041	6	88	 	 	 	 
20043	1	1	3	11	3	200
20043	2	3	1	11	1	200
20043	3	40	1	26	1	500
20043	4	88	 	 	 	 
20043	5	88	 	 	 	 
20043	6	88	 	 	 	 
20044	1	1	6	11	6	500
20044	2	3	1	11	1	200
20044	3	88	 	 	 	 
20044	4	88	 	 	 	 
20044	5	88	 	 	 	 
20044	6	88	 	 	 	 
20046	1	40	5	7	5	2500
20046	2	1	5	11	5	150
20046	3	88	 	 	 	 
20046	4	88	 	 	 	 
20046	5	88	 	 	 	 
20046	6	88	 	 	 	 
20047	1	1	5	11	5	200
20047	2	3	1	11	1	150
20047	3	40	1	26	1	5000
20047	4	25	1	23	1	150
20047	5	88	 	 	 	 
20047	6	88	 	 	 	 
20048	1	1	3	11	3	150
20048	2	3	1	11	1	200
20048	3	40	1	26	1	2000
20048	4	88	 	 	 	 
20048	5	88	 	 	 	 
20048	6	88	 	 	 	 
20050	1	25	1	24	1	500000
20050	2	25	1	22	1	10000
20050	3	88	 	 	 	 
20050	4	88	 	 	 	 
20050	5	88	 	 	 	 
20050	6	88	 	 	 	 
20052	1	25	1	24	1	100000
20052	2	23	8	23	8	3000
20052	3	88	 	 	 	 
20052	4	88	 	 	 	 
20052	5	88	 	 	 	 
20052	6	88	 	 	 	 
20053	1	3	2	11	2	200
20053	2	1	5	11	5	30
20053	3	40	1	11	1	5000
20053	4	40	5	11	5	200
20053	5	88	 	 	 	 
20053	6	88	 	 	 	 
20054	1	1	3	11	0	 
20054	2	88	 	 	 	 
20054	3	88	 	 	 	 
20054	4	88	 	 	 	 
20054	5	88	 	 	 	 
20054	6	88	 	 	 	 
20055	1	40	1	30	1	1000
20055	2	13	4	30	4	10000
20055	3	88	 	 	 	 
20055	4	88	 	 	 	 
20055	5	88	 	 	 	 
20055	6	88	 	 	 	 
20056	1	40	45	26	45	45000
20056	2	30	1	26	1	10000
20056	3	40	1	30	1	500
20056	4	40	5	30	5	3500
20056	5	15	8	26	8	200
20056	6	88	 	 	 	 
20057	1	30	1	30	1	75000
20057	2	14	3	30	3	15000
20057	3	88	 	 	 	 
20057	4	88	 	 	 	 
20057	5	88	 	 	 	 
20057	6	88	 	 	 	 
20060	1	30	1	30	1	5000
20060	2	40	1	30	1	3000
20060	3	88	 	 	 	 
20060	4	88	 	 	 	 
20060	5	88	 	 	 	 
20060	6	88	 	 	 	 
20061	1	40	1	11	1	8000
20061	2	88	 	 	 	 
20061	3	88	 	 	 	 
20061	4	88	 	 	 	 
20061	5	88	 	 	 	 
20061	6	88	 	 	 	 
20062	1	30	1	30	1	35000
20062	2	40	1	30	1	8000
20062	3	13	50	30	50	8000
20062	4	40	1	30	1	2000
20062	5	40	6	30	6	4000
20062	6	88	 	 	 	 
20063	1	1	6	11	6	200
20063	2	88	 	 	 	 
20063	3	88	 	 	 	 
20063	4	88	 	 	 	 
20063	5	88	 	 	 	 
20063	6	88	 	 	 	 
20064	1	1	5	11	5	150
20064	2	6	1	11	1	10000
20064	3	7	1	11	1	4000
20064	4	3	1	11	1	200
20064	5	88	 	 	 	 
20064	6	88	 	 	 	 
20065	1	1	5	11	5	10
20065	2	3	1	11	1	10
20065	3	88	 	 	 	 
20065	4	88	 	 	 	 
20065	5	88	 	 	 	 
20065	6	88	 	 	 	 
20066	1	1	6	11	6	20
20066	2	3	1	11	1	20
20066	3	5	1	11	1	1000
20066	4	40	1	26	1	1000
20066	5	8	1	26	1	10
20066	6	88	 	 	 	 
20067	1	2	5	11	5	200
20067	2	4	1	11	1	150
20067	3	3	1	11	1	200
20067	4	5	1	11	1	1000
