CHILDCODE	NONFODR4	SPYRR4	SPNMR4
10016	25	0	 
10016	26	0	 
10016	27	0	 
10016	28	0	 
10016	29	0	 
10016	30	0	 
10016	31	0	 
10016	32	580	2
10016	33	0	 
10017	1	300	 
10017	2	0	 
10017	3	0	 
10017	4	0	 
10017	5	0	 
10017	6	0	 
10017	7	0	 
10017	8	0	 
10017	9	400	2
10017	10	0	 
10017	11	3000	2
10017	12	0	 
10017	13	0	 
10017	14	0	 
10017	15	600	2
10017	16	0	 
10017	17	0	 
10017	18	500	1
10017	19	0	 
10017	20	0	 
10017	21	0	 
10017	22	0	 
10017	23	0	 
10017	24	0	 
10017	25	0	 
10017	26	0	 
10017	27	0	 
10017	28	0	 
10017	29	0	 
10017	30	0	 
10017	31	0	 
10017	32	580	2
10017	33	0	 
10018	1	400	 
10018	2	600	 
10018	3	600	4
10018	4	0	 
10018	5	300	 
10018	6	100	 
10018	7	200	4
10018	8	0	 
10018	9	0	 
10018	10	300	4
10018	11	24000	0
10018	12	800	4
10018	13	0	 
10018	14	3600	4
10018	15	1000	4
10018	16	0	 
10018	17	1000	1
10018	18	0	 
10018	19	0	 
10018	20	0	 
10018	21	0	 
10018	22	0	 
10018	23	0	 
10018	24	0	 
10018	25	0	 
10018	26	0	 
10018	27	0	 
10018	28	0	 
10018	29	0	 
10018	30	0	 
10018	31	0	 
10018	32	410	4
10018	33	0	 
10019	1	200	 
10019	2	200	 
10019	3	0	 
10019	4	1000	2
10019	5	150	 
10019	6	50	 
10019	7	0	 
10019	8	200	2
10019	9	1000	2
10019	10	0	 
10019	11	1500	3
10019	12	0	 
10019	13	2500	3
10019	14	0	 
10019	15	1000	3
10019	16	0	 
10019	17	0	 
10019	18	0	 
10019	19	0	 
10019	20	0	 
10019	21	0	 
10019	22	0	 
10019	23	0	 
10019	24	0	 
10019	25	0	 
10019	26	0	 
10019	27	0	 
10019	28	0	 
10019	29	0	 
10019	30	0	 
10019	31	0	 
10019	32	580	2
10019	33	0	 
10020	1	0	 
10020	2	120	 
10020	3	0	 
10020	4	120	4
10020	5	0	 
10020	6	40	 
10020	7	0	 
10020	8	500	4
10020	9	180	4
10020	10	0	 
10020	11	760	4
10020	12	0	 
10020	13	1600	4
10020	14	0	 
10020	15	1000	4
10020	16	0	 
10020	17	1500	4
10020	18	0	 
10020	19	0	 
10020	20	0	 
10020	21	0	 
10020	22	0	 
10020	23	0	 
10020	24	0	 
10020	25	0	 
10020	26	0	 
10020	27	0	 
10020	28	0	 
10020	29	0	 
10020	30	0	 
10020	31	0	 
10020	32	440	4
10020	33	0	 
10021	1	5000	 
10021	2	3000	 
10021	3	1500	4
10021	4	0	 
10021	5	1000	 
10021	6	500	 
10021	7	300	4
10021	8	0	 
10021	9	0	 
10021	10	500	4
10021	11	0	 
10021	12	700	4
10021	13	0	 
10021	14	0	 
10021	15	300	4
10021	16	0	 
10021	17	0	 
10021	18	100	1
10021	19	0	 
10021	20	0	 
10021	21	0	 
10021	22	500	2
10021	23	0	 
10021	24	9000	 
10021	25	0	 
10021	26	0	 
10021	27	0	 
10021	28	0	 
10021	29	0	 
10021	30	0	 
10021	31	0	 
10021	32	410	4
10021	33	1000	1
10022	1	300	 
10022	2	200	 
10022	3	300	4
10022	4	300	4
10022	5	100	 
10022	6	50	 
10022	7	120	4
10022	8	100	0
10022	9	240	0
10022	10	300	4
10022	11	0	 
10022	12	270	4
10022	13	1000	0
10022	14	3000	4
10022	15	1500	3
10022	16	0	 
10022	17	0	 
10022	18	400	1
10022	19	0	 
10022	20	-77	 
10022	21	0	 
10022	22	0	 
10022	23	0	 
10022	24	0	 
10022	25	0	 
10022	26	0	 
10022	27	0	 
10022	28	0	 
10022	29	0	 
10022	30	0	 
10022	31	0	 
10022	32	580	2
10022	33	0	 
10024	1	1000	 
10024	2	0	 
10024	3	300	4
10024	4	0	 
10024	5	300	 
10024	6	50	 
10024	7	50	4
10024	8	0	 
10024	9	0	 
10024	10	350	4
10024	11	0	 
10024	12	290	4
10024	13	0	 
10024	14	400	4
10024	15	300	2
10024	16	3600	0
10024	17	160	0
10024	18	450	0
10024	19	0	 
10024	20	0	 
10024	21	0	 
10024	22	0	 
10024	23	0	 
10024	24	0	 
10024	25	0	 
10024	26	0	 
10024	27	0	 
10024	28	0	 
10024	29	0	 
10024	30	0	 
10024	31	10	 
10024	32	1147	1
10024	33	0	 
10025	1	1200	 
10025	2	700	 
10025	3	300	0
10025	4	700	2
10025	5	100	 
10025	6	100	 
10025	7	50	0
10025	8	200	2
10025	9	500	2
10025	10	0	 
10025	11	800	2
10025	12	600	0
10025	13	3000	1
10025	14	0	 
10025	15	1000	1
10025	16	0	 
10025	17	0	 
10025	18	200	1
10025	19	0	 
10025	20	0	 
10025	21	0	 
10025	22	0	 
10025	23	0	 
10025	24	0	 
10025	25	0	 
10025	26	0	 
10025	27	0	 
10025	28	100	2
10025	29	1000	0
10025	30	0	 
10025	31	0	 
10025	32	100	4
10025	33	0	 
10026	1	300	 
10026	2	400	 
10026	3	300	0
10026	4	300	2
10026	5	200	 
10026	6	300	 
10026	7	200	0
10026	8	200	2
10026	9	150	4
10026	10	150	0
10026	11	0	 
10026	12	0	 
10026	13	0	 
10026	14	0	 
10026	15	800	2
10026	16	0	 
10026	17	0	 
10026	18	0	 
10026	19	0	 
10026	20	0	 
10026	21	0	 
10026	22	0	 
10026	23	0	 
10026	24	0	 
10026	25	0	 
10026	26	0	 
10026	27	0	 
10026	28	0	 
10026	29	0	 
10026	30	0	 
10026	31	0	 
10026	32	270	2
10026	33	0	 
10027	1	1400	 
10027	2	2000	 
10027	3	0	 
10027	4	1000	3
10027	5	200	 
10027	6	300	 
10027	7	0	 
10027	8	250	2
10027	9	200	3
10027	10	0	 
10027	11	1500	3
10027	12	0	 
10027	13	0	 
10027	14	0	 
10027	15	500	3
10027	16	0	 
10027	17	0	 
10027	18	300	1
10027	19	0	 
10027	20	0	 
10027	21	0	 
10027	22	0	 
10027	23	30000	0
10027	24	2500	 
10027	25	2500	 
10027	26	0	 
10027	27	0	 
10027	28	0	 
10027	29	0	 
10027	30	0	 
10027	31	0	 
10027	32	440	4
10027	33	0	 
10029	1	700	 
10029	2	2000	 
10029	3	0	 
10029	4	100	2
10029	5	300	 
10029	6	300	 
10029	7	0	 
10029	8	300	3
10029	9	600	3
10029	10	0	 
10029	11	-77	 
10029	12	0	 
10029	13	3000	4
10029	14	0	 
10029	15	500	3
10029	16	0	 
10029	17	6000	0
10029	18	2000	0
10029	19	1000	0
10029	20	0	 
10029	21	0	 
10029	22	0	 
10029	23	0	 
10029	24	0	 
10029	25	0	 
10029	26	0	 
10029	27	0	 
10029	28	0	 
10029	29	0	 
10029	30	0	 
10029	31	0	 
10029	32	290	4
10029	33	0	 
10030	1	0	 
10030	2	200	 
10030	3	0	 
10030	4	0	 
10030	5	50	 
10030	6	70	 
10030	7	0	 
10030	8	0	 
10030	9	400	4
10030	10	0	 
10030	11	0	 
10030	12	-77	 
10030	13	0	 
10030	14	0	 
10030	15	40	4
10030	16	0	 
10030	17	0	 
10030	18	50	0
10030	19	2160	0
10030	20	0	 
10030	21	0	 
10030	22	0	 
10030	23	0	 
10030	24	0	 
10030	25	0	 
10030	26	0	 
10030	27	0	 
10030	28	0	 
10030	29	0	 
10030	30	0	 
10030	31	0	 
10030	32	410	4
10030	33	0	 
10031	1	500	 
10031	2	800	 
10031	3	300	4
10031	4	0	 
10031	5	200	 
10031	6	100	 
10031	7	150	4
10031	8	0	 
10031	9	0	 
10031	10	300	4
10031	11	0	 
10031	12	1000	4
10031	13	0	 
10031	14	700	4
10031	15	500	4
10031	16	0	 
10031	17	200	0
10031	18	600	1
10031	19	0	 
10031	20	0	 
10031	21	0	 
10031	22	500	4
10031	23	0	 
10031	24	0	 
10031	25	0	 
10031	26	0	 
10031	27	0	 
10031	28	0	 
10031	29	20	4
10031	30	0	 
10031	31	0	 
10031	32	1430	1
10031	33	0	 
10032	1	2500	 
10032	2	500	 
10032	3	0	 
10032	4	200	4
10032	5	200	 
10032	6	100	 
10032	7	0	 
10032	8	100	4
10032	9	50	4
10032	10	0	 
10032	11	0	 
10032	12	0	 
10032	13	0	 
10032	14	0	 
10032	15	60	3
10032	16	0	 
10032	17	0	 
10032	18	0	 
10032	19	0	 
10032	20	0	 
10032	21	0	 
10032	22	0	 
10032	23	0	 
10032	24	0	 
10032	25	0	 
10032	26	0	 
10032	27	0	 
10032	28	0	 
10032	29	0	 
10032	30	0	 
10032	31	0	 
10032	32	0	 
10032	33	0	 
10033	1	800	 
10033	2	1000	 
10033	3	1500	1
10033	4	0	 
10033	5	200	 
10033	6	200	 
10033	7	500	1
10033	8	0	 
10033	9	0	 
10033	10	600	2
10033	11	0	 
10033	12	270	0
10033	13	0	 
10033	14	3720	1
10033	15	1000	2
10033	16	0	 
10033	17	500	0
10033	18	500	0
10033	19	2000	1
10033	20	1400	0
10033	21	0	 
10033	22	0	 
10033	23	200	1
10033	24	0	 
10033	25	0	 
10033	26	0	 
10033	27	0	 
10033	28	0	 
10033	29	10	2
10033	30	0	 
10033	31	0	 
10033	32	580	2
10033	33	0	 
10034	1	1000	 
10034	2	800	 
10034	3	300	2
10034	4	200	0
10034	5	100	 
10034	6	150	 
10034	7	300	2
10034	8	50	0
10034	9	0	 
10034	10	150	2
10034	11	0	 
10034	12	0	 
10034	13	0	 
10034	14	3900	1
10034	15	2000	2
10034	16	0	 
10034	17	0	 
10034	18	0	 
10034	19	0	 
10034	20	0	 
10034	21	0	 
10034	22	0	 
10034	23	0	 
10034	24	0	 
10034	25	0	 
10034	26	0	 
10034	27	0	 
10034	28	0	 
10034	29	0	 
10034	30	0	 
10034	31	0	 
10034	32	550	2
10034	33	0	 
10035	1	300	 
10035	2	500	 
10035	3	700	0
10035	4	400	2
10035	5	200	 
10035	6	200	 
10035	7	200	0
10035	8	200	2
10035	9	150	4
10035	10	180	0
10035	11	0	 
10035	12	0	 
10035	13	360	4
10035	14	720	0
10035	15	800	1
10035	16	0	 
10035	17	3500	0
10035	18	1500	0
10035	19	0	 
10035	20	0	 
10035	21	0	 
10035	22	0	 
10035	23	0	 
10035	24	0	 
10035	25	0	 
10035	26	0	 
10035	27	0	 
10035	28	0	 
10035	29	0	 
10035	30	0	 
10035	31	0	 
10035	32	780	1
10035	33	0	 
10036	1	700	 
10036	2	500	 
10036	3	0	 
10036	4	400	2
10036	5	500	 
10036	6	150	 
10036	7	0	 
10036	8	240	2
10036	9	-77	 
10036	10	0	 
10036	11	700	3
10036	12	0	 
10036	13	1240	3
10036	14	0	 
10036	15	400	3
10036	16	0	 
10036	17	0	 
10036	18	150	1
10036	19	0	 
10036	20	0	 
10036	21	0	 
10036	22	0	 
10036	23	0	 
10036	24	0	 
10036	25	0	 
10036	26	0	 
10036	27	0	 
10036	28	0	 
10036	29	0	 
10036	30	0	 
10036	31	0	 
10036	32	820	2
10036	33	0	 
10037	1	1500	 
10037	2	500	 
10037	3	0	 
10037	4	300	4
10037	5	200	 
10037	6	300	 
10037	7	0	 
10037	8	200	4
10037	9	200	4
10037	10	0	 
10037	11	1000	4
10037	12	0	 
10037	13	1600	4
10037	14	0	 
10037	15	500	4
10037	16	0	 
10037	17	0	 
10037	18	100	4
10037	19	0	 
10037	20	0	 
10037	21	0	 
10037	22	0	 
10037	23	0	 
10037	24	0	 
10037	25	0	 
10037	26	0	 
10037	27	0	 
10037	28	0	 
10037	29	0	 
10037	30	0	 
10037	31	0	 
10037	32	440	4
10037	33	0	 
10038	1	1200	 
10038	2	800	 
10038	3	600	0
10038	4	600	4
10038	5	500	 
10038	6	100	 
10038	7	70	0
10038	8	150	4
10038	9	400	4
10038	10	0	 
10038	11	450	4
10038	12	0	 
10038	13	840	4
10038	14	0	 
10038	15	500	4
10038	16	0	 
10038	17	0	 
10038	18	3000	1
10038	19	0	 
10038	20	0	 
10038	21	0	 
10038	22	0	 
10038	23	0	 
10038	24	0	 
10038	25	0	 
10038	26	0	 
10038	27	0	 
10038	28	720	4
10038	29	0	 
10038	30	0	 
10038	31	0	 
10038	32	290	4
10038	33	0	 
10039	1	800	 
10039	2	500	 
10039	3	0	 
10039	4	6000	4
10039	5	100	 
10039	6	70	 
10039	7	200	0
10039	8	200	4
10039	9	200	4
10039	10	0	 
10039	11	40	4
10039	12	0	 
10039	13	1200	4
10039	14	0	 
10039	15	700	4
10039	16	0	 
10039	17	800	0
10039	18	200	0
10039	19	0	 
10039	20	0	 
10039	21	0	 
10039	22	0	 
10039	23	1800	0
10039	24	0	 
10039	25	0	 
10039	26	0	 
10039	27	0	 
10039	28	0	 
10039	29	0	 
10039	30	0	 
10039	31	0	 
10039	32	0	 
10039	33	0	 
10040	1	700	 
10040	2	300	 
10040	3	0	 
10040	4	1000	3
10040	5	350	 
10040	6	350	 
10040	7	0	 
10040	8	200	2
10040	9	400	4
10040	10	0	 
10040	11	0	 
10040	12	0	 
10040	13	1200	4
10040	14	0	 
10040	15	100	2
10040	16	0	 
10040	17	0	 
10040	18	0	 
10040	19	0	 
10040	20	0	 
10040	21	0	 
10040	22	0	 
10040	23	0	 
10040	24	0	 
10040	25	0	 
10040	26	0	 
10040	27	0	 
10040	28	0	 
10040	29	0	 
10040	30	0	 
10040	31	0	 
10040	32	650	2
10040	33	0	 
10041	1	400	 
10041	2	300	 
10041	3	1000	0
10041	4	300	4
10041	5	0	 
10041	6	200	 
10041	7	400	0
10041	8	150	4
10041	9	500	4
10041	10	2000	0
10041	11	300	4
10041	12	1800	0
10041	13	1800	4
10041	14	1600	0
10041	15	1500	1
10041	16	0	 
10041	17	0	 
10041	18	300	1
10041	19	0	 
10041	20	0	 
10041	21	0	 
10041	22	0	 
10041	23	0	 
10041	24	0	 
10041	25	0	 
10041	26	0	 
10041	27	0	 
10041	28	0	 
10041	29	0	 
10041	30	0	 
10041	31	0	 
10041	32	290	4
10041	33	0	 
10042	1	350	 
10042	2	0	 
10042	3	0	 
10042	4	0	 
10042	5	100	 
10042	6	0	 
10042	7	65	0
10042	8	0	 
10042	9	250	4
10042	10	130	0
10042	11	-77	 
10042	12	0	 
10042	13	0	 
10042	14	200	0
10042	15	600	1
10042	16	1000	0
10042	17	0	 
10042	18	0	 
10042	19	0	 
10042	20	0	 
10042	21	0	 
10042	22	0	 
10042	23	0	 
10042	24	0	 
10042	25	0	 
10042	26	0	 
10042	27	-77	 
10042	28	0	 
10042	29	0	 
10042	30	0	 
10042	31	0	 
10042	32	-77	 
10042	33	0	 
10043	1	500	 
10043	2	100	 
10043	3	150	3
10043	4	0	 
10043	5	100	 
10043	6	40	 
10043	7	50	3
10043	8	0	 
10043	9	0	 
10043	10	450	3
10043	11	0	 
10043	12	0	 
10043	13	0	 
10043	14	0	 
10043	15	-77	 
10043	16	0	 
10043	17	0	 
10043	18	0	 
10043	19	0	 
10043	20	0	 
10043	21	0	 
10043	22	0	 
10043	23	0	 
10043	24	0	 
10043	25	0	 
10043	26	0	 
10043	27	0	 
10043	28	0	 
10043	29	0	 
10043	30	0	 
10043	31	0	 
10043	32	820	3
10043	33	0	 
10044	1	1000	 
10044	2	1000	 
10044	3	400	4
10044	4	0	 
10044	5	500	 
10044	6	400	 
10044	7	200	4
10044	8	0	 
10044	9	0	 
10044	10	210	4
10044	11	0	 
10044	12	800	4
10044	13	0	 
10044	14	4200	4
10044	15	400	4
10044	16	50	4
10044	17	240	0
10044	18	700	0
10044	19	0	 
10044	20	0	 
10044	21	600	0
10044	22	1200	4
10044	23	0	 
10044	24	0	 
10044	25	0	 
10044	26	0	 
10044	27	0	 
10044	28	0	 
10044	29	200	4
10044	30	0	 
10044	31	0	 
10044	32	10000	1
10044	33	500	2
10045	1	600	 
10045	2	0	 
10045	3	700	2
10045	4	0	 
10045	5	200	 
10045	6	50	 
10045	7	200	2
10045	8	0	 
10045	9	0	 
10045	10	880	2
10045	11	0	 
10045	12	500	2
10045	13	0	 
10045	14	5000	3
10045	15	1200	2
10045	16	0	 
10045	17	0	 
10045	18	500	3
10045	19	0	 
10045	20	0	 
10045	21	0	 
10045	22	0	 
10045	23	0	 
10045	24	0	 
10045	25	0	 
10045	26	0	 
10045	27	0	 
10045	28	0	 
10045	29	0	 
10045	30	0	 
10045	31	0	 
10045	32	820	2
10045	33	0	 
10046	1	1000	 
10046	2	1000	 
10046	3	0	 
10046	4	1000	2
10046	5	150	 
10046	6	300	 
10046	7	0	 
10046	8	180	2
10046	9	720	2
10046	10	0	 
10046	11	1700	1
10046	12	0	 
10046	13	3600	2
10046	14	0	 
10046	15	1000	2
10046	16	0	 
10046	17	0	 
10046	18	50	0
10046	19	0	 
10046	20	0	 
10046	21	0	 
10046	22	0	 
10046	23	4000	0
10046	24	0	 
10046	25	0	 
10046	26	0	 
10046	27	0	 
10046	28	0	 
10046	29	0	 
10046	30	0	 
10046	31	0	 
10046	32	580	2
10046	33	0	 
10047	1	1000	 
10047	2	500	 
10047	3	300	4
10047	4	0	 
10047	5	60	 
10047	6	50	 
10047	7	30	4
10047	8	0	 
10047	9	0	 
10047	10	300	4
10047	11	0	 
10047	12	800	4
10047	13	0	 
10047	14	720	4
10047	15	500	4
10047	16	0	 
10047	17	0	 
10047	18	0	 
10047	19	0	 
10047	20	0	 
10047	21	0	 
10047	22	0	 
10047	23	0	 
10047	24	0	 
10047	25	0	 
10047	26	0	 
10047	27	0	 
10047	28	0	 
10047	29	0	 
10047	30	0	 
10047	31	0	 
10047	32	290	4
10047	33	0	 
10048	1	1000	 
10048	2	500	 
10048	3	220	0
10048	4	500	4
10048	5	400	 
10048	6	700	 
10048	7	200	0
10048	8	210	4
10048	9	300	4
10048	10	220	0
10048	11	300	4
10048	12	0	 
10048	13	3600	4
10048	14	0	 
10048	15	400	2
10048	16	400	0
10048	17	0	 
10048	18	0	 
10048	19	0	 
10048	20	0	 
10048	21	0	 
10048	22	0	 
10048	23	0	 
10048	24	0	 
10048	25	0	 
10048	26	500	0
10048	27	0	 
10048	28	40	4
10048	29	0	 
10048	30	0	 
10048	31	0	 
10048	32	120	4
10048	33	0	 
10049	1	200	 
10049	2	200	 
10049	3	0	 
10049	4	300	4
10049	5	20	 
10049	6	30	 
10049	7	0	 
10049	8	0	 
10049	9	1000	4
10049	10	0	 
10049	11	0	 
10049	12	0	 
